room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_04,1,1,1,NA,NA,order,1,1,NA,1,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_01,1,2,1,NA,NA,order,1,1,2,2,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_06,1,3,1,NA,NA,order,1,1,2,3,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_08,1,4,1,NA,NA,order,1,1,2,4,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_02,1,5,1,NA,NA,order,1,1,2,5,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_07,1,6,1,NA,NA,order,1,1,2,6,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_05,1,7,1,NA,NA,order,1,1,2,7,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_01,1,9,2,NA,NA,order,1,2,NA,8,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_03,1,10,2,NA,NA,order,1,2,1,9,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_02,1,11,2,NA,NA,order,1,2,1,10,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_04,1,12,2,NA,NA,order,1,2,1,11,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_05,1,13,2,NA,NA,order,1,2,1,12,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_07,1,14,2,NA,NA,order,1,2,NA,13,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_08,1,15,2,NA,NA,order,1,2,1,14,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_06,1,16,2,NA,NA,order,1,2,1,15,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_03,1,17,3,NA,NA,order,1,1,2,16,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_07,1,18,3,NA,NA,order,1,1,2,17,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_02,1,19,3,NA,NA,order,1,1,2,18,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_04,1,20,3,NA,NA,order,1,1,2,19,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_01,1,21,3,NA,NA,order,1,1,2,20,1
1,base_01;base_02;base_03;base_04;base_05;base_06;base_07;base_08,base_08,1,22,3,NA,NA,order,1,1,2,21,1
