text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
básicamente is the one who is like praying,2,describer,1,FALSE,NA,1
hey gay,1,matcher,2,TRUE,NA,1
this feels somehow algo religioso algunas de estas figuras,1,matcher,1,FALSE,NA,2
is the one who is on their knees y tiene los brazos afuera,2,describer,2,FALSE,NA,2
uno que se caminando como un zombie y tiene una pierna arriba,2,describer,1,FALSE,NA,3
el que está sentado mirando abajo,2,describer,1,FALSE,NA,4
oh era el que estaba cabizbajo,1,matcher,2,FALSE,NA,4
so este tiene los brazos arriba y está caminando hacia la izquierda,2,describer,1,FALSE,NA,5
con las manos arriba,1,matcher,1,FALSE,NA,6
the one who looks like is dancing tiene su pie para el frente,2,describer,2,FALSE,NA,6
I am so bad at this dude,1,matcher,3,TRUE,NA,6
yes,2,describer,1,FALSE,NA,7
uno que se como si estuviera leyendo algo hacia la izquierda y está de pie,2,describer,2,FALSE,NA,7
no está sentado,2,describer,3,FALSE,NA,7
parece que tiene mangas,1,matcher,4,FALSE,NA,7
no,2,describer,1,FALSE,NA,8
tiene la pata alzada,1,matcher,2,FALSE,NA,8
not a lot of movement,2,describer,3,FALSE,NA,8
como si fuera a darte un hug,2,describer,4,FALSE,NA,8
uno que está de pie y tiene brazos pequeños,2,describer,5,FALSE,NA,8
boo,2,describer,1,TRUE,NA,9
uno que se ve como si tuviera un dress,2,describer,2,FALSE,NA,9
tiene una brazo hacia arriba,2,describer,3,FALSE,NA,9
sí,2,describer,1,FALSE,NA,10
parece un feto,1,matcher,2,FALSE,NA,10
no tiene brazos ni piernas,2,describer,3,FALSE,NA,10
este no está haciendo nada,2,describer,4,FALSE,NA,10
como un slug,2,describer,5,FALSE,NA,10
yay,2,describer,1,TRUE,NA,11
está ice skating,2,describer,2,FALSE,NA,11
tiene los brazos a el frente,2,describer,3,FALSE,NA,11
una pierna de forma horizontal,2,describer,4,FALSE,NA,11
está diagonal,2,describer,1,FALSE,NA,12
está como si fuera a caerse,2,describer,2,FALSE,NA,12
tiene los brazos hacia arriba,2,describer,3,FALSE,NA,12
este no tiene piernas,2,describer,4,FALSE,NA,12
está sentado,1,describer,1,FALSE,NA,13
y cornudo,1,describer,2,FALSE,NA,13
parece depresivo,1,describer,3,FALSE,NA,13
parece un conejo,1,describer,4,FALSE,NA,13
parece un padre en la iglesia,1,describer,1,FALSE,NA,14
con las manos arriba,1,describer,2,FALSE,NA,14
parece que tiene un traje,1,describer,3,FALSE,NA,14
el feto,1,describer,1,FALSE,NA,15
y las manos para arriba,1,describer,1,FALSE,NA,16
tiene una pierna abajo,1,describer,2,FALSE,NA,16
parece a Ámbar bailando,1,describer,3,FALSE,NA,16
facing la derecha,1,describer,4,FALSE,NA,16
o bailando,1,describer,1,FALSE,NA,17
parece o que se está cayendo,1,describer,2,FALSE,NA,17
no tiene piernas,1,describer,3,FALSE,NA,17
maybe un blow job,1,describer,1,FALSE,NA,18
like maybe para orar,1,describer,2,FALSE,NA,18
parece que se va a arrodillar,1,describer,3,FALSE,NA,18
maybe he is a bottom,1,describer,1,FALSE,NA,19
o estirándose,1,describer,2,FALSE,NA,19
parece que está ice skating,1,describer,3,FALSE,NA,19
yay,1,describer,1,TRUE,NA,20
y las manos están stretching out,1,describer,2,FALSE,NA,20
parece que tiene un traje,1,describer,3,FALSE,NA,20
está como bailando,1,describer,4,FALSE,NA,20
facing la izquierda,1,describer,1,FALSE,NA,21
tiene las manos para arriba,1,describer,2,FALSE,NA,21
parece un zombie with an oversized shirt,1,describer,3,FALSE,NA,21
parece un vagabundo,1,describer,1,FALSE,NA,22
or just a really sad person,1,describer,2,FALSE,NA,22
mirando para la izquierda,1,describer,3,FALSE,NA,22
y parece que tiene una manga bien larga,1,describer,1,FALSE,NA,23
la derecha,1,describer,2,FALSE,NA,23
tiene solo una mano,1,describer,3,FALSE,NA,23
he looks like he is vouging,1,describer,4,FALSE,NA,23
para la derecha,1,describer,1,FALSE,NA,24
y it has wings,1,describer,2,FALSE,NA,24
alas,1,describer,3,FALSE,NA,24
parece que se arrodilló a orar because tiene las manos facing outward,1,describer,4,FALSE,NA,24
the zombie with the oversized t-shirt,2,describer,1,FALSE,NA,25
no me sale ninguna,1,matcher,2,TRUE,NA,25
oh,1,matcher,3,TRUE,NA,25
bye,1,matcher,4,TRUE,NA,25
jaja,1,matcher,5,TRUE,NA,25
el que se va arrodillar,2,describer,1,FALSE,NA,26
el que está parado que tiene sleeves que se parece que va a dar algo,2,describer,1,FALSE,NA,27
for a,1,matcher,2,TRUE,NA,27
todo esto parece pasos for a satanic ritual,1,matcher,3,FALSE,NA,27
the fancy ice skater,2,describer,1,FALSE,NA,28
el que tiene un dress tiene solo una brazo hacia arriba,2,describer,1,FALSE,NA,29
el que no tiene piernas que se cree que es pájaro volando,2,describer,1,FALSE,NA,30
the one who is depressed,2,describer,1,FALSE,NA,31
tiene un brazo levantado,2,describer,1,FALSE,NA,32
the one who looks like is vouging,2,describer,2,FALSE,NA,32
but it is okay,1,matcher,3,FALSE,NA,32
estos headphones no funcionan,1,matcher,4,TRUE,NA,32
tiene los brazos bien cerca de la cara,2,describer,1,FALSE,NA,33
el que está quieto se parece que quiere dar un abrazo,2,describer,2,FALSE,NA,33
the fetus que nunca va a nacer,2,describer,1,FALSE,NA,34
qué malo,1,matcher,1,TRUE,NA,35
the one who has a long dress que se parece que está kinda brincando,2,describer,2,FALSE,NA,35
the one who is also dancing pero tiene los dos brazos,2,describer,1,FALSE,NA,36
the zombie,1,describer,1,FALSE,NA,37
el sin piernas,1,describer,1,FALSE,NA,38
el que parece que solo tiene una mano,1,describer,1,FALSE,NA,39
specific,2,matcher,2,TRUE,NA,39
que parece que está getting down and gritty,1,describer,3,FALSE,NA,39
more specific please,2,matcher,4,TRUE,NA,39
el cornudo,1,describer,1,FALSE,NA,40
he is sad,1,describer,2,FALSE,NA,40
y cabizbajo,1,describer,3,FALSE,NA,40
parece un conejo,1,describer,4,FALSE,NA,40
el que está sad,1,describer,1,FALSE,NA,41
me llegaron los mensajes tarde,2,matcher,2,TRUE,NA,41
sin cuernos,1,describer,3,FALSE,NA,41
tranquila,1,describer,4,TRUE,NA,41
el cura parece que he is holding the bible,1,describer,1,FALSE,NA,42
facing la izquierda,1,describer,2,FALSE,NA,42
our long lost son,1,describer,1,FALSE,NA,43
el feto,1,describer,2,FALSE,NA,43
el que either tiene unas mega manos o las mangas bien anchas,1,describer,1,FALSE,NA,44
que está bailando,1,describer,2,FALSE,NA,44
y arrodillado,1,describer,3,FALSE,NA,44
the ice skater,1,describer,1,FALSE,NA,45
y la pata alzada,1,describer,2,FALSE,NA,45
tiene las dos manos,1,describer,3,FALSE,NA,45
okay,1,describer,4,TRUE,NA,45
oh my god he looks like he is giving a hand job to a really small man,1,describer,1,FALSE,NA,46
el que está a punto de arrodillarse,1,describer,2,FALSE,NA,46
Ámbar bailando,1,describer,1,FALSE,NA,47
y tiene alas,1,describer,1,FALSE,NA,48
tiene las manos facing para la derecha,1,describer,2,FALSE,NA,48
el arrodillado,1,describer,3,FALSE,NA,48
el que está en la depresión,2,describer,1,FALSE,NA,49
Ámbar,2,describer,1,FALSE,NA,50
dancing,2,describer,2,FALSE,NA,50
el que está medio arrodillado pero tiene los brazos uno hacia el frente y el otro hacia atrás,2,describer,1,FALSE,NA,51
this is fun,1,matcher,1,TRUE,NA,52
conejo,2,describer,2,FALSE,NA,52
the bunny,2,describer,3,FALSE,NA,52
