selected_image,player_id,time_stamp,trial_id
L,1,NA,1
K,1,NA,2
I,1,NA,3
F,1,NA,4
timed_out,1,NA,5
timed_out,1,NA,6
D,1,NA,7
I,1,NA,8
L,1,NA,9
H,1,NA,10
I,1,NA,11
C,1,NA,12
E,2,NA,13
G,2,NA,14
H,2,NA,15
G,2,NA,16
C,2,NA,17
L,2,NA,18
I,2,NA,19
B,2,NA,20
A,2,NA,21
F,2,NA,22
K,2,NA,23
K,2,NA,24
A,1,NA,25
L,1,NA,26
D,1,NA,27
I,1,NA,28
J,1,NA,29
C,1,NA,30
F,1,NA,31
J,1,NA,32
C,1,NA,33
H,1,NA,34
G,1,NA,35
D,1,NA,36
A,2,NA,37
C,2,NA,38
L,2,NA,39
F,2,NA,40
F,2,NA,41
D,2,NA,42
H,2,NA,43
K,2,NA,44
I,2,NA,45
L,2,NA,46
G,2,NA,47
K,2,NA,48
F,1,NA,49
G,1,NA,50
B,1,NA,51
E,1,NA,52
K,1,NA,53
I,1,NA,54
J,1,NA,55
H,1,NA,56
C,1,NA,57
D,1,NA,58
L,1,NA,59
A,1,NA,60
F,3,NA,61
timed_out,3,NA,62
E,3,NA,63
C,3,NA,64
H,3,NA,65
D,3,NA,66
timed_out,3,NA,67
F,3,NA,68
B,3,NA,69
I,3,NA,70
K,3,NA,71
B,3,NA,72
A,4,NA,73
I,4,NA,74
G,4,NA,75
K,4,NA,76
E,4,NA,77
G,4,NA,78
K,4,NA,79
F,4,NA,80
C,4,NA,81
A,4,NA,82
B,4,NA,83
D,4,NA,84
B,3,NA,85
timed_out,3,NA,86
C,3,NA,87
H,3,NA,88
F,3,NA,89
E,3,NA,90
D,3,NA,91
B,3,NA,92
timed_out,3,NA,93
J,3,NA,94
E,3,NA,95
A,3,NA,96
G,4,NA,97
B,4,NA,98
C,4,NA,99
J,4,NA,100
D,4,NA,101
K,4,NA,102
I,4,NA,103
D,4,NA,104
F,4,NA,105
A,4,NA,106
H,4,NA,107
E,4,NA,108
A,3,NA,109
F,3,NA,110
B,3,NA,111
K,3,NA,112
G,3,NA,113
J,3,NA,114
E,3,NA,115
C,3,NA,116
H,3,NA,117
B,3,NA,118
I,3,NA,119
D,3,NA,120
timed_out,5,NA,121
timed_out,5,NA,122
H,5,NA,123
timed_out,5,NA,124
L,5,NA,125
D,5,NA,126
F,5,NA,127
timed_out,5,NA,128
A,5,NA,129
E,5,NA,130
