choice_id,player_id,time_stamp,trial_id
C,1,65.431,1
E,1,117.409,2
H,1,75.605,3
B,1,108.059,4
K,1,69.321,5
L,1,77.068,6
A,1,93,7
D,1,66.162,8
F,1,77.001,9
I,1,93.753,10
E,1,91.645,11
J,1,150.169,12
K,2,43.254,13
L,2,25.493,14
C,2,24.292,15
D,2,28.318,16
E,2,13.221,17
A,2,27.462,18
J,2,25.97,19
H,2,29.549,20
G,2,18.405,21
B,2,25.391,22
I,2,42.981,23
F,2,20.015,24
H,1,37.572,25
B,1,36.278,26
I,1,28.874,27
E,1,19.169,28
L,1,26.971,29
D,1,18.528,30
F,1,29.316,31
C,1,22.929,32
K,1,19.77,33
J,1,20.717,34
G,1,14.145,35
A,1,25.323,36
F,2,17.545,37
G,2,10.557,38
B,2,22.481,39
E,2,7.878,40
A,2,25.522,41
K,2,21.258,42
J,2,22.495,43
D,2,21.49,44
I,2,21.555,45
H,2,12.862,46
C,2,14.193,47
L,2,13.153,48
D,1,22.027,49
A,1,29.352,50
G,1,17.996,51
J,1,21.87,52
A,1,41.359,53
C,1,14.146,54
E,1,9.096,55
F,1,12.891,56
B,1,21.818,57
H,1,12.622,58
D,1,24.174,59
K,1,22.571,60
L,2,12.904,61
C,2,11.016,62
A,2,27.822,63
I,2,41.387,64
D,2,31.526,65
B,2,13.111,66
F,2,47.743,67
G,2,9.192,68
K,2,15.295,69
J,2,18.579,70
H,2,10.759,71
E,2,7.095,72
K,3,96.471,73
L,4,73.094,73
L,5,103.123,73
K,6,77.13,73
G,7,77.926,73
F,3,81.266,74
F,4,90.045,74
F,5,90.134,74
F,6,85.107,74
F,7,92.069,74
C,3,58.576,75
C,4,54.34,75
C,5,88.229,75
C,6,45.275,75
C,7,45.447,75
D,3,63.226,76
D,4,60.182,76
D,5,51.036,76
D,6,43.443,76
D,7,47.375,76
E,3,57.905,77
E,4,78.925,77
E,5,58.875,77
E,6,51.242,77
E,7,50.148,77
L,3,79.903,78
L,4,73.108,78
L,5,66.824,78
L,6,60.445,78
L,7,62.091,78
B,3,96.936,79
A,4,86.794,79
B,5,134.154,79
B,6,75.938,79
G,7,106.659,79
A,3,76.085,80
A,4,69.335,80
A,5,69.278,80
I,6,48.943,80
A,7,54.835,80
G,3,136.197,81
H,4,133.03,81
G,5,126.025,81
G,6,135.573,81
H,7,95.381,81
H,3,104.978,82
J,4,69.306,82
J,5,97.816,82
J,6,62.59,82
J,7,70.468,82
H,3,67.372,83
H,4,45.595,83
H,5,69.936,83
H,6,71.422,83
H,7,40.808,83
I,3,35.849,84
I,4,43.986,84
I,5,31.093,84
I,6,27.229,84
I,7,32.707,84
D,3,46.061,85
D,4,64.282,85
D,5,33.263,85
D,6,42.303,85
D,7,38.905,85
H,3,37.319,86
J,4,38.653,86
H,5,57.245,86
J,6,24.099,86
H,7,26.543,86
K,3,41.02,87
L,4,32.569,87
K,5,25.376,87
K,6,25.691,87
K,7,29.579,87
G,3,48.102,88
B,4,45.339,88
G,5,33.247,88
G,6,41.528,88
G,7,46.332,88
E,3,29.087,89
E,4,32.727,89
E,5,25.076,89
E,6,25.334,89
E,7,27.107,89
C,3,28.722,90
C,4,32.994,90
C,5,26.831,90
C,6,18.78,90
C,7,21.784,90
L,3,42.155,91
L,4,42.386,91
L,5,33.984,91
L,6,31.569,91
L,7,34.383,91
F,3,19.564,92
F,4,22.731,92
F,5,22.367,92
F,6,16.967,92
F,7,17.067,92
A,3,47.713,93
A,4,40.339,93
A,5,27.324,93
A,6,27.224,93
A,7,28.811,93
B,3,79.831,94
B,4,85.715,94
B,5,92.059,94
B,6,61.845,94
B,7,63.307,94
J,3,24.55,95
J,4,28.464,95
J,5,19.709,95
J,6,19.712,95
J,7,23.104,95
I,3,25.541,96
I,4,29.054,96
I,5,27.657,96
I,6,23.828,96
I,7,30.697,96
C,3,20.852,97
C,4,23.918,97
C,5,17.694,97
C,6,18.122,97
C,7,17.745,97
B,3,47.862,98
