age,gender,native_language,race,education,player_id
32,female,English,White,bachelors,1
47,male,English,White,bachelors,2
31,female,English,White,bachelors,3
32,female,English,White,high-school,4
28,male,English,Asian,bachelors,5
33,male,English,White,bachelors,6
40,female,English,White,bachelors,7
54,male,English,White,some-college,8
28,nonbinary,English,White,bachelors,9
43,female,English,White,bachelors,10
29,male,English,White,advanced-degree,11
27,male,English,White,bachelors,12
53,male,English,White,bachelors,13
33,female,English,Black,advanced-degree,14
31,male,English,White,bachelors,15
42,male,English,White,advanced-degree,16
24,female,English,White,some-college,17
57,female,English,White,bachelors,18
38,male,English,White,bachelors,19
58,male,English,White,some-college,20
35,male,English,White,advanced-degree,21
43,male,English,White,high-school,22
25,male,English,White,bachelors,23
54,female,English,White,advanced-degree,24
46,female,English,White,high-school,25
51,female,English,White,advanced-degree,26
49,male,English,White,bachelors,27
20,male,English,White,some-college,28
20,female,Zulu,Black,some-college,29
49,male,English,White,advanced-degree,30
31,female,English,White,bachelors,31
31,female,English,White,advanced-degree,32
23,female,English,Black,high-school,33
30,male,English,White Hispanic,less-than-high-school,34
49,male,English,White,advanced-degree,35
26,female,English,White,bachelors,36
55,female,English,White Asian,bachelors,37
30,male,English,Black Asian,high-school,38
32,male,English,Asian,high-school,39
46,female,English,White,some-college,40
33,female,English,White,some-college,41
35,female,English,White,some-college,42
29,female,English,Asian,bachelors,43
72,male,English,White,advanced-degree,44
20,female,English,Black,high-school,45
25,male,English,Asian,bachelors,46
38,male,English,White,bachelors,47
21,male,English,White Asian,bachelors,48
25,female,English,White,bachelors,49
31,male,English,White,bachelors,50
38,male,English,White,high-school,51
31,female,English,White,bachelors,52
32,male,English,White,bachelors,53
33,female,English,White,some-college,54
26,male,English,White,bachelors,55
40,male,English,White,bachelors,56
23,male,English,Black,some-college,57
19,female,English and Sesotho,Black,some-college,58
38,male,English,White,advanced-degree,59
26,male,English,Black,bachelors,60
34,male,English,White,some-college,61
50,male,English,White,bachelors,62
22,female,Tswana,Black,high-school,63
33,male,English,White,bachelors,64
40,male,English,White,bachelors,65
45,male,English,White,bachelors,66
25,female,English,White,advanced-degree,67
19,female,English,Asian,high-school,68
19,female,English,White,some-college,69
19,female,English,White,some-college,70
NA,NA,NA,NA,NA,71
NA,NA,NA,NA,NA,72
NA,NA,NA,NA,NA,73
49,female,English,White,some-college,74
54,male,English,White,some-college,75
40,male,English,White,bachelors,76
42,male,English,White,some-college,77
28,female,English,Asian,high-school,78
31,male,English,White Black Asian Native American Pacific Islander Hispanic,some-college,79
32,male,English,Asian,bachelors,80
32,female,English,White,high-school,81
67,male,English,White,some-college,82
28,female,English,White,bachelors,83
NA,NA,NA,NA,NA,84
52,female,English,Black,bachelors,85
36,female,English,White,advanced-degree,86
35,male,English,White,bachelors,87
37,male,English,White,some-college,88
68,female,English,White,high-school,89
29,male,English,White,bachelors,90
30,female,English,White,bachelors,91
30,male,English,White,high-school,92
28,male,English,White,advanced-degree,93
22,female,English,White,advanced-degree,94
28,male,English,White,high-school,95
NA,NA,NA,NA,NA,96
NA,NA,NA,NA,NA,97
NA,NA,NA,NA,NA,98
NA,NA,NA,NA,NA,99
NA,NA,NA,NA,NA,100
37,male,English,Hispanic,some-college,101
42,female,English,White,some-college,102
37,female,English,White,some-college,103
50,female,English,White,high-school,104
NA,NA,NA,NA,NA,105
67,female,English,White,bachelors,106
23,male,English,White,high-school,107
29,female,English,White,bachelors,108
30,male,English,White,bachelors,109
18,male,"English, UK",White,some-college,110
20,male,English,Black,some-college,111
29,male,English,White,bachelors,112
33,female,English,Black,advanced-degree,113
27,female,English,Black,advanced-degree,114
43,male,English,White,bachelors,115
18,male,English,White,high-school,116
60,female,English,White,bachelors,117
25,female,English,White,some-college,118
56,female,English,White,advanced-degree,119
21,female,English,Asian,bachelors,120
19,male,English,White,some-college,121
20,male,English,White,some-college,122
22,female,English,Asian Pacific Islander,bachelors,123
30,male,English,White,bachelors,124
51,female,English,White,some-college,125
61,male,English,White,some-college,126
44,male,English,White,advanced-degree,127
32,male,English,White,some-college,128
38,male,English,White,some-college,129
35,NA,English,White,some-college,130
40,male,English,White,bachelors,131
NA,NA,NA,NA,NA,132
56,male,English,White,high-school,133
31,female,English,White,some-college,134
28,male,English,White,high-school,135
21,female,English,White,bachelors,136
26,male,English,White,bachelors,137
58,female,English,White,advanced-degree,138
19,male,English,White Asian,some-college,139
32,female,English,Black,bachelors,140
59,male,English,Black,bachelors,141
62,male,English,White,some-college,142
60,male,English,White,bachelors,143
24,female,English,White,some-college,144
20,male,English,Asian,some-college,145
49,female,English,White,bachelors,146
40,female,English,White,bachelors,147
18,male,English,White,high-school,148
41,female,English,White,bachelors,149
30,female,English,White,bachelors,150
41,male,English,White,some-college,151
41,male,English,White,bachelors,152
27,male,English,White,bachelors,153
NA,NA,NA,NA,NA,154
22,male,English,White,some-college,155
28,male,English,White,advanced-degree,156
22,male,English,White,high-school,157
23,female,English,Asian,bachelors,158
30,male,English,White,bachelors,159
43,male,English,White,some-college,160
31,male,English,White,bachelors,161
37,NA,NA,White,bachelors,162
43,female,English,White,advanced-degree,163
22,male,English,White,bachelors,164
38,male,English,White,less-than-high-school,165
35,female,Dutch,White,high-school,166
22,male,English,White,some-college,167
24,male,NA,White,advanced-degree,168
28,female,English,Black,some-college,169
50,female,English,White,bachelors,170
44,male,English,White,bachelors,171
37,female,English,White,some-college,172
68,male,English,White,bachelors,173
42,female,English,White Native American,bachelors,174
54,female,English,White,some-college,175
39,female,shona,Black,bachelors,176
23,male,English,White,some-college,177
41,male,English,White,bachelors,178
NA,NA,NA,NA,NA,179
41,female,English (UK),White,high-school,180
59,male,English,White,bachelors,181
NA,NA,NA,NA,NA,182
35,female,English,White,high-school,183
44,male,English,White,some-college,184
53,male,English,White,bachelors,185
29,male,English,Black,bachelors,186
36,male,English,White,some-college,187
34,female,English,White,high-school,188
38,female,English,Asian,bachelors,189
43,male,English,White,bachelors,190
39,female,English,White,some-college,191
61,female,English,White,bachelors,192
38,female,English,White,bachelors,193
57,female,US English and French,White,bachelors,194
39,male,English,Asian,bachelors,195
37,female,English,White Asian,advanced-degree,196
34,male,English,White,high-school,197
24,nonbinary,English,White,some-college,198
55,female,English,White,high-school,199
33,male,English,White,bachelors,200
24,female,English,White,bachelors,201
58,male,English,White Pacific Islander,bachelors,202
31,female,English,White Native American,some-college,203
34,female,English,White,bachelors,204
24,female,English,Asian,bachelors,205
64,male,English,White,high-school,206
57,NA,NA,NA,NA,207
33,female,English,White,high-school,208
35,female,English,White,bachelors,209
56,male,English,White,bachelors,210
30,female,English,White,bachelors,211
27,male,English,White,bachelors,212
39,female,English,White,high-school,213
37,male,English,White,some-college,214
31,male,English,White,high-school,215
41,female,English,White,bachelors,216
