room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,hold;walk,hold,1,1,1,NA,NA,match,1,1,2,1,1
1,swim;jump,swim,1,2,1,NA,NA,match,1,2,1,2,1
1,walk;swim,walk,1,3,1,NA,NA,match,1,1,2,3,1
1,jump;hold,jump,1,4,1,NA,NA,match,1,2,1,4,1
1,swim;hold,swim,1,5,2,NA,NA,match,1,1,2,5,1
1,walk;hold,walk,1,6,2,NA,NA,match,1,2,1,6,1
1,jump;hold,jump,1,7,2,NA,NA,match,1,1,2,7,1
1,hold;walk,hold,1,8,2,NA,NA,match,1,2,1,8,1
1,jump;hold,jump,1,9,3,NA,NA,match,1,1,2,9,1
1,walk;hold,walk,1,10,3,NA,NA,match,1,2,1,10,1
1,hold;swim,hold,1,11,3,NA,NA,match,1,1,2,11,1
1,swim;hold,swim,1,12,3,NA,NA,match,1,2,1,12,1
1,walk;swim,walk,1,1,1,NA,NA,match,1,3,208,13,2
1,swim;jump,swim,1,3,1,NA,NA,match,1,3,208,14,2
1,jump;swim,jump,1,5,2,NA,NA,match,1,3,208,15,2
1,swim;walk,swim,1,6,2,NA,NA,match,1,208,3,16,2
1,walk;jump,walk,1,7,2,NA,NA,match,1,3,208,17,2
1,hold;swim,hold,1,8,2,NA,NA,match,1,208,3,18,2
1,swim;hold,swim,1,9,3,NA,NA,match,1,3,208,19,2
1,swim;hold,swim,1,1,1,NA,NA,match,1,4,5,20,3
1,jump;swim,jump,1,3,1,NA,NA,match,1,4,5,21,3
1,walk;swim,walk,1,4,1,NA,NA,match,1,5,4,22,3
1,walk;swim,walk,1,5,2,NA,NA,match,1,4,5,23,3
1,jump;hold,jump,1,6,2,NA,NA,match,1,5,4,24,3
1,swim;jump,swim,1,7,2,NA,NA,match,1,4,5,25,3
1,jump;hold,jump,1,9,3,NA,NA,match,1,4,5,26,3
1,walk;swim,walk,1,10,3,NA,NA,match,1,5,4,27,3
1,hold;walk,hold,1,11,3,NA,NA,match,1,4,5,28,3
1,swim;jump,swim,1,12,3,NA,NA,match,1,5,4,29,3
1,swim;jump,swim,1,1,1,NA,NA,match,1,6,7,30,4
1,jump;swim,jump,1,2,1,NA,NA,match,1,7,6,31,4
1,walk;jump,walk,1,3,1,NA,NA,match,1,6,7,32,4
1,hold;walk,hold,1,4,1,NA,NA,match,1,7,6,33,4
1,jump;hold,jump,1,5,2,NA,NA,match,1,6,7,34,4
1,jump;walk,jump,1,1,1,NA,NA,match,1,8,9,35,5
1,swim;hold,swim,1,2,1,NA,NA,match,1,9,8,36,5
1,hold;walk,hold,1,3,1,NA,NA,match,1,8,9,37,5
1,walk;jump,walk,1,4,1,NA,NA,match,1,9,8,38,5
1,jump;swim,jump,1,5,2,NA,NA,match,1,8,9,39,5
1,walk;jump,walk,1,6,2,NA,NA,match,1,9,8,40,5
1,swim;hold,swim,1,7,2,NA,NA,match,1,8,9,41,5
1,hold;walk,hold,1,8,2,NA,NA,match,1,9,8,42,5
1,jump;hold,jump,1,9,3,NA,NA,match,1,8,9,43,5
1,walk;jump,walk,1,10,3,NA,NA,match,1,9,8,44,5
1,hold;jump,hold,1,11,3,NA,NA,match,1,8,9,45,5
1,swim;jump,swim,1,12,3,NA,NA,match,1,9,8,46,5
1,hold;walk,hold,1,1,1,NA,NA,match,1,10,11,47,6
1,walk;swim,walk,1,2,1,NA,NA,match,1,11,10,48,6
1,swim;hold,swim,1,3,1,NA,NA,match,1,10,11,49,6
1,jump;swim,jump,1,4,1,NA,NA,match,1,11,10,50,6
1,jump;swim,jump,1,5,2,NA,NA,match,1,10,11,51,6
1,swim;jump,swim,1,6,2,NA,NA,match,1,11,10,52,6
1,hold;swim,hold,1,7,2,NA,NA,match,1,10,11,53,6
1,walk;jump,walk,1,8,2,NA,NA,match,1,11,10,54,6
1,hold;swim,hold,1,9,3,NA,NA,match,1,10,11,55,6
1,walk;swim,walk,1,10,3,NA,NA,match,1,11,10,56,6
1,swim;jump,swim,1,11,3,NA,NA,match,1,10,11,57,6
