selected_image,player_id,time_stamp,trial_id
hold,2,30,1
swim,1,13,2
walk,2,12,3
jump,1,12,4
swim,2,15,5
walk,1,11,6
jump,2,15,7
hold,1,14,8
jump,2,9,9
walk,1,7,10
hold,2,20,11
swim,1,6,12
walk,93,20,13
hold,3,76,1490
jump,93,136,14
jump,3,35,1491
jump,93,46,15
swim,3,96,16
walk,93,41,17
hold,3,40,18
hold,93,59,19
hold,5,31,20
swim,4,24,1492
jump,5,64,21
walk,4,49,22
walk,5,12,23
jump,4,18,24
swim,5,19,25
jump,4,9,1493
jump,5,31,26
walk,4,6,27
hold,5,30,28
jump,4,31,29
swim,7,147,30
swim,6,70,31
walk,7,34,32
hold,6,25,33
jump,7,55,34
walk,9,70,35
swim,8,17,36
hold,9,43,37
jump,8,11,38
swim,9,71,39
walk,8,18,40
swim,9,30,41
hold,8,19,42
jump,9,26,43
walk,8,14,44
hold,9,23,45
swim,8,11,46
hold,11,76,47
walk,10,36,48
hold,11,25,49
jump,10,26,50
jump,11,7,51
swim,10,27,52
hold,11,58,53
walk,10,28,54
hold,11,18,55
walk,10,33,56
swim,11,23,57
jump,10,28,58
hold,13,36,59
jump,12,7,1494
walk,13,22,60
jump,12,45,61
walk,13,27,62
hold,12,51,63
swim,13,14,64
walk,12,55,65
hold,13,20,66
walk,12,27,67
jump,13,52,68
jump,12,35,69
walk,15,23,70
hold,14,15,71
jump,15,10,72
swim,14,58,73
hold,15,7,74
jump,14,14,75
hold,15,5,76
walk,14,9,77
jump,15,29,78
swim,14,22,79
swim,15,7,80
jump,14,22,81
walk,17,34,82
walk,16,18,83
walk,17,11,84
swim,16,33,85
hold,17,20,86
walk,16,9,87
swim,17,14,88
walk,16,13,89
jump,17,35,90
swim,16,8,91
hold,17,8,92
walk,16,5,93
swim,19,12,94
swim,18,13,95
jump,19,75,96
walk,18,14,97
jump,19,65,98
hold,18,15,99
swim,19,11,100
hold,18,18,101
jump,19,47,102
swim,18,10,103
swim,19,26,104
jump,18,19,105
jump,21,26,106
walk,20,62,107
hold,21,40,108
hold,20,30,109
walk,21,31,110
jump,20,26,111
hold,21,13,112
swim,20,17,113
jump,21,10,114
walk,20,12,115
swim,21,10,116
hold,20,14,117
hold,23,21,118
hold,22,17,119
jump,23,18,120
swim,22,15,121
walk,23,19,122
hold,22,17,123
swim,23,11,124
jump,22,12,125
hold,23,14,126
swim,22,15,127
walk,23,11,128
jump,22,9,129
swim,25,36,130
walk,24,19,131
hold,24,17,132
hold,25,11,133
swim,24,11,134
walk,25,28,135
swim,24,11,136
walk,25,108,137
jump,24,12,138
hold,25,4,139
swim,24,8,140
walk,27,11,141
swim,26,14,142
hold,27,14,143
jump,26,23,144
jump,27,14,145
swim,26,8,146
hold,27,10,147
walk,26,10,148
jump,27,9,149
hold,26,8,150
swim,27,11,151
walk,26,6,152
hold,29,17,153
swim,28,37,154
jump,29,10,155
walk,28,11,156
jump,29,17,157
swim,28,21,158
walk,29,7,159
hold,28,17,160
walk,29,6,161
swim,28,16,162
jump,29,7,163
hold,28,11,164
jump,31,16,165
walk,30,16,166
walk,31,13,167
hold,30,54,168
jump,31,12,169
swim,30,16,170
jump,31,16,171
walk,30,34,172
jump,31,9,173
swim,30,18,174
walk,31,6,175
hold,30,12,176
hold,33,28,177
jump,32,28,178
walk,33,33,179
swim,32,13,180
swim,33,53,1495
swim,35,13,181
walk,34,144,182
hold,35,22,183
walk,34,10,184
hold,35,13,185
swim,34,46,186
swim,35,15,187
hold,34,45,188
swim,35,7,189
swim,34,12,190
walk,35,5,191
jump,34,18,192
swim,36,32,193
hold,37,24,194
jump,36,78,195
walk,37,13,196
walk,36,20,197
hold,37,21,198
hold,36,40,199
swim,37,24,200
hold,36,20,201
swim,37,11,202
walk,36,23,203
hold,39,14,204
walk,38,14,205
jump,39,13,206
swim,38,23,207
walk,39,13,208
swim,38,10,209
swim,39,11,210
hold,38,7,211
walk,39,11,212
jump,38,7,213
swim,39,11,214
hold,38,8,215
swim,41,63,216
jump,40,47,217
hold,41,18,218
walk,40,11,219
walk,41,8,220
jump,40,12,221
swim,41,9,222
hold,40,11,223
walk,41,7,224
swim,40,20,225
hold,41,5,226
hold,40,13,227
hold,43,9,228
jump,42,30,229
walk,43,6,230
swim,42,8,231
hold,43,13,232
jump,42,36,233
swim,43,5,234
walk,42,8,235
swim,43,8,236
hold,42,10,237
jump,43,9,238
walk,42,8,239
swim,45,29,240
jump,44,13,241
jump,45,25,242
walk,44,8,243
walk,45,11,244
jump,44,20,245
jump,45,19,246
hold,44,14,247
hold,45,14,248
swim,44,12,249
jump,45,25,250
walk,44,14,251
jump,47,26,252
swim,46,0,1496
walk,47,19,253
swim,46,14,254
swim,47,36,255
jump,46,27,256
walk,47,24,257
hold,46,15,258
hold,47,34,259
jump,46,14,260
hold,47,37,261
swim,46,13,262
hold,48,18,1497
swim,49,36,263
walk,48,12,264
jump,49,14,265
swim,48,9,266
jump,49,11,267
walk,48,8,268
hold,49,71,269
walk,48,11,270
jump,49,10,271
swim,48,6,272
hold,49,11,273
swim,51,18,274
walk,50,9,275
swim,51,23,276
walk,53,44,277
swim,52,14,278
hold,53,21,279
walk,52,8,280
hold,53,21,281
swim,52,10,282
walk,53,26,283
hold,52,12,284
swim,53,10,285
jump,52,23,286
walk,53,19,287
hold,52,6,288
swim,55,19,289
walk,54,14,290
hold,55,11,1498
jump,54,15,291
swim,55,7,292
walk,54,10,293
hold,55,10,294
walk,54,15,295
jump,55,34,296
swim,54,8,297
walk,55,15,298
hold,54,7,299
hold,55,5,300
swim,54,6,301
walk,55,15,302
jump,54,17,303
hold,57,154,304
walk,56,18,305
jump,57,156,306
swim,56,21,307
walk,57,11,308
jump,56,53,309
hold,57,21,310
swim,56,12,311
hold,57,14,312
swim,56,40,313
hold,57,23,314
walk,56,10,315
swim,57,11,316
walk,56,9,317
jump,57,16,318
hold,56,21,319
hold,59,13,320
swim,58,56,321
walk,59,31,322
jump,58,41,323
hold,59,23,324
walk,58,159,325
jump,59,34,326
swim,58,52,327
jump,59,50,328
swim,58,161,329
jump,59,33,330
swim,58,93,331
walk,59,54,332
jump,58,53,333
hold,59,42,334
swim,58,46,335
hold,61,50,336
swim,60,40,337
hold,61,14,338
swim,60,28,339
jump,61,18,340
jump,60,37,341
swim,61,13,342
jump,60,17,343
jump,61,12,344
swim,60,7,345
walk,61,7,346
hold,60,10,347
hold,61,8,348
jump,60,6,349
swim,61,6,350
swim,60,8,351
hold,63,50,352
jump,62,23,353
swim,63,11,354
walk,62,8,355
swim,63,24,356
swim,62,10,357
hold,63,12,358
jump,62,20,359
swim,63,10,360
hold,62,8,361
jump,63,20,362
hold,62,9,363
walk,63,8,364
hold,62,12,365
swim,63,30,366
jump,62,13,367
swim,65,37,368
jump,64,18,369
swim,65,11,370
walk,64,6,371
hold,65,6,372
swim,64,7,373
walk,65,6,374
jump,64,15,375
swim,65,6,376
walk,64,5,377
hold,65,6,378
jump,64,6,379
jump,65,7,380
walk,64,4,381
swim,65,8,382
hold,64,9,383
walk,67,14,384
jump,66,72,385
swim,67,11,386
hold,66,17,387
hold,67,12,388
walk,66,10,389
swim,67,11,390
jump,66,11,391
hold,67,19,392
walk,66,10,393
swim,67,15,394
jump,66,11,395
walk,67,38,396
hold,66,17,397
swim,67,8,398
jump,66,9,399
walk,69,24,400
jump,68,24,401
jump,69,54,402
walk,68,11,403
hold,69,12,404
swim,68,20,405
jump,69,15,406
walk,68,11,407
swim,69,15,408
walk,68,7,409
jump,69,37,410
hold,68,10,411
hold,69,18,412
swim,68,7,413
walk,69,10,414
walk,68,8,415
hold,70,15,1499
jump,71,17,416
swim,70,14,417
walk,71,54,418
swim,70,6,419
walk,71,7,420
hold,70,12,421
jump,71,11,422
hold,70,8,423
swim,71,9,424
jump,70,34,425
jump,71,35,426
swim,70,13,427
jump,71,8,428
walk,70,22,429
hold,71,14,430
hold,73,26,431
jump,72,13,432
walk,73,9,433
swim,72,7,434
jump,73,11,435
walk,72,6,436
hold,73,10,437
swim,72,10,438
hold,73,9,439
jump,72,17,440
swim,73,11,441
walk,72,12,442
jump,73,15,443
swim,72,7,444
hold,73,10,445
walk,72,53,446
walk,75,4,447
swim,74,8,448
jump,75,23,449
walk,74,10,450
jump,75,10,451
