text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"Err, a tree. It’s a got a triangle sticking out of the end, and… and",1,describer,1,NA,NA,1
"it looks like er a foot on the bottom, and like two spikey things sticking",1,describer,2,NA,NA,1
"out at the left, and… like a diamond head.",1,describer,3,NA,NA,1
Have you got it?,1,describer,4,NA,NA,1
"Erm, I think so",2,matcher,5,NA,NA,1
It looks like it’s got bunny ears and it looks like its going to lay,1,describer,1,NA,NA,2
down and an arm that looks like a triangle.,1,describer,2,NA,NA,2
"And it’s body’s going diagonal and then straight, and it’s got like a",1,describer,3,NA,NA,2
point at the bit.,1,describer,4,NA,NA,2
Have you got that one?,1,describer,5,NA,NA,2
I think so,2,matcher,6,NA,NA,2
"It looks like a man walking with a flag and, on his shoulder. And",1,describer,1,NA,NA,3
he’s got one foot up and one foot down and er and it’s like on the back of,1,describer,2,NA,NA,3
his shoulder.,1,describer,3,NA,NA,3
Yeah I think I’ve got it,2,matcher,4,NA,NA,3
It’s like a broken wall with a diamond on the top. You got it?,1,describer,1,NA,NA,4
yeah I’ve got it.,2,matcher,2,NA,NA,4
A man sitting down with a diamond head and…,1,describer,1,NA,NA,5
Everything’s got a square head or a diamond head,2,matcher,2,NA,NA,5
yeah.,1,describer,3,NA,NA,5
Yeah I’ve got that,2,matcher,4,NA,NA,5
It looks like someone’s flapping their wings and skidding on the,1,describer,1,NA,NA,6
"floor with a diamond head again, with a triangle sticking out with a arm on",1,describer,2,NA,NA,6
the left sticking out.,1,describer,3,NA,NA,6
Yeah she’s got it now,3,matcher,4,NA,NA,6
A man jumping up with his arms in the air. You got it?,1,describer,1,NA,NA,7
Yeah. Last one,2,matcher,2,NA,NA,7
A man putting his hand out with a diamond head again. It looks like,1,describer,1,NA,NA,8
long sleeves.,1,describer,2,NA,NA,8
Yeah got that.,2,matcher,3,NA,NA,8
"The man jumping up in the air, with his hands up in the air. You got",1,describer,1,NA,NA,9
that?,1,describer,2,NA,NA,9
Yeah I got that.,2,matcher,3,NA,NA,9
It looks like a cracked wall with a triangle on. Yeah a diamond on,1,describer,1,NA,NA,10
top. Got it?,1,describer,2,NA,NA,10
Yeah I think I do.,2,matcher,3,NA,NA,10
"Erm, a man with arms sticking out with long sleeves and a long",1,describer,1,NA,NA,11
"shirt, with a diamond on top.",1,describer,2,NA,NA,11
Yeah I think I’ve got that.,2,matcher,3,NA,NA,11
"Number 4, erm, it’s got a square, head, a square ear on the left.",1,describer,1,NA,NA,12
And a triangle on the other side. Pointing downwards.,1,describer,2,NA,NA,12
So is it…,2,matcher,3,NA,NA,12
And it’s sitting down with an arm like a triangle.,1,describer,4,NA,NA,12
Yeah yeah I think I got that. Yeah.,2,matcher,5,NA,NA,12
"Something like a lady bouncing up in the air, with a triangle on her",1,describer,1,NA,NA,13
"head, no a diamond and a triangle sticking out and the other arm sticking",1,describer,2,NA,NA,13
"out with… and at the bottom is a foot, on the left. Have you got that one?",1,describer,3,NA,NA,13
Yeah yeah.,2,matcher,4,NA,NA,13
"Erm, like a man running with like… or balancing with one foot in the",1,describer,1,NA,NA,14
air and with arms out and like a diamond head. You got that?,1,describer,2,NA,NA,14
Like a tree.,1,describer,3,NA,NA,14
Like a tree?,2,matcher,4,NA,NA,14
