room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,A;B;C;D;G;H;I;J,I,1,1,1,FALSE,NA,order,1,1,2,1,1
1,A;B;C;D;G;H;I;J,A,1,2,1,FALSE,NA,order,1,1,2,2,1
1,A;B;C;D;G;H;I;J,G,1,3,1,FALSE,NA,order,1,1,2,3,1
1,A;B;C;D;G;H;I;J,J,1,4,1,FALSE,NA,order,1,1,2,4,1
1,A;B;C;D;G;H;I;J,H,1,5,1,FALSE,NA,order,1,1,2,5,1
1,A;B;C;D;G;H;I;J,C,1,6,1,FALSE,NA,order,1,1,3,6,1
1,A;B;C;D;G;H;I;J,B,1,7,1,FALSE,NA,order,1,1,2,7,1
1,A;B;C;D;G;H;I;J,D,1,8,1,FALSE,NA,order,1,1,2,8,1
1,A;B;C;D;G;H;I;J,C,1,9,2,FALSE,NA,order,1,1,2,9,1
1,A;B;C;D;G;H;I;J,J,1,10,2,FALSE,NA,order,1,1,2,10,1
1,A;B;C;D;G;H;I;J,D,1,11,2,FALSE,NA,order,1,1,2,11,1
1,A;B;C;D;G;H;I;J,G,1,12,2,FALSE,NA,order,1,1,2,12,1
1,A;B;C;D;G;H;I;J,B,1,13,2,FALSE,NA,order,1,1,2,13,1
1,A;B;C;D;G;H;I;J,I,1,14,2,FALSE,NA,order,1,1,2,14,1
1,A;B;C;D;G;H;I;J,A,1,15,2,FALSE,NA,order,1,1,2,15,1
1,A;B;C;D;G;H;I;J,H,1,16,2,FALSE,NA,order,1,1,2,16,1
1,A;B;C;D;G;H;I;J,A,1,25,4,FALSE,NA,order,1,1,2,17,1
1,A;B;C;D;G;H;I;J,C,1,26,4,FALSE,NA,order,1,1,2,18,1
1,A;B;C;D;G;H;I;J,H,1,27,4,FALSE,NA,order,1,1,2,19,1
1,A;B;C;D;G;H;I;J,I,1,28,4,FALSE,NA,order,1,1,2,20,1
1,A;B;C;D;G;H;I;J,G,1,29,4,FALSE,NA,order,1,1,2,21,1
1,A;B;C;D;G;H;I;J,B,1,30,4,FALSE,NA,order,1,1,2,22,1
1,A;B;C;D;G;H;I;J,D,1,31,4,FALSE,NA,order,1,1,2,23,1
1,A;B;C;D;G;H;I;J,J,1,32,4,FALSE,NA,order,1,1,2,24,1
1,A;B;C;D;G;H;I;J,A,2,33,5,FALSE,NA,order,1,1,3,25,1
1,A;B;C;D;G;H;I;J,I,2,34,5,FALSE,NA,order,1,1,3,26,1
1,A;B;C;D;G;H;I;J,C,2,35,5,FALSE,NA,order,1,1,3,27,1
1,A;B;C;D;G;H;I;J,J,2,36,5,FALSE,NA,order,1,1,3,28,1
1,A;B;C;D;G;H;I;J,H,2,37,5,FALSE,NA,order,1,1,3,29,1
1,A;B;C;D;G;H;I;J,G,2,38,5,FALSE,NA,order,1,1,3,30,1
1,A;B;C;D;G;H;I;J,D,2,39,5,FALSE,NA,order,1,1,3,31,1
1,A;B;C;D;G;H;I;J,B,2,40,5,FALSE,NA,order,1,1,3,32,1
1,A;B;C;D;G;H;I;J,A,1,1,1,FALSE,NA,order,1,4,5,33,2
1,A;B;C;D;G;H;I;J,D,1,2,1,FALSE,NA,order,1,4,5,34,2
1,A;B;C;D;G;H;I;J,G,1,3,1,FALSE,NA,order,1,4,5,35,2
1,A;B;C;D;G;H;I;J,H,1,4,1,FALSE,NA,order,1,4,5,36,2
1,A;B;C;D;G;H;I;J,C,1,5,1,FALSE,NA,order,1,4,5,37,2
1,A;B;C;D;G;H;I;J,I,1,6,1,FALSE,NA,order,1,4,5,38,2
1,A;B;C;D;G;H;I;J,B,1,7,1,FALSE,NA,order,1,4,5,39,2
