text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"hello, i am going to describe them as people almost.",124,describer,1,TRUE,NA,1
is that okay?,124,describer,2,TRUE,NA,1
yes,1,matcher,3,TRUE,NA,1
this one kinda looks like they are looking a little down and kneeling with both arms out,124,describer,4,NA,NA,1
wearing a dress maybe.,124,describer,5,NA,NA,1
good  this one is sitting down,124,describer,1,NA,NA,2
with his knees up,124,describer,2,NA,NA,2
this one looks like a ghost almost,124,describer,1,NA,NA,3
with his arms raised up,124,describer,2,NA,NA,3
this one looks like he is balancing on one leg with his arms out,124,describer,1,NA,NA,4
this one looks like a woman in a dress who is throwing her head back,124,describer,1,NA,NA,5
and walking with her hand up,124,describer,2,NA,NA,5
this one looks like a preacher holding a book and standing straight,124,describer,1,NA,NA,6
this one has bunny ears,124,describer,1,NA,NA,7
this one looks like the preacher except he is bending his knees,124,describer,1,NA,NA,8
bending them back?,1,matcher,2,NA,NA,8
bending or kneeling,1,matcher,3,NA,NA,8
hmm he is facing right,124,describer,4,NA,NA,8
bending not kneeling,124,describer,5,NA,NA,8
this one looks like a man with a block on his back,124,describer,1,NA,NA,9
maybe he is wearing a hazmat suit,124,describer,2,NA,NA,9
this one kinda looks like a smaller kid who is a little overweight,124,describer,1,NA,NA,10
right arm out?,1,matcher,2,NA,NA,10
his chest has a pointy part,124,describer,3,NA,NA,10
this one looks like a person kneeling with their hand out and has a hood,124,describer,1,NA,NA,11
?,1,matcher,2,NA,NA,11
kneeling preacher?,1,matcher,3,NA,NA,11
hmm,124,describer,4,NA,NA,11
yes looks like the bent knee preacher,124,describer,5,NA,NA,11
except kneeling,124,describer,6,NA,NA,11
looks like the small kid but no pointy chest,124,describer,1,NA,NA,12
woman with arm and leg forward in a dress with head back.,124,describer,1,NA,NA,13
sitting on ground?,1,matcher,2,NA,NA,13
or the one we did already,1,matcher,3,NA,NA,13
no she is definitely not sitting,124,describer,4,NA,NA,13
bunny ears,124,describer,1,NA,NA,14
ghost man,124,describer,1,NA,NA,15
kneeling preacher,124,describer,1,NA,NA,16
hazmat suit,124,describer,1,NA,NA,17
laying on his back with a hump,124,describer,1,NA,NA,18
he has a square head and his feet are on the left side,124,describer,2,NA,NA,18
