choice_id,player_id,role,time_stamp,trial_id,option_set,check_choices
E,2,matcher,NA,1,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
B,2,matcher,NA,2,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
F,2,matcher,NA,3,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
I,2,matcher,NA,4,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
D,2,matcher,NA,5,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
H,2,matcher,NA,6,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
J,2,matcher,NA,7,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
K,2,matcher,NA,8,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
L,2,matcher,NA,9,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
A,2,matcher,NA,10,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
C,2,matcher,NA,11,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
G,2,matcher,NA,12,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
B,2,matcher,NA,13,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
E,2,matcher,NA,14,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
D,2,matcher,NA,15,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
K,2,matcher,NA,16,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
J,2,matcher,NA,17,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
C,2,matcher,NA,18,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
G,2,matcher,NA,19,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
F,2,matcher,NA,20,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
H,2,matcher,NA,21,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
A,2,matcher,NA,22,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
L,2,matcher,NA,23,A;B;C;D;E;F;G;H;I;J;K;L,TRUE
