text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
What is in space one a small diamond shape on top of a long rectangle. the left side of the rectangle is straight edged and the right side has indentations ok,1,describer,1,FALSE,1459980366978,1
"2 ? on the top left, a diamond shape is connected to a triangle. the bottom look like a trapezoid attached to a larger base. on the left side of the bottom is another small triangle shape blending into the base ok i think i have it.  try thinking of them as a person and what they may be doing  like  2  looks like it is ice skating okay I think I didn't explain well.",1,describer,2,FALSE,1459980366978,2
3  has a point facing directly upward on the bottom. the other is,1,describer,3,FALSE,1459980366978,3
number 4 4.  4 . The other has its back facing the right side of the box and the legs are more defined. this is,1,describer,4,FALSE,1459980366978,4
5  looks like a person walking forward but their head is looking behind. one foot is lifted ok keep going i think i got it there are two that look like someone leaning up against something and looking down. one looks kind of like a bunny and the back is on the left side of the box. that's,1,describer,5,FALSE,1459980366978,5
6  looks like a person worshiping (lifting hands toward the sky),1,describer,6,FALSE,1459980366978,6
7  looks like a person kneeling down to pray  number 7 7,1,describer,7,FALSE,1459980366978,7
number 8 8,1,describer,8,FALSE,1459980366978,8
9  looks like a monk or something facing an alter let me know what's missing or if a description isn't clear! ok  hold on looking good OK I think we got it cool :),1,describer,9,FALSE,1459980366978,9
number 10 10  looks like a person leaning backwards with one foot forward. maybe like a woman wearing a dress with a long train,1,describer,10,FALSE,1459980366978,10
11  looks like a big blob of a person with a diamond shaped head. maybe a swaddled baby Okay i noticed there are two that look like praying.,1,describer,11,FALSE,1459980366978,11
Number 12 12  though looks like ice skating. I'll just go ahead and tell you where the ones go that look like people ok,1,describer,12,FALSE,1459980366978,12
for this one just give me key words number one is the same as last round number two is the person looking back with one leg up,1,describer,1,FALSE,1459981283496,13
number 2 2  from the last one if you remember but if not save it for last),1,describer,2,FALSE,1459981283496,14
3  is leaning person with more defined legs against the right,1,describer,3,FALSE,1459981283496,15
4  is worshiper,1,describer,4,FALSE,1459981283496,16
5  is the leftover (,1,describer,5,FALSE,1459981283496,17
6  is swaddled baby,1,describer,6,FALSE,1459981283496,18
7  is lady with long train on her dress,1,describer,7,FALSE,1459981283496,19
8  is ice skater,1,describer,8,FALSE,1459981283496,20
9  is prayer without the upward point,1,describer,9,FALSE,1459981283496,21
10  is leaning bunny up against the left side,1,describer,10,FALSE,1459981283496,22
11  is monk,1,describer,11,FALSE,1459981283496,23
12  is prayer with point got it,1,describer,12,FALSE,1459981283496,24
"we rock haha okay.  1  is leaning bunny, left side  number 1 1  for all of the rounds",1,describer,1,FALSE,1459981467567,25
2  is long dress train lady,1,describer,2,FALSE,1459981467567,26
3  is prayer with point,1,describer,3,FALSE,1459981467567,27
4  is right side leaner with defined legs,1,describer,4,FALSE,1459981467567,28
5  is monk,1,describer,5,FALSE,1459981467567,29
6  is swaddled baby,1,describer,6,FALSE,1459981467567,30
7  is worshiper,1,describer,7,FALSE,1459981467567,31
8  is person looking backward with one foot raised,1,describer,8,FALSE,1459981467567,32
9  is ice skater,1,describer,9,FALSE,1459981467567,33
10  is what has been,1,describer,10,FALSE,1459981467567,34
11  is prayer without point,1,describer,11,FALSE,1459981467567,35
12  is leftover,1,describer,12,FALSE,1459981467567,36
got it  1  is swaddled baby  number 1 1  in the first two rounds (diamond on top of rectangle),1,describer,1,FALSE,1459981642305,37
2  is person looking back with foot raised,1,describer,2,FALSE,1459981642305,38
3  is worshipper,1,describer,3,FALSE,1459981642305,39
4  is ice skater,1,describer,4,FALSE,1459981642305,40
5  is prayer with point,1,describer,5,FALSE,1459981642305,41
6  is prayer without point,1,describer,6,FALSE,1459981642305,42
7  is what was,1,describer,7,FALSE,1459981642305,43
8  is monk,1,describer,8,FALSE,1459981642305,44
"9  is bunny, left side leaner",1,describer,9,FALSE,1459981642305,45
10  is lady with long train,1,describer,10,FALSE,1459981642305,46
11  is leftover,1,describer,11,FALSE,1459981642305,47
12  is right side leaner with defined legs got it,1,describer,12,FALSE,1459981642305,48
1  is lady with long train  1  from first two rounds (diamond atop rectangle) is,1,describer,1,FALSE,1459981791214,49
2  is worshipper,1,describer,2,FALSE,1459981791214,50
3  is right side leaner,1,describer,3,FALSE,1459981791214,51
4  is person leaning backward with leg raised,1,describer,4,FALSE,1459981791214,52
5  is swaddled baby,1,describer,5,FALSE,1459981791214,53
6  is leftover,1,describer,6,FALSE,1459981791214,54
7  is prayer without point,1,describer,7,FALSE,1459981791214,55
8  is left side leaner  8  the bunny ears yep! got it,1,describer,8,FALSE,1459981791214,56
9  is prayer with point,1,describer,9,FALSE,1459981791214,57
10  is ice skater,1,describer,10,FALSE,1459981791214,58
11  is monk,1,describer,11,FALSE,1459981791214,59
12  is,1,describer,12,FALSE,1459981791214,60
1  is worshipper  number 1 1  from first two rounds (diamond atop rectangle),1,describer,1,FALSE,1459981905302,61
2  is bunny ears,1,describer,2,FALSE,1459981905302,62
"3  is worshipper with point i meant prayer, sorry!",1,describer,3,FALSE,1459981905302,63
4  is prayer without point,1,describer,4,FALSE,1459981905302,64
5  is lady with long train,1,describer,5,FALSE,1459981905302,65
6  is,1,describer,6,FALSE,1459981905302,66
7  is swaddled baby,1,describer,7,FALSE,1459981905302,67
8  is person looking back with leg raised,1,describer,8,FALSE,1459981905302,68
9  is monk,1,describer,9,FALSE,1459981905302,69
10  is right side leaner,1,describer,10,FALSE,1459981905302,70
11  is ice skater,1,describer,11,FALSE,1459981905302,71
12  is leftover got it great job!,1,describer,12,FALSE,1459981905302,72
Hi! haello My  first image  looks like a triangle sitting down with a square for a head and bunny ears. Does that description make any sense? yes Great! So that's in position  1.  1 . Position,3,describer,1,FALSE,1459989848248,73
2  looks kind of like a dinosaur facing to the left and kicking ok Position,3,describer,2,FALSE,1459989848248,74
"3:  3 : okay... so there are two images that look pretty similar. They both look like they are kneeling with their hands out, facing right. Do you see those two? yes The one with the triangle at the bottom (instead of the rhombus) is in position  3.  3 . Make sense? The one with the rhombus at the bottom is in position",3,describer,3,FALSE,1459989848248,75
Number 4 4  is a guy kind of half sitting/lying down facing right. i see one facing left Ahh yes! Sorry!! Facing left. ok is that no  4 ? yep done,3,describer,4,FALSE,1459989848248,76
"5.  5 . done ok on both ok on both Great!  5  sided shaped, with a square above it, then a triangle on top, and a square on top of that. very good ===done",3,describer,5,FALSE,1459989848248,77
Number 6 6:  6 : a guy facing left standing up with his hands out. kinda like he's wearing robes done,3,describer,6,FALSE,1459989848248,78
"7:  7 : Kneeling facing right, with arms stretched out in front and behind him facing left? Umm... could be, I guess. But it looks like his feet are out to the left ok got it",3,describer,7,FALSE,1459989848248,79
Number 8 8:  8 : the bottom is,3,describer,8,FALSE,1459989848248,80
"Number 9 9:  9 : flying, or a snow angel yup",3,describer,9,FALSE,1459989848248,81
"Number 10 10:  10 : In a lunge position sorry, what is lunge? Um... kind of like he's kneeling and leaning forward ok",3,describer,10,FALSE,1459989848248,82
Number 11 11:  11 : A square with a bit cut out on the right side with a square/diamond on top,3,describer,11,FALSE,1459989848248,83
Number 12 12:  12 : ice skating got both Great! I'll submit the round! ok Or you submit it?,3,describer,12,FALSE,1459989848248,84
Nice!  Number 1 1:  1 : flying/snow angel great going ok,3,describer,1,FALSE,1459990753979,85
Number 2 2:  2 : five-sided shape with square on top then triangle then diamond ok,3,describer,2,FALSE,1459990753979,86
Number 3 3:  3 : standing hands out facing left,3,describer,3,FALSE,1459990753979,87
"Number 4 4:  4 : half sitting half lying down, facing left You good with those? yes",3,describer,4,FALSE,1459990753979,88
Number 5 5:  5 : kneeling facing right with hands out with triangle at bottom ok  number 5 5 ) k,3,describer,5,FALSE,1459990753979,89
number 6 6:  6 : ice skating k,3,describer,6,FALSE,1459990753979,90
number 7 7:  7 : kneeling with one arm in front and one arm in back k,3,describer,7,FALSE,1459990753979,91
number 8 8:  8 : dinosaur kicking k,3,describer,8,FALSE,1459990753979,92
number 9 9:  9 : hands out to the right with rhombus at bottom (the one that's like,3,describer,9,FALSE,1459990753979,93
10:  10 : square with a bit cut out and a diamond on top got it,3,describer,10,FALSE,1459990753979,94
11:  11 : lunge k,3,describer,11,FALSE,1459990753979,95
12:  12 : triangle with bunny ears k we're good! let's submit,3,describer,12,FALSE,1459990753979,96
