text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
looks like baby,1,describer,1,FALSE,NA,1
you have to write,2,matcher,1,FALSE,NA,2
looks like sad rabbit,1,describer,2,FALSE,NA,2
nice,1,describer,3,FALSE,NA,2
looks likes sad man,1,describer,1,FALSE,NA,3
is this even working?,3,matcher,1,FALSE,NA,4
without long ears,1,describer,2,FALSE,NA,3
left looking sitting,4,describer,2,FALSE,NA,4
asd,4,describer,3,FALSE,NA,4
i guess it does,4,describer,4,FALSE,NA,4
no,4,describer,5,FALSE,NA,4
looking left,4,describer,6,FALSE,NA,4
oh so it works,3,matcher,7,FALSE,NA,4
big ears,4,describer,1,FALSE,NA,5
top left,4,describer,2,FALSE,NA,5
yosh,4,describer,3,FALSE,NA,5
looks like man after really bad accident with train,1,describer,1,FALSE,NA,6
this shit sucks tho,4,describer,4,FALSE,NA,5
lol ahaha,2,matcher,2,FALSE,NA,6
you said this one was right looking to the top iirc,3,describer,1,FALSE,NA,7
it looks like a seated man,2,describer,1,FALSE,NA,8
without ears,2,describer,2,FALSE,NA,8
would say this one is like a dancer,3,describer,1,FALSE,NA,9
like a man that is dancing or like a woman with a long long skirt,2,describer,1,FALSE,NA,10
big ears,3,describer,1,FALSE,NA,11
whats the point of this,4,matcher,2,FALSE,NA,11
it seems like a buddha,2,describer,1,FALSE,NA,12
seems if we get it correct we get payed extra?,3,describer,3,FALSE,NA,11
with crossed legs,2,describer,2,FALSE,NA,12
without ears,2,describer,3,FALSE,NA,12
at least it seems like it,3,describer,4,FALSE,NA,11
I hopse so,4,matcher,1,FALSE,NA,13
it's the one with no movement whatsoever,3,describer,2,FALSE,NA,13
a seated rabbit,2,describer,1,FALSE,NA,14
easy,4,matcher,3,FALSE,NA,13
with big ear,2,describer,2,FALSE,NA,14
nice,3,describer,4,FALSE,NA,13
rhis is the wierdist,4,describer,1,FALSE,NA,15
weirdest,4,describer,2,FALSE,NA,15
as you sad - woman with long long dress,1,describer,1,FALSE,NA,16
*,4,describer,3,FALSE,NA,15
the messages take too long to load tho,3,matcher,4,FALSE,NA,15
