room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,condition_id,describer,matchers,trial_id,game_id
2,E;F;G;H,H,1,1,1,FALSE,NA,1,1,2,1,1
2,E;F;G;H,E,1,2,1,FALSE,NA,1,1,2,2,1
2,E;F;G;H,F,1,3,1,FALSE,NA,1,1,2,3,1
1,E;F;G;H,F,1,3,1,FALSE,NA,1,4,3,4,1
1,E;F;G;H,E,1,4,1,FALSE,NA,1,4,3,5,1
2,E;F;G;H,G,1,4,1,FALSE,NA,1,1,2,6,1
1,E;F;G;H,F,1,5,2,FALSE,NA,1,3,4,7,1
2,E;F;G;H,F,1,5,2,FALSE,NA,1,2,1,8,1
1,E;F;G;H,G,1,6,2,FALSE,NA,1,3,4,9,1
2,E;F;G;H,G,1,6,2,FALSE,NA,1,2,1,10,1
1,E;F;G;H,E,1,7,2,FALSE,NA,1,3,4,11,1
2,E;F;G;H,H,1,7,2,FALSE,NA,1,2,1,12,1
1,E;F;G;H,H,1,8,2,FALSE,NA,1,3,4,13,1
2,E;F;G;H,E,1,8,2,FALSE,NA,1,2,1,14,1
1,E;F;G;H,G,1,9,3,FALSE,NA,1,4,3,15,1
2,E;F;G;H,G,1,9,3,FALSE,NA,1,1,2,16,1
2,E;F;G;H,F,1,10,3,FALSE,NA,1,1,2,17,1
1,E;F;G;H,F,1,10,3,FALSE,NA,1,4,3,18,1
2,E;F;G;H,E,1,11,3,FALSE,NA,1,1,2,19,1
1,E;F;G;H,E,1,11,3,FALSE,NA,1,4,3,20,1
1,E;F;G;H,H,1,12,3,FALSE,NA,1,4,3,21,1
2,E;F;G;H,H,1,12,3,FALSE,NA,1,1,2,22,1
1,E;F;G;H,H,1,13,4,FALSE,NA,1,3,4,23,1
2,E;F;G;H,F,1,13,4,FALSE,NA,1,2,1,24,1
1,E;F;G;H,E,1,14,4,FALSE,NA,1,3,4,25,1
2,E;F;G;H,E,1,14,4,FALSE,NA,1,2,1,26,1
1,E;F;G;H,G,1,15,4,FALSE,NA,1,3,4,27,1
2,E;F;G;H,H,1,15,4,FALSE,NA,1,2,1,28,1
2,E;F;G;H,G,1,16,4,FALSE,NA,1,2,1,29,1
1,E;F;G;H,F,1,16,4,FALSE,NA,1,3,4,30,1
2,E;F;G;H,H,2,17,5,FALSE,NA,1,3,1,31,1
1,E;F;G;H,H,2,17,5,FALSE,NA,1,4,2,32,1
2,E;F;G;H,E,2,18,5,FALSE,NA,1,3,1,33,1
1,E;F;G;H,F,2,18,5,FALSE,NA,1,4,2,34,1
2,E;F;G;H,G,2,19,5,FALSE,NA,1,3,1,35,1
1,E;F;G;H,G,2,19,5,FALSE,NA,1,4,2,36,1
1,E;F;G;H,E,2,20,5,FALSE,NA,1,4,2,37,1
2,E;F;G;H,F,2,20,5,FALSE,NA,1,3,1,38,1
1,E;F;G;H,H,2,21,6,FALSE,NA,1,2,4,39,1
2,E;F;G;H,F,2,21,6,FALSE,NA,1,1,3,40,1
2,E;F;G;H,E,2,22,6,FALSE,NA,1,1,3,41,1
1,E;F;G;H,E,2,22,6,FALSE,NA,1,2,4,42,1
2,E;F;G;H,G,2,23,6,FALSE,NA,1,1,3,43,1
1,E;F;G;H,G,2,23,6,FALSE,NA,1,2,4,44,1
2,E;F;G;H,H,2,24,6,FALSE,NA,1,1,3,45,1
1,E;F;G;H,F,2,24,6,FALSE,NA,1,2,4,46,1
1,E;F;G;H,E,2,25,7,FALSE,NA,1,4,2,47,1
2,E;F;G;H,H,2,25,7,FALSE,NA,1,3,1,48,1
1,E;F;G;H,G,2,26,7,FALSE,NA,1,4,2,49,1
2,E;F;G;H,E,2,26,7,FALSE,NA,1,3,1,50,1
2,E;F;G;H,G,2,27,7,FALSE,NA,1,3,1,51,1
1,E;F;G;H,F,2,27,7,FALSE,NA,1,4,2,52,1
2,E;F;G;H,F,2,28,7,FALSE,NA,1,3,1,53,1
1,E;F;G;H,H,2,28,7,FALSE,NA,1,4,2,54,1
2,E;F;G;H,F,2,29,8,FALSE,NA,1,1,3,55,1
1,E;F;G;H,F,2,29,8,FALSE,NA,1,2,4,56,1
2,E;F;G;H,G,2,30,8,FALSE,NA,1,1,3,57,1
1,E;F;G;H,H,2,30,8,FALSE,NA,1,2,4,58,1
2,E;F;G;H,E,2,31,8,FALSE,NA,1,1,3,59,1
1,E;F;G;H,E,2,31,8,FALSE,NA,1,2,4,60,1
