paper_id,experiment_id,game_id,player_id,trial_num,rep_num,role,target_id,message_num,message,choice_id,time_to_choice,option_set,group_size,structure
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,1,1,describer,B,1,this one kinda looks like they are looking a little down and kneeling with both arms out,B,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,1,1,describer,B,2,wearing a dress maybe.,B,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,2,1,describer,F,1,this one is sitting down,F,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,2,1,describer,F,2,with his knees up,F,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,3,1,describer,C,1,this one looks like a ghost almost,C,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,3,1,describer,C,2,with his arms raised up,C,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,4,1,describer,I,1,this one looks like he is balancing on one leg with his arms out,I,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,5,1,describer,G,1,this one looks like a woman in a dress who is throwing her head back,G,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,5,1,describer,G,2,and walking with her hand up,G,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,6,1,describer,D,1,this one looks like a preacher holding a book and standing straight,D,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,7,1,describer,E,1,this one has bunny ears,E,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bdirector,8,1,describer,L,1,this one looks like the preacher except he is bending his knees,L,NA,,2,thick
hawkins2020_characterizing,cued,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6b,7026-d36b3d5a-1ba3-403c-bcbd-31d0d1a0aa6bmatcher,8,1,matcher,L,2,bending them back?,L,NA,,2,thick
