paper_id,experiment_id,game_id,player_id,trial_num,rep_num,role,target_id,message_num,message,choice_id,time_to_choice,option_set,group_size,structure
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,1,1,describer,B,1,"It looks like someone is praying, no",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,17,5,describer,A,1,"dancer with hump, looking on the ground, lifting one leg",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,up6Jjy6x3SYuzkRrC,17,5,describer,C,1,"the one who looks like goalkeeper, he looks like goalkeeper, who want to save the goal",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,33,9,describer,B,1,"like a dog on the ground, with bow on the head, kneeling",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,sK8r54bPtKtwfCyE7,33,9,describer,D,1,"praying maybe, arms in front, looks like a standing prayer, boy",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,2,1,describer,D,1,"standing prayer, correct",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,gR2G6xLFF4jLsksxJ,2,1,describer,C,1,"the one that have a shape like a person, he looks like he is",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,18,5,describer,B,1,"like a dog with a bow, on the head, dog sitting wth bow",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,up6Jjy6x3SYuzkRrC,18,5,describer,D,1,"ok, the one who looks like he is standing, and praying,",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,34,9,describer,D,1,"standing person, frond arms, front, like praying, with extended arms",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,sK8r54bPtKtwfCyE7,34,9,describer,C,1,"arms open, like flying",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,3,1,describer,A,1,"standing dancer, with humps",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,gR2G6xLFF4jLsksxJ,3,1,describer,A,1,the one that is like a penguin,NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,NiKAGZngti7bqNjn2,19,5,describer,D,1,"stangind prayer, standing, with arms infront, no",NA,NA,,4,pairs-network
hawkins2021_respectthecode,network,76iJQ4QXdyAcYKseZ,up6Jjy6x3SYuzkRrC,19,5,describer,B,1,ok the one kneeling,NA,NA,,4,pairs-network
