selected_image,player_id,time_stamp,trial_id
K1,2,NA,1
C1,1,NA,2
B1,1,NA,6
F1,1,NA,10
H1,1,NA,11
K1,1,NA,13
I1,1,NA,15
G1,1,NA,17
D1,1,NA,19
C1,1,NA,22
A1,1,NA,24
F1,1,NA,26
I1,2,NA,27
B1,1,NA,28
E1,1,NA,30
H1,1,NA,31
G1,1,NA,33
K1,1,NA,35
I1,1,NA,39
unk1,4,NA,41
K1,3,NA,42
B1,4,NA,43
A1,3,NA,44
H1,4,NA,45
I1,3,NA,46
unk1,4,NA,47
unk1,3,NA,48
D1,4,NA,49
C1,4,NA,50
D1,3,NA,51
E1,4,NA,52
H1,3,NA,53
K1,4,NA,54
B1,3,NA,55
I1,4,NA,56
unk1,3,NA,57
A1,4,NA,58
F1,3,NA,59
I1,3,NA,60
G1,4,NA,61
A1,3,NA,62
D1,4,NA,63
K1,3,NA,64
B1,4,NA,65
C1,3,NA,66
H1,4,NA,67
E1,3,NA,68
F1,4,NA,69
E1,4,NA,70
G1,3,NA,71
C1,4,NA,72
F1,3,NA,73
K1,4,NA,74
D1,3,NA,75
A1,4,NA,76
H1,3,NA,77
I1,4,NA,78
B1,3,NA,79
C1,5,NA,81
B1,5,NA,83
K1,5,NA,85
A1,6,NA,87
G1,5,NA,90
F1,5,NA,94
I1,5,NA,106
F1,5,NA,114
B1,8,NA,120
F1,8,NA,122
H1,7,NA,125
E1,8,NA,126
C1,8,NA,128
K1,7,NA,129
F1,7,NA,130
H1,8,NA,131
D1,7,NA,132
A1,8,NA,133
I1,8,NA,139
C1,8,NA,140
E1,8,NA,148
K1,8,NA,151
I1,9,NA,165
F1,10,NA,173
D1,9,NA,174
C1,9,NA,183
A1,9,NA,187
I1,9,NA,189
K1,9,NA,198
E1,12,NA,200
B1,12,NA,202
G1,11,NA,203
C1,12,NA,204
H1,12,NA,206
D1,12,NA,209
G1,12,NA,211
A1,12,NA,217
I1,12,NA,220
E1,12,NA,224
H1,12,NA,226
I1,11,NA,234
K1,13,NA,246
unk1,13,NA,248
D1,13,NA,249
unk1,13,NA,251
A1,13,NA,253
H1,13,NA,255
C1,13,NA,257
unk1,13,NA,260
unk1,13,NA,262
G1,13,NA,264
E1,13,NA,266
C1,13,NA,269
H1,13,NA,271
unk1,13,NA,273
F1,13,NA,275
D1,13,NA,277
unk1,15,NA,293
F1,16,NA,294
H1,15,NA,313
F1,17,NA,328
K1,17,NA,329
K1,17,NA,357
unk1,19,NA,360
G1,20,NA,361
unk1,19,NA,362
I1,20,NA,363
unk1,19,NA,364
F1,19,NA,366
C1,20,NA,367
D1,19,NA,368
unk1,19,NA,369
K1,20,NA,370
G1,19,NA,371
C1,19,NA,373
I1,19,NA,375
H1,19,NA,377
G1,20,NA,379
K1,19,NA,380
E1,19,NA,382
H1,20,NA,383
unk1,19,NA,386
C1,20,NA,387
D1,19,NA,388
I1,19,NA,389
H1,19,NA,391
F1,20,NA,392
K1,20,NA,394
unk1,19,NA,395
D1,20,NA,396
E1,22,NA,399
unk1,21,NA,400
unk1,21,NA,402
F1,22,NA,403
A1,21,NA,404
H1,21,NA,406
unk1,21,NA,408
F1,21,NA,411
unk1,21,NA,413
C1,22,NA,414
G1,21,NA,415
I1,21,NA,417
H1,21,NA,424
C1,21,NA,426
D1,21,NA,428
C1,22,NA,434
unk1,24,NA,439
I1,24,NA,450
F1,23,NA,455
F1,24,NA,463
K1,23,NA,464
E1,23,NA,469
A1,23,NA,475
G1,23,NA,477
G1,25,NA,486
F1,25,NA,488
B1,25,NA,489
unk1,25,NA,493
K1,25,NA,495
D1,25,NA,497
F1,25,NA,502
D1,25,NA,517
H1,28,NA,525
unk1,27,NA,528
unk1,27,NA,529
K1,27,NA,548
K1,28,NA,556
I1,27,NA,557
C1,28,NA,558
K1,29,NA,576
F1,29,NA,581
K1,31,NA,598
E1,32,NA,599
F1,31,NA,600
B1,32,NA,601
A1,31,NA,602
C1,32,NA,603
D1,31,NA,604
G1,32,NA,607
K1,32,NA,610
G1,31,NA,611
A1,31,NA,618
I1,31,NA,620
B1,32,NA,623
F1,32,NA,628
E1,31,NA,637
C1,34,NA,638
unk1,33,NA,639
F1,34,NA,640
I1,33,NA,641
B1,34,NA,642
