room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,condition_id,describer,matchers,trial_id,game_id
1,K1;unk1,K1,1,1,1,FALSE,NA,1,1,2,1,1
1,C1;unk1,C1,1,2,1,FALSE,NA,1,2,1,2,1
1,I1;unk1,I1,1,3,1,FALSE,NA,1,1,NA,3,1
1,E1;unk1,E1,1,4,1,FALSE,NA,1,2,NA,4,1
1,H1;unk1,H1,1,5,1,FALSE,NA,1,1,NA,5,1
1,B1;unk1,B1,1,6,1,FALSE,NA,1,2,1,6,1
1,G1;unk1,G1,1,7,1,FALSE,NA,1,1,NA,7,1
1,A1;unk1,A1,1,8,1,FALSE,NA,1,2,NA,8,1
1,D1;unk1,D1,1,9,1,FALSE,NA,1,1,NA,9,1
1,F1;unk1,F1,1,10,1,FALSE,NA,1,2,1,10,1
1,H1;unk1,H1,1,11,2,FALSE,NA,1,2,1,11,1
1,C1;unk1,C1,1,12,2,FALSE,NA,1,1,NA,12,1
1,K1;unk1,K1,1,13,2,FALSE,NA,1,2,1,13,1
1,A1;unk1,A1,1,14,2,FALSE,NA,1,1,NA,14,1
1,I1;unk1,I1,1,15,2,FALSE,NA,1,2,1,15,1
1,F1;unk1,F1,1,16,2,FALSE,NA,1,1,NA,16,1
1,G1;unk1,G1,1,17,2,FALSE,NA,1,2,1,17,1
1,B1;unk1,B1,1,18,2,FALSE,NA,1,1,NA,18,1
1,D1;unk1,D1,1,19,2,FALSE,NA,1,2,1,19,1
1,E1;unk1,E1,1,20,2,FALSE,NA,1,1,NA,20,1
1,K1;unk1,K1,1,21,3,FALSE,NA,1,1,NA,21,1
1,C1;unk1,C1,1,22,3,FALSE,NA,1,2,1,22,1
1,D1;unk1,D1,1,23,3,FALSE,NA,1,1,NA,23,1
1,A1;unk1,A1,1,24,3,FALSE,NA,1,2,1,24,1
1,H1;unk1,H1,1,25,3,FALSE,NA,1,1,NA,25,1
1,F1;unk1,F1,1,26,3,FALSE,NA,1,2,1,26,1
1,I1;unk1,I1,1,27,3,FALSE,NA,1,1,2,27,1
1,B1;unk1,B1,1,28,3,FALSE,NA,1,2,1,28,1
1,G1;unk1,G1,1,29,3,FALSE,NA,1,1,NA,29,1
1,E1;unk1,E1,1,30,3,FALSE,NA,1,2,1,30,1
1,H1;unk1,H1,1,31,4,FALSE,NA,1,2,1,31,1
1,F1;unk1,F1,1,32,4,FALSE,NA,1,1,NA,32,1
1,G1;unk1,G1,1,33,4,FALSE,NA,1,2,1,33,1
1,A1;unk1,A1,1,34,4,FALSE,NA,1,1,NA,34,1
1,K1;unk1,K1,1,35,4,FALSE,NA,1,2,1,35,1
1,C1;unk1,C1,1,36,4,FALSE,NA,1,1,NA,36,1
1,D1;unk1,D1,1,37,4,FALSE,NA,1,2,NA,37,1
1,E1;unk1,E1,1,38,4,FALSE,NA,1,1,NA,38,1
1,I1;unk1,I1,1,39,4,FALSE,NA,1,2,1,39,1
1,B1;unk1,B1,1,40,4,FALSE,NA,1,1,NA,40,1
1,F1;unk1,F1,1,2,1,FALSE,NA,1,3,4,41,2
1,K1;unk1,K1,1,3,1,FALSE,NA,1,4,3,42,2
1,B1;unk1,B1,1,4,1,FALSE,NA,1,3,4,43,2
1,A1;unk1,A1,1,5,1,FALSE,NA,1,4,3,44,2
1,H1;unk1,H1,1,6,1,FALSE,NA,1,3,4,45,2
1,I1;unk1,I1,1,7,1,FALSE,NA,1,4,3,46,2
1,G1;unk1,G1,1,8,1,FALSE,NA,1,3,4,47,2
1,E1;unk1,E1,1,9,1,FALSE,NA,1,4,3,48,2
1,D1;unk1,D1,1,10,1,FALSE,NA,1,3,4,49,2
1,C1;unk1,C1,1,11,2,FALSE,NA,1,3,4,50,2
1,D1;unk1,D1,1,12,2,FALSE,NA,1,4,3,51,2
1,E1;unk1,E1,1,13,2,FALSE,NA,1,3,4,52,2
1,H1;unk1,H1,1,14,2,FALSE,NA,1,4,3,53,2
1,K1;unk1,K1,1,15,2,FALSE,NA,1,3,4,54,2
1,B1;unk1,B1,1,16,2,FALSE,NA,1,4,3,55,2
1,I1;unk1,I1,1,17,2,FALSE,NA,1,3,4,56,2
1,G1;unk1,G1,1,18,2,FALSE,NA,1,4,3,57,2
1,A1;unk1,A1,1,19,2,FALSE,NA,1,3,4,58,2
1,F1;unk1,F1,1,20,2,FALSE,NA,1,4,3,59,2
1,I1;unk1,I1,1,21,3,FALSE,NA,1,4,3,60,2
1,G1;unk1,G1,1,22,3,FALSE,NA,1,3,4,61,2
1,A1;unk1,A1,1,23,3,FALSE,NA,1,4,3,62,2
1,D1;unk1,D1,1,24,3,FALSE,NA,1,3,4,63,2
1,K1;unk1,K1,1,25,3,FALSE,NA,1,4,3,64,2
1,B1;unk1,B1,1,26,3,FALSE,NA,1,3,4,65,2
1,C1;unk1,C1,1,27,3,FALSE,NA,1,4,3,66,2
1,H1;unk1,H1,1,28,3,FALSE,NA,1,3,4,67,2
1,E1;unk1,E1,1,29,3,FALSE,NA,1,4,3,68,2
1,F1;unk1,F1,1,30,3,FALSE,NA,1,3,4,69,2
1,E1;unk1,E1,1,31,4,FALSE,NA,1,3,4,70,2
1,G1;unk1,G1,1,32,4,FALSE,NA,1,4,3,71,2
1,C1;unk1,C1,1,33,4,FALSE,NA,1,3,4,72,2
1,F1;unk1,F1,1,34,4,FALSE,NA,1,4,3,73,2
1,K1;unk1,K1,1,35,4,FALSE,NA,1,3,4,74,2
1,D1;unk1,D1,1,36,4,FALSE,NA,1,4,3,75,2
1,A1;unk1,A1,1,37,4,FALSE,NA,1,3,4,76,2
1,H1;unk1,H1,1,38,4,FALSE,NA,1,4,3,77,2
1,I1;unk1,I1,1,39,4,FALSE,NA,1,3,4,78,2
1,B1;unk1,B1,1,40,4,FALSE,NA,1,4,3,79,2
1,I1;unk1,I1,1,1,1,FALSE,NA,1,5,NA,80,3
1,C1;unk1,C1,1,2,1,FALSE,NA,1,6,5,81,3
1,H1;unk1,H1,1,3,1,FALSE,NA,1,5,NA,82,3
1,B1;unk1,B1,1,4,1,FALSE,NA,1,6,5,83,3
1,D1;unk1,D1,1,5,1,FALSE,NA,1,5,NA,84,3
1,K1;unk1,K1,1,6,1,FALSE,NA,1,6,5,85,3
1,G1;unk1,G1,1,7,1,FALSE,NA,1,5,NA,86,3
1,A1;unk1,A1,1,8,1,FALSE,NA,1,5,6,87,3
1,F1;unk1,F1,1,9,1,FALSE,NA,1,5,NA,88,3
1,E1;unk1,E1,1,10,1,FALSE,NA,1,6,NA,89,3
1,G1;unk1,G1,1,11,2,FALSE,NA,1,6,5,90,3
1,A1;unk1,A1,1,12,2,FALSE,NA,1,5,NA,91,3
1,H1;unk1,H1,1,13,2,FALSE,NA,1,6,NA,92,3
1,K1;unk1,K1,1,14,2,FALSE,NA,1,5,NA,93,3
1,F1;unk1,F1,1,15,2,FALSE,NA,1,6,5,94,3
1,B1;unk1,B1,1,16,2,FALSE,NA,1,5,NA,95,3
1,D1;unk1,D1,1,17,2,FALSE,NA,1,6,NA,96,3
1,C1;unk1,C1,1,18,2,FALSE,NA,1,5,NA,97,3
1,I1;unk1,I1,1,19,2,FALSE,NA,1,6,NA,98,3
1,E1;unk1,E1,1,20,2,FALSE,NA,1,5,NA,99,3
1,D1;unk1,D1,1,21,3,FALSE,NA,1,5,NA,100,3
1,K1;unk1,K1,1,22,3,FALSE,NA,1,6,NA,101,3
1,F1;unk1,F1,1,23,3,FALSE,NA,1,5,NA,102,3
1,A1;unk1,A1,1,24,3,FALSE,NA,1,6,NA,103,3
1,H1;unk1,H1,1,25,3,FALSE,NA,1,5,NA,104,3
1,E1;unk1,E1,1,26,3,FALSE,NA,1,6,NA,105,3
1,I1;unk1,I1,1,27,3,FALSE,NA,1,6,5,106,3
1,C1;unk1,C1,1,28,3,FALSE,NA,1,6,NA,107,3
1,G1;unk1,G1,1,29,3,FALSE,NA,1,5,NA,108,3
1,B1;unk1,B1,1,30,3,FALSE,NA,1,6,NA,109,3
1,D1;unk1,D1,1,31,4,FALSE,NA,1,6,NA,110,3
1,C1;unk1,C1,1,32,4,FALSE,NA,1,5,NA,111,3
1,H1;unk1,H1,1,33,4,FALSE,NA,1,6,NA,112,3
1,K1;unk1,K1,1,34,4,FALSE,NA,1,5,NA,113,3
1,F1;unk1,F1,1,35,4,FALSE,NA,1,6,5,114,3
1,E1;unk1,E1,1,36,4,FALSE,NA,1,5,NA,115,3
1,G1;unk1,G1,1,37,4,FALSE,NA,1,6,NA,116,3
1,A1;unk1,A1,1,38,4,FALSE,NA,1,5,NA,117,3
1,I1;unk1,I1,1,39,4,FALSE,NA,1,6,NA,118,3
1,B1;unk1,B1,1,40,4,FALSE,NA,1,5,NA,119,3
1,B1;unk1,B1,1,1,1,FALSE,NA,1,7,8,120,4
1,G1;unk1,G1,1,2,1,FALSE,NA,1,8,NA,121,4
1,F1;unk1,F1,1,3,1,FALSE,NA,1,7,8,122,4
1,I1;unk1,I1,1,4,1,FALSE,NA,1,8,NA,123,4
1,D1;unk1,D1,1,5,1,FALSE,NA,1,7,NA,124,4
1,H1;unk1,H1,1,6,1,FALSE,NA,1,8,7,125,4
1,E1;unk1,E1,1,7,1,FALSE,NA,1,7,8,126,4
1,A1;unk1,A1,1,8,1,FALSE,NA,1,8,NA,127,4
1,C1;unk1,C1,1,9,1,FALSE,NA,1,7,8,128,4
