age,gender,native_language,race,education,player_id
NA,NA,English,NA,NA,1
NA,NA,English,NA,NA,2
NA,NA,English,NA,NA,3
NA,NA,English,NA,NA,4
NA,NA,English,NA,NA,5
NA,NA,English,NA,NA,6
NA,NA,English,NA,NA,7
NA,NA,English,NA,NA,8
NA,NA,English,NA,NA,9
NA,NA,English,NA,NA,10
44,male,English,NA,NA,11
30,female,English,NA,bachelors,12
NA,NA,English,NA,NA,13
NA,NA,English,NA,NA,14
NA,NA,English,NA,NA,15
NA,NA,English,NA,NA,16
NA,NA,English,NA,NA,17
41,female,English,NA,advanced-degree,18
30,male,English,NA,high-school,19
32,nonbinary,English,NA,high-school,20
51,male,English,NA,bachelors,21
37,female,English,NA,advanced-degree,22
53,male,English,NA,advanced-degree,23
30,male,English,NA,NA,24
35,female,English,NA,advanced-degree,25
21,female,English,NA,advanced-degree,26
29,female,English,NA,advanced-degree,27
33,female,English,NA,bachelors,28
21,male,English,NA,high-school,29
22,male,English,NA,high-school,30
21,male,English,NA,bachelors,31
49,female,English,NA,advanced-degree,32
NA,NA,English,NA,NA,33
51,female,English,NA,advanced-degree,34
29,male,English,NA,bachelors,35
19,male,English,NA,high-school,36
39,female,English,NA,bachelors,37
29,female,English,NA,bachelors,38
33,male,English,NA,bachelors,39
46,female,English,NA,high-school,40
26,male,English,NA,NA,41
25,female,English,NA,NA,42
66,female,English,NA,advanced-degree,43
42,female,English,NA,high-school,44
NA,NA,English,NA,NA,45
22,male,English,NA,bachelors,46
33,male,English,NA,bachelors,47
42,male,English,NA,advanced-degree,48
40,female,English,NA,advanced-degree,49
NA,NA,English,NA,NA,50
50,female,English,NA,bachelors,51
25,male,English,NA,bachelors,52
34,male,English,NA,bachelors,53
47,female,English,NA,bachelors,54
22,female,English,NA,bachelors,55
20,male,English,NA,high-school,56
26,female,English,NA,high-school,57
31,female,English,NA,bachelors,58
36,male,English,NA,advanced-degree,59
28,female,English,NA,bachelors,60
25,female,English,NA,bachelors,61
25,male,English,NA,NA,62
39,male,English,NA,high-school,63
23,female,English,NA,bachelors,64
45,male,English,NA,bachelors,65
35,male,English,NA,bachelors,66
36,female,English,NA,bachelors,67
28,male,English,NA,advanced-degree,68
32,female,English,NA,high-school,69
24,male,English,NA,bachelors,70
34,female,English,NA,bachelors,71
24,male,English,NA,advanced-degree,72
59,female,English,NA,bachelors,73
23,female,English,NA,bachelors,74
35,female,English,NA,advanced-degree,75
NA,NA,English,NA,NA,76
40,male,English,NA,advanced-degree,77
23,female,English,NA,advanced-degree,78
22,male,English,NA,NA,79
22,male,English,NA,high-school,80
28,female,English,NA,high-school,81
32,female,English,NA,high-school,82
18,male,English,NA,high-school,83
62,female,English,NA,bachelors,84
31,male,English,NA,advanced-degree,85
33,males,English,NA,high-school,86
42,female,English,NA,advanced-degree,87
45,male,English,NA,bachelors,88
44,female,English,NA,high-school,89
24,NA,English,NA,bachelors,90
33,male,English,NA,advanced-degree,91
39,male,English,NA,high-school,92
32,female,English,NA,bachelors,93
38,male,English,NA,bachelors,94
62,male,English,NA,bachelors,95
32,female,English,NA,advanced-degree,96
48,male,English,NA,bachelors,97
24,female,English,NA,bachelors,98
34,male,English,NA,high-school,99
34,female,English,NA,bachelors,100
29,female,English,NA,bachelors,101
35,female,English,NA,bachelors,102
28,female,English,NA,high-school,103
39,male,English,NA,high-school,104
41,female,English,NA,bachelors,105
31,nonbinary,English,NA,high-school,106
29,female,English,NA,advanced-degree,107
40,male,English,NA,advanced-degree,108
21,female,English,NA,NA,109
44,female,English,NA,bachelors,110
25,male,English,NA,bachelors,111
27,nonbinary,English,NA,bachelors,112
42,female,English,NA,advanced-degree,113
31,female,English,NA,bachelors,114
57,female,English,NA,bachelors,115
NA,NA,English,NA,NA,116
32,male,English,NA,high-school,117
22,male,English,NA,high-school,118
30,male,English,NA,bachelors,119
23,male,English,NA,bachelors,120
52,male,English,NA,advanced-degree,121
35,male,English,NA,high-school,122
46,female,English,NA,high-school,123
65,female,English,NA,bachelors,124
27,nonbinary,English,NA,bachelors,125
43,female,English,NA,advanced-degree,126
25,male,English,NA,high-school,127
22,male,English,NA,bachelors,128
24,male,English,NA,bachelors,129
23,male,English,NA,high-school,130
NA,NA,English,NA,NA,131
25,male,English,NA,advanced-degree,132
24,female,English,NA,advanced-degree,133
19,male,English,NA,high-school,134
23,male,English,NA,advanced-degree,135
53,male,English,NA,bachelors,136
72,male,English,NA,advanced-degree,137
37,NA,English,NA,advanced-degree,138
32,male,English,NA,bachelors,139
36,male,English,NA,high-school,140
32,female,English,NA,bachelors,141
42,male,English,NA,NA,142
27,male,English,NA,NA,143
24,male,English,NA,bachelors,144
30,female,English,NA,bachelors,145
38,male,English,NA,bachelors,146
NA,NA,English,NA,high-school,147
43,female,English,NA,bachelors,148
NA,NA,English,NA,NA,149
23,female,English,NA,bachelors,150
20,female,English,NA,high-school,151
26,female,English,NA,advanced-degree,152
30,female,English,NA,high-school,153
27,male,English,NA,high-school,154
31,female,English,NA,bachelors,155
NA,NA,English,NA,NA,156
33,male,English,NA,bachelors,157
27,male,English,NA,advanced-degree,158
22,female,English,NA,high-school,159
26,male,English,NA,bachelors,160
21,male,English,NA,bachelors,161
22,female,English,NA,bachelors,162
21,male,English,NA,bachelors,163
38,male,English,NA,bachelors,164
34,female,English,NA,advanced-degree,165
24,male,English,NA,advanced-degree,166
38,male,English,NA,high-school,167
35,male,English,NA,high-school,168
25,male,English,NA,bachelors,169
49,male,English,NA,advanced-degree,170
36,nonbinary,English,NA,bachelors,171
34,female,English,NA,bachelors,172
19,male,English,NA,high-school,173
NA,NA,English,NA,NA,174
25,male,English,NA,advanced-degree,175
NA,NA,English,NA,NA,176
NA,NA,English,NA,NA,177
74,male,English,NA,advanced-degree,178
46,male,English,NA,high-school,179
36,male,English,NA,bachelors,180
35,male,English,NA,advanced-degree,181
36,male,English,NA,high-school,182
44,male,English,NA,bachelors,183
30,male,English,NA,bachelors,184
36,female,English,NA,high-school,185
26,nonbinary,English,NA,bachelors,186
27,female,English,NA,bachelors,187
35,female,English,NA,high-school,188
45,female,English,NA,NA,189
34,female,English,NA,advanced-degree,190
49,NA,English,NA,advanced-degree,191
33,female,English,NA,high-school,192
36,male,English,NA,advanced-degree,193
42,female,English,NA,high-school,194
27,male,English,NA,bachelors,195
50,female,English,NA,high-school,196
30,male,English,NA,high-school,197
29,female,English,NA,bachelors,198
28,male,English,NA,advanced-degree,199
38,male,English,NA,high-school,200
50,female,English,NA,NA,201
51,female,English,NA,advanced-degree,202
21,male,English,NA,bachelors,203
22,female,English,NA,high-school,204
NA,male,English,NA,advanced-degree,205
24,female,English,NA,high-school,206
40,male,English,NA,NA,207
43,female,English,NA,advanced-degree,208
42,female,English,NA,high-school,209
44,female,English,NA,bachelors,210
38,female,English,NA,high-school,211
26,male,English,NA,NA,212
38,male,English,NA,high-school,213
24,female,English,NA,advanced-degree,214
61,male,English,NA,high-school,215
41,female,English,NA,high-school,216
32,female,English,NA,high-school,217
24,male,English,NA,NA,218
19,female,English,NA,high-school,219
76,female,English,NA,advanced-degree,220
24,female,English,NA,high-school,221
33,nonbinary,English,NA,high-school,222
36,female,English,NA,bachelors,223
23,female,English,NA,bachelors,224
35,female,English,NA,bachelors,225
24,male,English,NA,bachelors,226
28,female,English,NA,bachelors,227
27,female,English,NA,bachelors,228
22,nonbinary,English,NA,high-school,229
24,male,English,NA,high-school,230
39,male,English,NA,bachelors,231
21,male,English,NA,high-school,232
29,female,English,NA,bachelors,233
39,male,English,NA,high-school,234
42,male,English,NA,high-school,235
NA,NA,English,NA,NA,236
30,male,English,NA,high-school,237
26,female,English,NA,bachelors,238
34,male,English,NA,bachelors,239
54,female,English,NA,advanced-degree,240
20,male,English,NA,high-school,241
