condition_label,dataset_id,full_cite,short_cite,group_size,prior_relationship,partner_constancy,role_constancy,population,confederates,modality,feedback,backchannel,language,condition_id
expt1_1K,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),4,no,no,yes,adult,no,oral-in-person,none,full,English,1
expt1_2K1N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),4,no,no,yes,adult,no,oral-in-person,none,full,English,2
expt1_1K2N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),4,no,no,yes,adult,no,oral-in-person,none,full,English,3
expt1_1N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),4,no,no,yes,adult,no,oral-in-person,none,full,English,4
expt2_1K,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),5,no,no,yes,adult,no,oral-in-person,none,full,English,5
expt2_3K1N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),5,no,no,yes,adult,no,oral-in-person,none,full,English,6
expt2_2K2N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),5,no,no,yes,adult,no,oral-in-person,none,full,English,7
expt2_1K3N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),5,no,no,yes,adult,no,oral-in-person,none,full,English,8
expt2_1N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),5,no,no,yes,adult,no,oral-in-person,none,full,English,9
expt3_3N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),7,no,no,yes,adult,no,oral-in-person,none,full,English,10
expt3_1K2N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),7,no,no,yes,adult,no,oral-in-person,none,full,English,11
expt3_2K1N,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),7,no,no,yes,adult,no,oral-in-person,none,full,English,12
expt3_3K,yoon2019_audience,"Yoon, S. O., & Brown‐Schmidt, S. (2019). Audience design in multiparty conversation. Cognitive science, 43(8), e12774.",Yoon & Brown-Schmidt (2019),7,no,no,yes,adult,no,oral-in-person,none,full,English,13
