text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"two loops connected each other, they are solid black, and kind of thick",1,describer,1,FALSE,NA,1
"almost equals sign, but not completely, they are curved",1,describer,1,FALSE,NA,2
"semicicle on top, and then there is a sideway T or a line, below that there is a triangle and a sideway V",1,describer,1,FALSE,NA,3
a semicircle is coming from a line on the bottom,1,describer,1,FALSE,NA,4
"bunch of ovals all together, there is a smaller circle on each oval",1,describer,1,FALSE,NA,5
"kind of 3D, it looks like it has two legs, and on top, it is sort of curved, maybe sort of a table",1,describer,1,FALSE,NA,6
a circle with four black circles inside,1,describer,1,FALSE,NA,7
"kind of 3D, it looks like a coockie, like chocolatechip cookie",1,describer,1,FALSE,NA,8
"a lot of curved lines, it is forming somekind of a vertical shape, in the middle of it, there is a black round piece coming out of it",1,describer,1,FALSE,NA,9
bunch of squiggly lines horizontally,1,describer,1,FALSE,NA,10
black u-shaped figure,1,describer,1,FALSE,NA,11
two circles are connected each other there is a line between them and there is an X on the upper circle,1,describer,1,FALSE,NA,12
looks like a cloud thingly with all the dots next to it,1,describer,1,FALSE,NA,13
looks like a crumpled up piece of paper,1,describer,1,FALSE,NA,14
kind of looks like an umbrella with an infinity sign at the end,1,describer,1,FALSE,NA,15
a big circle and there are five smaller circles haing on the left,1,describer,1,FALSE,NA,16
a line slanting to the right with three lines across it the bottom of the three lines has a little loop,1,describer,1,FALSE,NA,17
"five squares like all in a line, a vertical line",1,describer,1,FALSE,NA,18
the four triangles kind of pointing up,1,describer,1,FALSE,NA,19
a bunch of like needles sticking out of it,1,describer,1,FALSE,NA,20
"like a boomerang, like got a circle on the bottom left, a dark grey circle on the bottom left",1,describer,1,FALSE,NA,21
the two lines connected each one with a grey circle on the end,1,describer,1,FALSE,NA,22
"like all grey got the points corners two corners in top left right a circle on the bottom of it another corner on the right side, a grey rectangle added half of a circle to the bottom left of it",1,describer,1,FALSE,NA,23
like a line with three lines coming out of the top of it over a castle looking thing,1,describer,1,FALSE,NA,24
looks kind of like the shape of a lightbulb shaded in with grey,1,describer,1,FALSE,NA,25
