game,grid,targetPosition_w,role,message_id_num,message_part_no,message
1,1,1,describer,1,1,"o.k. auf der Nummer 1 habe ich eine Figur, die aussieht wie eine Schlittschuhläuferin"
1,1,2,describer,1,2,2 ist so eine Figur die die so eine Art Hampelmann macht also beide arme waagerecht raus streckt.
1,1,3,describer,1,3,Figur 3 sieht so aus als würde sie gerade Basketball spielen.
1,1,3.0,matcher,2,NA,Ja
1,1,4.0,describer,3,NA,4 ist ähm wahrscheinlich ein äh ähm so ähm ein Priester der irgendwie so gerade so eine Schüssel in der Hand hat
1,1,4.0,matcher,4,NA,Was eine Schüssel in der Hand ?
1,1,4.0,describer,5,NA,Ja
1,1,2.0,matcher,6,NA,Kannst du die 2 noch mal schnell sagen
1,1,2.0,describer,7,NA,Die 2 ist so ein äh sieht aus wie ein Engel beide Hände gehen waagerecht nach aussen. Die Arme
1,1,2.0,matcher,8,NA,Äh warte schnell
1,1,5.0,describer,9,NA,Ja? 5?
1,1,4.0,matcher,10,NA,Also du hast gesagt die 4 ist jemand der so halb auf den Knien ist und mit einer Schüssel in der Hand
1,1,4.0,describer,11,NA,auf den Knien mit einer Schüssel in der Hand
1,1,4.0,matcher,12,NA,Ja. O.k.
1,1,5.0,describer,13,NA,5 der liegt auf dem Boden und hat die Füsse hinten gegen oben und v. und die Arme streckt er vor  sich
1,1,5.0,matcher,14,NA,Ja
1,1,6.0,describer,15,NA,6 ist ähm eine gebückte Gestalt. Also jemand der älter ist
1,1,6.0,matcher,16,NA,Ja
1,1,7.0,describer,17,NA,7 ist äh wahrscheinlich ein Aerobiktänzer  Ist gut?
1,1,2,matcher,18,1,Also jetzt habe ich bei 2 und 7 habe ich einfach immer noch ein Problem
1,1,2.0,describer,19,NA,Also die 2 ist jemand äh der Oberkörper ist wie ein Trapez
1,1,2.0,matcher,20,NA,Mhm
1,1,2.0,describer,21,NA,Ja?
1,1,2.0,matcher,22,NA,Mhm
1,1,2.0,describer,23,NA,Er hat also beide Arme gleich waagerecht hinaus
1,1,2,matcher,24,1,AHHH o.k.
1,1,7,matcher,24,2,und 7 wäre das Männchen das die Arme hinauf streckt
1,1,7.0,describer,25,NA,7 ist ja ein Arm rauf und der andere runter
