Dyad	Segment	BlockSequence	Director	Matcher	Set	Target	Matched	Alignment
D01SET1	1	A1	A	B	1	1_4_2	1_4_2	correct
D01SET1	2	A1	A	B	1	1_1_2	1_1_2	correct
D01SET1	3	A1	A	B	1	1_2_3	1_2_3	correct
D01SET1	4	A2	A	B	1	1_3_3	1_3_3	correct
D01SET1	5	A2	A	B	1	1_2_1	1_2_1	correct
D01SET1	6	A2	A	B	1	1_2_2	1_2_2	correct
D01SET1	7	A3	A	B	1	1_4_3	1_4_3	correct
D01SET1	8	A3	A	B	1	1_4_4	1_4_4	correct
D01SET1	9	A3	A	B	1	1_3_4	1_3_4	correct
D01SET1	10	A4	A	B	1	1_4_2	1_4_2	correct
D01SET1	11	A4	A	B	1	1_1_4	1_1_4	correct
D01SET1	12	A4	A	B	1	1_3_3	1_3_3	correct
D01SET1	13	B1	B	A	1	1_4_3	1_4_3	correct
D01SET1	14	B1	B	A	1	1_2_4	1_2_4	correct
D01SET1	15	B1	B	A	1	1_1_3	1_1_3	correct
D01SET1	16	B2	B	A	1	1_4_1	1_4_1	correct
D01SET1	17	B2	B	A	1	1_3_1	1_3_1	correct
D01SET1	18	B2	B	A	1	1_2_1	1_2_1	correct
D01SET1	19	B3	B	A	1	1_2_3	1_2_3	correct
D01SET1	20	B3	B	A	1	1_2_2	1_2_2	correct
D01SET1	21	B3	B	A	1	1_1_1	1_1_1	correct
D01SET1	22	B4	B	A	1	1_4_4	1_4_4	correct
D01SET1	23	B4	B	A	1	1_3_2	1_3_2	correct
D01SET1	24	B4	B	A	1	1_1_4	1_1_4	correct
D01SET1	25	C1	A	B	1	1_3_4	1_3_4	correct
D01SET1	26	C1	A	B	1	1_4_1	1_4_1	correct
D01SET1	27	C1	A	B	1	1_1_2	1_1_2	correct
D01SET1	28	C2	A	B	1	1_3_2	1_3_2	correct
D01SET1	29	C2	A	B	1	1_2_4	1_2_4	correct
D01SET1	30	C2	A	B	1	1_3_1	1_3_1	correct
D01SET1	31	C3	A	B	1	1_1_3	1_1_3	correct
D01SET1	32	C3	A	B	1	1_4_1	1_4_1	correct
D01SET1	33	C3	A	B	1	1_1_4	1_1_4	correct
D01SET1	34	C4	A	B	1	1_4_4	1_4_4	correct
D01SET1	35	C4	A	B	1	1_1_1	1_1_1	correct
D01SET1	36	C4	A	B	1	1_2_4	1_2_4	correct
D01SET1	37	D1	B	A	1	1_2_1	1_2_1	correct
D01SET1	38	D1	B	A	1	1_4_2	1_4_2	correct
D01SET1	39	D1	B	A	1	1_2_3	1_2_3	correct
D01SET1	40	D2	B	A	1	1_3_3	1_3_3	correct
D01SET1	41	D2	B	A	1	1_2_2	1_2_2	correct
D01SET1	42	D2	B	A	1	1_3_4	1_3_4	correct
D01SET1	43	D3	B	A	1	1_3_1	1_3_1	correct
D01SET1	44	D3	B	A	1	1_3_2	1_3_2	correct
D01SET1	45	D3	B	A	1	1_4_3	1_4_3	correct
D01SET1	46	D4	B	A	1	1_1_2	1_1_2	correct
D01SET1	47	D4	B	A	1	1_1_3	1_1_3	correct
D01SET1	48	D4	B	A	1	1_1_1	1_1_1	correct
D02SET1	1	A1	A	B	1	1_4_2	1_4_2	correct
D02SET1	2	A1	A	B	1	1_1_2	1_1_2	correct
D02SET1	3	A1	A	B	1	1_2_3	1_2_3	correct
D02SET1	4	A2	A	B	1	1_3_3	1_3_3	correct
D02SET1	5	A2	A	B	1	1_2_1	1_2_1	correct
D02SET1	6	A2	A	B	1	1_2_2	1_2_2	correct
D02SET1	7	A3	A	B	1	1_4_3	1_4_4	incorrect
D02SET1	8	A3	A	B	1	1_4_4	1_2_4	incorrect
D02SET1	9	A3	A	B	1	1_3_4	1_3_4	correct
D02SET1	10	A4	A	B	1	1_4_2	1_4_2	correct
