condition_label,dataset_id,full_cite,short_cite,group_size,language,prior_relationship,partner_constancy,population,role_constancy,confederates,modality,feedback,backchannel,game_id,room_num,option_set,target,trial_num,rep_num,stage_num,exclude,exclusion_reason,order_match,action_type,player_id,role,time_stamp,age,gender,native_language,race,education,text,message_number,message_irrelevant,choice_id
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,3,1,1,1,FALSE,,order,selection,dyad1_matcher,matcher,76.5,,unknown,,,,,,FALSE,3
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,2,2,1,1,FALSE,,order,selection,dyad1_matcher,matcher,34.033,,unknown,,,,,,FALSE,2
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,6,3,1,1,FALSE,,order,selection,dyad1_matcher,matcher,18.933,,unknown,,,,,,FALSE,6
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,5,4,1,1,FALSE,,order,selection,dyad1_matcher,matcher,14.967,,unknown,,,,,,FALSE,5
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,1,5,1,1,FALSE,,order,selection,dyad1_matcher,matcher,6.4,,unknown,,,,,,FALSE,1
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad1,1,1;2;3;4;5;6,4,6,1,1,FALSE,,order,selection,dyad1_matcher,matcher,9.2,,unknown,,,,,,FALSE,4
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,3,1,1,1,FALSE,,order,selection,dyad10_matcher,matcher,21.033,,unknown,,,,,,FALSE,3
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,2,2,1,1,FALSE,,order,selection,dyad10_matcher,matcher,47.133,,unknown,,,,,,FALSE,3
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,5,3,1,1,FALSE,,order,selection,dyad10_matcher,matcher,26,,unknown,,,,,,FALSE,5
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,6,4,1,1,FALSE,,order,selection,dyad10_matcher,matcher,37.367,,unknown,,,,,,FALSE,6
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,4,5,1,1,FALSE,,order,selection,dyad10_matcher,matcher,14.9,,unknown,,,,,,FALSE,1
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad10,1,1;2;3;4;5;6,1,6,1,1,FALSE,,order,selection,dyad10_matcher,matcher,11.333,,unknown,,,,,,FALSE,1
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad11,1,1;2;3;4;5;6,3,1,1,1,FALSE,,order,selection,dyad11_matcher,matcher,33.4,,unknown,,,,,,FALSE,3
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad11,1,1;2;3;4;5;6,2,2,1,1,FALSE,,order,selection,dyad11_matcher,matcher,47.433,,unknown,,,,,,FALSE,2
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad11,1,1;2;3;4;5;6,5,3,1,1,FALSE,,order,selection,dyad11_matcher,matcher,42.2,,unknown,,,,,,FALSE,5
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad11,1,1;2;3;4;5;6,4,4,1,1,FALSE,,order,selection,dyad11_matcher,matcher,22.833,,unknown,,,,,,FALSE,4
experiment 1,dale2011_tangram,"Dale, R., Kirkham, N. Z., & Richardson, D. C. (2011). How two people become a tangram recognition system. In Proceedings of the European Conference on Computer-Supported Cooperative Work.",Dale et al. (2011),2,English,no,yes,adult,yes,no,oral-remote,none,full,dyad11,1,1;2;3;4;5;6,6,5,1,1,FALSE,,order,selection,dyad11_matcher,matcher,13.433,,unknown,,,,,,FALSE,6
