game,grid,target_position,role,message_id_num,message
16.0,1.0,chitchat,describer,1.0,hello
16.0,1.0,chitchat,matcher,2.0,hi :)
16.0,1.0,1.0,describer,3.0,number 1 is a guy that looks like he is praying with this hands to the right
16.0,1.0,1.0,matcher,4.0,got it
16.0,1.0,2.0,describer,5.0,number 2 is a man who looks like he's standing with one foot in the air to the left and his head on the right
16.0,1.0,2.0,matcher,6.0,ok
16.0,1.0,3.0,describer,7.0,number 3 is a man with his hands in the air looking like he's jumping
16.0,1.0,4.0,describer,8.0,number 4 i sa man with his foot parallel to the ground on the right and his arms to the left
16.0,1.0,5.0,describer,9.0,number 5 is a person on ground that doesn't look like a rabbit
16.0,1.0,6.0,describer,10.0,number 6 looks similar but with big pointy boobs
16.0,1.0,7.0,describer,11.0,number 7 looks like a person praying
16.0,1.0,8.0,describer,12.0,number 8 looks like a blob with no arms
16.0,1.0,9.0,describer,13.0,number 9 looks like a rabbit sitting on the groud
16.0,1.0,10.0,describer,14.0,number 10 looks like a woman praying with her arms to the left
16.0,1.0,11.0,describer,15.0,number 11 is a skinnier version of a blob with no arms that is 8
16.0,1.0,12.0,describer,16.0,number 12 is a man sitting with his legs pointed to the left
16.0,2.0,1.0,matcher,17.0,harder than it looked :/
16.0,2.0,1.0,describer,18.0,1 looks like a woman with large boobs pointed to the left
16.0,2.0,2.0,describer,19.0,2 is a man praying knealing with his arms to the right
16.0,2.0,3.0,describer,20.0,3 is a man standing and pointing to the left
16.0,2.0,4.0,describer,21.0,4 is a man sitting on the ground which was 12 last itme
16.0,2.0,5.0,describer,22.0,5 is a man standing on one leg with his head on the left
16.0,2.0,6.0,describer,23.0,6 is a man standing on one leg with his head on the right
16.0,2.0,7.0,describer,24.0,7 looks like the rabbit
16.0,2.0,8.0,describer,25.0,8 is a woman sitting down completely
16.0,2.0,9.0,describer,26.0,9 is a man jumping with his arms up
16.0,2.0,10.0,describer,27.0,10 is a woman sitting with her arms to the right side and smaller boobs
16.0,2.0,11.0,describer,28.0,11 is a large blob
