game,grid,targetPosition,chitchat,role,message
2,0,1,x,E, Do I talk now?
2,0,1,x,E,Okay.
2,0,1,x,E,"Oh, okay."
2,0,1,x,E,Yeah.
2,0,1,,D,"So this one is, it looks like a dude riding a, like an animal and the animal that the animal is facing to the left and the person's head is a square."
2,0,1,,D, and the the tail of the animal okay this one looks kind of like a bunny rabbit like two triangles on the top of his head and it's like the guy the bunny rabbit is like the bunny rabbit's body is a triangle
2,0,2,,D," Okay, this one looks like a priest who has his hands out pointed to the left."
2,0,3,,D,His head is a square.
2,0,3,,D,"Okay, this one is like a bulkier priest and his like a little stubby arm pointing to the right and it's a triangle."
2,0,4,,D," And his head is a square, and the foot..."
2,0,4,,D,"Okay, this one looks like an animal."
2,0,5,,D,"His head is a parallelogram, and it's pointing to the left."
2,0,5,,D,It has two legs.
2,0,5,,D," Okay, this one..."
2,0,6,,D,This one looks like an upside down Y.
2,0,6,,D,And the top is a square.
2,0,6,,D,The bottom...
2,0,7,x,D,"Okay, this one... Looks like... Just like..."
2,0,7,x,D, uh an oval blob with a square on top and like a tiny thing jutting out on the bottom right side um like looks like a like a like like the thick priest but like there's a little triangle
2,0,8,,D," Okay, this one has a triangle for the base, but then at the bottom right corner of the triangle is another upside down triangle."
2,0,8,,D,And the top is a square.
2,0,8,,D,"And on the left and right side, there's like two more shapes jutting out."
2,0,9,,D," Okay, this one looks like a scuba diver and the little flipper leg, the flipper feet are two triangles at the bottom and the scuba dive, yeah."
2,0,10,,D,"Okay, this one is like, it's very simple."
2,0,10,,D,It's just a parallelogram and then there's
2,0,10,,D, like a line coming down on the left side.
2,0,11,,D,"This one looks like, if you think of like a monk with like their robes, they're like, he's like standing and he's facing to the left and he's lifting one of his legs up."
2,0,11,,D, His head is a square.
2,0,11,,D,The feet are little triangles.
2,0,11,,D,"Another way to think of it is, oh, nice."
2,0,12,x,D," Okay, this one is just kind of like a line of shapes going from the top left to the bottom right."
2,0,12,,D,"It starts with like a triangle, then a trapezoid, then a parallelogram, and then a triangle."
2,0,13,,D,"This one reminds me of someone doing a handstand, like there's a square on the bottom."
2,0,13,,D, that I think is the head.
2,0,13,,D,And then the top is just a small triangle.
2,0,13,,D,"And then there's a big triangle at the bottom, at the very bottom."
2,0,13,,D,And the square is kind of like a quarter of the way up from the bottom of the picture.
2,0,13,,D, The top is like a tiny triangle.
2,0,14,,D,"Okay, this one reminds me of someone praying."
2,0,14,,D,The bottom is a parallelogram and they're kneeling towards the right.
2,0,14,,D,The bottom is a parallelogram.
2,0,15,,D," Okay, this one is like a scorpion."
2,0,15,,D,It has like a square and then two triangle arms and a tail going down to the right.
2,0,15,,D,"The bottom right, like the tail part is a parallelogram."
2,0,15,,D,"And there's like, there's a triangle"
2,0,15,,D," at the top that has like two triangles next to it, kind of making three points, kind of like a crown."
2,0,16,,D,"This is someone sitting down, their feet are pointed towards the left and their head is tilted down a little bit."
2,0,17,,D," Okay, this one is a rectangle slanted pointing from the top left to the bottom right."
2,0,17,,D,And then there's like shapes attached to it.
2,0,17,,D,
2,0,17,,D,So there's a triangle on like the bottom side.
2,0,18,,D,This one is a house and there's a rectangle on the right side sticking up.
2,0,19,,D, This one has a square on the top and then like two triangles pointed out from the sides
2,0,19,,D,but the triangle on the right is like detached from the main body and then the bottom is like a bunch of shapes.
2,0,20,,D," Okay, this one looks like the animal from before, but its head is a triangle."
2,0,20,,D,And its front legs are bigger than the back legs.
2,0,20,,D,And it has a parallelogram tail.
2,0,21,,D,This one reminds me of an ostrich.
2,0,21,,D,"Its head is pointed to the right, and it has two triangle feet at the bottom."
2,0,21,,D,Looks like a swan or something.
2,0,22,,D, This one reminds me of a person dancing kind of.
2,0,22,,D,There's a rectangle at the base kind of going up and down.
2,0,22,,D,And then there's a triangle on the right.
2,0,22,,D,"And then on the left side of the rectangle is a square and two more triangles, like the person's arms."
2,0,22,x,D,They're doing like a thingy.
2,0,23,,D," This one is a symmetrical object, square on the top, looks like a spaceship on the bottom."
2,0,24,,D,"Okay, this one also symmetrical."
2,0,24,,D,This one is two diamonds on top of each other with a square on top.
2,0,25,,D," Okay, this one is like the person praying."
2,0,25,x,M,Oh.
2,0,25,x,M,Oops.
