dataset_id,condition_label,full_cite,short_cite,language,game_id,player_id,trial_num,rep_num,room_num,stage_num,age,gender,role,target,message_number,text,choice_id,time_stamp,option_set,group_size,structure,exclude,exclusion_reason,action_type,message_irrelevant
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,1,1,1,1,NA,NA,describer,E,1,What is in space one a small diamond shape on top of a long rectangle. the left side of the rectangle is straight edged and the right side has indentations ok,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,1,1,1,1,NA,NA,matcher,E,NA,NA,E,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,2,1,1,1,NA,NA,describer,B,2,"2 ? on the top left, a diamond shape is connected to a triangle. the bottom look like a trapezoid attached to a larger base. on the left side of the bottom is another small triangle shape blending into the base ok i think i have it.  try thinking of them as a person and what they may be doing  like  2  looks like it is ice skating okay I think I didn't explain well.",NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,2,1,1,1,NA,NA,matcher,B,NA,NA,B,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,3,1,1,1,NA,NA,describer,F,3,3  has a point facing directly upward on the bottom. the other is,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,3,1,1,1,NA,NA,matcher,F,NA,NA,F,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,4,1,1,1,NA,NA,describer,I,4,number 4 4.  4 . The other has its back facing the right side of the box and the legs are more defined. this is,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,4,1,1,1,NA,NA,matcher,I,NA,NA,I,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,5,1,1,1,NA,NA,describer,D,5,5  looks like a person walking forward but their head is looking behind. one foot is lifted ok keep going i think i got it there are two that look like someone leaning up against something and looking down. one looks kind of like a bunny and the back is on the left side of the box. that's,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,5,1,1,1,NA,NA,matcher,D,NA,NA,D,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,6,1,1,1,NA,NA,describer,H,6,6  looks like a person worshiping (lifting hands toward the sky),NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,6,1,1,1,NA,NA,matcher,H,NA,NA,H,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,7,1,1,1,NA,NA,describer,J,7,7  looks like a person kneeling down to pray  number 7 7,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,7,1,1,1,NA,NA,matcher,J,NA,NA,J,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,8,1,1,1,NA,NA,describer,K,8,number 8 8,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,8,1,1,1,NA,NA,matcher,K,NA,NA,K,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,9,1,1,1,NA,NA,describer,L,9,9  looks like a monk or something facing an alter let me know what's missing or if a description isn't clear! ok  hold on looking good OK I think we got it cool :),NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,9,1,1,1,NA,NA,matcher,L,NA,NA,L,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,10,1,1,1,NA,NA,describer,A,10,number 10 10  looks like a person leaning backwards with one foot forward. maybe like a woman wearing a dress with a long train,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,10,1,1,1,NA,NA,matcher,A,NA,NA,A,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,11,1,1,1,NA,NA,describer,C,11,11  looks like a big blob of a person with a diamond shaped head. maybe a swaddled baby Okay i noticed there are two that look like praying.,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,11,1,1,1,NA,NA,matcher,C,NA,NA,C,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,12,1,1,1,NA,NA,describer,G,12,Number 12 12  though looks like ice skating. I'll just go ahead and tell you where the ones go that look like people ok,NA,1459980366978,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,12,1,1,1,NA,NA,matcher,G,NA,NA,G,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,13,2,1,1,NA,NA,describer,B,1,for this one just give me key words number one is the same as last round number two is the person looking back with one leg up,NA,1459981283496,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_matcher,13,2,1,1,NA,NA,matcher,B,NA,NA,B,NA,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,selection,NA
hawkins2020_characterizing_uncued,unconstrained,"Hawkins, R. D., Frank, M. C., & Goodman, N. D. (2020)...",Hawkins et al. (2020),English,0064-7,0064-7_describer,14,2,1,1,NA,NA,describer,E,2,number 2 2  from the last one if you remember but if not save it for last),NA,1459981283496,A;B;C;D;E;F;G;H;I;J;K;L,2,thick,FALSE,NA,message,FALSE
