gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JHDRYFJ2BRY23J4SFBVWGDG5,2,01JHDRYFHR67P3C94Z2470CP6S,4,noncomp,ended,"[[318,179],[282,56],[100,7],[200,411],[4,71],[296,183],[48,278],[307,90],[257,344],[409,334],[432,149],[238,272],[292,304],[198,150],[207,157],[413,219]]",270
01JHDS0G7D57MN6NVVBM5B0W5H,NA,01JHDS0G72B8TPHMF9C775SBX1,NA,NA,terminated,NA,NA
01JHDRXZZNS6W0KNGZCH2B1KKK,2,01JHDRXZZ1K7XTRTT10AGGG9CS,4,noncomp,ended,"[[259,444],[130,465],[61,103],[218,325],[397,107],[213,115],[285,113],[71,11],[289,190],[6,346],[322,100],[165,386],[224,361],[436,445],[95,418],[407,119]]",180
01JHDRYFJ2BRY23J4SFMJNZ8M5,2,01JHDRYFHR67P3C94Z2470CP6S,4,noncomp,ended,"[[269,39],[117,469],[244,351],[385,330],[170,336],[441,246],[421,4],[70,169],[292,427],[293,155],[339,153],[381,65],[134,358],[289,119],[15,82],[422,424]]",0
01JHDS0KXC5VRF4K1N0K42GW13,2,01JHDS0KWZQDR4ZDSJ946RVYYZ,4,noncomp,ended,"[[268,39],[448,349],[6,127],[78,443],[264,469],[382,431],[434,340],[451,357],[442,358],[305,244],[25,45],[399,459],[374,73],[217,375],[341,316],[37,189]]",270
01JHDSEFMD6K1XBGABRT6PP5YG,NA,01JHDSEFKX60A86FMYSZFBT7QT,NA,NA,terminated,NA,NA
01JHDRY6FPS99E2NA6HEZHD8AK,2,01JHDRY6FB1TBNBEXV082FF6QB,4,noncomp,ended,"[[338,405],[447,310],[68,105],[255,386],[208,186],[316,426],[76,320],[48,117],[282,144],[133,293],[356,466],[399,183],[170,215],[392,444],[38,224],[385,26]]",0
01JHDS085RCQV90KFQ343HD284,NA,01JHDS085DG2JCY6SPVART79EB,NA,NA,terminated,NA,NA
01JHDS085RCQV90KFQ3F6XP49D,NA,01JHDS085DG2JCY6SPVART79EB,NA,NA,terminated,NA,NA
01JHDS0JDGF55CETX8ZBQ4WAAS,2,01JHDS0JD6F5ZWXYZ2Y0138XQT,4,noncomp,ended,"[[248,14],[361,85],[365,392],[300,121],[53,321],[0,21],[396,274],[224,417],[174,113],[7,291],[202,253],[40,352],[240,419],[400,255],[377,325],[171,328]]",0
01JHDSEN9DC4QXFP61HDZDXMVF,2,01JHDSEJNE0PF4D7D0T70GWRBY,4,noncomp,ended,"[[383,34],[177,216],[270,102],[129,321],[272,132],[255,402],[392,101],[410,62],[390,80],[314,133],[240,108],[183,431],[205,265],[211,353],[39,104],[143,147]]",270
01JHDSENBHY9B83RV9ECKWENWM,2,01JHDSEMQ1W9PJDN5ZFGSWNVJD,4,noncomp,ended,"[[97,82],[90,288],[328,443],[390,298],[34,346],[103,216],[152,325],[137,30],[80,460],[271,196],[135,147],[310,109],[220,438],[0,313],[81,159],[126,140]]",90
01JHDRZYSNG3RFE75FZ24N6F1G,NA,01JHDRZYSA58F55VK29JEE76Y9,NA,NA,terminated,NA,NA
01JHDS1770MB5T74TWS2RP4EDF,NA,01JHDS176P2AW3PG6WBZRGX0RE,NA,NA,terminated,NA,NA
01JHDSENYPABY2MSRZV13BSGJF,NA,01JHDSENY4G00AY1HMTWTRQZZH,NA,NA,NA,NA,NA
01JHDSENAEPD9Q0CA36C3V4EG2,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,noncomp,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180
01JHDRY6FPS99E2NA6HQM9PWXY,2,01JHDRY6FB1TBNBEXV082FF6QB,4,noncomp,ended,"[[124,363],[337,160],[435,43],[366,375],[432,9],[157,403],[44,112],[191,158],[305,47],[241,339],[228,240],[292,405],[431,273],[68,13],[56,88],[128,177]]",90
01JHDRYCB4YXZE09EG2KMY001G,2,01JHDRYCASHM533JE5DAZYMGMC,4,noncomp,ended,"[[126,454],[208,146],[18,249],[131,253],[259,79],[139,376],[5,85],[28,309],[306,202],[89,413],[7,203],[271,33],[375,308],[430,210],[4,339],[103,230]]",270
01JHDRYCB5FSS04RVSYX0D80DF,2,01JHDRYCASHM533JE5DAZYMGMC,4,noncomp,ended,"[[443,4],[440,270],[355,222],[224,179],[143,146],[259,154],[431,465],[267,178],[288,93],[383,108],[280,202],[81,320],[142,421],[256,439],[109,153],[352,28]]",0
01JHDRYRE2FDEZZD13T1M5NP7E,2,01JHDRYRDQ4STSHJ7VKH0MF43T,4,noncomp,ended,"[[380,103],[456,197],[425,394],[353,196],[2,115],[165,204],[364,418],[433,101],[231,404],[252,315],[338,159],[443,232],[330,172],[0,269],[53,344],[455,230]]",180
01JHDS0JDFWEZFP4XZA40N32NX,2,01JHDS0JD6F5ZWXYZ2Y0138XQT,4,noncomp,ended,"[[281,129],[17,443],[40,171],[314,203],[294,72],[199,189],[214,384],[350,266],[446,252],[134,118],[23,39],[369,11],[177,333],[465,428],[83,318],[179,144]]",0
01JHDS1770MB5T74TWRRGT4RG1,NA,01JHDS176P2AW3PG6WBZRGX0RE,NA,NA,terminated,NA,NA
01JHDS0G7CG48XJ1H5AV8ETX0X,NA,01JHDS0G72B8TPHMF9C775SBX1,NA,NA,terminated,NA,NA
01JHDSENAYK76DQX37J3H6VY74,2,01JHDSEMAY2JK76HMF0WAJJX4B,4,noncomp,ended,"[[194,282],[7,220],[128,421],[108,97],[289,358],[308,187],[21,226],[360,205],[189,419],[102,297],[443,257],[346,20],[115,457],[255,161],[347,254],[125,292]]",90
01JHDSENJ361Q88NK0RNYC6QW9,NA,01JHDSENGSXYPSFF0ESZ89GVTZ,NA,NA,NA,NA,NA
01JHDSGVY5XKZ5JACSCPTE9PS5,NA,01JHDSGVX2SRHA23DT0F97EBA0,NA,NA,NA,NA,NA
