prolificID,bonus
629f470832dba055c9d39800,1.56
5e8eea7d2ee237000aef1557,1.71
67487774795dad45665fb5bb,1.65
5422cca4fdf99b328c91b21b,1.89
63f93b47bb0c1a1aca131480,0.72
67816197ba611c1962b8d6b0,1.62
653e69acd1d1340f02fa4cbc,1.62
56b10faa6399f90011da710d,1.86
664dfbf4a8188185b87483af,1.71
6689c0517b434cf8f3558044,1.74
6658c0ba506a8a9c5f1e508b,1.86
67788d56b0649738394f5b8b,1.8
6661b368a58b43154e1c7560,1.89
66b3ae98942b4b0487d503c1,1.83
5ecdccc7967c2c15a39aa395,1.83
5ece9e3b3a19db0cf5af6692,1.86
5d9943563cc967001452334a,1.8
5fd89ebca76f0e0008c466a7,1.86
677e3435b16ff7572b1934d2,0.72
5ce1d069f71e090016ae4a57,1.56
628775652a4a95dff424b930,1.74
673b25f4fc8a81345363741e,1.65
