gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JHJWWPJR83QP2QEC54ZJQ54V,2,01JHJWWPJGAYKAMTFJ0SSHV5WG,4,comp-within,ended,"[[74,331],[74,294],[74,296],[74,108],[143,331],[143,294],[143,296],[143,108],[436,331],[436,294],[436,296],[436,108],[48,331],[48,294],[48,296],[48,108]]",90
01JHJWWQEF1JC4VY5WVK1CDVQW,2,01JHJWWQE8HKPG202A2EJB9B9C,4,comp-within,ended,"[[234,456],[234,463],[234,468],[234,465],[181,456],[181,463],[181,468],[181,465],[100,456],[100,463],[100,468],[100,465],[253,456],[253,463],[253,468],[253,465]]",90
01JHK109ZZFWSNN1EJS7PDWT9M,2,01JHK109TRP7E5C8BDN0CZ8V4G,4,comp-within,ended,"[[18,156],[18,174],[18,132],[18,84],[224,156],[224,174],[224,132],[224,84],[52,156],[52,174],[52,132],[52,84],[62,156],[62,174],[62,132],[62,84]]",180
01JHK10CWKW4JE97FPMNJAPZ3J,2,01JHK10CHEAQ3YBD6YGJRYZ8FX,4,comp-within,ended,"[[399,265],[399,6],[399,37],[399,311],[372,265],[372,6],[372,37],[372,311],[215,265],[215,6],[215,37],[215,311],[340,265],[340,6],[340,37],[340,311]]",90
01JHK2F7F1WEX5RQDVMXSVAK88,NA,01JHK2F6CTS5XFSFJCWW3F9KWN,NA,NA,NA,NA,NA
01JHJWWNSF0BKJVW3S7DASN6KA,2,01JHJWWNS7ZKN98YF4FH3A5H3Z,4,comp-within,ended,"[[18,159],[18,317],[18,428],[18,432],[89,159],[89,317],[89,428],[89,432],[314,159],[314,317],[314,428],[314,432],[68,159],[68,317],[68,428],[68,432]]",0
01JHJWX77ARC6A5VVZB8WD200K,2,01JHJWX76Y9X51E883MBA54M66,4,comp-within,ended,"[[11,115],[11,374],[11,316],[11,92],[114,115],[114,374],[114,316],[114,92],[204,115],[204,374],[204,316],[204,92],[409,115],[409,374],[409,316],[409,92]]",180
01JHK10BPAKS2CS76ZV1WD7KYG,2,01JHK10BF3WGZXCJWGVFWS0CZR,4,comp-within,ended,"[[246,364],[246,26],[246,303],[246,70],[312,364],[312,26],[312,303],[312,70],[180,364],[180,26],[180,303],[180,70],[126,364],[126,26],[126,303],[126,70]]",270
01JHK10EN608ERGFWC000TC95X,2,01JHK10DTKGQ0ZVMYE996YJ97B,4,comp-within,ended,"[[164,130],[164,439],[164,456],[164,319],[459,130],[459,439],[459,456],[459,319],[317,130],[317,439],[317,456],[317,319],[97,130],[97,439],[97,456],[97,319]]",270
01JHJWWGBGQJXY41R0N93M4MK6,2,01JHJWWGAZPYRQRQ4QPTHRC9TR,4,comp-within,ended,"[[75,270],[75,254],[75,252],[75,329],[426,270],[426,254],[426,252],[426,329],[57,270],[57,254],[57,252],[57,329],[353,270],[353,254],[353,252],[353,329]]",180
01JHJWWR88B85YE4VPJ8F2ECX0,2,01JHJWWR80D8E8P95FYGY05PTH,4,comp-within,ended,"[[371,372],[371,245],[371,280],[371,218],[184,372],[184,245],[184,280],[184,218],[99,372],[99,245],[99,280],[99,218],[137,372],[137,245],[137,280],[137,218]]",90
01JHK10614HRDF4Q17NBQYFXYQ,2,01JHK105T1F1VMB2H7PY5Q5H9S,4,comp-within,ended,"[[110,108],[110,38],[110,2],[110,319],[381,108],[381,38],[381,2],[381,319],[62,108],[62,38],[62,2],[62,319],[13,108],[13,38],[13,2],[13,319]]",0
01JHJWWJSYJ4G2J58ZYFZBYVDP,2,01JHJWWJSMED1JBQ57A2349H3P,4,comp-within,ended,"[[355,412],[355,341],[355,150],[355,456],[397,412],[397,341],[397,150],[397,456],[387,412],[387,341],[387,150],[387,456],[34,412],[34,341],[34,150],[34,456]]",90
