playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JHZRTNAMY3FPZ56PB44A5XSC,6737fbf250cb4f94c3ab8d39,0,NA,01JHZRP8KVCX3R8FVFXCFDNEJC,NA,NA,NA,NA,NA,NA,NA
01JHZRVRD6ACDZJ7TW036CRTCJ,6724c8478f4d55dd8f258085,NA,NA,01JHZRPV7MGZXQTK2PZ2D5X7DJ,NA,NA,NA,NA,NA,NA,NA
01JHZRVSX0XBRK8YR4Z7PETKNS,5af99bfc33b0ee00011eeb2d,1.86,TRUE,01JHZRP2YRNPPJXJSSTHEBS9MA,28,male,match their descriptions,yeh they were good,worked well,master,NA
01JHZS3Q2J7RMAT9QKRTB316CG,6769429027e91829ace6763a,0,TRUE,01JHZRP8WXRF6WDGRBH1CMQ18G,NA,NA,NA,NA,NA,NA,nogame
01JHZRSPSK6AVZ697ZQS44CPSJ,62f3b543dce069211e8e982c,1.74,TRUE,01JHZRP28EFJNTK7PEWYZB3W3R,64,Male,"I concentrated on recognisable shapes, especially if those shapes were blank in the middle, or ""pointing"" outwards","Yes. We soon ""got on each other's wavelength""","Once or twice I felt we were right, but were marked as wrong!",other,NA
01JHZRT6Q6RDPM2KX26E2808TN,6680071d60b3642bcf5dad37,0.87,TRUE,01JHZRP65RP1HTS3WQF69JTY33,27,Male,Team work,Yes ,Player was disconnected last minute.,master,NA
01JHZRV3XYTXJHJZZF086ST9DG,5e766b0ba02ca51dfa1de797,1.74,TRUE,01JHZRP5AAR0CEZ1RZS1WKMAVK,62,Male,Random,"Yes, used the same definitions to describe the same shape after a few rounds",No problems.,master,NA
01JHZRZ4AJ2MMWCEDDG1ZDVPTS,6631974094690f6997799b7c,1.65,TRUE,01JHZRP4GV3C4QB3FS4ACE3M85,36,male,nicknames instead of actual descriptions,"enjoyed playing with my partner, smart fellow","none, I put other in highest educational qualification above, I have a Bachelor's but I am from the UK not the US",other,NA
01JHZRSDDRM2H6JGRWBTNPYQ8Q,673c8683b1c8a4c8a79d02d8,0.87,TRUE,01JHZRP65RP1HTS3WQF69JTY33,39,female,it was kind of fun ,yes i did,none,high-school,NA
01JHZTVJNXTR84R04FKSHS6PZW,672628f1dd186b536530f278,0,TRUE,01JHZRP8KVCX3R8FVFXCFDNEJC,41,Male,,,,master,NA
01JHZRSZ875V9R6ZQ5EP26YXRS,5c17c149f596b100011ca8b8,0.09,TRUE,01JHZRP6GXA9WSY32V5XKT1SEW,37,female,i just tried to describe the shapes.,"Not at all, they wouldn't even help me. I kept asking please describe. They would only talk when it was their turn.",The other player was not great to work with at all.,master,NA
01JHZRSNWT06C9C1A8ZRVFYQRV,5e3c759575109a055e99b38a,1.86,TRUE,01JHZRP45TCZZ7KAXYDEKZSPW3,43,male,"trying to find an analogy, such as H and K looking","yes, great fun, we seemed to understand each other well","great fun, thoroughly enjoyed :)",master,NA
01JHZRTC85RJCKTKTVQNERJV0P,650072ae8de93bfe76ee318d,0.06,TRUE,01JHZRP3SY1T8B3B1TR2PGH877,72,male,give an obvious and simple clue,"No, the partner was not very responsive and did not give good clues. I think it was an AI because a human would have done much better.",,master,NA
01JHZRZNRK023SAEGC8TTY0XGZ,678969200a76abe09fd2a75c,1.68,TRUE,01JHZRP6W58PW0QH0Q8CX5R6E1,28,male,imagery,"yes, he is smart and sharp",,other,NA
01JHZS3MCJCXT896K5P9H85G05,67826c0cd5858c9d420da7ff,0,TRUE,01JHZRP8WXRF6WDGRBH1CMQ18G,NA,NA,NA,NA,NA,NA,nogame
01JHZRSBY2EW7TZ5AB58ER24XM,669a9e052cc32d5a552d2fe8,1.89,TRUE,01JHZRP13EEXZA7X6Q5VAKFQ00,35,nonbinary,"simple descriptions, use language of the other player, find common descriptions",yes! we seemed to share a strategy and got all except one!,sometimes I could not select an item even though i was clicking,bachelor,NA
