roundID,text,playerID,director_msg,chit_chat
01JJWT2DESZV1XP3W76XCKTD47,1,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWRCJTJG4JVR1KB7JCXEHGV,3,01JJWQTXQM91R5N41GK9CWG50N,TRUE,FALSE
01JJWRCJVRKCVWWSZJGRJH18ZG,3,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRCJTX3VHXJ5JDRA7E4GNE,3,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRCJQ8BD9K7Z8KBW1BY9T5,waiting,01JJWQTXQM91R5N41GK9CWG50N,FALSE,FALSE
01JJWRCJT7XQZHH05A13H75P2J,3,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRCJW8JGVEWY1JKEQQ4ZVY,3,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRCJTESDMYYMN39YH3K9QY,3,01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRN5S9X51AN43CY4G9V5CP,hi,01JJWRA8P00NRWVV7JQMKBQJJE,FALSE,FALSE
01JJWRN5S9X51AN43CY4G9V5CP,the second one right,01JJWRA8P00NRWVV7JQMKBQJJE,FALSE,FALSE
01JJWRCJRENTJ85KCGNXF4MZ8X,",most mas",01JJWQSZ3PH7J34ZEQJC6RD3WS,TRUE,FALSE
01JJWRN5S9X51AN43CY4G9V5CP,okay,01JJWRA8P00NRWVV7JQMKBQJJE,FALSE,FALSE
01JJWRGAN8MYDC9PQXF6QWNSSC,??,01JJWR6YPRBYZDQS37TNVZ17DG,TRUE,TRUE
01JJWRGAK1VHRA2QA539EQXRTD,???,01JJWR8KFVXWYDQ6YE1YR69PA7,TRUE,TRUE
01JJWT6PQQQRDBPCF3BNMQQ2ZD,hello,01JJWT1E1ZYRXCAGZ20P4CJP3G,FALSE,FALSE
01JJWT58A1HQ1718KPJT8BG90T,"""C"" on top",01JJWSYBXDXFM32P6SABPF01YG,TRUE,FALSE
01JJWT588EFPSSKQR8QT8P3T2T,"""c"" on top flat bottom",01JJWT1R37X3T25GBD6TDVV3MY,TRUE,FALSE
01JJWRBMXDJVEY6FED8AN5W0J5,@ ear ear like u and one leg,01JJWQYAXFA06T43169FFGR53K,TRUE,FALSE
01JJWT2CSW581AXRA8EZ1AR4SY,@ poles,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWRCJS53A7VYK8V7GHZHWCW,"@ shapes put together, starting with inverted Y like shape",01JJWQTXQM91R5N41GK9CWG50N,TRUE,FALSE
01JJWT2DH0PSEF7SH56E45P58V,1 pole,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2DW44RNAEX2TMHEGRZC7,1 pole,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2D6F0KJJ6VMS63Z6DN4Z,1 pole,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2D06N8SP2XJ1JMA4MQHP,1 pole,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT6NAA4J2KQJDDEX79SQX5,hello,01JJWT1E1ZYRXCAGZ20P4CJP3G,FALSE,FALSE
01JJWT2DXKR87AG5FFFBGTMXVG,1 pole,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2D9GP8WM9EQEDZ3BT9YE,1 pole,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2DQQM0H6VJ8B7HNTD1TM,1 pole,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2D47CD9D89AWVXG32YRY,1 pole,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWT2CRDQ0009VA84C44ZGHZ,1 pole,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWT2CXXY7M23F8PAW4VQ9G2,1 pole start,01JJWST72D8JMBPRE0MBSC2V01,TRUE,FALSE
01JJWR0Z1690KJS77B3MRZCFCC,2 diamond cut outs,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0Z019Y8KECMBEXJX2ARP,2 diamond cut-outs,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWR0YZHXQ8ZD5PGMZ968CE3,2 diamond-shaped cut-outs inside shape,01JJWQSP07CN8VJT9PQX1RFC4D,TRUE,FALSE
01JJWRBN0A37ZNTC613AGY4RF6,2 ear outside,01JJWQYAXFA06T43169FFGR53K,TRUE,FALSE
01JJWRBMXAZY94NJNE60ZN1AG6,2 ear shooting out with one leg,01JJWQYAXFA06T43169FFGR53K,TRUE,FALSE
01JJWRGAM98ESMAHS5SZ4FZ3PK,2 edge triangle,01JJWR8KFVXWYDQ6YE1YR69PA7,TRUE,FALSE
01JJWRFMRQ8CG8YSN5EEBZ777Y,Description,01JJWQYD6ANY9ACM10DYW7CBSF,FALSE,FALSE
01JJWRGANEK11FESE8Q0WX1AQN,2 edge triangle,01JJWR8KFVXWYDQ6YE1YR69PA7,TRUE,FALSE
01JJWT2CDJ53RCXBJA1WXF9C8F,2 fan wings,01JJWT0FH8RHRQM88PVVV8GQBQ,TRUE,FALSE
01JJWR5NN823XFN3BBRSDA77HT,2 legs,01JJWQS2GVABVS7896RA49V4PP,TRUE,FALSE
01JJWRFMQ7HRRGN28SK7AT0TTB,DDescription,01JJWR0420CMA9MSBPY8QTX9E6,FALSE,FALSE
