id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JJWR9XJ4ZD619Y95RE0R0ZV5,01JJWQM7TM155FQQT963NJTQYH,2025-01-30T23:21:26.340751737Z,"[{""text"":""m"",""sender"":{""id"":""01JJWQZ0K0VHSQ7ZK82E10VDV8"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T23:37:42.712799826Z,true,2025-01-30T23:37:48.128260204Z,01JJWQZ0K0VHSQ7ZK82E10VDV8,2025-01-30T23:37:37.641128134Z,true,2025-01-30T23:37:48.105817219Z,01JJWQM7TRXWKY9X7MEZG3PZQH,2025-01-30T23:21:26.340751737Z,54,2025-01-30T23:21:26.340751737Z,false,2025-01-30T23:37:37.936963227Z,01JJWQSTTZJ2MSZBK7K9MA36YQ,2025-01-30T23:37:37.641128134Z,65,2025-01-30T23:21:26.340751737Z,3,2025-01-30T23:21:26.340751737Z,4,2025-01-30T23:21:26.340751737Z,/tangrams/364_410.png,2025-01-30T23:37:48.128260204Z,/tangrams/364_410.png,2025-01-30T23:37:44.868619729Z,2,2025-01-30T23:21:27.283654245Z,true,2025-01-30T23:37:37.54063718Z,"[""/tangrams/364_410.png"",""/tangrams/243_298.png"",""/tangrams/1_435.png"",""/tangrams/172_145.png""]",2025-01-30T23:21:26.340751737Z,/tangrams/364_410.png,2025-01-30T23:21:26.340751737Z,7,2025-01-30T23:21:26.340751737Z,54,2025-01-30T23:21:26.340751737Z
01JJWRBN2N210PPV2XSG6C7ZV9,01JJWQM840Z0BG2FHG8QXR6DZ6,2025-01-30T23:22:23.189976207Z,,,,,,,false,2025-01-30T23:22:23.189976207Z,01JJWQM844MK0XHZFTGEC09EQ6,2025-01-30T23:22:23.189976207Z,50,2025-01-30T23:22:23.189976207Z,,,,,65,2025-01-30T23:22:23.189976207Z,3,2025-01-30T23:22:23.189976207Z,4,2025-01-30T23:22:23.189976207Z,,,,,2,2025-01-30T23:22:24.189589396Z,false,2025-01-30T23:22:23.189976207Z,"[""/tangrams/42_417.png"",""/tangrams/14_179.png"",""/tangrams/25_279.png"",""/tangrams/249_112.png""]",2025-01-30T23:22:23.189976207Z,/tangrams/249_112.png,2025-01-30T23:22:23.189976207Z,3,2025-01-30T23:22:23.189976207Z,50,2025-01-30T23:22:23.189976207Z
01JJWT58GY5D0AYP1G7V1F0B7Q,01JJWSR2PJAD62S5DSKVKPJWB1,2025-01-30T23:53:50.878881188Z,"[{""text"":""slight point, hexagon on top"",""sender"":{""id"":""01JJWT1R37X3T25GBD6TDVV3MY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-31T00:16:22.338004545Z,true,2025-01-31T00:16:29.482388908Z,01JJWT1R37X3T25GBD6TDVV3MY,2025-01-31T00:16:13.766757549Z,true,2025-01-31T00:16:29.442944996Z,01JJWSR2RMXQ5JGXR7VBY26NTR,2025-01-30T23:53:50.878881188Z,56,2025-01-30T23:53:50.878881188Z,false,2025-01-31T00:16:14.173670322Z,01JJWSYBXDXFM32P6SABPF01YG,2025-01-31T00:16:13.766757549Z,65,2025-01-30T23:53:50.878881188Z,3,2025-01-30T23:53:50.878881188Z,4,2025-01-30T23:53:50.878881188Z,/tangrams/212_66.png,2025-01-31T00:16:29.482388908Z,/tangrams/212_66.png,2025-01-31T00:16:25.997808722Z,2,2025-01-30T23:53:57.144639071Z,true,2025-01-31T00:16:13.597074391Z,"[""/tangrams/165_454.png"",""/tangrams/212_66.png"",""/tangrams/428_288.png"",""/tangrams/114_354.png""]",2025-01-30T23:53:50.878881188Z,/tangrams/212_66.png,2025-01-30T23:53:50.878881188Z,9,2025-01-30T23:53:50.878881188Z,56,2025-01-30T23:53:50.878881188Z
01JJWR2VGZR31DSA7YSDWN0XTK,01JJWQM4EKDS1SF643D6Q2CW8J,2025-01-30T23:17:34.879036436Z,"[{""text"":""white rectangle at the bottom"",""sender"":{""id"":""01JJWQS0RJWGHXVT4DCY7G6C9V"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T23:38:54.962476558Z,true,2025-01-30T23:39:00.458222651Z,01JJWQS0RJWGHXVT4DCY7G6C9V,2025-01-30T23:38:46.646859223Z,true,2025-01-30T23:39:00.436693581Z,01JJWQM4ESCAKJV1KX886CJPAJ,2025-01-30T23:17:34.879036436Z,49,2025-01-30T23:17:34.879036436Z,false,2025-01-30T23:38:46.814299952Z,01JJWQXQKSZ2ZK2K09ZDQ521T6,2025-01-30T23:38:46.646859223Z,65,2025-01-30T23:17:34.879036436Z,3,2025-01-30T23:17:34.879036436Z,4,2025-01-30T23:17:34.879036436Z,/tangrams/141_61.png,2025-01-30T23:39:00.458222651Z,/tangrams/141_61.png,2025-01-30T23:38:57.646492962Z,2,2025-01-30T23:17:35.400747774Z,true,2025-01-30T23:38:46.556740137Z,"[""/tangrams/334_163.png"",""/tangrams/177_244.png"",""/tangrams/263_63.png"",""/tangrams/141_61.png""]",2025-01-30T23:17:34.879036436Z,/tangrams/141_61.png,2025-01-30T23:17:34.879036436Z,2,2025-01-30T23:17:34.879036436Z,49,2025-01-30T23:17:34.879036436Z
01JJWR9XG4FHG6C3DQ61DNQ24R,01JJWQM7TM155FQQT963NJTQYH,2025-01-30T23:21:26.276985012Z,"[{""text"":""diamond top"",""sender"":{""id"":""01JJWQZ0K0VHSQ7ZK82E10VDV8"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T23:29:48.700918031Z,true,2025-01-30T23:29:54.02456842Z,01JJWQZ0K0VHSQ7ZK82E10VDV8,2025-01-30T23:29:43.408770326Z,true,2025-01-30T23:29:54.008452268Z,01JJWQM7TRXWKY9X7MEZG3PZQH,2025-01-30T23:21:26.276985012Z,18,2025-01-30T23:21:26.276985012Z,false,2025-01-30T23:29:43.794463816Z,01JJWQSTTZJ2MSZBK7K9MA36YQ,2025-01-30T23:29:43.408770326Z,65,2025-01-30T23:21:26.276985012Z,1,2025-01-30T23:21:26.276985012Z,4,2025-01-30T23:21:26.276985012Z,/tangrams/172_298.png,2025-01-30T23:29:54.02456842Z,/tangrams/172_298.png,2025-01-30T23:29:50.822466222Z,2,2025-01-30T23:21:26.746035289Z,true,2025-01-30T23:29:43.34908041Z,"[""/tangrams/1_410.png"",""/tangrams/364_145.png"",""/tangrams/243_435.png"",""/tangrams/172_298.png""]",2025-01-30T23:21:26.276985012Z,/tangrams/172_298.png,2025-01-30T23:21:26.276985012Z,3,2025-01-30T23:21:26.276985012Z,18,2025-01-30T23:21:26.276985012Z
01JJWRCJQ8BD9K7Z8KBW1BY9T5,01JJWQM8BPBXGY83RHRB9APS1Q,2025-01-30T23:22:53.544705966Z,"[{""text"":""waiting"",""sender"":{""id"":""01JJWQTXQM91R5N41GK9CWG50N"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""has a 3 in it"",""sender"":{""id"":""01JJWQSZ3PH7J34ZEQJC6RD3WS"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T23:35:56.181879052Z,true,2025-01-30T23:36:04.559796573Z,01JJWQSZ3PH7J34ZEQJC6RD3WS,2025-01-30T23:35:31.324165477Z,true,2025-01-30T23:36:04.538570516Z,01JJWQM8BVGK0ZH8GATDR81V9G,2025-01-30T23:22:53.544705966Z,17,2025-01-30T23:22:53.544705966Z,false,2025-01-30T23:35:31.929399512Z,01JJWQTXQM91R5N41GK9CWG50N,2025-01-30T23:35:31.324165477Z,65,2025-01-30T23:22:53.544705966Z,1,2025-01-30T23:22:53.544705966Z,4,2025-01-30T23:22:53.544705966Z,/tangrams/392_226.png,2025-01-30T23:36:04.559796573Z,/tangrams/392_226.png,2025-01-30T23:36:01.28310383Z,2,2025-01-30T23:22:54.104158531Z,true,2025-01-30T23:35:31.179828434Z,"[""/tangrams/110_334.png"",""/tangrams/392_226.png"",""/tangrams/395_327.png"",""/tangrams/46_406.png""]",2025-01-30T23:22:53.544705966Z,/tangrams/392_226.png,2025-01-30T23:22:53.544705966Z,2,2025-01-30T23:22:53.544705966Z,17,2025-01-30T23:22:53.544705966Z
01JJWRFMYYDN08TB8EMMY8B987,01JJWQM8WB4YBRRV3APRJQ9E36,2025-01-30T23:24:34.14231976Z,"[{""text"":""curved bottom"",""sender"":{""id"":""01JJWQYD6ANY9ACM10DYW7CBSF"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T23:44:29.059076887Z,true,2025-01-30T23:44:34.798191132Z,01JJWQYD6ANY9ACM10DYW7CBSF,2025-01-30T23:44:19.486234491Z,true,2025-01-30T23:44:34.774801525Z,01JJWQM8WGY44HHCQ0AQQ6RXGH,2025-01-30T23:24:34.14231976Z,41,2025-01-30T23:24:34.14231976Z,false,2025-01-30T23:44:20.080159058Z,01JJWR0420CMA9MSBPY8QTX9E6,2025-01-30T23:44:19.486234491Z,65,2025-01-30T23:24:34.14231976Z,2,2025-01-30T23:24:34.14231976Z,4,2025-01-30T23:24:34.14231976Z,/tangrams/167_413.png,2025-01-30T23:44:34.798191132Z,/tangrams/167_413.png,2025-01-30T23:44:31.506223343Z,2,2025-01-30T23:24:35.485675534Z,true,2025-01-30T23:44:19.400057529Z,"[""/tangrams/167_413.png"",""/tangrams/37_55.png"",""/tangrams/48_7.png"",""/tangrams/131_312.png""]",2025-01-30T23:24:34.14231976Z,/tangrams/167_413.png,2025-01-30T23:24:34.14231976Z,10,2025-01-30T23:24:34.14231976Z,41,2025-01-30T23:24:34.14231976Z
01JJWRN67EXV8FQ0T0MW6K5SJ1,01JJWQM9YWPP8C5K4YWB2DE178,2025-01-30T23:27:35.662250792Z,,,,,,,false,2025-01-30T23:27:35.662250792Z,01JJWQM9Z0665TE8FH60006TCE,2025-01-30T23:27:35.662250792Z,46,2025-01-30T23:27:35.662250792Z,,,,,65,2025-01-30T23:27:35.662250792Z,2,2025-01-30T23:27:35.662250792Z,4,2025-01-30T23:27:35.662250792Z,,,,,2,2025-01-30T23:27:37.662555172Z,false,2025-01-30T23:27:35.662250792Z,"[""/tangrams/313_448.png"",""/tangrams/78_440.png"",""/tangrams/417_59.png"",""/tangrams/190_147.png""]",2025-01-30T23:27:35.662250792Z,/tangrams/313_448.png,2025-01-30T23:27:35.662250792Z,15,2025-01-30T23:27:35.662250792Z,46,2025-01-30T23:27:35.662250792Z
01JJWT419N2VWD10R5GB89900D,01JJWSR1AK9B2DTHZTRBMKZ4VD,2025-01-30T23:53:10.709432319Z,"[{""text"":""letter M facing left at the top"",""sender"":{""id"":""01JJWSZMFS9QSF0EA66JN9XQ6Q"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T23:58:09.639603488Z,true,2025-01-30T23:58:19.098604541Z,01JJWSZMFS9QSF0EA66JN9XQ6Q,2025-01-30T23:57:52.038527301Z,true,2025-01-30T23:58:19.064500229Z,01JJWSR1D827TZNY0WBF4GACM0,2025-01-30T23:53:10.709432319Z,4,2025-01-30T23:53:10.709432319Z,false,2025-01-30T23:57:52.316085748Z,01JJWSY17ZAFPAQCP2QDS1V3ZK,2025-01-30T23:57:52.038527301Z,65,2025-01-30T23:53:10.709432319Z,0,2025-01-30T23:53:10.709432319Z,4,2025-01-30T23:53:10.709432319Z,/tangrams/108_432.png,2025-01-30T23:58:19.098604541Z,/tangrams/108_432.png,2025-01-30T23:58:15.650405727Z,2,2025-01-30T23:53:12.62437296Z,true,2025-01-30T23:57:51.909177752Z,"[""/tangrams/39_386.png"",""/tangrams/263_118.png"",""/tangrams/76_262.png"",""/tangrams/108_432.png""]",2025-01-30T23:53:10.709432319Z,/tangrams/108_432.png,2025-01-30T23:53:10.709432319Z,5,2025-01-30T23:53:10.709432319Z,4,2025-01-30T23:53:10.709432319Z
01JJWRN5S9X51AN43CY4G9V5CP,01JJWQM9YWPP8C5K4YWB2DE178,2025-01-30T23:27:35.20916565Z,"[{""text"":""hi"",""sender"":{""id"":""01JJWRA8P00NRWVV7JQMKBQJJE"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""the second one right"",""sender"":{""id"":""01JJWRA8P00NRWVV7JQMKBQJJE"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""yes"",""sender"":{""id"":""01JJWRB9WG64CG27XBCC43EP3V"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""okay"",""sender"":{""id"":""01JJWRA8P00NRWVV7JQMKBQJJE"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T23:31:46.17784156Z,false,2025-01-30T23:32:01.677307679Z,01JJWRB9WG64CG27XBCC43EP3V,2025-01-30T23:31:10.984258653Z,true,2025-01-30T23:32:01.629399192Z,01JJWQM9Z0665TE8FH60006TCE,2025-01-30T23:27:35.20916565Z,4,2025-01-30T23:27:35.20916565Z,false,2025-01-30T23:31:12.575639289Z,01JJWRA8P00NRWVV7JQMKBQJJE,2025-01-30T23:31:10.984258653Z,65,2025-01-30T23:27:35.20916565Z,0,2025-01-30T23:27:35.20916565Z,4,2025-01-30T23:27:35.20916565Z,/tangrams/313_440.png,2025-01-30T23:32:01.677307679Z,/tangrams/313_440.png,2025-01-30T23:31:38.677325508Z,2,2025-01-30T23:27:36.020963401Z,true,2025-01-30T23:31:10.907896098Z,"[""/tangrams/190_147.png"",""/tangrams/313_440.png"",""/tangrams/78_448.png"",""/tangrams/417_59.png""]",2025-01-30T23:27:35.20916565Z,/tangrams/417_59.png,2025-01-30T23:27:35.20916565Z,5,2025-01-30T23:27:35.20916565Z,4,2025-01-30T23:27:35.20916565Z
