playerID,prolificID,bonus,exitStepDone,gameID,gamefailed,age,gender,strategy,enjoy,feedback,education
01JK45Y51E2VKYCGCK21DHDBAD,5caa7f8c0d95570013d82f2f,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JK48FR55GR4TTQEDCDWYXGWW,63936bad01efa1e55f6e149d,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JK47EJ22M149RNNEAT8P9VT1,616964223dcbf0aa539dbae2,1.92,TRUE,01JK44ZG88WSKH56Z2TG065NRD,NA,46,Female,Develop a connection with the other player that describes the base shapes and go from there,Yes I felt like we were well matched and made a good team,It was fun and I had no problems,high-school
01JK457AKRPRNS17AEQHS80T3S,601d9cc6aa5522143c5e8264,1.83,TRUE,01JK44ZDN4WND3M57SJYNVDKAJ,NA,23,Female,finding certain shapes to describe by,yes they were great,,high-school
01JK477R58AT3NBDR93M7QDTDJ,667c2175b570aa694ce2f63c,1.29,TRUE,01JK44ZF3K9ZQ73CY29ECJ83KC,NA,43,Male,Describe what it looked like or distinctive shapes,Yes loved it till they bailed on me as we had a strategy,partner bailed 75% through,high-school
01JK479P6BHZC2CRJSCY4W35WY,672c93c50646371ebd158451,1.68,TRUE,01JK44ZGWS1NXY318QCGWPH280,NA,28,Female,Used shapes when describing the objects,"Yes, It was fun",No feedback,bachelor
01JK4803HNF7SME8Z9W0HT6DBY,672adf9e5b171d7eb1269e48,1.83,TRUE,01JK44ZH7ME8SPE3ZCXE9C1EDR,NA,32,female,it was a great strategy and communication pattern,oh yes. my partner was cooperative,none,master
01JK4847PY2ET4C6DNW9N77HM7,5e02cb73783225e2aed45f11,1.83,TRUE,01JK44ZH7ME8SPE3ZCXE9C1EDR,NA,37,Female,Using the same descriptions for each repeated shapes.,"Yes, we had a systematic way of describing the shapes.",,other
01JK455VW63ETCXWJFGJTK6P5P,58f34b88c40b7e0001099c8e,1.83,TRUE,01JK44ZDN4WND3M57SJYNVDKAJ,NA,72,female,none,yes,,high-school
01JK465YSXEK63PZ0HJRDXS1MK,5ef981cf234db67251c1e0d7,1.68,TRUE,01JK44ZGWS1NXY318QCGWPH280,NA,34,Female,Finding common terms to refer to the shapes by worked well for my partner and I.,I enjoyed how quickly we picked up on the shared terms we used.,No additional feedback.,high-school
01JK46QZF7MGM898RVEM7PP4ED,5c01fcbc5c0594000114f9d9,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JK469X28HPJN1MEE5KX0TYMS,673d725d9b7076ea013a00bc,1.29,NA,01JK44ZF3K9ZQ73CY29ECJ83KC,NA,NA,NA,NA,NA,NA,NA
01JK46QRTFMFXMBYTJ55EVWVB9,66388339ea2dc5913eaca633,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JK47J0RF2VM23CA4CWE4AVRX,66a02267a9b0c685fc3a5969,1.92,TRUE,01JK44ZG88WSKH56Z2TG065NRD,NA,40,Female,"Being simple with instructions, and tried to connect with my partner by using the same language to describe the shapes","Yes, I enjoyed it. We got them all correct and as we progressed, we began simplifying our chat to make things move quickly.","No problems, was fun!",bachelor
