playerID,prolificID,bonus,exitStepDone,gameID,gamefailed,age,gender,strategy,enjoy,feedback,education
01JH95819MS36F72VAT1TSFK2T,67619aa410413cff72d7f8d2,0,TRUE,01JH948MRFR5E05CZ7TCHNPZB7,nogame,NA,NA,NA,NA,NA,NA
01JH95C424S0N0TN1BXNKWMJMC,6759b1dc0d4215984decf3ac,0,TRUE,01JH948NA8KKJKKSMX6KRG2FP1,NA,25,male,it was tricky,yes,i would love to play it  again,master
01JH97JE04DE3AX95F12SCX91G,676e74abbda7bc17307a4f89,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH94WQCQR47GJ6B7JEM0J48P,5b22f24c38fc0c0001313ea8,NA,TRUE,01JH948NV31FJCH4AC890NNMB2,nogame,NA,NA,NA,NA,NA,NA
01JH94P8FEF07K0VAEYX2WY468,66045b3098b8bd4a46271dd3,1.86,TRUE,01JH948QFE9AZ834M8MQ1VNDA4,NA,22,Female,"Me and the other person came up with a system by naming familiar shapes, such as animal, diamond, c and human. this saved us time on describing shapes","I felt connected to them during the game, and felt sad when we were suddenly disconnected. I wanted to thank them and tell them to have a good night.",,high-school
01JH94WSF5DCBM7C0GKZ4AHHKC,676d39030c06782e2d02702e,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH94XSE83S7NGJ8GVYH44P3D,6659f7bca065b64bc18f53c2,1.83,TRUE,01JH948SS6MZP7TCD7NSMYPJW3,NA,34,Female,focus on top and bottom shapes,yes - good communication,,bachelor
01JH9524FN1Z8WMH8BK7AMCT9G,6773bb1cd1a1b3a1a371278a,NA,TRUE,01JH948PWZG0M8DCR83N58AC6E,nogame,NA,NA,NA,NA,NA,NA
01JH956WKRQ62PFCARYQJT1SKV,6775166af030d60f31495cf8,0,TRUE,01JH948NA8KKJKKSMX6KRG2FP1,NA,74,Male,"The is based on understanding your partner, if you describe a shape and your partner understands you then you would win definitely",No I didn't because the shapes weren't selecting and the network was lagging,The shapes weren't selecting and the network was lagging.,master
01JH958ZZ0WHR0JPPP7A00BE5J,6740be3bb017538cf65cd419,0,TRUE,01JH948TSF7DSSS6ARG6XY4Q51,NA,35,male,amazing,yes,no,master
01JH96AA6X8DK3KTC7KSP3YV91,677fe9d3bafd440269d2ef89,0,TRUE,01JH96CMS9P61B98B26M87PECF,NA,22,female,,,,bachelor
01JH94M8757S2F9VFF31KZMFT3,5cfe3ec7591d170019447590,1.86,TRUE,01JH948QFE9AZ834M8MQ1VNDA4,NA,38,Male,Describing the shapes simply,"Yes, I liked trying to describe the shapes",,high-school
01JH97NHYMMP4WAS8E6SXB3VP3,676e86848e5e8e88b2d8f29a,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH96NQEVD08ZP681HRR1K45F,5fd0ef1dbfdf0801f669f642,1.62,TRUE,01JH96MYY1CJ8YDJYFJW1HTGS5,NA,25,Male,,,,bachelor
01JH96RQ3NZXBX1RESVYJRZASD,674f6023189f0efdc201c055,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH96C2GNTK35Y1C8PYDDN6RN,57dd3b0e91b7fc0001493db9,1.62,TRUE,01JH96MYY1CJ8YDJYFJW1HTGS5,NA,35,Male,My strategy was to include as much description as possible.,I did enjoy playing my partner they were reliable.,,high-school
01JH95YWSW02RX733R1CWBPCPS,66f69fd0e82a97fd370db5d4,1.08,TRUE,01JH957YRZT49JYWGK6ZVT9RSH,NA,26,male,,,,bachelor
01JH964JJGYGDFS5RQJ16YJ0VW,6671949e24f0539f2400d2d5,1.08,TRUE,01JH957YRZT49JYWGK6ZVT9RSH,NA,33,Male,Speaking as fluent as possible,Yes - partner was good,,bachelor
01JH97NF349JB3R2JMK8A85D32,6726d4aefef7ebbd49d5fdc9,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH95VJXZTE80WJDN9EAXTS0Y,6652489a42a170d6176b29cf,0,NA,01JH948TSF7DSSS6ARG6XY4Q51,NA,NA,NA,NA,NA,NA,NA
01JH94WX8Y4Z1RPFS7R7W7VTSA,5da74e9437d4210016492810,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH952ANYQ03SKDK199E7X69A,665fb35cf8d7959c10bdfbd2,NA,TRUE,01JH948PWZG0M8DCR83N58AC6E,nogame,NA,NA,NA,NA,NA,NA
01JH956VJSXJ7RG9XJSX4PYTC2,652429c0f20ddf0689d3403d,NA,NA,01JH96YR0KG3JSEF81635CPBP0,NA,NA,NA,NA,NA,NA,NA
01JH95DJJA1J6H0D9X4C33ZG4N,677e656eaddbf8811d55ea31,NA,NA,01JH96YR0KG3JSEF81635CPBP0,NA,NA,NA,NA,NA,NA,NA
01JH95TVRMB7P213TCXNNX6N30,67263443e5a2a2f53e5fb2a0,0.9,TRUE,01JH96B8M7TJTC9TS95PVK81Q7,NA,21,Male,We gave names to shapes,i did not because he was slow,It was good no problems were encountered,bachelor
01JH96Q2J2FD6VFB5BKE7MGW58,673294cb878be5db3b261c4e,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH94AR95RTT95YPS4NSY0X0G,66706c66421d9d62312ca575,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH94N6D62TJGJFJ2QP338CEN,60f6da0ed57b11b3b7e4159e,1.8,TRUE,01JH948R03G2H7EC827CPTFQ6Q,NA,49,M,Get consistent language for shapes. As much short hand as possible. ,Yes. We got a good rhythm going. ,,master
01JH95GJBAVGAVVVE7EEZBZV0W,67323a74da6bebd682404f74,NA,NA,01JH96YR0KG3JSEF81635CPBP0,NA,NA,NA,NA,NA,NA,NA
01JH96RPYYE793MQ0XG39KY32E,677fddab32b1fdcb6da8051e,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH94MNTDX7THCHEKSM369CHY,678039681f3f397595f204f9,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH954WCWC907RD9WDXK4KVJ5,677695888e4d9b6442ecad1a,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH956WWXMPVCJ695F97G1CP1,65d2132e0d4bcd2c8f30dada,NA,TRUE,01JH96YR0KG3JSEF81635CPBP0,nogame,NA,NA,NA,NA,NA,NA
01JH95C5E66EC54ASQNASF6QXJ,6725506a22aed2e922dc693f,0,TRUE,01JH948MRFR5E05CZ7TCHNPZB7,NA,34,female,cool,"no, no response in chat box","suddenly timeout, maybe technical error",master
01JH968H5986XBS267Q1B7EH7K,66bf0af46a41e9a0b8832139,0,TRUE,01JH96CMS9P61B98B26M87PECF,NA,38,Male,,,We were not able to select any image,bachelor
01JH94PT2YTHYQGSEWTKFDFHAM,65e5d451afebe24d27da3778,1.47,TRUE,01JH948RPDHFAEEN4VF0CFS1SZ,NA,21,male,Just describe it as best as I could,"Yes 
because we started getting it ",,bachelor
01JH94PFB10VZ0M0Q03S89B26Q,677fcbe62c95bd7383ad4e39,1.47,TRUE,01JH948RPDHFAEEN4VF0CFS1SZ,NA,24,Male,Very interesting strategy because my partner was the best ,I enjoyed playing with my parents because we understood our communication terms,Perfect.,master
01JH94YRZW52YM5PZCETBAV1XW,6780e93c8c74c880ece318e6,NA,NA,01JH948NV31FJCH4AC890NNMB2,NA,NA,NA,NA,NA,NA,NA
01JH94Z5TAXHMCDRS1Z5QC6K5X,671aa9deb9e7953cbf0832e7,1.83,TRUE,01JH948SS6MZP7TCD7NSMYPJW3,NA,19,Male,Describing shapes,Yes I did very much so,The game was a bit delayed when picking the shape after the director described it,high-school
01JH955H9ANJWEF777AFDPNBB2,641de93c4155715ec560fbe1,0.27,TRUE,01JH948J2PSSRQGFZK293TEAX3,nogame,NA,NA,NA,NA,NA,NA
01JH95CFKYWW493PKK9BHYFH0G,675838c3906b4f342fd219b8,0.27,NA,01JH948J2PSSRQGFZK293TEAX3,NA,NA,NA,NA,NA,NA,NA
01JH95Y02AT0WR8THV8Y59J0A9,677b95ad3b40152ac16ce094,0.9,TRUE,01JH96B8M7TJTC9TS95PVK81Q7,NA,27,male,,,,master
01JH96P2N8FSBV9TMMB612CX6D,659d874e294242ce3de681c8,NA,NA,01JH96YR0KG3JSEF81635CPBP0,NA,NA,NA,NA,NA,NA,NA
