id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JH9JT74ZYBGRD5V70JKT6DGC,01JH9J1DWZX1295N75PGTDS6BZ,2025-01-11T02:24:12.959482306Z,3,2025-01-11T02:24:12.959482306Z,true,2025-01-11T02:53:46.194498481Z,01JH9J1DX6BQ0831A88CQXB1Z2,2025-01-11T02:24:12.959482306Z,1,2025-01-11T02:24:12.959482306Z,true,2025-01-11T02:53:43.044969353Z,feedback,2025-01-11T02:24:12.959482306Z,01JH9JT5S1PAKZWFR8G928EDXT,2025-01-11T02:24:12.959482306Z,true,2025-01-11T02:53:42.871023364Z,true,2025-01-11T02:53:43.131335377Z,01JH9JT74SDGHXJYQQVCBMSQBP,2025-01-11T02:24:12.959482306Z
01JH9KG87ETYT0B17Y5JDB8TPH,01JH9JXEMT6BQGCQJYTQZ79SDP,2025-01-11T02:36:14.958888853Z,60,2025-01-11T02:36:14.958888853Z,true,2025-01-11T02:48:48.657245574Z,01JH9JXENNAA9FQ6XWTZ6P5GNZ,2025-01-11T02:36:14.958888853Z,0,2025-01-11T02:36:14.958888853Z,true,2025-01-11T02:48:21.108372786Z,selection,2025-01-11T02:36:14.958888853Z,01JH9KG6GFNNPQFP89RNCMFSTV,2025-01-11T02:36:14.958888853Z,true,2025-01-11T02:48:20.914318597Z,true,2025-01-11T02:48:21.176507545Z,01JH9KG878GV19EG2SSNAEK2E3,2025-01-11T02:36:14.958888853Z
01JH9KGA3NFQNHTXZ04F79WH2C,01JH9JXEMT6BQGCQJYTQZ79SDP,2025-01-11T02:36:16.885587783Z,3,2025-01-11T02:36:16.885587783Z,true,2025-01-11T03:01:13.190642958Z,01JH9JXENNAA9FQ6XWTZ6P5GNZ,2025-01-11T02:36:16.885587783Z,1,2025-01-11T02:36:16.885587783Z,true,2025-01-11T03:01:10.048782627Z,feedback,2025-01-11T02:36:16.885587783Z,01JH9KG643BH25SZ5EX0KK7KMT,2025-01-11T02:36:16.885587783Z,true,2025-01-11T03:01:09.902146309Z,true,2025-01-11T03:01:10.145772518Z,01JH9KGA2ZNVNE7WT9HH88AW1Q,2025-01-11T02:36:16.885587783Z
01JH9JEMX9D3283Y2X05WM08VT,01JH9J1C5DVX9QY2RVE5SXBEQ0,2025-01-11T02:17:53.833361287Z,60,2025-01-11T02:17:53.833361287Z,true,2025-01-11T02:26:07.746903388Z,01JH9J1C5MJC9CR239TY4CRQEZ,2025-01-11T02:17:53.833361287Z,0,2025-01-11T02:17:53.833361287Z,true,2025-01-11T02:25:30.999262624Z,selection,2025-01-11T02:17:53.833361287Z,01JH9JEMQ04RFCPATMPMGD7YN7,2025-01-11T02:17:53.833361287Z,true,2025-01-11T02:25:30.958961685Z,true,2025-01-11T02:25:31.019404646Z,01JH9JEMX51VJKTWMCRWJF9Z8H,2025-01-11T02:17:53.833361287Z
01JH9JEN9TV9D77D7QNB76PKH8,01JH9J1C5DVX9QY2RVE5SXBEQ0,2025-01-11T02:17:54.234863932Z,3,2025-01-11T02:17:54.234863932Z,true,2025-01-11T02:48:59.63108652Z,01JH9J1C5MJC9CR239TY4CRQEZ,2025-01-11T02:17:54.234863932Z,1,2025-01-11T02:17:54.234863932Z,true,2025-01-11T02:48:56.321722914Z,feedback,2025-01-11T02:17:54.234863932Z,01JH9JEMQN7QC8NFW77WQ5KWDF,2025-01-11T02:17:54.234863932Z,true,2025-01-11T02:48:56.201021388Z,true,2025-01-11T02:48:56.394219432Z,01JH9JEN9Q23J9EDCRCKAZG10G,2025-01-11T02:17:54.234863932Z
01JH9JJYQPPVM60CHT1Y60Z00D,01JH9J1D88EMH9KT30JWW5MDAE,2025-01-11T02:20:14.966498266Z,60,2025-01-11T02:20:14.966498266Z,true,2025-01-11T02:30:08.350021256Z,01JH9J1D8G8CD894ARP0Z6FMTN,2025-01-11T02:20:14.966498266Z,0,2025-01-11T02:20:14.966498266Z,true,2025-01-11T02:29:42.209461932Z,selection,2025-01-11T02:20:14.966498266Z,01JH9JJYEXE1DCGCR5SVFJAGTY,2025-01-11T02:20:14.966498266Z,true,2025-01-11T02:29:42.168181317Z,true,2025-01-11T02:29:42.239037586Z,01JH9JJYQJYQ2PVC7X5JK5Z5TG,2025-01-11T02:20:14.966498266Z
01JH9K4JSTMBNZDV276JQJ3Q3Y,01JH9JSBN97MH23YYTFANGWEDH,2025-01-11T02:29:52.57092653Z,60,2025-01-11T02:29:52.57092653Z,true,2025-01-11T02:45:39.678345638Z,01JH9JSBP2E3ABG7WX9VDB70EK,2025-01-11T02:29:52.57092653Z,0,2025-01-11T02:29:52.57092653Z,true,2025-01-11T02:45:30.605258687Z,selection,2025-01-11T02:29:52.57092653Z,01JH9K4G8NFR92MS4XGV07MEYG,2025-01-11T02:29:52.57092653Z,true,2025-01-11T02:45:30.456572301Z,true,2025-01-11T02:45:30.727096984Z,01JH9K4JSNGHWBG484Z5GEZ8B6,2025-01-11T02:29:52.57092653Z
01JH9K9C7B7CRE65FN6KKAY1H6,01JH9JSD3J449A1ZY9D3KXM837,2025-01-11T02:32:29.675056483Z,60,2025-01-11T02:32:29.675056483Z,true,2025-01-11T02:50:47.416368452Z,01JH9JSD47AQRCJM0B903CE3C7,2025-01-11T02:32:29.675056483Z,0,2025-01-11T02:32:29.675056483Z,true,2025-01-11T02:50:42.254105025Z,selection,2025-01-11T02:32:29.675056483Z,01JH9K990AWTPTKYXRP9KJHR4T,2025-01-11T02:32:29.675056483Z,true,2025-01-11T02:50:42.036266937Z,true,2025-01-11T02:50:42.350693431Z,01JH9K9C73W1NTNDXVA4C29SQ1,2025-01-11T02:32:29.675056483Z
01JH9KT699ANR1CYM3B2QKW7TQ,01JH9KNTC5PM1HFQ4295BXZ8GR,2025-01-11T02:41:40.649962791Z,3,2025-01-11T02:41:40.649962791Z,true,2025-01-11T02:58:50.154159031Z,01JH9KP6QVYP59P8X0V6Y4R4HM,2025-01-11T02:41:40.649962791Z,1,2025-01-11T02:41:40.649962791Z,true,2025-01-11T02:58:47.014255047Z,feedback,2025-01-11T02:41:40.649962791Z,01JH9KT0MADXE931ARXEYKHX9S,2025-01-11T02:41:40.649962791Z,true,2025-01-11T02:58:46.877025957Z,true,2025-01-11T02:58:47.109980143Z,01JH9KT688CJH54FV8PQ0EKJ9B,2025-01-11T02:41:40.649962791Z
01JH9KT77P2D4CQ805SKZS3T3V,01JH9KNTC5PM1HFQ4295BXZ8GR,2025-01-11T02:41:41.622592232Z,3,2025-01-11T02:41:41.622592232Z,true,2025-01-11T03:01:22.263267811Z,01JH9KP6QVYP59P8X0V6Y4R4HM,2025-01-11T02:41:41.622592232Z,1,2025-01-11T02:41:41.622592232Z,true,2025-01-11T03:01:19.160605252Z,feedback,2025-01-11T02:41:41.622592232Z,01JH9KT16C1PZSZ60DS8XGKYFM,2025-01-11T02:41:41.622592232Z,true,2025-01-11T03:01:18.996349926Z,true,2025-01-11T03:01:19.258021146Z,01JH9KT76Q16B862FVX73SP10J,2025-01-11T02:41:41.622592232Z
