id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JHDSEFKX60A86FMYSZFBT7QT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:06.173839974Z,,,true,2025-01-12T17:37:06.187480044Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:06.173839974Z,terminated,2025-01-12T17:40:32.493132247Z
01JHDSEMAY2JK76HMF0WAJJX4B,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:11.006764316Z,all games finished,2025-01-12T18:05:22.883757795Z,true,2025-01-12T17:37:12.026978936Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:11.006764316Z,ended,2025-01-12T18:05:22.883757795Z
01JHDS0G72B8TPHMF9C775SBX1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:28.034529585Z,,,true,2025-01-12T17:29:28.045421415Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:28.034529585Z,terminated,2025-01-12T17:34:52.199299747Z
01JHDS0KWZQDR4ZDSJ946RVYYZ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:31.807613779Z,all games finished,2025-01-12T18:24:29.836563242Z,true,2025-01-12T17:29:31.821822622Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:31.807613779Z,ended,2025-01-12T18:24:29.836563242Z
01JHDSEK792A1PR6M0877F9RYQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:09.865712011Z,all games finished,2025-01-12T18:17:21.640483794Z,true,2025-01-12T17:37:11.997916034Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:09.865712011Z,ended,2025-01-12T18:17:21.640483794Z
01JHDSEMQ1W9PJDN5ZFGSWNVJD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:11.393653862Z,all games finished,2025-01-12T18:09:32.818984227Z,true,2025-01-12T17:37:12.051202403Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:11.393653862Z,ended,2025-01-12T18:09:32.818984227Z
01JHDSEPFNSWYVQE90D0ENSYJ1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:37:13.205081583Z,,,true,2025-01-12T17:37:13.22034337Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:37:13.205081583Z,running,2025-01-12T17:37:15.213636253Z
01JHDSGSXYQFGE0N3R1RV2QBHR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-12T17:38:22.270731511Z,,,true,2025-01-12T17:38:22.296982816Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:38:22.270731511Z,created,2025-01-12T17:38:22.270731511Z
01JHDRYRDQ4STSHJ7VKH0MF43T,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:28:30.903159047Z,all games finished,2025-01-12T18:16:33.582174147Z,true,2025-01-12T17:28:30.915776954Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:28:30.903159047Z,ended,2025-01-12T18:16:33.582174147Z
01JHDS085DG2JCY6SPVART79EB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":2}]}}",2025-01-12T17:29:19.78919128Z,,,true,2025-01-12T17:29:19.801863108Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-12T17:29:19.78919128Z,terminated,2025-01-12T17:34:47.858032737Z
