id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JHDTY447DW7XC65B8MYSQD42,01JHDSEMQ1W9PJDN5ZFGSWNVJD,2025-01-12T18:03:07.271250111Z,,,,,,,false,2025-01-12T18:03:07.271250111Z,01JHDSENBHY9B83RV9ECKWENWM,2025-01-12T18:03:07.271250111Z,8,2025-01-12T18:03:07.271250111Z,,,,,65,2025-01-12T18:03:07.271250111Z,0,2025-01-12T18:03:07.271250111Z,4,2025-01-12T18:03:07.271250111Z,,,,,2,2025-01-12T18:03:11.424357109Z,false,2025-01-12T18:03:07.271250111Z,"[""/tangrams/34_346.png"",""/tangrams/220_438.png"",""/tangrams/80_460.png"",""/tangrams/310_109.png""]",2025-01-12T18:03:07.271250111Z,/tangrams/310_109.png,2025-01-12T18:03:07.271250111Z,9,2025-01-12T18:03:07.271250111Z,8,2025-01-12T18:03:07.271250111Z
01JHDSG473JYH872PRTDGPDXHD,01JHDRYFHR67P3C94Z2470CP6S,2025-01-12T17:38:00.03594417Z,"[{""text"":""thank you you too:),"",""sender"":{""id"":""01JHDSCBNMD13096ANHBSQM4BQ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""it has a semi circle on its left hand side and two ears on the right"",""sender"":{""id"":""01JHDS787A1VA5ZVHKYJW3XETK"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T17:42:28.501956889Z,true,2025-01-12T17:42:55.193897833Z,01JHDS787A1VA5ZVHKYJW3XETK,2025-01-12T17:42:02.475522021Z,true,2025-01-12T17:42:55.032752808Z,01JHDRYFJ2BRY23J4SFBVWGDG5,2025-01-12T17:38:00.03594417Z,7,2025-01-12T17:38:00.03594417Z,false,2025-01-12T17:42:02.790196578Z,01JHDSCBNMD13096ANHBSQM4BQ,2025-01-12T17:42:02.475522021Z,65,2025-01-12T17:38:00.03594417Z,0,2025-01-12T17:38:00.03594417Z,4,2025-01-12T17:38:00.03594417Z,/tangrams/318_179.png,2025-01-12T17:42:55.193897833Z,/tangrams/318_179.png,2025-01-12T17:42:38.213495941Z,2,2025-01-12T17:38:00.661211986Z,true,2025-01-12T17:42:02.417879076Z,"[""/tangrams/318_179.png"",""/tangrams/257_344.png"",""/tangrams/296_183.png"",""/tangrams/4_71.png""]",2025-01-12T17:38:00.03594417Z,/tangrams/318_179.png,2025-01-12T17:38:00.03594417Z,8,2025-01-12T17:38:00.03594417Z,7,2025-01-12T17:38:00.03594417Z
01JHDTNGA1WADPANWYZP15R5ZA,01JHDSEMAY2JK76HMF0WAJJX4B,2025-01-12T17:58:24.833182066Z,,,,,,,false,2025-01-12T17:58:24.833182066Z,01JHDSENAYK76DQX37J3H6VY74,2025-01-12T17:58:24.833182066Z,25,2025-01-12T17:58:24.833182066Z,,,,,65,2025-01-12T17:58:24.833182066Z,1,2025-01-12T17:58:24.833182066Z,4,2025-01-12T17:58:24.833182066Z,,,,,2,2025-01-12T17:58:29.472236383Z,false,2025-01-12T17:58:24.833182066Z,"[""/tangrams/360_205.png"",""/tangrams/289_358.png"",""/tangrams/21_226.png"",""/tangrams/189_419.png""]",2025-01-12T17:58:24.833182066Z,/tangrams/289_358.png,2025-01-12T17:58:24.833182066Z,10,2025-01-12T17:58:24.833182066Z,25,2025-01-12T17:58:24.833182066Z
01JHDT28JMRYKRD6GPEZ4GHA63,01JHDSEK792A1PR6M0877F9RYQ,2025-01-12T17:47:54.324264707Z,"[{""text"":""image 1"",""sender"":{""id"":""01JHDSNNSF0VRXGZ6TK3EBYZDA"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""image 2"",""sender"":{""id"":""01JHDSNJTRK82B9E2MQY8SB47W"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T17:53:44.493623542Z,true,2025-01-12T17:53:59.53617911Z,01JHDSNNSF0VRXGZ6TK3EBYZDA,2025-01-12T17:53:29.949577459Z,true,2025-01-12T17:53:59.498660378Z,01JHDSEN9ZXYGTDKT3E4FMPN7Y,2025-01-12T17:47:54.324264707Z,6,2025-01-12T17:47:54.324264707Z,false,2025-01-12T17:53:30.817062851Z,01JHDSNJTRK82B9E2MQY8SB47W,2025-01-12T17:53:29.949577459Z,65,2025-01-12T17:47:54.324264707Z,0,2025-01-12T17:47:54.324264707Z,4,2025-01-12T17:47:54.324264707Z,/tangrams/306_96.png,2025-01-12T17:53:59.53617911Z,/tangrams/306_96.png,2025-01-12T17:53:55.903377412Z,2,2025-01-12T17:47:56.203415111Z,true,2025-01-12T17:53:29.832898833Z,"[""/tangrams/306_96.png"",""/tangrams/276_179.png"",""/tangrams/14_100.png"",""/tangrams/67_181.png""]",2025-01-12T17:47:54.324264707Z,/tangrams/306_96.png,2025-01-12T17:47:54.324264707Z,7,2025-01-12T17:47:54.324264707Z,6,2025-01-12T17:47:54.324264707Z
01JHDT1D20Z9GKKC4F1XC3FV0G,01JHDSEJNE0PF4D7D0T70GWRBY,2025-01-12T17:47:26.144084128Z,"[{""text"":""large solid shape in middle"",""sender"":{""id"":""01JHDSM6BSHNDTHT1XB8F0ABAM"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T18:18:07.533948758Z,false,2025-01-12T18:18:21.580810311Z,01JHDSM6BSHNDTHT1XB8F0ABAM,2025-01-12T18:17:52.49692122Z,true,2025-01-12T18:18:21.517656803Z,01JHDSEN9DC4QXFP61HDZDXMVF,2025-01-12T17:47:26.144084128Z,45,2025-01-12T17:47:26.144084128Z,false,2025-01-12T18:17:53.003905996Z,01JHDSTNNEEQASYS9J6PJVHE98,2025-01-12T18:17:52.49692122Z,65,2025-01-12T17:47:26.144084128Z,2,2025-01-12T17:47:26.144084128Z,4,2025-01-12T17:47:26.144084128Z,,2025-01-12T18:18:21.580810311Z,/tangrams/183_431.png,2025-01-12T18:18:24.054854798Z,2,2025-01-12T17:47:30.436258926Z,true,2025-01-12T18:17:52.2855078Z,"[""/tangrams/314_133.png"",""/tangrams/410_62.png"",""/tangrams/383_34.png"",""/tangrams/183_431.png""]",2025-01-12T17:47:26.144084128Z,/tangrams/183_431.png,2025-01-12T17:47:26.144084128Z,14,2025-01-12T17:47:26.144084128Z,45,2025-01-12T17:47:26.144084128Z
01JHDT28H8WKZQP2E3109T1FGB,01JHDSEK792A1PR6M0877F9RYQ,2025-01-12T17:47:54.280365776Z,"[{""text"":""2 image"",""sender"":{""id"":""01JHDSNJTRK82B9E2MQY8SB47W"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T17:50:43.679085886Z,false,2025-01-12T17:51:29.000806641Z,01JHDSNNSF0VRXGZ6TK3EBYZDA,2025-01-12T17:50:25.306582623Z,true,2025-01-12T17:51:28.969226351Z,01JHDSEN9ZXYGTDKT3E4FMPN7Y,2025-01-12T17:47:54.280365776Z,2,2025-01-12T17:47:54.280365776Z,false,2025-01-12T17:50:26.138135642Z,01JHDSNJTRK82B9E2MQY8SB47W,2025-01-12T17:50:25.306582623Z,65,2025-01-12T17:47:54.280365776Z,0,2025-01-12T17:47:54.280365776Z,4,2025-01-12T17:47:54.280365776Z,,2025-01-12T17:51:29.000806641Z,,2025-01-12T17:50:25.306582623Z,2,2025-01-12T17:47:55.914246851Z,true,2025-01-12T17:50:25.210121439Z,"[""/tangrams/14_100.png"",""/tangrams/90_117.png"",""/tangrams/385_370.png"",""/tangrams/367_366.png""]",2025-01-12T17:47:54.280365776Z,/tangrams/385_370.png,2025-01-12T17:47:54.280365776Z,3,2025-01-12T17:47:54.280365776Z,2,2025-01-12T17:47:54.280365776Z
01JHDTNH4NZ24RKB9NG7T08PCJ,01JHDSEMAY2JK76HMF0WAJJX4B,2025-01-12T17:58:25.685244593Z,,,,,,,false,2025-01-12T17:58:25.685244593Z,01JHDSENAYK76DQX37J3H6VY74,2025-01-12T17:58:25.685244593Z,53,2025-01-12T17:58:25.685244593Z,,,,,65,2025-01-12T17:58:25.685244593Z,3,2025-01-12T17:58:25.685244593Z,4,2025-01-12T17:58:25.685244593Z,,,,,2,2025-01-12T17:58:32.944159524Z,false,2025-01-12T17:58:25.685244593Z,"[""/tangrams/102_297.png"",""/tangrams/128_421.png"",""/tangrams/7_220.png"",""/tangrams/255_161.png""]",2025-01-12T17:58:25.685244593Z,/tangrams/255_161.png,2025-01-12T17:58:25.685244593Z,6,2025-01-12T17:58:25.685244593Z,53,2025-01-12T17:58:25.685244593Z
01JHDSHPQ826WHSFK8ZTMQT9JG,01JHDRYRDQ4STSHJ7VKH0MF43T,2025-01-12T17:38:51.752025443Z,"[{""text"":""diamond on the bottom with the top right a block going up"",""sender"":{""id"":""01JHDSD418AH8952P31EDPDBWH"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""right side flat"",""sender"":{""id"":""01JHDSD418AH8952P31EDPDBWH"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T18:15:39.097595793Z,true,2025-01-12T18:15:46.19691554Z,01JHDSD418AH8952P31EDPDBWH,2025-01-12T18:15:16.112333143Z,true,2025-01-12T18:15:46.129627493Z,01JHDRYRE2FDEZZD13T1M5NP7E,2025-01-12T17:38:51.752025443Z,61,2025-01-12T17:38:51.752025443Z,false,2025-01-12T18:15:16.77797781Z,01JHDSDFR5GN4H4MJP39GCQA94,2025-01-12T18:15:16.112333143Z,65,2025-01-12T17:38:51.752025443Z,3,2025-01-12T17:38:51.752025443Z,4,2025-01-12T17:38:51.752025443Z,/tangrams/443_232.png,2025-01-12T18:15:46.19691554Z,/tangrams/443_232.png,2025-01-12T18:15:41.963660328Z,2,2025-01-12T17:38:54.033910117Z,true,2025-01-12T18:15:15.866384907Z,"[""/tangrams/330_172.png"",""/tangrams/443_232.png"",""/tangrams/353_196.png"",""/tangrams/425_394.png""]",2025-01-12T17:38:51.752025443Z,/tangrams/443_232.png,2025-01-12T17:38:51.752025443Z,14,2025-01-12T17:38:51.752025443Z,61,2025-01-12T17:38:51.752025443Z
01JHDT1D7WSWRVXJYB34G23180,01JHDSEJNE0PF4D7D0T70GWRBY,2025-01-12T17:47:26.332915066Z,,,,,,,false,2025-01-12T17:47:26.332915066Z,01JHDSEN9DC4QXFP61HDZDXMVF,2025-01-12T17:47:26.332915066Z,59,2025-01-12T17:47:26.332915066Z,,,,,65,2025-01-12T17:47:26.332915066Z,3,2025-01-12T17:47:26.332915066Z,4,2025-01-12T17:47:26.332915066Z,,,,,2,2025-01-12T17:47:31.539833823Z,false,2025-01-12T17:47:26.332915066Z,"[""/tangrams/205_265.png"",""/tangrams/183_431.png"",""/tangrams/272_132.png"",""/tangrams/392_101.png""]",2025-01-12T17:47:26.332915066Z,/tangrams/392_101.png,2025-01-12T17:47:26.332915066Z,12,2025-01-12T17:47:26.332915066Z,59,2025-01-12T17:47:26.332915066Z
01JHDSWWASHJFRFV26Z50FNDW9,01JHDS0KWZQDR4ZDSJ946RVYYZ,2025-01-12T17:44:57.945119698Z,"[{""text"":""Arrow pointing right on the left side |>"",""sender"":{""id"":""01JHDSKTWCGF7WHYYEQQEKYPKF"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-12T17:49:48.302260737Z,true,2025-01-12T17:49:58.493169279Z,01JHDSKTWCGF7WHYYEQQEKYPKF,2025-01-12T17:49:24.575048035Z,true,2025-01-12T17:49:58.466291971Z,01JHDS0KXDNZPWE4782ZXE3X1V,2025-01-12T17:44:57.945119698Z,7,2025-01-12T17:44:57.945119698Z,false,2025-01-12T17:49:24.92407456Z,01JHDSQCJTADJFTC5HDK2Y3PRS,2025-01-12T17:49:24.575048035Z,65,2025-01-12T17:44:57.945119698Z,0,2025-01-12T17:44:57.945119698Z,4,2025-01-12T17:44:57.945119698Z,/tangrams/11_250.png,2025-01-12T17:49:58.493169279Z,/tangrams/11_250.png,2025-01-12T17:49:55.065311025Z,2,2025-01-12T17:44:59.312231385Z,true,2025-01-12T17:49:24.477926062Z,"[""/tangrams/200_328.png"",""/tangrams/11_250.png"",""/tangrams/466_228.png"",""/tangrams/311_292.png""]",2025-01-12T17:44:57.945119698Z,/tangrams/11_250.png,2025-01-12T17:44:57.945119698Z,8,2025-01-12T17:44:57.945119698Z,7,2025-01-12T17:44:57.945119698Z
