id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JHHFVKQ9PGQ5NTR2CF1XESFZ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T04:06:28.329926764Z,all games finished,2025-01-14T04:42:31.327117772Z,true,2025-01-14T04:06:28.439899409Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T04:06:28.329926764Z,ended,2025-01-14T04:42:31.327117772Z
01JHHD0BK6V517RSTB2PRP0NYT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:38.118707686Z,all games finished,2025-01-14T03:35:17.520221702Z,true,2025-01-14T03:16:38.13457896Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:38.118707686Z,ended,2025-01-14T03:35:17.520221702Z
01JHHD0DNAAT5CFGVN32XQ8M8X,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:40.23437775Z,all games finished,2025-01-14T03:48:09.819814018Z,true,2025-01-14T03:16:40.244275509Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:40.23437775Z,ended,2025-01-14T03:48:09.819814018Z
01JHHD0JJDT88R4X3Q0AVJ4AS2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:45.261651287Z,all games finished,2025-01-14T03:45:16.499246406Z,true,2025-01-14T03:16:45.270868076Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:45.261651287Z,ended,2025-01-14T03:45:16.499246406Z
01JHHD0JW7MJ4EC19PZGR08GVR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:45.575584877Z,all games finished,2025-01-14T03:54:04.378937041Z,true,2025-01-14T03:16:45.582959381Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:45.575584877Z,ended,2025-01-14T03:54:04.378937041Z
01JHHD0KDEKAFRJ86JQRC9Q1DF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:46.126994373Z,all games finished,2025-01-14T04:13:38.356642171Z,true,2025-01-14T03:16:46.134807393Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:46.126994373Z,ended,2025-01-14T04:13:38.356642171Z
01JHHD0G1R8TRQGJ9F859DG1AN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:42.680341042Z,all games finished,2025-01-14T03:47:54.532373473Z,true,2025-01-14T03:16:42.687554479Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:42.680341042Z,ended,2025-01-14T03:47:54.532373473Z
01JHHD0F6NCYX5N429VHCDCMYN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:41.81401288Z,all games finished,2025-01-14T03:45:46.536548909Z,true,2025-01-14T03:16:41.822249937Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:41.81401288Z,ended,2025-01-14T03:45:46.536548909Z
01JHHD0GDNESMFBBD0NY6MKNA7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:43.061768816Z,all games finished,2025-01-14T03:51:23.415963493Z,true,2025-01-14T03:16:43.068491348Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:43.061768816Z,ended,2025-01-14T03:51:23.415963493Z
01JHHFVFSYSPZSTJ3Z44H5FCYR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T04:06:24.319016311Z,all games finished,2025-01-14T04:38:36.425415229Z,true,2025-01-14T04:06:24.422150495Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T04:06:24.319016311Z,ended,2025-01-14T04:38:36.425415229Z
01JHHFVJ0PT7XS6R6G2QA6HQJ7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T04:06:26.582308182Z,all games finished,2025-01-14T04:39:39.388064848Z,true,2025-01-14T04:06:26.688259907Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T04:06:26.582308182Z,ended,2025-01-14T04:39:39.388064848Z
01JHHFW7Z56F5TJ8DM12K21VDW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T04:06:49.061307993Z,all games finished,2025-01-14T04:39:21.593040281Z,true,2025-01-14T04:06:49.174303082Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T04:06:49.061307993Z,ended,2025-01-14T04:39:21.593040281Z
01JHHD0K588VWG3C3FX4Z3ZD2K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T03:16:45.864159581Z,all games finished,2025-01-14T04:09:58.748468834Z,true,2025-01-14T03:16:45.87142051Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T03:16:45.864159581Z,ended,2025-01-14T04:09:58.748468834Z
