id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JJ02CMD5ET2W4866T22JBWCD,01JJ022H4NA5F3BJF5NPB2SP7H,2025-01-19T19:59:42.501769835Z,3,2025-01-19T19:59:42.501769835Z,true,2025-01-19T20:13:01.473726202Z,01JJ022H4VX10GJFY3MK2NSEVG,2025-01-19T19:59:42.501769835Z,1,2025-01-19T19:59:42.501769835Z,true,2025-01-19T20:12:58.449094501Z,feedback,2025-01-19T19:59:42.501769835Z,01JJ02CM42770MHPEER62GZN52,2025-01-19T19:59:42.501769835Z,true,2025-01-19T20:12:58.414864421Z,true,2025-01-19T20:12:58.470623131Z,01JJ02CMD36C212NNHV278BPQ6,2025-01-19T19:59:42.501769835Z
01JJ02EGBDD5VJWGHY8R2NMHAT,01JJ022JA27F5V0SCVKA5CZVWJ,2025-01-19T20:00:43.885094926Z,3,2025-01-19T20:00:43.885094926Z,true,2025-01-19T20:17:06.268763647Z,01JJ022JA9DBF48GQEF41XSH3E,2025-01-19T20:00:43.885094926Z,1,2025-01-19T20:00:43.885094926Z,true,2025-01-19T20:17:03.227217128Z,feedback,2025-01-19T20:00:43.885094926Z,01JJ02EG1T0V3G89VJASME0XJ6,2025-01-19T20:00:43.885094926Z,true,2025-01-19T20:17:03.185392632Z,true,2025-01-19T20:17:03.252592802Z,01JJ02EGB9ZDY904F45YF3D0G3,2025-01-19T20:00:43.885094926Z
01JJ02EGPES1XCYW8M7KGBXCE7,01JJ022JA27F5V0SCVKA5CZVWJ,2025-01-19T20:00:44.238777004Z,3,2025-01-19T20:00:44.238777004Z,true,2025-01-19T20:38:04.931025589Z,01JJ022JA9DBF48GQEF41XSH3E,2025-01-19T20:00:44.238777004Z,1,2025-01-19T20:00:44.238777004Z,true,2025-01-19T20:38:01.857607386Z,feedback,2025-01-19T20:00:44.238777004Z,01JJ02EG40Q2DNCXBYET6RTK9G,2025-01-19T20:00:44.238777004Z,true,2025-01-19T20:38:01.790492295Z,true,2025-01-19T20:38:01.908597646Z,01JJ02EGPCH4C2DG6YRFK5MC82,2025-01-19T20:00:44.238777004Z
01JJ02JKN72DA29W8CFE7WSKMA,01JJ022K87GZ4E77262EHJ1YDG,2025-01-19T20:02:58.343293075Z,60,2025-01-19T20:02:58.343293075Z,true,2025-01-19T20:13:26.990520318Z,01JJ022K8DWXND0N5F9K1JAXE3,2025-01-19T20:02:58.343293075Z,0,2025-01-19T20:02:58.343293075Z,true,2025-01-19T20:12:58.360541582Z,selection,2025-01-19T20:02:58.343293075Z,01JJ02JKDTTRSNZ1JFYY4MNMMD,2025-01-19T20:02:58.343293075Z,true,2025-01-19T20:12:58.315517569Z,true,2025-01-19T20:12:58.385570556Z,01JJ02JKN4FHZTDB0G0YN665MP,2025-01-19T20:02:58.343293075Z
01JJ02Z9J1PWWGSQQEVQNGSSTN,01JJ023AJRN5E6YF4FSF5F615G,2025-01-19T20:09:53.985343894Z,60,2025-01-19T20:09:53.985343894Z,true,2025-01-19T20:16:44.857545295Z,01JJ023AJZ85X3BM8E3GCK76P3,2025-01-19T20:09:53.985343894Z,0,2025-01-19T20:09:53.985343894Z,true,2025-01-19T20:16:19.221887711Z,selection,2025-01-19T20:09:53.985343894Z,01JJ02Z8VN2S9YREFX6TFPSP5Y,2025-01-19T20:09:53.985343894Z,true,2025-01-19T20:16:19.17654797Z,true,2025-01-19T20:16:19.248921731Z,01JJ02Z9HXVBVGJ10P9VDT9A38,2025-01-19T20:09:53.985343894Z
01JJ02GSHS8242HFWEG9T8SJVR,01JJ022JYVGNS2BFXFYBXECQKC,2025-01-19T20:01:58.841969213Z,3,2025-01-19T20:01:58.841969213Z,true,2025-01-19T20:16:29.295747711Z,01JJ022JZ1DXWN1E8EPFYTXHYB,2025-01-19T20:01:58.841969213Z,1,2025-01-19T20:01:58.841969213Z,true,2025-01-19T20:16:26.267259883Z,feedback,2025-01-19T20:01:58.841969213Z,01JJ02GS3ZW72YWTT22J8FGMBC,2025-01-19T20:01:58.841969213Z,true,2025-01-19T20:16:26.226411582Z,true,2025-01-19T20:16:26.292455702Z,01JJ02GSHPK2TNX6D6NKBTB9PG,2025-01-19T20:01:58.841969213Z
01JJ02BBZVC4THQADMBFTFTVPG,01JJ022GQ5VJNCJ9AR611Y4C2W,2025-01-19T19:59:01.115872618Z,60,2025-01-19T19:59:01.115872618Z,true,2025-01-19T20:17:45.179398608Z,01JJ022GQC1P4FMRA0EK0V6ZB6,2025-01-19T19:59:01.115872618Z,0,2025-01-19T19:59:01.115872618Z,true,2025-01-19T20:17:22.695251615Z,selection,2025-01-19T19:59:01.115872618Z,01JJ02BBNA3AQPKPS5PWZ7YRHR,2025-01-19T19:59:01.115872618Z,true,2025-01-19T20:17:22.651165208Z,true,2025-01-19T20:17:22.723215168Z,01JJ02BBZSKBY1MH11P2MF3PY1,2025-01-19T19:59:01.115872618Z
01JJ03XT3J1Z5S95MXKYAA6Q84,01JJ023BKJ298YMR5G8WBE7RNJ,2025-01-19T20:26:33.970071469Z,3,2025-01-19T20:26:33.970071469Z,true,2025-01-19T20:30:47.459157361Z,01JJ023BKQJAFSMFH6M9TFDPZQ,2025-01-19T20:26:33.970071469Z,1,2025-01-19T20:26:33.970071469Z,true,2025-01-19T20:30:44.41539125Z,feedback,2025-01-19T20:26:33.970071469Z,01JJ03XRRW0VP34Y3YYFYTFJZX,2025-01-19T20:26:33.970071469Z,true,2025-01-19T20:30:44.334898417Z,true,2025-01-19T20:30:44.455951573Z,01JJ03XT2ZR7754AV1XZPK15EK,2025-01-19T20:26:33.970071469Z
01JJ02WAVQME48SV5DE97E4V5F,01JJ023A336PE8TND6VG54BAV5,2025-01-19T20:08:17.015584069Z,3,2025-01-19T20:08:17.015584069Z,true,2025-01-19T20:29:36.248834767Z,01JJ023A3A1RHQDA6GPK40AQY8,2025-01-19T20:08:17.015584069Z,1,2025-01-19T20:08:17.015584069Z,true,2025-01-19T20:29:33.205771262Z,feedback,2025-01-19T20:08:17.015584069Z,01JJ02W9M33YEYHBH58VBMC24X,2025-01-19T20:08:17.015584069Z,true,2025-01-19T20:29:33.147756243Z,true,2025-01-19T20:29:33.244811145Z,01JJ02WAVE403NXA9YM3B1MVJN,2025-01-19T20:08:17.015584069Z
01JJ0381B0P2DR437A0KQB22NT,01JJ023AZA75CQMWAX9W21H1YA,2025-01-19T20:14:40.480348497Z,3,2025-01-19T20:14:40.480348497Z,false,2025-01-19T20:14:40.480348497Z,01JJ023AZJWAXABFB437V4QBDE,2025-01-19T20:14:40.480348497Z,1,2025-01-19T20:14:40.480348497Z,,,feedback,2025-01-19T20:14:40.480348497Z,01JJ037Z1NZ3HF9X6DV3JBFEFH,2025-01-19T20:14:40.480348497Z,false,2025-01-19T20:14:40.480348497Z,,,01JJ0381AM4ZKADPPFYTK3VH3P,2025-01-19T20:14:40.480348497Z
01JJ03EF2WZVJ15K1G3K1SV8ED,01JJ023B9PEZJD3F2VVF0B5J6Q,2025-01-19T20:18:11.164318129Z,60,2025-01-19T20:18:11.164318129Z,true,2025-01-19T20:57:47.988270053Z,01JJ023B9WF6X1GM593J0V5GRY,2025-01-19T20:18:11.164318129Z,0,2025-01-19T20:18:11.164318129Z,true,2025-01-19T20:57:38.415641083Z,selection,2025-01-19T20:18:11.164318129Z,01JJ03EC4283N80S7KF0XJJN6F,2025-01-19T20:18:11.164318129Z,true,2025-01-19T20:57:38.318987921Z,true,2025-01-19T20:57:38.500348563Z,01JJ03EF2Q0GD6GMWP1FHABP57,2025-01-19T20:18:11.164318129Z
01JJ02BC3EAJHFVPRVEPR43CVZ,01JJ022GQ5VJNCJ9AR611Y4C2W,2025-01-19T19:59:01.230143552Z,60,2025-01-19T19:59:01.230143552Z,true,2025-01-19T20:23:35.498415834Z,01JJ022GQC1P4FMRA0EK0V6ZB6,2025-01-19T19:59:01.230143552Z,0,2025-01-19T19:59:01.230143552Z,true,2025-01-19T20:23:01.65177647Z,selection,2025-01-19T19:59:01.230143552Z,01JJ02BBNHE93APRVVZ6R54NA2,2025-01-19T19:59:01.230143552Z,true,2025-01-19T20:23:01.592978532Z,true,2025-01-19T20:23:01.687589321Z,01JJ02BC3BXFK3JP3686S8J49H,2025-01-19T19:59:01.230143552Z
01JJ02GS8WNBSYNYAW0N5GCP2K,01JJ022JYVGNS2BFXFYBXECQKC,2025-01-19T20:01:58.556876008Z,3,2025-01-19T20:01:58.556876008Z,true,2025-01-19T20:04:52.645591805Z,01JJ022JZ1DXWN1E8EPFYTXHYB,2025-01-19T20:01:58.556876008Z,1,2025-01-19T20:01:58.556876008Z,true,2025-01-19T20:04:49.625861409Z,feedback,2025-01-19T20:01:58.556876008Z,01JJ02GS332G4T7KMW4NKCNSV6,2025-01-19T20:01:58.556876008Z,true,2025-01-19T20:04:49.608325636Z,true,2025-01-19T20:04:49.637927956Z,01JJ02GS8R9M05X45YQ1DKACP9,2025-01-19T20:01:58.556876008Z
01JJ02JMCQD6QBXNJ7T8WMRDVG,01JJ022K87GZ4E77262EHJ1YDG,2025-01-19T20:02:59.095431448Z,3,2025-01-19T20:02:59.095431448Z,true,2025-01-19T20:43:20.733505528Z,01JJ022K8DWXND0N5F9K1JAXE3,2025-01-19T20:02:59.095431448Z,1,2025-01-19T20:02:59.095431448Z,true,2025-01-19T20:43:17.684638116Z,feedback,2025-01-19T20:02:59.095431448Z,01JJ02JKA4DB31M3NMNKKMF761,2025-01-19T20:02:59.095431448Z,true,2025-01-19T20:43:17.613590207Z,true,2025-01-19T20:43:17.729898923Z,01JJ02JMCJ0411V60TCMHM1FFJ,2025-01-19T20:02:59.095431448Z
01JJ02QTJY8ERGA3X90KD353Y0,01JJ022M75VM6HPN06J16HVB2P,2025-01-19T20:05:49.278077413Z,3,2025-01-19T20:05:49.278077413Z,true,2025-01-19T20:13:42.222547409Z,01JJ022M7B7XYRRB131R81HPKE,2025-01-19T20:05:49.278077413Z,1,2025-01-19T20:05:49.278077413Z,true,2025-01-19T20:13:39.186341584Z,feedback,2025-01-19T20:05:49.278077413Z,01JJ02QT2Y49ZXC7V9MG93FB93,2025-01-19T20:05:49.278077413Z,true,2025-01-19T20:13:39.150489621Z,true,2025-01-19T20:13:39.208756884Z,01JJ02QTJJ8CK446ZDZ75WMSZF,2025-01-19T20:05:49.278077413Z
