id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JJWZ272HMAMD6CSM55A1HQ2V,01JJWYP2JPRZW0MMTF0ADRQ0QH,2025-01-31T01:19:33.969456232Z,"[{""text"":""Genie on an L"",""sender"":{""id"":""01JJWYSXQ65B7P2V2JXF4PBD9N"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-31T01:50:30.178687771Z,true,2025-01-31T01:50:38.435481738Z,01JJWYSXQ65B7P2V2JXF4PBD9N,2025-01-31T01:50:11.987351372Z,true,2025-01-31T01:50:38.411611543Z,01JJWYP2JX2K73EBW3P2YBJVGZ,2025-01-31T01:19:33.969456232Z,55,2025-01-31T01:19:33.969456232Z,false,2025-01-31T01:50:12.195323468Z,01JJWYVSPBCJEFA8SSN8VF8YGY,2025-01-31T01:50:11.987351372Z,65,2025-01-31T01:19:33.969456232Z,3,2025-01-31T01:19:33.969456232Z,4,2025-01-31T01:19:33.969456232Z,/tangrams/431_133.png,2025-01-31T01:50:38.435481738Z,/tangrams/431_133.png,2025-01-31T01:50:35.149311939Z,2,2025-01-31T01:19:34.702502462Z,true,2025-01-31T01:50:11.904500218Z,"[""/tangrams/431_133.png"",""/tangrams/363_233.png"",""/tangrams/431_233.png"",""/tangrams/363_133.png""]",2025-01-31T01:19:33.969456232Z,/tangrams/431_133.png,2025-01-31T01:19:33.969456232Z,8,2025-01-31T01:19:33.969456232Z,55,2025-01-31T01:19:33.969456232Z
01JJX0J8QHFEVT535FZMK72QWA,01JJWYP52QCTGRFEV3KAQS5TWK,2025-01-31T01:45:48.529104001Z,,,,,,,false,2025-01-31T01:45:48.529104001Z,01JJWYP52WZD7TZM8DC09M8HSE,2025-01-31T01:45:48.529104001Z,12,2025-01-31T01:45:48.529104001Z,,,,,65,2025-01-31T01:45:48.529104001Z,0,2025-01-31T01:45:48.529104001Z,4,2025-01-31T01:45:48.529104001Z,,,,,2,2025-01-31T01:45:50.122843293Z,false,2025-01-31T01:45:48.529104001Z,"[""/tangrams/417_428.png"",""/tangrams/268_315.png"",""/tangrams/417_315.png"",""/tangrams/268_428.png""]",2025-01-31T01:45:48.529104001Z,/tangrams/417_315.png,2025-01-31T01:45:48.529104001Z,13,2025-01-31T01:45:48.529104001Z,12,2025-01-31T01:45:48.529104001Z
01JJWZ1PXCGF7D6E6MX116ZHYY,01JJWYP1C9M84QRZ5BV7YFBN5A,2025-01-31T01:19:17.420644618Z,"[{""text"":""nah my fault"",""sender"":{""id"":""01JJWYV5H5AVZ4Z97W9RWAPGGS"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""i knew i messed up as soon as i pressed, sorry!"",""sender"":{""id"":""01JJWYV5H5AVZ4Z97W9RWAPGGS"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""backwards E with mustache on top"",""sender"":{""id"":""01JJWYV5H5AVZ4Z97W9RWAPGGS"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-31T01:23:14.597235142Z,true,2025-01-31T01:23:22.862390438Z,01JJWYV5H5AVZ4Z97W9RWAPGGS,2025-01-31T01:22:46.628222246Z,true,2025-01-31T01:23:22.853585778Z,01JJWYP1CG1N3Y8VNA5HPEZ5FW,2025-01-31T01:19:17.420644618Z,6,2025-01-31T01:19:17.420644618Z,false,2025-01-31T01:22:46.847536717Z,01JJWYSQ4Q05QW2MV5AA2J7DWY,2025-01-31T01:22:46.628222246Z,65,2025-01-31T01:19:17.420644618Z,0,2025-01-31T01:19:17.420644618Z,4,2025-01-31T01:19:17.420644618Z,/tangrams/41_154.png,2025-01-31T01:23:22.862390438Z,/tangrams/41_154.png,2025-01-31T01:23:19.759812867Z,2,2025-01-31T01:19:17.600461217Z,true,2025-01-31T01:22:46.602212079Z,"[""/tangrams/445_154.png"",""/tangrams/445_52.png"",""/tangrams/41_154.png"",""/tangrams/41_52.png""]",2025-01-31T01:19:17.420644618Z,/tangrams/41_154.png,2025-01-31T01:19:17.420644618Z,7,2025-01-31T01:19:17.420644618Z,6,2025-01-31T01:19:17.420644618Z
01JJWZ4XZ6R47WZ81RDDCWFSFN,01JJWYP32W6WJ8SFMNK0HJ456S,2025-01-31T01:21:02.950994477Z,"[{""text"":""two triangles on left and small crown"",""sender"":{""id"":""01JJWYVJ6N75XT6NYVP58K44EX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-31T01:57:19.274715313Z,true,2025-01-31T01:57:27.199511472Z,01JJWYVJ6N75XT6NYVP58K44EX,2025-01-31T01:57:07.348927002Z,true,2025-01-31T01:57:27.174728511Z,01JJWYP3309EZJVNXHV0RJ73YZ,2025-01-31T01:21:02.950994477Z,63,2025-01-31T01:21:02.950994477Z,false,2025-01-31T01:57:07.591422016Z,01JJWYX0PK014XMX17VZ3FK5A9,2025-01-31T01:57:07.348927002Z,65,2025-01-31T01:21:02.950994477Z,3,2025-01-31T01:21:02.950994477Z,4,2025-01-31T01:21:02.950994477Z,/tangrams/460_68.png,2025-01-31T01:57:27.199511472Z,/tangrams/460_68.png,2025-01-31T01:57:23.849456756Z,2,2025-01-31T01:21:04.039636913Z,true,2025-01-31T01:57:07.256711022Z,"[""/tangrams/460_307.png"",""/tangrams/36_307.png"",""/tangrams/36_68.png"",""/tangrams/460_68.png""]",2025-01-31T01:21:02.950994477Z,/tangrams/460_68.png,2025-01-31T01:21:02.950994477Z,16,2025-01-31T01:21:02.950994477Z,63,2025-01-31T01:21:02.950994477Z
01JJX0J8XMJXGYM5FP7ZKV4YVF,01JJWYP52QCTGRFEV3KAQS5TWK,2025-01-31T01:45:48.724548284Z,,,,,,,false,2025-01-31T01:45:48.724548284Z,01JJWYP52WZD7TZM8DC09M8HSE,2025-01-31T01:45:48.724548284Z,24,2025-01-31T01:45:48.724548284Z,,,,,65,2025-01-31T01:45:48.724548284Z,1,2025-01-31T01:45:48.724548284Z,4,2025-01-31T01:45:48.724548284Z,,,,,2,2025-01-31T01:45:50.802399176Z,false,2025-01-31T01:45:48.724548284Z,"[""/tangrams/268_315.png"",""/tangrams/268_31.png"",""/tangrams/104_31.png"",""/tangrams/104_315.png""]",2025-01-31T01:45:48.724548284Z,/tangrams/104_315.png,2025-01-31T01:45:48.724548284Z,9,2025-01-31T01:45:48.724548284Z,24,2025-01-31T01:45:48.724548284Z
01JJX232MYFNTZRZEHB2ZZ2T4G,01JJWYPZJQ23FKV3XYK1RXVWKP,2025-01-31T02:12:27.934453339Z,"[{""text"":""how many points"",""sender"":{""id"":""01JJX19KK3DWYG6GQDJFVQDH43"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""this object look something like a horse with a lot of triangles attached to the backside"",""sender"":{""id"":""01JJX1R4VX1K5GY72NAZ3JMNZP"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-31T02:13:35.496419558Z,true,2025-01-31T02:13:49.086250929Z,01JJX1R4VX1K5GY72NAZ3JMNZP,2025-01-31T02:13:01.312872645Z,true,2025-01-31T02:13:49.053848749Z,01JJWYPZJX9BD6QPNY2JYX1KZP,2025-01-31T02:12:27.934453339Z,0,2025-01-31T02:12:27.934453339Z,false,2025-01-31T02:13:01.712990907Z,01JJX19KK3DWYG6GQDJFVQDH43,2025-01-31T02:13:01.312872645Z,65,2025-01-31T02:12:27.934453339Z,0,2025-01-31T02:12:27.934453339Z,4,2025-01-31T02:12:27.934453339Z,/tangrams/448_254.png,2025-01-31T02:13:49.086250929Z,/tangrams/448_254.png,2025-01-31T02:13:45.544843335Z,2,2025-01-31T02:12:29.693365177Z,true,2025-01-31T02:12:43.499895356Z,"[""/tangrams/448_254.png"",""/tangrams/448_339.png"",""/tangrams/227_254.png"",""/tangrams/227_339.png""]",2025-01-31T02:12:27.934453339Z,/tangrams/448_254.png,2025-01-31T02:12:27.934453339Z,1,2025-01-31T02:12:27.934453339Z,0,2025-01-31T02:12:27.934453339Z
01JJWYXK8N0ZJXKQNWCK4BYS9N,01JJWYNXCQ63ZHN65S56ZTN92X,2025-01-31T01:17:02.61382584Z,"[{""text"":""top square bottom open square"",""sender"":{""id"":""01JJWYSA894X2TZ8KBZR61SHA6"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-31T01:39:44.980267881Z,true,2025-01-31T01:39:54.499683527Z,01JJWYSA894X2TZ8KBZR61SHA6,2025-01-31T01:39:35.560887141Z,true,2025-01-31T01:39:54.483415577Z,01JJWYNXD35FW4GE39QJ140WNZ,2025-01-31T01:17:02.61382584Z,53,2025-01-31T01:17:02.61382584Z,false,2025-01-31T01:39:35.737634857Z,01JJWYSEYHB2W76M0QD5PQ99PE,2025-01-31T01:39:35.560887141Z,65,2025-01-31T01:17:02.61382584Z,3,2025-01-31T01:17:02.61382584Z,4,2025-01-31T01:17:02.61382584Z,/tangrams/38_137.png,2025-01-31T01:39:54.499683527Z,/tangrams/38_137.png,2025-01-31T01:39:51.227315997Z,2,2025-01-31T01:17:03.029442191Z,true,2025-01-31T01:39:35.489787901Z,"[""/tangrams/38_88.png"",""/tangrams/38_137.png"",""/tangrams/450_137.png"",""/tangrams/450_88.png""]",2025-01-31T01:17:02.61382584Z,/tangrams/38_137.png,2025-01-31T01:17:02.61382584Z,6,2025-01-31T01:17:02.61382584Z,53,2025-01-31T01:17:02.61382584Z
01JJWYY62JGV474F0WESTEEPKP,01JJWYNYZ0Y84ATQ8EC6AHD06C,2025-01-31T01:17:21.87496855Z,"[{""text"":""square at beginning with bow at the end"",""sender"":{""id"":""01JJWYSQ1TN0B1HHTZMNP2QD96"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-31T01:42:07.277026991Z,true,2025-01-31T01:42:16.034699656Z,01JJWYSQ1TN0B1HHTZMNP2QD96,2025-01-31T01:41:49.453281135Z,true,2025-01-31T01:42:16.016297085Z,01JJWYNYZ722163KXSQHAD9669,2025-01-31T01:17:21.87496855Z,35,2025-01-31T01:17:21.87496855Z,false,2025-01-31T01:41:49.644454098Z,01JJWYTHG5DNDJCTZGXPTBJ3SB,2025-01-31T01:41:49.453281135Z,65,2025-01-31T01:17:21.87496855Z,2,2025-01-31T01:17:21.87496855Z,4,2025-01-31T01:17:21.87496855Z,/tangrams/249_143.png,2025-01-31T01:42:16.034699656Z,/tangrams/249_143.png,2025-01-31T01:42:12.795946985Z,2,2025-01-31T01:17:22.191756578Z,true,2025-01-31T01:41:49.383378736Z,"[""/tangrams/249_143.png"",""/tangrams/459_408.png"",""/tangrams/459_143.png"",""/tangrams/249_408.png""]",2025-01-31T01:17:21.87496855Z,/tangrams/249_143.png,2025-01-31T01:17:21.87496855Z,4,2025-01-31T01:17:21.87496855Z,35,2025-01-31T01:17:21.87496855Z
01JJWZ10PCF87YVRJDDXWDRKA7,01JJWYP0JZ9MXZNA1RSVA69F0C,2025-01-31T01:18:54.66861089Z,"[{""text"":""big arrow left, quill right"",""sender"":{""id"":""01JJWYTF6YDFAF4HJGRDS7XBR7"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-31T01:38:40.147664452Z,true,2025-01-31T01:38:49.439222409Z,01JJWYTF6YDFAF4HJGRDS7XBR7,2025-01-31T01:38:25.691402437Z,true,2025-01-31T01:38:49.423694512Z,01JJWYP0K5K0BV7CASYB8PBB0J,2025-01-31T01:18:54.66861089Z,27,2025-01-31T01:18:54.66861089Z,false,2025-01-31T01:38:25.882715109Z,01JJWYTFZQ86VENF8YHE9A02XZ,2025-01-31T01:38:25.691402437Z,65,2025-01-31T01:18:54.66861089Z,1,2025-01-31T01:18:54.66861089Z,4,2025-01-31T01:18:54.66861089Z,/tangrams/299_234.png,2025-01-31T01:38:49.439222409Z,/tangrams/299_234.png,2025-01-31T01:38:46.180740618Z,2,2025-01-31T01:18:54.99520301Z,true,2025-01-31T01:38:25.628272393Z,"[""/tangrams/68_234.png"",""/tangrams/299_234.png"",""/tangrams/68_413.png"",""/tangrams/299_413.png""]",2025-01-31T01:18:54.66861089Z,/tangrams/299_234.png,2025-01-31T01:18:54.66861089Z,12,2025-01-31T01:18:54.66861089Z,27,2025-01-31T01:18:54.66861089Z
01JJX0HKRM7V130A0G1D1V09F1,01JJWYP4QX9R6AJ06D53SXQ6W6,2025-01-31T01:45:27.060680396Z,"[{""text"":""laughing man with cone head"",""sender"":{""id"":""01JJX0CN3JRWP36C7NRMQVJDSG"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-31T01:58:36.85027295Z,true,2025-01-31T01:58:52.943155415Z,01JJX0CN3JRWP36C7NRMQVJDSG,2025-01-31T01:58:27.282515972Z,true,2025-01-31T01:58:52.91695244Z,01JJWYP4R47SWGQCMJ4BB37AKM,2025-01-31T01:45:27.060680396Z,18,2025-01-31T01:45:27.060680396Z,false,2025-01-31T01:58:27.508593975Z,01JJX0555NC5NEGDREKJ4QDGAJ,2025-01-31T01:58:27.282515972Z,65,2025-01-31T01:45:27.060680396Z,1,2025-01-31T01:45:27.060680396Z,4,2025-01-31T01:45:27.060680396Z,/tangrams/398_433.png,2025-01-31T01:58:52.943155415Z,/tangrams/398_433.png,2025-01-31T01:58:49.596467873Z,2,2025-01-31T01:45:28.837584676Z,true,2025-01-31T01:58:27.185863748Z,"[""/tangrams/373_433.png"",""/tangrams/398_193.png"",""/tangrams/398_433.png"",""/tangrams/373_193.png""]",2025-01-31T01:45:27.060680396Z,/tangrams/398_433.png,2025-01-31T01:45:27.060680396Z,3,2025-01-31T01:45:27.060680396Z,18,2025-01-31T01:45:27.060680396Z
