id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JH6D43HS880KDST6YZ8S0CX7,,,01JH6D43HEM72QY7SGBWQ5WZSR,2025-01-09T20:47:02.201659984Z,,,,,,,false,2025-01-09T20:47:02.201659984Z,batch ended,2025-01-09T21:02:38.32513999Z,01JH6D43JWBAJVXFNWKB2XCWYX,2025-01-09T20:47:02.23814908Z,,,,,,,,,,,,,false,2025-01-09T20:47:02.201659984Z,,,terminated,2025-01-09T21:02:38.32513999Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T20:47:02.201659984Z,full-comp-between,2025-01-09T20:47:02.201659984Z
01JH6E12CYJK257E7E3BVNY8KC,2,2025-01-09T21:10:50.581346422Z,01JH6E12CCBPBZYDQZBF95Z414,2025-01-09T21:02:51.294554228Z,"[367,405,145,328]",2025-01-09T21:10:50.819830233Z,4,2025-01-09T21:10:50.604848906Z,comp-within,2025-01-09T21:10:50.604848906Z,true,2025-01-09T21:41:19.937009735Z,end of game,2025-01-09T21:41:19.965047719Z,01JH6E12E5AXK0FMHEM0PZNTA6,2025-01-09T21:02:51.33528282Z,true,2025-01-09T21:10:50.819830233Z,3,2025-01-09T21:10:50.604848906Z,0,2025-01-09T21:10:50.604848906Z,63,2025-01-09T21:10:50.819830233Z,1,2025-01-09T21:10:50.604848906Z,null,2025-01-09T21:41:19.937009735Z,true,2025-01-09T21:10:50.581346422Z,true,2025-01-09T21:10:50.581346422Z,ended,2025-01-09T21:41:19.965047719Z,"[[467,367],[467,405],[467,145],[467,328],[204,367],[204,405],[204,145],[204,328],[281,367],[281,405],[281,145],[281,328],[366,367],[366,405],[366,145],[366,328]]",2025-01-09T21:10:50.819830233Z,"[467,204,281,366]",2025-01-09T21:10:50.819830233Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:02:51.294554228Z,full-comp-within,2025-01-09T21:02:51.294554228Z
01JH6EG3TSBYEJ9FEXT82YTFWY,2,2025-01-09T21:24:19.639572337Z,01JH6EG3TA5QYS5Z38HKNPBNV1,2025-01-09T21:11:04.281866699Z,"[48,272,61,408]",2025-01-09T21:24:20.134180993Z,4,2025-01-09T21:24:19.676119638Z,comp-between,2025-01-09T21:24:19.676119638Z,true,2025-01-09T21:55:30.547646945Z,end of game,2025-01-09T21:55:30.580199845Z,01JH6EG3VYSEAPCF24K9NDTKP1,2025-01-09T21:11:04.319416143Z,true,2025-01-09T21:24:20.134180993Z,3,2025-01-09T21:24:19.676119638Z,180,2025-01-09T21:24:19.676119638Z,63,2025-01-09T21:24:20.134180993Z,1,2025-01-09T21:24:19.676119638Z,null,2025-01-09T21:55:30.547646945Z,true,2025-01-09T21:24:19.639572337Z,true,2025-01-09T21:24:19.639572337Z,ended,2025-01-09T21:55:30.580199845Z,"[[65,48],[65,272],[65,61],[65,408],[415,48],[415,272],[415,61],[415,408],[193,48],[193,272],[193,61],[193,408],[63,48],[63,272],[63,61],[63,408]]",2025-01-09T21:24:20.134180993Z,"[65,415,193,63]",2025-01-09T21:24:20.134180993Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:11:04.281866699Z,full-comp-between,2025-01-09T21:11:04.281866699Z
01JH6ER00DKQJP5DAGEN19MFQG,2,2025-01-09T21:30:39.610035953Z,01JH6EQVBD3A04RXZSFH4GJKMN,2025-01-09T21:15:22.509636077Z,"[96,403,381,386,227,343,288,125,24,130,93,274,252,100,448,126]",2025-01-09T21:30:40.258693217Z,4,2025-01-09T21:30:39.659606102Z,noncomp,2025-01-09T21:30:39.659606102Z,true,2025-01-09T21:47:42.513825499Z,end of game,2025-01-09T21:47:42.544612976Z,01JH6ER0P88WQYJKDXBDKKCS64,2025-01-09T21:15:23.209958031Z,true,2025-01-09T21:30:40.258693217Z,3,2025-01-09T21:30:39.659606102Z,270,2025-01-09T21:30:39.659606102Z,63,2025-01-09T21:30:40.258693217Z,1,2025-01-09T21:30:39.659606102Z,null,2025-01-09T21:47:42.513825499Z,true,2025-01-09T21:30:39.610035953Z,true,2025-01-09T21:30:39.610035953Z,ended,2025-01-09T21:47:42.544612976Z,"[[422,96],[102,403],[417,381],[52,386],[254,227],[345,343],[415,288],[303,125],[305,24],[452,130],[324,93],[170,274],[124,252],[14,100],[237,448],[40,126]]",2025-01-09T21:30:40.258693217Z,"[422,102,417,52,254,345,415,303,305,452,324,170,124,14,237,40]",2025-01-09T21:30:40.258693217Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:15:22.509636077Z,full-noncomp,2025-01-09T21:15:22.509636077Z
01JH6ER00NSAMMFKBBS8V3SDG4,,,01JH6EQVBD3A04RXZSFH4GJKMN,2025-01-09T21:15:22.517651095Z,,,,,,,false,2025-01-09T21:15:22.517651095Z,batch ended,2025-01-09T21:56:38.858238494Z,01JH6ER0QSWGSDHKDK4KVG21M8,2025-01-09T21:15:23.259420191Z,,,,,,,,,,,,,false,2025-01-09T21:15:22.517651095Z,,,terminated,2025-01-09T21:56:38.858238494Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:15:22.517651095Z,full-comp-between,2025-01-09T21:15:22.517651095Z
01JH6D41RE0KQ66YVS0ZH633SF,,,01JH6D41QR62JDNS2PF014M3VH,2025-01-09T20:47:00.366243657Z,,,,,,,false,2025-01-09T20:47:00.366243657Z,batch ended,2025-01-09T21:02:57.163563582Z,01JH6D41SPMRXMKMNP2QQM8APM,2025-01-09T20:47:00.407745945Z,,,,,,,,,,,,,false,2025-01-09T20:47:00.366243657Z,,,terminated,2025-01-09T21:02:57.163563582Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T20:47:00.366243657Z,full-comp-within,2025-01-09T20:47:00.366243657Z
01JH6D43HS880KDST6YN9DAHP0,,,01JH6D43HEM72QY7SGBWQ5WZSR,2025-01-09T20:47:02.201245663Z,,,,,,,false,2025-01-09T20:47:02.201245663Z,batch ended,2025-01-09T21:02:38.32513999Z,01JH6D43JE2WB7CT6681WZJ7YA,2025-01-09T20:47:02.224679331Z,,,,,,,,,,,,,false,2025-01-09T20:47:02.201245663Z,,,terminated,2025-01-09T21:02:38.32513999Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T20:47:02.201245663Z,full-noncomp,2025-01-09T20:47:02.201245663Z
01JH6EG3TRG27F1KB2P3FPC8N9,2,2025-01-09T21:17:45.052374071Z,01JH6EG3TA5QYS5Z38HKNPBNV1,2025-01-09T21:11:04.280230203Z,"[253,97,420,234]",2025-01-09T21:17:45.481819953Z,4,2025-01-09T21:17:45.084340277Z,comp-within,2025-01-09T21:17:45.084340277Z,true,2025-01-09T21:41:55.463351334Z,end of game,2025-01-09T21:41:55.494357299Z,01JH6EG3VF9PX4R7PTMZ1AQZRF,2025-01-09T21:11:04.30446406Z,true,2025-01-09T21:17:45.481819953Z,3,2025-01-09T21:17:45.084340277Z,90,2025-01-09T21:17:45.084340277Z,63,2025-01-09T21:17:45.481819953Z,1,2025-01-09T21:17:45.084340277Z,null,2025-01-09T21:41:55.463351334Z,true,2025-01-09T21:17:45.052374071Z,true,2025-01-09T21:17:45.052374071Z,ended,2025-01-09T21:41:55.494357299Z,"[[411,253],[411,97],[411,420],[411,234],[50,253],[50,97],[50,420],[50,234],[330,253],[330,97],[330,420],[330,234],[117,253],[117,97],[117,420],[117,234]]",2025-01-09T21:17:45.481819953Z,"[411,50,330,117]",2025-01-09T21:17:45.481819953Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:11:04.280230203Z,full-comp-within,2025-01-09T21:11:04.280230203Z
01JH6E1C2DWXZEMQ1NCYN91YQD,2,2025-01-09T21:12:38.354429605Z,01JH6E1C20PAC5D5ERJBB6CQ26,2025-01-09T21:03:01.197523447Z,"[31,260,439,296]",2025-01-09T21:12:38.591198145Z,4,2025-01-09T21:12:38.375568814Z,comp-within,2025-01-09T21:12:38.375568814Z,true,2025-01-09T21:32:02.056192214Z,timeOut,2025-01-09T21:32:02.044536893Z,01JH6E1C3TNFW7GTFGZ82DY535,2025-01-09T21:03:01.244168269Z,true,2025-01-09T21:12:38.591198145Z,3,2025-01-09T21:12:38.375568814Z,0,2025-01-09T21:12:38.375568814Z,63,2025-01-09T21:12:38.591198145Z,1,2025-01-09T21:12:38.375568814Z,null,2025-01-09T21:32:02.056192214Z,true,2025-01-09T21:12:38.354429605Z,true,2025-01-09T21:12:38.354429605Z,ended,2025-01-09T21:32:02.044536893Z,"[[385,31],[385,260],[385,439],[385,296],[195,31],[195,260],[195,439],[195,296],[270,31],[270,260],[270,439],[270,296],[122,31],[122,260],[122,439],[122,296]]",2025-01-09T21:12:38.591198145Z,"[385,195,270,122]",2025-01-09T21:12:38.591198145Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:03:01.197523447Z,full-comp-within,2025-01-09T21:03:01.197523447Z
01JH6ER00GR9S8WB6DM17V41FP,,,01JH6EQVBD3A04RXZSFH4GJKMN,2025-01-09T21:15:22.512756898Z,,,,,,,false,2025-01-09T21:15:22.512756898Z,batch ended,2025-01-09T21:56:38.858238494Z,01JH6ER0Q2463AB4GA6BBWHVT0,2025-01-09T21:15:23.23673227Z,,,,,,,,,,,,,false,2025-01-09T21:15:22.512756898Z,,,terminated,2025-01-09T21:56:38.858238494Z,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:15:22.512756898Z,full-comp-within,2025-01-09T21:15:22.512756898Z
