id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JH6EPK4CV74A6Z8JKGXQ33N9,01JH6E1C20PAC5D5ERJBB6CQ26,2025-01-09T21:14:36.556627344Z,,,,,,,false,2025-01-09T21:14:36.556627344Z,01JH6E1C2BP6ZGXRXBA6P1DY1H,2025-01-09T21:14:36.556627344Z,45,2025-01-09T21:14:36.556627344Z,,,65,2025-01-09T21:14:36.556627344Z,2,2025-01-09T21:14:36.556627344Z,4,2025-01-09T21:14:36.556627344Z,,,2,2025-01-09T21:14:37.351544937Z,false,2025-01-09T21:14:36.556627344Z,"[""/tangrams/443_372.png"",""/tangrams/103_79.png"",""/tangrams/81_121.png"",""/tangrams/415_424.png""]",2025-01-09T21:14:36.556627344Z,/tangrams/103_79.png,2025-01-09T21:14:36.556627344Z,14,2025-01-09T21:14:36.556627344Z,45,2025-01-09T21:14:36.556627344Z
01JH6EWBG651Y0T1CM8ATJ62G1,01JH6EG3TA5QYS5Z38HKNPBNV1,2025-01-09T21:17:45.350360345Z,"[{""text"":""2 triangles on top"",""sender"":{""id"":""01JH6EDGQKVEDJ8G0G9B8PJAAV"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""rectangle top right"",""sender"":{""id"":""01JH6EDGQKVEDJ8G0G9B8PJAAV"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""standing on 3 triangles"",""sender"":{""id"":""01JH6EDGQKVEDJ8G0G9B8PJAAV"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""pillar like shape? on left"",""sender"":{""id"":""01JH6EAX5D301ENHVSXMDYQFXD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:31:55.556033122Z,true,2025-01-09T21:32:00.319200172Z,01JH6EDGQKVEDJ8G0G9B8PJAAV,2025-01-09T21:31:30.246387931Z,true,2025-01-09T21:32:00.304304367Z,01JH6EG3TRG27F1KB2P3FPC8N9,2025-01-09T21:17:45.350360345Z,26,2025-01-09T21:17:45.350360345Z,01JH6EAX5D301ENHVSXMDYQFXD,2025-01-09T21:31:30.246387931Z,65,2025-01-09T21:17:45.350360345Z,1,2025-01-09T21:17:45.350360345Z,4,2025-01-09T21:17:45.350360345Z,/tangrams/117_253.png,2025-01-09T21:32:00.319200172Z,2,2025-01-09T21:17:45.985005288Z,true,2025-01-09T21:31:30.20087684Z,"[""/tangrams/330_97.png"",""/tangrams/117_97.png"",""/tangrams/330_253.png"",""/tangrams/117_253.png""]",2025-01-09T21:17:45.350360345Z,/tangrams/117_253.png,2025-01-09T21:17:45.350360345Z,11,2025-01-09T21:17:45.350360345Z,26,2025-01-09T21:17:45.350360345Z
01JH6F1CMYCDPFKAFRDYGXN54S,01JH6EG3TA5QYS5Z38HKNPBNV1,2025-01-09T21:20:30.374511461Z,"[{""text"":""Triangle, sorry."",""sender"":{""id"":""01JH6ERVZCNV0ZX1CZCZJPRDM6"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""left is an arrow pointing left"",""sender"":{""id"":""01JH6END8AY64F01KZ0D9HPJTX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:49:55.592816662Z,true,2025-01-09T21:50:03.478644203Z,01JH6END8AY64F01KZ0D9HPJTX,2025-01-09T21:49:38.839469473Z,true,2025-01-09T21:50:03.457414368Z,01JH6EG3TQ8S1K1RV6SD3SZ300,2025-01-09T21:20:30.374511461Z,57,2025-01-09T21:20:30.374511461Z,01JH6ERVZCNV0ZX1CZCZJPRDM6,2025-01-09T21:49:38.839469473Z,65,2025-01-09T21:20:30.374511461Z,3,2025-01-09T21:20:30.374511461Z,4,2025-01-09T21:20:30.374511461Z,/tangrams/459_414.png,2025-01-09T21:50:03.478644203Z,2,2025-01-09T21:20:31.751688235Z,true,2025-01-09T21:49:38.788038273Z,"[""/tangrams/386_189.png"",""/tangrams/304_215.png"",""/tangrams/348_355.png"",""/tangrams/459_414.png""]",2025-01-09T21:20:30.374511461Z,/tangrams/459_414.png,2025-01-09T21:20:30.374511461Z,10,2025-01-09T21:20:30.374511461Z,57,2025-01-09T21:20:30.374511461Z
01JH6FKZS89SVB474V2TEK5MJH,01JH6EQVBD3A04RXZSFH4GJKMN,2025-01-09T21:30:39.784859662Z,"[{""text"":""pikachu"",""sender"":{""id"":""01JH6FEQ42SHBZQ2JTT8M0D7AY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""horns up top"",""sender"":{""id"":""01JH6FEQ42SHBZQ2JTT8M0D7AY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-09T21:33:26.26452803Z,false,2025-01-09T21:33:37.39253632Z,01JH6FEQ42SHBZQ2JTT8M0D7AY,2025-01-09T21:33:18.516795709Z,true,2025-01-09T21:33:37.378749736Z,01JH6ER00DKQJP5DAGEN19MFQG,2025-01-09T21:30:39.784859662Z,6,2025-01-09T21:30:39.784859662Z,01JH6EZPN85KA2D8RXSWEGW94Z,2025-01-09T21:33:18.516795709Z,65,2025-01-09T21:30:39.784859662Z,0,2025-01-09T21:30:39.784859662Z,4,2025-01-09T21:30:39.784859662Z,/tangrams/14_100.png,2025-01-09T21:33:37.39253632Z,2,2025-01-09T21:30:40.468019039Z,true,2025-01-09T21:33:18.471748876Z,"[""/tangrams/52_386.png"",""/tangrams/14_100.png"",""/tangrams/452_130.png"",""/tangrams/170_274.png""]",2025-01-09T21:30:39.784859662Z,/tangrams/170_274.png,2025-01-09T21:30:39.784859662Z,7,2025-01-09T21:30:39.784859662Z,6,2025-01-09T21:30:39.784859662Z
01JH6EFPMBYCZ7YZ72XM7TATBW,01JH6E12CCBPBZYDQZBF95Z414,2025-01-09T21:10:50.763888503Z,"[{""text"":""stacked triangles, 2 legs"",""sender"":{""id"":""01JH6EAE9YQ1PSVJ4DGM6PTES5"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-09T21:32:16.411958463Z,true,2025-01-09T21:32:22.997669881Z,01JH6EAE9YQ1PSVJ4DGM6PTES5,2025-01-09T21:32:04.271528674Z,true,2025-01-09T21:32:22.985488358Z,01JH6E12CYJK257E7E3BVNY8KC,2025-01-09T21:10:50.763888503Z,40,2025-01-09T21:10:50.763888503Z,01JH6E9N7GMFHE539DP5PKP7GT,2025-01-09T21:32:04.271528674Z,65,2025-01-09T21:10:50.763888503Z,2,2025-01-09T21:10:50.763888503Z,4,2025-01-09T21:10:50.763888503Z,/tangrams/281_405.png,2025-01-09T21:32:22.997669881Z,2,2025-01-09T21:10:51.274269095Z,true,2025-01-09T21:32:04.226116897Z,"[""/tangrams/467_328.png"",""/tangrams/467_405.png"",""/tangrams/281_328.png"",""/tangrams/281_405.png""]",2025-01-09T21:10:50.763888503Z,/tangrams/281_405.png,2025-01-09T21:10:50.763888503Z,9,2025-01-09T21:10:50.763888503Z,40,2025-01-09T21:10:50.763888503Z
01JH6EM4ZPW5QDRSN02K8AM5B1,01JH6E12CCBPBZYDQZBF95Z414,2025-01-09T21:13:16.53489153Z,"[{""text"":""diamond on right"",""sender"":{""id"":""01JH6E73Q9S1WSVRTG8D0NXV7R"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:29:41.171495118Z,true,2025-01-09T21:29:47.723270034Z,01JH6E73Q9S1WSVRTG8D0NXV7R,2025-01-09T21:29:33.768350034Z,true,2025-01-09T21:29:47.71016476Z,01JH6E12CWGXQF2B41B59YQN0N,2025-01-09T21:13:16.53489153Z,35,2025-01-09T21:13:16.53489153Z,01JH6EFSJBEHY9TA4782TSSNX7,2025-01-09T21:29:33.768350034Z,65,2025-01-09T21:13:16.53489153Z,2,2025-01-09T21:13:16.53489153Z,4,2025-01-09T21:13:16.53489153Z,/tangrams/401_298.png,2025-01-09T21:29:47.723270034Z,2,2025-01-09T21:13:17.069678771Z,true,2025-01-09T21:29:33.724938984Z,"[""/tangrams/266_249.png"",""/tangrams/401_298.png"",""/tangrams/466_460.png"",""/tangrams/158_379.png""]",2025-01-09T21:13:16.53489153Z,/tangrams/401_298.png,2025-01-09T21:13:16.53489153Z,4,2025-01-09T21:13:16.53489153Z,35,2025-01-09T21:13:16.53489153Z
01JH6EHXJFVS1761RWMGY0B1RG,01JH6E12CCBPBZYDQZBF95Z414,2025-01-09T21:12:03.407618803Z,"[{""text"":""Cut out"",""sender"":{""id"":""01JH6ECEK8H3EYT02YS5JT51JA"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:30:18.289410846Z,true,2025-01-09T21:30:23.830388443Z,01JH6ECEK8H3EYT02YS5JT51JA,2025-01-09T21:30:13.789969476Z,true,2025-01-09T21:30:23.819010519Z,01JH6E12CYJK257E7E3RXVEBQK,2025-01-09T21:12:03.407618803Z,53,2025-01-09T21:12:03.407618803Z,01JH6EDCRPMMP0TZSFS592H1YJ,2025-01-09T21:30:13.789969476Z,65,2025-01-09T21:12:03.407618803Z,3,2025-01-09T21:12:03.407618803Z,4,2025-01-09T21:12:03.407618803Z,/tangrams/381_445.png,2025-01-09T21:30:23.830388443Z,2,2025-01-09T21:12:04.126179333Z,true,2025-01-09T21:30:13.752349803Z,"[""/tangrams/75_58.png"",""/tangrams/381_445.png"",""/tangrams/48_441.png"",""/tangrams/344_359.png""]",2025-01-09T21:12:03.407618803Z,/tangrams/381_445.png,2025-01-09T21:12:03.407618803Z,6,2025-01-09T21:12:03.407618803Z,53,2025-01-09T21:12:03.407618803Z
01JH6EPK17HT0ZVWF5EZ1R1XZC,01JH6E1C20PAC5D5ERJBB6CQ26,2025-01-09T21:14:36.455592809Z,,,,,,,false,2025-01-09T21:14:36.455592809Z,01JH6E1C2BP6ZGXRXBA6P1DY1H,2025-01-09T21:14:36.455592809Z,29,2025-01-09T21:14:36.455592809Z,,,65,2025-01-09T21:14:36.455592809Z,1,2025-01-09T21:14:36.455592809Z,4,2025-01-09T21:14:36.455592809Z,,,2,2025-01-09T21:14:37.081046482Z,false,2025-01-09T21:14:36.455592809Z,"[""/tangrams/415_424.png"",""/tangrams/433_270.png"",""/tangrams/103_79.png"",""/tangrams/254_111.png""]",2025-01-09T21:14:36.455592809Z,/tangrams/254_111.png,2025-01-09T21:14:36.455592809Z,14,2025-01-09T21:14:36.455592809Z,29,2025-01-09T21:14:36.455592809Z
01JH6EQTYMM739D1M9D2YG0HJ4,01JH6E1C20PAC5D5ERJBB6CQ26,2025-01-09T21:15:17.333004258Z,"[{""text"":""anybody home\"""",""sender"":{""id"":""01JH6ECDF9X659VR9CMKP04EW8"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:15:55.001637246Z,false,2025-01-09T21:16:26.391503898Z,01JH6EEGR6R4XBJ3VBD2TA0FJ8,2025-01-09T21:15:23.171849117Z,true,2025-01-09T21:16:26.383604841Z,01JH6E1C2DWXZEMQ1NDGSW5GAF,2025-01-09T21:15:17.333004258Z,0,2025-01-09T21:15:17.333004258Z,01JH6ECDF9X659VR9CMKP04EW8,2025-01-09T21:15:23.171849117Z,65,2025-01-09T21:15:17.333004258Z,0,2025-01-09T21:15:17.333004258Z,4,2025-01-09T21:15:17.333004258Z,,2025-01-09T21:16:26.391503898Z,2,2025-01-09T21:15:17.552871334Z,true,2025-01-09T21:15:20.119338121Z,"[""/tangrams/226_50.png"",""/tangrams/371_156.png"",""/tangrams/237_373.png"",""/tangrams/204_464.png""]",2025-01-09T21:15:17.333004258Z,/tangrams/226_50.png,2025-01-09T21:15:17.333004258Z,1,2025-01-09T21:15:17.333004258Z,0,2025-01-09T21:15:17.333004258Z
01JH6EWBCCDQ9WE111ZCNH6GN3,01JH6EG3TA5QYS5Z38HKNPBNV1,2025-01-09T21:17:45.228476219Z,"[{""text"":""pillar like shape on the left"",""sender"":{""id"":""01JH6EAX5D301ENHVSXMDYQFXD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""arrow?"",""sender"":{""id"":""01JH6EDGQKVEDJ8G0G9B8PJAAV"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""and a large arrow pointing into the pillar"",""sender"":{""id"":""01JH6EAX5D301ENHVSXMDYQFXD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-09T21:26:52.203815606Z,true,2025-01-09T21:26:57.012550521Z,01JH6EAX5D301ENHVSXMDYQFXD,2025-01-09T21:26:26.135388349Z,true,2025-01-09T21:26:57.002010822Z,01JH6EG3TRG27F1KB2P3FPC8N9,2025-01-09T21:17:45.228476219Z,13,2025-01-09T21:17:45.228476219Z,01JH6EDGQKVEDJ8G0G9B8PJAAV,2025-01-09T21:26:26.135388349Z,65,2025-01-09T21:17:45.228476219Z,0,2025-01-09T21:17:45.228476219Z,4,2025-01-09T21:17:45.228476219Z,/tangrams/117_97.png,2025-01-09T21:26:57.012550521Z,2,2025-01-09T21:17:45.730146944Z,true,2025-01-09T21:26:26.09941686Z,"[""/tangrams/117_97.png"",""/tangrams/117_420.png"",""/tangrams/330_420.png"",""/tangrams/330_97.png""]",2025-01-09T21:17:45.228476219Z,/tangrams/117_97.png,2025-01-09T21:17:45.228476219Z,14,2025-01-09T21:17:45.228476219Z,13,2025-01-09T21:17:45.228476219Z
