id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JH8YMJFFGYZCQCG4SC87ET4G,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:31:36.431489136Z,01JH8WGGTWE355WC9FZ6X27HES,2025-01-10T20:31:36.431489136Z,01JH8XWKG5TM0PHFN1M5PJJA5Z,2025-01-10T20:31:36.431489136Z,01JH8Y1ZY3K8N5965ZW1NA6FPX,2025-01-10T20:31:36.431489136Z,01JH8Y21GSN5PZJ5REJ7DTD7QY,2025-01-10T20:31:36.431489136Z,true,2025-01-10T20:31:48.355315717Z
01JH8Z913QJK9N5VRBD77BQRKR,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:42:46.775518831Z,01JH8X608BZSQF21W5Q0DTMHTG,2025-01-10T20:42:46.775518831Z,01JH8XGPKG9BNC8MYMXZ7NEQCD,2025-01-10T20:42:46.775518831Z,01JH8YARCD9C3V4AQ1WXPTGWEX,2025-01-10T20:42:46.775518831Z,01JH8YATEW09SS24E9P2CRMCQ5,2025-01-10T20:42:46.775518831Z,true,2025-01-10T20:42:52.791381571Z
01JH8Z8DVKM0375EYPED1EQ80X,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:42:27.059353616Z,01JH8X608BZSQF21W5Q0DTMHTG,2025-01-10T20:42:27.059353616Z,01JH8XGPKG9BNC8MYMXZ7NEQCD,2025-01-10T20:42:27.059353616Z,01JH8YAR948CCRH9E1SFMSGPRX,2025-01-10T20:42:27.059353616Z,01JH8YATCEJTTFDQQSRVTNBXPP,2025-01-10T20:42:27.059353616Z,true,2025-01-10T20:42:34.984455071Z
01JH8Z9Q8N2K480SQN21VGKZB1,01JH8X9NWN8P5ATD610V90J8DB,2025-01-10T20:43:09.461129289Z,01JH8X9NXEH44B0QFWNV12FM33,2025-01-10T20:43:09.461129289Z,01JH8XZ95K9GSSCBP9GQ2JCG32,2025-01-10T20:43:09.461129289Z,01JH8YNEGY71XDJPJFFPK4S4JG,2025-01-10T20:43:09.461129289Z,01JH8YNG1WVC9XXEG79DH5PJSY,2025-01-10T20:43:09.461129289Z,,
01JH8YRZK2BRVJEWYY567HRCNT,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:34:00.930831549Z,01JH8WGGTV4MBJGVZWK2ZTEP3G,2025-01-10T20:34:00.930831549Z,01JH8X4Q8403S3Z04H840P3D7C,2025-01-10T20:34:00.930831549Z,01JH8XDMPH38V4QYYEHEEQ633S,2025-01-10T20:34:00.930831549Z,01JH8XDNPW3ZABHKQP8MWJHCVX,2025-01-10T20:34:00.930831549Z,true,2025-01-10T20:34:12.861313645Z
01JH8X7D75N4V6NR4B8A3XCCWP,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:06:56.485465721Z,01JH8W4NN2MQK62HEARTH2913J,2025-01-10T20:06:56.485465721Z,01JH8WPRNS4JRD0P221J2TRZFA,2025-01-10T20:06:56.485465721Z,01JH8WYP8J7VZMKK23G3RH5175,2025-01-10T20:06:56.485465721Z,01JH8WYPF2T7P8SS0R0YFR4H85,2025-01-10T20:06:56.485465721Z,true,2025-01-10T20:07:19.953038306Z
01JH8XMQKNQSXNMT26ECY6TNRP,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:14:13.109072974Z,01JH8WGGTV4MBJGVZWJR9HYVSB,2025-01-10T20:14:13.109072974Z,01JH8WEB71RZ3PYKKQMNK01T84,2025-01-10T20:14:13.109072974Z,01JH8XMKK9N42X6Y9THVY1XSJB,2025-01-10T20:14:13.109072974Z,01JH8XMKY8F48ZJRPNKYSAWZYR,2025-01-10T20:14:13.109072974Z,,
01JH8XPVDFSZYE8H7VM1K12BFJ,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:15:22.543510453Z,01JH8W4NN4FR3VRQWN91H3DDHQ,2025-01-10T20:15:22.543510453Z,01JH8WTBWPGGMZMTXPEP2X4MH4,2025-01-10T20:15:22.543510453Z,01JH8X32XFN7MQD8RJ7VP795ZR,2025-01-10T20:15:22.543510453Z,01JH8X337MM8JH9JJ61TX41ZES,2025-01-10T20:15:22.543510453Z,,
01JH8XQDYNK70ZS070JRZ6VZEX,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T20:15:41.525956325Z,01JH8W4FC0G69RAQYXQ8RMGYWE,2025-01-10T20:15:41.525956325Z,01JH8XGR72J2B6AGE79ABX39WH,2025-01-10T20:15:41.525956325Z,01JH8XKK6M7X94SHAH0BSKZEYR,2025-01-10T20:15:41.525956325Z,01JH8XKKKE507WG62VVQ3X730N,2025-01-10T20:15:41.525956325Z,,
01JH8XWEHX0HJNMR8BP86HKC7A,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:18:25.981935407Z,01JH8WGGTV4MBJGVZWJR9HYVSB,2025-01-10T20:18:25.981935407Z,01JH8WEB71RZ3PYKKQMNK01T84,2025-01-10T20:18:25.981935407Z,01JH8XMKWGXNPKMX5V7AV3P8NC,2025-01-10T20:18:25.981935407Z,01JH8XMM2ED8H3C6JHHC6HHHTT,2025-01-10T20:18:25.981935407Z,,
01JH8YJS7E3KY2XHNDGKZ74X6F,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:30:37.806242965Z,01JH8WGGTV4MBJGVZWK2ZTEP3G,2025-01-10T20:30:37.806242965Z,01JH8X4Q8403S3Z04H840P3D7C,2025-01-10T20:30:37.806242965Z,01JH8XDMPM6H6RSTJWNHCAHHX6,2025-01-10T20:30:37.806242965Z,01JH8XDNGH4FPA1YND519F4SKP,2025-01-10T20:30:37.806242965Z,,
01JH8YQ422NDG41MCWZ40JGSD9,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:32:59.970046441Z,01JH8W4NN2MQK62HEAS7B81WAA,2025-01-10T20:32:59.970046441Z,01JH8WTWRY8SDZA9SGV7BEMG24,2025-01-10T20:32:59.970046441Z,01JH8X0NXF8J156CYZVZDA5AH3,2025-01-10T20:32:59.970046441Z,01JH8X0PT0R7C2APF5DFG4FWVQ,2025-01-10T20:32:59.970046441Z,true,2025-01-10T20:33:14.646063448Z
01JH8X6VKEVAQ2KR9SXRGV1BHN,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:06:38.446429353Z,01JH8W4NN2MQK62HEARTH2913J,2025-01-10T20:06:38.446429353Z,01JH8WS6CDX5XM5HYAA6E9CGV0,2025-01-10T20:06:38.446429353Z,01JH8WYP8HVC07W8YRZ4RXYJ0D,2025-01-10T20:06:38.446429353Z,01JH8WYPES6GMJ5CGV3N9RE5SV,2025-01-10T20:06:38.446429353Z,true,2025-01-10T20:06:53.378997088Z
01JH8ZD9J8EP377HASVG697Z0X,01JH8X9NWN8P5ATD610V90J8DB,2025-01-10T20:45:06.504372628Z,01JH8X9NXEH44B0QFWNV12FM33,2025-01-10T20:45:06.504372628Z,01JH8XZ95K9GSSCBP9GQ2JCG32,2025-01-10T20:45:06.504372628Z,01JH8YNEJPJXDYMXBBWK8ZCR5D,2025-01-10T20:45:06.504372628Z,01JH8YNG6X9ZBKC4N169M0TTEN,2025-01-10T20:45:06.504372628Z,true,2025-01-10T20:45:35.798245859Z
01JH8YFA3W9GNW1PW3WFDBD15V,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:28:44.028644949Z,01JH8WGGTWE355WC9FZ6X27HES,2025-01-10T20:28:44.028644949Z,01JH8XWKG5TM0PHFN1M5PJJA5Z,2025-01-10T20:28:44.028644949Z,01JH8Y20233N4WCJ4YEMGRV25A,2025-01-10T20:28:44.028644949Z,01JH8Y212MTZ9R9DGEGSNRPWZB,2025-01-10T20:28:44.028644949Z,,
