id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JH9BRHR8QRZ25D3VFBSAAXZH,2,2025-01-11T00:45:47.004273613Z,01JH9BRHQZYSSYWQN75W3PAV17,2025-01-11T00:20:58.248932431Z,"[380,189,187,280,122,102,400,381,376,219,422,321,163,359,107,165]",2025-01-11T00:45:47.272194454Z,4,2025-01-11T00:45:47.032876482Z,noncomp,2025-01-11T00:45:47.032876482Z,true,2025-01-11T01:18:44.904481196Z,false,2025-01-11T00:45:47.032876482Z,end of game,2025-01-11T01:18:44.966007452Z,01JH9BRHRPY5CQTEBP4R6H8TVS,2025-01-11T00:20:58.264468299Z,false,2025-01-11T00:45:49.455159283Z,5,2025-01-11T00:45:47.032876482Z,0,2025-01-11T00:50:39.050712043Z,0,2025-01-11T00:45:47.032876482Z,63,2025-01-11T00:45:47.272194454Z,1,2025-01-11T00:45:47.032876482Z,null,2025-01-11T01:18:44.904481196Z,true,2025-01-11T00:45:47.004273613Z,true,2025-01-11T00:45:47.004273613Z,ended,2025-01-11T01:18:44.966007452Z,"[[45,380],[82,189],[73,187],[436,280],[176,122],[418,102],[21,400],[423,381],[74,376],[369,219],[399,422],[216,321],[305,163],[192,359],[128,107],[290,165]]",2025-01-11T00:45:47.272194454Z,"[45,82,73,436,176,418,21,423,74,369,399,216,305,192,128,290]",2025-01-11T00:45:47.272194454Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:20:58.248932431Z,full-noncomp,2025-01-11T00:20:58.248932431Z
01JH9BRNDVYKXKN9CSJRJVMJHY,2,2025-01-11T00:53:46.169740806Z,01JH9BRNDMV7QEPRE6J0F03ZEB,2025-01-11T00:21:02.012010525Z,"[168,8,171,137,367,93,0,310,236,203,317,206,94,153,131,111]",2025-01-11T00:53:53.635808824Z,4,2025-01-11T00:53:53.130600541Z,noncomp,2025-01-11T00:53:53.130600541Z,true,2025-01-11T00:59:19.276704336Z,true,2025-01-11T00:59:19.265596957Z,timeOut,2025-01-11T00:59:19.265596957Z,01JH9BRNEAR99T1M8MP1RM6NKK,2025-01-11T00:21:02.029361528Z,true,2025-01-11T00:53:53.635808824Z,5,2025-01-11T00:53:53.130600541Z,5,2025-01-11T00:59:19.265596957Z,0,2025-01-11T00:53:53.130600541Z,63,2025-01-11T00:53:53.635808824Z,1,2025-01-11T00:53:53.130600541Z,null,2025-01-11T00:59:19.276704336Z,true,2025-01-11T00:53:46.169740806Z,true,2025-01-11T00:53:46.169740806Z,ended,2025-01-11T00:59:19.265596957Z,"[[214,168],[161,8],[39,171],[135,137],[64,367],[261,93],[428,0],[309,310],[169,236],[114,203],[67,317],[407,206],[124,94],[231,153],[450,131],[264,111]]",2025-01-11T00:53:53.635808824Z,"[214,161,39,135,64,261,428,309,169,114,67,407,124,231,450,264]",2025-01-11T00:53:53.635808824Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:21:02.012010525Z,full-noncomp,2025-01-11T00:21:02.012010525Z
01JH9BRP9GE0ZVJS39DBKV0AFR,2,2025-01-11T01:02:48.145988824Z,01JH9BRP99CTZD392P7WRGTWZ2,2025-01-11T00:21:02.896706364Z,"[224,110,351,295,41,378,74,339,72,352,243,69,364,451,223,404]",2025-01-11T01:02:49.180842418Z,4,2025-01-11T01:02:48.226722121Z,noncomp,2025-01-11T01:02:48.226722121Z,true,2025-01-11T01:35:59.55845823Z,false,2025-01-11T01:02:48.226722121Z,end of game,2025-01-11T01:35:59.619969544Z,01JH9BRP9XHBTHFWR1AHK8MPBH,2025-01-11T00:21:02.911120897Z,false,2025-01-11T01:03:03.963509802Z,5,2025-01-11T01:02:48.226722121Z,0,2025-01-11T01:02:48.226722121Z,180,2025-01-11T01:02:48.226722121Z,63,2025-01-11T01:02:49.180842418Z,1,2025-01-11T01:02:48.226722121Z,null,2025-01-11T01:35:59.55845823Z,true,2025-01-11T01:02:48.145988824Z,true,2025-01-11T01:02:48.145988824Z,ended,2025-01-11T01:35:59.619969544Z,"[[309,224],[137,110],[244,351],[313,295],[432,41],[336,378],[459,74],[332,339],[68,72],[171,352],[369,243],[233,69],[328,364],[21,451],[355,223],[169,404]]",2025-01-11T01:02:49.180842418Z,"[309,137,244,313,432,336,459,332,68,171,369,233,328,21,355,169]",2025-01-11T01:02:49.180842418Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:21:02.896706364Z,full-noncomp,2025-01-11T00:21:02.896706364Z
01JH9BREM9CNFMDTE8ZGVGBWWT,2,2025-01-11T00:43:34.654461707Z,01JH9BREKSM9GWVCQ942EKS85B,2025-01-11T00:20:55.049882768Z,"[321,365,197,417,243,407,270,71,315,340,185,100,247,0,68,316]",2025-01-11T00:43:34.878769997Z,4,2025-01-11T00:43:34.677941469Z,noncomp,2025-01-11T00:43:34.677941469Z,true,2025-01-11T01:12:30.546762043Z,false,2025-01-11T00:43:34.677941469Z,end of game,2025-01-11T01:12:30.597221453Z,01JH9BREMWR6747MX8KGV3FKWR,2025-01-11T00:20:55.072002609Z,false,2025-01-11T00:43:38.094627579Z,5,2025-01-11T00:43:34.677941469Z,0,2025-01-11T00:43:34.677941469Z,0,2025-01-11T00:43:34.677941469Z,63,2025-01-11T00:43:34.878769997Z,1,2025-01-11T00:43:34.677941469Z,null,2025-01-11T01:12:30.546762043Z,true,2025-01-11T00:43:34.654461707Z,true,2025-01-11T00:43:34.654461707Z,ended,2025-01-11T01:12:30.597221453Z,"[[335,321],[277,365],[72,197],[312,417],[93,243],[422,407],[193,270],[147,71],[204,315],[75,340],[469,185],[90,100],[331,247],[57,0],[3,68],[267,316]]",2025-01-11T00:43:34.878769997Z,"[335,277,72,312,93,422,193,147,204,75,469,90,331,57,3,267]",2025-01-11T00:43:34.878769997Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:20:55.049882768Z,full-noncomp,2025-01-11T00:20:55.049882768Z
01JH9BRK0XGF8A62XZ1MCZN3C4,2,2025-01-11T00:46:19.565120617Z,01JH9BRK0NGX20E7KW6Z2CN9PP,2025-01-11T00:20:59.550185428Z,"[75,305,337,37,334,2,146,236,237,265,167,317,266,148,219,326]",2025-01-11T00:46:19.863305972Z,4,2025-01-11T00:46:19.596011573Z,noncomp,2025-01-11T00:46:19.596011573Z,true,2025-01-11T01:21:33.912740092Z,false,2025-01-11T00:46:19.596011573Z,end of game,2025-01-11T01:21:33.96628122Z,01JH9BRK1CQ36ZXRCHKVWNMV5H,2025-01-11T00:20:59.566388468Z,false,2025-01-11T00:46:24.862413939Z,5,2025-01-11T00:46:19.596011573Z,0,2025-01-11T00:58:53.066334346Z,0,2025-01-11T00:46:19.596011573Z,63,2025-01-11T00:46:19.863305972Z,1,2025-01-11T00:46:19.596011573Z,null,2025-01-11T01:21:33.912740092Z,true,2025-01-11T00:46:19.565120617Z,true,2025-01-11T00:46:19.565120617Z,ended,2025-01-11T01:21:33.96628122Z,"[[468,75],[443,305],[14,337],[230,37],[137,334],[256,2],[38,146],[241,236],[122,237],[454,265],[85,167],[211,317],[345,266],[452,148],[409,219],[312,326]]",2025-01-11T00:46:19.863305972Z,"[468,443,14,230,137,256,38,241,122,454,85,211,345,452,409,312]",2025-01-11T00:46:19.863305972Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:20:59.550185428Z,full-noncomp,2025-01-11T00:20:59.550185428Z
01JH9DWKFQGPKBKV1DG18G1KC7,2,2025-01-11T01:05:29.519000517Z,01JH9DWKEH6GDE4GTY062FWBF2,2025-01-11T00:58:08.247251957Z,"[341,52,314,51,111,300,339,47,50,336,422,440,73,397,159,457]",2025-01-11T01:05:30.752736523Z,4,2025-01-11T01:05:29.60419957Z,noncomp,2025-01-11T01:05:29.60419957Z,true,2025-01-11T01:11:10.846296024Z,true,2025-01-11T01:11:10.819366922Z,timeOut,2025-01-11T01:11:10.819366922Z,01JH9DWKHFXVYRXDVFTG7G01ZR,2025-01-11T00:58:08.304860792Z,false,2025-01-11T01:05:48.623115777Z,5,2025-01-11T01:05:29.60419957Z,5,2025-01-11T01:11:10.819366922Z,90,2025-01-11T01:05:29.60419957Z,63,2025-01-11T01:05:30.752736523Z,1,2025-01-11T01:05:29.60419957Z,null,2025-01-11T01:11:10.846296024Z,true,2025-01-11T01:05:29.519000517Z,true,2025-01-11T01:05:29.519000517Z,ended,2025-01-11T01:11:10.819366922Z,"[[166,341],[23,52],[196,314],[129,51],[26,111],[257,300],[362,339],[134,47],[240,50],[369,336],[185,422],[97,440],[201,73],[232,397],[388,159],[184,457]]",2025-01-11T01:05:30.752736523Z,"[166,23,196,129,26,257,362,134,240,369,185,97,201,232,388,184]",2025-01-11T01:05:30.752736523Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:58:08.247251957Z,full-noncomp,2025-01-11T00:58:08.247251957Z
01JH9EGPQY8P28R15MNP70Z40P,,,01JH9EGPNTN4RWJ2CKPGRT3968,2025-01-11T01:09:06.942737382Z,,,,,,,false,2025-01-11T01:09:06.942737382Z,,,batch ended,2025-01-11T01:40:38.331793573Z,01JH9EGPV5MD8M8WR0APRJMX39,2025-01-11T01:09:07.047041188Z,,,,,,,,,,,,,,,false,2025-01-11T01:09:06.942737382Z,,,terminated,2025-01-11T01:40:38.331793573Z,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T01:09:06.942737382Z,full-noncomp,2025-01-11T01:09:06.942737382Z
01JH9E6Z7K62E5HRRZJGEACRWF,2,2025-01-11T01:06:31.716528961Z,01JH9E6Z600P28KEFHBRWZJC3R,2025-01-11T01:03:47.95521377Z,"[16,362,160,326,80,290,227,113,238,468,299,381,406,405,322,339]",2025-01-11T01:06:32.806814699Z,4,2025-01-11T01:06:31.813158111Z,noncomp,2025-01-11T01:06:31.813158111Z,true,2025-01-11T01:38:43.349206896Z,false,2025-01-11T01:06:31.813158111Z,end of game,2025-01-11T01:38:43.411146831Z,01JH9E6ZANPB43C5ZMR0467WJD,2025-01-11T01:03:48.057091395Z,false,2025-01-11T01:06:52.560708122Z,5,2025-01-11T01:06:31.813158111Z,0,2025-01-11T01:25:35.427375089Z,90,2025-01-11T01:06:31.813158111Z,63,2025-01-11T01:06:32.806814699Z,1,2025-01-11T01:06:31.813158111Z,null,2025-01-11T01:38:43.349206896Z,true,2025-01-11T01:06:31.716528961Z,true,2025-01-11T01:06:31.716528961Z,ended,2025-01-11T01:38:43.411146831Z,"[[14,16],[262,362],[384,160],[67,326],[54,80],[109,290],[192,227],[33,113],[436,238],[378,468],[349,299],[257,381],[156,406],[28,405],[422,322],[359,339]]",2025-01-11T01:06:32.806814699Z,"[14,262,384,67,54,109,192,33,436,378,349,257,156,28,422,359]",2025-01-11T01:06:32.806814699Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T01:03:47.95521377Z,full-noncomp,2025-01-11T01:03:47.95521377Z
01JH9BRH79CNE9WT406Z7STBP1,2,2025-01-11T00:44:09.379438356Z,01JH9BRH7026TDSMHK7PT05CSY,2025-01-11T00:20:57.705840273Z,"[356,264,52,241,89,368,421,410,346,298,429,190,306,406,37,337]",2025-01-11T00:44:09.614327988Z,4,2025-01-11T00:44:09.405548506Z,noncomp,2025-01-11T00:44:09.405548506Z,true,2025-01-11T01:15:34.884383437Z,false,2025-01-11T00:44:09.405548506Z,end of game,2025-01-11T01:15:34.93762569Z,01JH9BRH7SH19293HDD83S23B1,2025-01-11T00:20:57.722956221Z,false,2025-01-11T00:44:13.573784353Z,5,2025-01-11T00:44:09.405548506Z,0,2025-01-11T00:44:09.405548506Z,90,2025-01-11T00:44:09.405548506Z,63,2025-01-11T00:44:09.614327988Z,1,2025-01-11T00:44:09.405548506Z,null,2025-01-11T01:15:34.884383437Z,true,2025-01-11T00:44:09.379438356Z,true,2025-01-11T00:44:09.379438356Z,ended,2025-01-11T01:15:34.93762569Z,"[[193,356],[340,264],[345,52],[93,241],[223,89],[123,368],[329,421],[105,410],[343,346],[166,298],[195,429],[45,190],[422,306],[20,406],[126,37],[180,337]]",2025-01-11T00:44:09.614327988Z,"[193,340,345,93,223,123,329,105,343,166,195,45,422,20,126,180]",2025-01-11T00:44:09.614327988Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:20:57.705840273Z,full-noncomp,2025-01-11T00:20:57.705840273Z
01JH9BRKGYAQPYRSATFK9G1CDV,2,2025-01-11T00:47:25.445780326Z,01JH9BRKGNSDDX0QRWMQFBMC6N,2025-01-11T00:21:00.062705095Z,"[48,329,136,62,211,448,366,135,372,32,215,423,64,263,111,415]",2025-01-11T00:47:25.801869098Z,4,2025-01-11T00:47:25.474475343Z,noncomp,2025-01-11T00:47:25.474475343Z,true,2025-01-11T01:13:00.86947111Z,false,2025-01-11T00:47:25.474475343Z,end of game,2025-01-11T01:13:00.918335142Z,01JH9BRKHBJ8HHC3QV3XXZR7HA,2025-01-11T00:21:00.077407247Z,false,2025-01-11T00:47:31.774522656Z,5,2025-01-11T00:47:25.474475343Z,0,2025-01-11T01:01:25.21142834Z,0,2025-01-11T00:47:25.474475343Z,63,2025-01-11T00:47:25.801869098Z,1,2025-01-11T00:47:25.474475343Z,null,2025-01-11T01:13:00.86947111Z,true,2025-01-11T00:47:25.445780326Z,true,2025-01-11T00:47:25.445780326Z,ended,2025-01-11T01:13:00.918335142Z,"[[42,48],[133,329],[210,136],[305,62],[412,211],[358,448],[58,366],[291,135],[152,372],[50,32],[309,215],[435,423],[453,64],[444,263],[281,111],[195,415]]",2025-01-11T00:47:25.801869098Z,"[42,133,210,305,412,358,58,291,152,50,309,435,453,444,281,195]",2025-01-11T00:47:25.801869098Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:21:00.062705095Z,full-noncomp,2025-01-11T00:21:00.062705095Z
