playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JHGH7Y4CZAK1WFWHRK8PGMJH,6740d83ed0cdd798c48dae4b,NA,NA,01JHGGYB8GRMFS9GB2A4FX8GD1,NA,NA,NA,NA,NA,NA,NA
01JHGH8SQJ99NWDAT27BPXAXCE,67704b2b0aaaa6bf3f633484,1.86,NA,01JHGGY54SXSZQW4TE12ZJHVE3,NA,NA,NA,NA,NA,NA,NA
01JHGHBBTX8NEKMXQSH2WPAV4E,5b0710e7a84dcf0001beee8a,1.89,TRUE,01JHGGY9WK95B71BMX502V4N0Q,57,female,,,,bachelor,NA
01JHGHVZVYCE2B5QBRK2MW9D29,6584589847e4652b2516d4b3,NA,TRUE,01JHGGYB8GRMFS9GB2A4FX8GD1,NA,NA,NA,NA,NA,NA,nogame
01JHGH5ZF1W89HSWJ8TWB3WW46,5a9e9004f053610001721c44,1.86,TRUE,01JHGGXYZWXD6VFDEGADATQMG8,25,Female,I made the descriptions simple and my partner and I found things that we both understood and kept repeating things.,I enjoyed it as we worked well together.,None at all.,master,NA
01JHGH56H0S5W14CZYKQBNNCZD,671bb3740865eea912524f2f,1.8,TRUE,01JHGGY73YKFPFR78HD0F9P5YC,28,female,good,yes its fun ,no problem,bachelor,NA
01JHGH6VSCGGS60CY4J539Z4PE,653d1965f9fd9ee888106aad,1.83,TRUE,01JHGGY5Z05KJRNNNVJZMNX4RQ,30,Male,We identify each shape in common words.,"It was great. After a few wrong answers, we did a great job together.",Nothing honestly,bachelor,NA
01JHGH86A1R93TBC1D67AJ1FN4,611ab24657af79642f9ed581,1.8,TRUE,01JHGGY4AX2P47YBE9PNYAZSBA,46,Female,We found a common understanding of how we referred to the shapes.,"Yes, very much",n/a,bachelor,NA
01JHGHA8C2A3R6D84HKVT2YXW8,676c67883fa1ba4ea4eb05a7,1.83,TRUE,01JHGGY5Z05KJRNNNVJZMNX4RQ,55,female,we were describing the shapes at the top or bottom on the right shape and answering yes or no to eachothers questions,yes it was fun communicating with a partner because it was unique and it was fun playing a game as well,none encountered,high-school,NA
01JHGH3XDHW3C94D235S1DC3HX,66ce770fa8da62ffe45c1b10,1.86,TRUE,01JHGGXYZWXD6VFDEGADATQMG8,24,Male,"Fun and unique, try and find easy words t describe shapes","Yeah, it was good",,bachelor,NA
01JHGH77YM2VA24TMVS86Y4N0P,593444cd7f60d200011e5798,1.8,TRUE,01JHGGY73YKFPFR78HD0F9P5YC,51,Woman,"We tried to describe in detail int he beginning and towards the end, words were in shorthand. ","In the beginning, they were very slow and he/she missed a few by not answering! But once we got the ball rolling it was great fun. ",,master,NA
01JHGH78GFXJDRSSDHJ0VHQBEE,60f4c8d5bb407037e9b16637,1.8,TRUE,01JHGGY4AX2P47YBE9PNYAZSBA,27,Female,We both described the shapes using familiar objects they look like such as a house or a a boat.,"yes, i did enjoy the game a lot and interacting with someone else cause it makes the game more interesting and challenging at the same time.",No issues whatsoever.,high-school,NA
01JHGH7N52BXY48GV73WQCFMV0,6015d59d1e8f20719f170c47,1.86,TRUE,01JHGGY54SXSZQW4TE12ZJHVE3,25,Female,"We figured out familiar shapes - houses, archways etc. We shared the same language so we both understood. Ie. they referred to a 'map' shape, so i started using 'map'.",I did! We understood each other quickly.,No problems very fun!,master,NA
01JHGH83PHE1MJPAKRTJS0TDWE,6782d329379f4de814de15a4,1.83,TRUE,01JHGGY7R091J93MX4XJMRYRF8,25,Male,Notice what stands out and simplify it with words,"all good, was a vibe",no problem,bachelor,NA
01JHGH89N9FNAJYTHHY0RZ88AP,6530167b3f9fc4d0974cc464,0.42,NA,01JHGGY8P7JEQPK3HA35DPTKZQ,NA,NA,NA,NA,NA,NA,NA
01JHGHNN422X5KE2MJ9PM4F9BZ,63ea4c8a203a90ed1979d536,0.42,TRUE,01JHGGY8P7JEQPK3HA35DPTKZQ,27,male,describing flat or triangle,"some of them were responsive, some were not.","some didn't respond. someone assumed I knew the answer ""just count it"" they said.",high-school,NA
01JHGHRQWJA2CE7GXE191G50RJ,62a6083829363a3be4bcea6b,1.89,TRUE,01JHGGY9WK95B71BMX502V4N0Q,29,Female,repeat similar names for similar shapes,both seem to understand eachother easily,was slightly delayed sometimes in typing and receiving,master,NA
01JHGH72KBXJDZ4JXNHD12PC1F,66c2a571b002369ad3d45e80,1.74,TRUE,01JHGGY1ZYC1KM428A4XC87HN1,24,female,name the most recognizable shapes,"yes I did, they were clear with their descriptions for the most part",sometimes all the distinct features were meshed together so it would be harder for some images.,bachelor,NA
01JHGH6FMZXTCVDDWS5E7DSDZP,62e023ae6d022e4d7bfc5db1,1.74,TRUE,01JHGGY1ZYC1KM428A4XC87HN1,32,Male,I used the same language as the partner and kept my messages simple,Yes we had a good understanding,,high-school,NA
01JHGHCSQ2T8S3JP7XAAC3FE5K,59b19a277f6c84000151c001,1.83,TRUE,01JHGGY7R091J93MX4XJMRYRF8,63,female,once we had descriptions just use the same one,,"no problems, very monotinous",high-school,NA
01JHGHHG505WHDTQKWBKQD89BZ,6683fa726d34df0e6524dcaa,NA,NA,01JHGGYB8GRMFS9GB2A4FX8GD1,NA,NA,NA,NA,NA,NA,NA
01JHGH3Y8FQVFPM0WAF9JPP1XV,67854c0ef1841197d5018b98,NA,NA,01JHGGYB8GRMFS9GB2A4FX8GD1,NA,NA,NA,NA,NA,NA,NA
