id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JHHE5HVVKV7WT61YMHJH48JB,01JHHD0KQEX37BYDP00QWSXS2S,2025-01-14T03:36:56.95542314Z,"[{""text"":""k"",""sender"":{""id"":""01JHHDK6M9XQ33W54S7N3WXBXF"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T03:59:56.717966573Z,true,2025-01-14T04:00:03.304792232Z,01JHHDK6M9XQ33W54S7N3WXBXF,2025-01-14T03:59:50.619972068Z,true,2025-01-14T04:00:03.2542433Z,01JHHD0KQPXKABSFQTSYWJ0BBB,2025-01-14T03:36:56.95542314Z,54,2025-01-14T03:36:56.95542314Z,false,2025-01-14T03:59:51.177830682Z,01JHHDJCZJYAQY9162008PCKW7,2025-01-14T03:59:50.619972068Z,65,2025-01-14T03:36:56.95542314Z,3,2025-01-14T03:36:56.95542314Z,4,2025-01-14T03:36:56.95542314Z,/tangrams/67_302.png,2025-01-14T04:00:03.304792232Z,/tangrams/67_302.png,2025-01-14T03:59:59.39053727Z,2,2025-01-14T03:37:01.731740487Z,true,2025-01-14T03:59:50.455302336Z,"[""/tangrams/241_293.png"",""/tangrams/67_302.png"",""/tangrams/166_428.png"",""/tangrams/1_199.png""]",2025-01-14T03:36:56.95542314Z,/tangrams/67_302.png,2025-01-14T03:36:56.95542314Z,7,2025-01-14T03:36:56.95542314Z,54,2025-01-14T03:36:56.95542314Z
01JHHE5HWS7RTCREG5J641T147,01JHHD0KQEX37BYDP00QWSXS2S,2025-01-14T03:36:56.985903723Z,"[{""text"":""legs"",""sender"":{""id"":""01JHHDK6M9XQ33W54S7N3WXBXF"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T04:01:02.552909839Z,true,2025-01-14T04:01:08.761075768Z,01JHHDK6M9XQ33W54S7N3WXBXF,2025-01-14T04:00:54.770909741Z,true,2025-01-14T04:01:08.715117498Z,01JHHD0KQPXKABSFQTSYWJ0BBB,2025-01-14T03:36:56.985903723Z,58,2025-01-14T03:36:56.985903723Z,false,2025-01-14T04:00:55.452457311Z,01JHHDJCZJYAQY9162008PCKW7,2025-01-14T04:00:54.770909741Z,65,2025-01-14T03:36:56.985903723Z,3,2025-01-14T03:36:56.985903723Z,4,2025-01-14T03:36:56.985903723Z,/tangrams/67_428.png,2025-01-14T04:01:08.761075768Z,/tangrams/67_428.png,2025-01-14T04:01:05.198601345Z,2,2025-01-14T03:37:02.180923873Z,true,2025-01-14T04:00:54.607467067Z,"[""/tangrams/166_293.png"",""/tangrams/1_302.png"",""/tangrams/67_428.png"",""/tangrams/241_199.png""]",2025-01-14T03:36:56.985903723Z,/tangrams/67_428.png,2025-01-14T03:36:56.985903723Z,11,2025-01-14T03:36:56.985903723Z,58,2025-01-14T03:36:56.985903723Z
01JHHD6CTT0RTW01BYJ3D2JFB3,01JHHD0BK6V517RSTB2PRP0NYT,2025-01-14T03:19:55.99462807Z,"[{""text"":""scorpion on top"",""sender"":{""id"":""01JHHD1C9NARZ77YTDABZ716QD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-14T03:23:47.861712765Z,true,2025-01-14T03:23:53.029658391Z,01JHHD1C9NARZ77YTDABZ716QD,2025-01-14T03:23:39.371505385Z,true,2025-01-14T03:23:53.020637211Z,01JHHD0BKP0CZQBMG5F0FSRZSW,2025-01-14T03:19:55.99462807Z,11,2025-01-14T03:19:55.99462807Z,false,2025-01-14T03:23:39.469819368Z,01JHHD2XYNX6EXYGDH1RNNZCRZ,2025-01-14T03:23:39.371505385Z,65,2025-01-14T03:19:55.99462807Z,0,2025-01-14T03:19:55.99462807Z,4,2025-01-14T03:19:55.99462807Z,/tangrams/29_320.png,2025-01-14T03:23:53.029658391Z,/tangrams/29_320.png,2025-01-14T03:23:49.931791519Z,2,2025-01-14T03:19:56.251801613Z,true,2025-01-14T03:23:39.336187699Z,"[""/tangrams/373_467.png"",""/tangrams/260_152.png"",""/tangrams/84_48.png"",""/tangrams/29_320.png""]",2025-01-14T03:19:55.99462807Z,/tangrams/29_320.png,2025-01-14T03:19:55.99462807Z,12,2025-01-14T03:19:55.99462807Z,11,2025-01-14T03:19:55.99462807Z
01JHHDGTNMTSN5FV0GRB55WXKP,01JHHD0GDNESMFBBD0NY6MKNA7,2025-01-14T03:25:37.84412065Z,"[{""text"":""moustache, two eyes"",""sender"":{""id"":""01JHHDEJB7MKPKGNSN6GSZVDEG"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T03:38:51.679880767Z,true,2025-01-14T03:39:06.597038331Z,01JHHDEJB7MKPKGNSN6GSZVDEG,2025-01-14T03:38:30.354320865Z,true,2025-01-14T03:39:06.561856694Z,01JHHD0GDWH1E6SKF58T44AJRB,2025-01-14T03:25:37.84412065Z,24,2025-01-14T03:25:37.84412065Z,false,2025-01-14T03:38:30.730709181Z,01JHHD2Q79RM9P7REYW9R38E9S,2025-01-14T03:38:30.354320865Z,65,2025-01-14T03:25:37.84412065Z,1,2025-01-14T03:25:37.84412065Z,4,2025-01-14T03:25:37.84412065Z,/tangrams/157_427.png,2025-01-14T03:39:06.597038331Z,/tangrams/157_427.png,2025-01-14T03:39:02.607460209Z,2,2025-01-14T03:25:39.010167586Z,true,2025-01-14T03:38:30.258064041Z,"[""/tangrams/383_40.png"",""/tangrams/358_293.png"",""/tangrams/338_307.png"",""/tangrams/157_427.png""]",2025-01-14T03:25:37.84412065Z,/tangrams/157_427.png,2025-01-14T03:25:37.84412065Z,9,2025-01-14T03:25:37.84412065Z,24,2025-01-14T03:25:37.84412065Z
01JHHDN4DVA337Y7QMZPH5GHZ5,01JHHD0JJDT88R4X3Q0AVJ4AS2,2025-01-14T03:27:58.907121205Z,"[{""text"":""squished square both side"",""sender"":{""id"":""01JHHDD81GQZ9ZVHHMST2YBVSR"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T03:38:56.599068852Z,true,2025-01-14T03:39:02.755719391Z,01JHHDD81GQZ9ZVHHMST2YBVSR,2025-01-14T03:38:47.247146146Z,true,2025-01-14T03:39:02.719022928Z,01JHHD0JJN4T5BE281HTE83CAV,2025-01-14T03:27:58.907121205Z,32,2025-01-14T03:27:58.907121205Z,false,2025-01-14T03:38:47.460603331Z,01JHHDD5MYSDJXRGMX4T39RA72,2025-01-14T03:38:47.247146146Z,65,2025-01-14T03:27:58.907121205Z,2,2025-01-14T03:27:58.907121205Z,4,2025-01-14T03:27:58.907121205Z,/tangrams/395_352.png,2025-01-14T03:39:02.755719391Z,/tangrams/395_352.png,2025-01-14T03:38:59.102607834Z,2,2025-01-14T03:28:00.806904191Z,true,2025-01-14T03:38:47.139939452Z,"[""/tangrams/395_352.png"",""/tangrams/96_189.png"",""/tangrams/112_333.png"",""/tangrams/101_277.png""]",2025-01-14T03:27:58.907121205Z,/tangrams/395_352.png,2025-01-14T03:27:58.907121205Z,1,2025-01-14T03:27:58.907121205Z,32,2025-01-14T03:27:58.907121205Z
01JHHG9HHRREB0QMAF7EYFGSSE,01JHHFVKQ9PGQ5NTR2CF1XESFZ,2025-01-14T04:14:04.856463087Z,"[{""text"":""Blocky top, spike sides."",""sender"":{""id"":""01JHHFZ7VPGAD3JJ5R1959NE5G"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T04:39:34.962309568Z,true,2025-01-14T04:39:43.862742964Z,01JHHFZ7VPGAD3JJ5R1959NE5G,2025-01-14T04:39:27.071473727Z,true,2025-01-14T04:39:43.795148425Z,01JHHFVKVSW2SRVNYN6TJY8S3J,2025-01-14T04:14:04.856463087Z,54,2025-01-14T04:14:04.856463087Z,false,2025-01-14T04:39:27.618341972Z,01JHHFYXCQMKFD0T91YVQSMAZ6,2025-01-14T04:39:27.071473727Z,65,2025-01-14T04:14:04.856463087Z,3,2025-01-14T04:14:04.856463087Z,4,2025-01-14T04:14:04.856463087Z,/tangrams/160_322.png,2025-01-14T04:39:43.862742964Z,/tangrams/160_322.png,2025-01-14T04:39:40.074828878Z,2,2025-01-14T04:14:14.776330008Z,true,2025-01-14T04:39:26.838142324Z,"[""/tangrams/160_322.png"",""/tangrams/48_327.png"",""/tangrams/144_447.png"",""/tangrams/454_235.png""]",2025-01-14T04:14:04.856463087Z,/tangrams/160_322.png,2025-01-14T04:14:04.856463087Z,7,2025-01-14T04:14:04.856463087Z,54,2025-01-14T04:14:04.856463087Z
01JHHD91B5T62NVFKG66TS478T,01JHHD0CR9KSG98ZGRC00V794V,2025-01-14T03:21:22.533131101Z,"[{""text"":""oops"",""sender"":{""id"":""01JHHD2W3NH4X8FAJWH2S8B0R2"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""spiky top"",""sender"":{""id"":""01JHHD2W3NH4X8FAJWH2S8B0R2"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""ohhh i get what you mean by eating a diamond now"",""sender"":{""id"":""01JHHD2W3NH4X8FAJWH2S8B0R2"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""yeah"",""sender"":{""id"":""01JHHD3JN5MB95W93XR0KDTAXR"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-14T03:31:27.48346635Z,true,2025-01-14T03:31:29.323986793Z,01JHHD2W3NH4X8FAJWH2S8B0R2,2025-01-14T03:30:57.165113727Z,true,2025-01-14T03:31:29.045568595Z,01JHHD0CRJX9Y6P71F38T42VEC,2025-01-14T03:21:22.533131101Z,17,2025-01-14T03:21:22.533131101Z,false,2025-01-14T03:30:57.35124817Z,01JHHD3JN5MB95W93XR0KDTAXR,2025-01-14T03:30:57.165113727Z,65,2025-01-14T03:21:22.533131101Z,1,2025-01-14T03:21:22.533131101Z,4,2025-01-14T03:21:22.533131101Z,/tangrams/263_286.png,2025-01-14T03:31:29.323986793Z,/tangrams/263_286.png,2025-01-14T03:31:06.579634677Z,2,2025-01-14T03:21:22.861915497Z,true,2025-01-14T03:30:57.10165477Z,"[""/tangrams/433_428.png"",""/tangrams/116_134.png"",""/tangrams/117_15.png"",""/tangrams/263_286.png""]",2025-01-14T03:21:22.533131101Z,/tangrams/263_286.png,2025-01-14T03:21:22.533131101Z,2,2025-01-14T03:21:22.533131101Z,17,2025-01-14T03:21:22.533131101Z
01JHHDXY38QHT1CNG5FN1QTJ94,01JHHD0KDEKAFRJ86JQRC9Q1DF,2025-01-14T03:32:47.336312742Z,"[{""text"":""hello"",""sender"":{""id"":""01JHHD8A4XK21M7FKS1HXT8J44"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""diamond on left eith a large bottom"",""sender"":{""id"":""01JHHDC4XASQ139TP1SA7TGWG5"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""diomond on the right"",""sender"":{""id"":""01JHHD8A4XK21M7FKS1HXT8J44"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-14T03:34:08.389956835Z,false,2025-01-14T03:34:14.506646136Z,01JHHDC4XASQ139TP1SA7TGWG5,2025-01-14T03:33:10.705604209Z,true,2025-01-14T03:34:14.482790847Z,01JHHD0KDN829S8A0Y7KW3C6RX,2025-01-14T03:32:47.336312742Z,0,2025-01-14T03:32:47.336312742Z,false,2025-01-14T03:33:11.579551056Z,01JHHD8A4XK21M7FKS1HXT8J44,2025-01-14T03:33:10.705604209Z,65,2025-01-14T03:32:47.336312742Z,0,2025-01-14T03:32:47.336312742Z,4,2025-01-14T03:32:47.336312742Z,,2025-01-14T03:34:14.506646136Z,,2025-01-14T03:33:10.705604209Z,2,2025-01-14T03:32:48.36311486Z,true,2025-01-14T03:32:58.121536975Z,"[""/tangrams/393_232.png"",""/tangrams/137_75.png"",""/tangrams/8_62.png"",""/tangrams/160_465.png""]",2025-01-14T03:32:47.336312742Z,/tangrams/137_75.png,2025-01-14T03:32:47.336312742Z,1,2025-01-14T03:32:47.336312742Z,0,2025-01-14T03:32:47.336312742Z
01JHHG5HJ9NVHZ62JF6DMGQAYB,01JHHFVJ0PT7XS6R6G2QA6HQJ7,2025-01-14T04:11:53.801652347Z,"[{""text"":""u shape"",""sender"":{""id"":""01JHHFYY0631J3063CP31NC68Q"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-14T04:35:59.376213562Z,true,2025-01-14T04:36:05.093635839Z,01JHHFYY0631J3063CP31NC68Q,2025-01-14T04:35:54.719219736Z,true,2025-01-14T04:36:05.019715609Z,01JHHFVJ50D9D14T57NZ13A9SE,2025-01-14T04:11:53.801652347Z,45,2025-01-14T04:11:53.801652347Z,false,2025-01-14T04:35:55.411295878Z,01JHHFZGM97YYZZPBTJ60KD155,2025-01-14T04:35:54.719219736Z,65,2025-01-14T04:11:53.801652347Z,2,2025-01-14T04:11:53.801652347Z,4,2025-01-14T04:11:53.801652347Z,/tangrams/181_145.png,2025-01-14T04:36:05.093635839Z,/tangrams/181_145.png,2025-01-14T04:36:01.018546546Z,2,2025-01-14T04:12:02.541784545Z,true,2025-01-14T04:35:54.453858674Z,"[""/tangrams/313_150.png"",""/tangrams/391_439.png"",""/tangrams/181_145.png"",""/tangrams/36_335.png""]",2025-01-14T04:11:53.801652347Z,/tangrams/181_145.png,2025-01-14T04:11:53.801652347Z,14,2025-01-14T04:11:53.801652347Z,45,2025-01-14T04:11:53.801652347Z
01JHHGBFPSYNZC7R8BR2M43Q40,01JHHFW7Z56F5TJ8DM12K21VDW,2025-01-14T04:15:08.506005148Z,"[{""text"":""laughing pig"",""sender"":{""id"":""01JHHFYKPA1D3GWNCRWFFNGK0W"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-14T04:28:26.791561053Z,true,2025-01-14T04:28:33.584969577Z,01JHHFYKPA1D3GWNCRWFFNGK0W,2025-01-14T04:28:20.474790788Z,true,2025-01-14T04:28:33.518547601Z,01JHHFW83V7A77BZQKR6ZJ5W06,2025-01-14T04:15:08.506005148Z,25,2025-01-14T04:15:08.506005148Z,false,2025-01-14T04:28:20.883643543Z,01JHHG58BRMTYQZQCZ8QQY8G2R,2025-01-14T04:28:20.474790788Z,65,2025-01-14T04:15:08.506005148Z,1,2025-01-14T04:15:08.506005148Z,4,2025-01-14T04:15:08.506005148Z,/tangrams/131_461.png,2025-01-14T04:28:33.584969577Z,/tangrams/131_461.png,2025-01-14T04:28:29.178910981Z,2,2025-01-14T04:15:13.58446797Z,true,2025-01-14T04:28:20.262762761Z,"[""/tangrams/118_290.png"",""/tangrams/468_355.png"",""/tangrams/226_408.png"",""/tangrams/131_461.png""]",2025-01-14T04:15:08.506005148Z,/tangrams/131_461.png,2025-01-14T04:15:08.506005148Z,10,2025-01-14T04:15:08.506005148Z,25,2025-01-14T04:15:08.506005148Z
