playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education,gamefailed
01JHRCRX569FEZB55D5VFVX5VP,6682a94b061954ae8483fb08,1.77,TRUE,01JHRCDKKGAE88DKD981Q9PYD9,24,Female,"using terminology that they would use. We started using specific words to refer to kinds of shapes and we would start using each other's words. For example, ""horizontally symmetrical"", ""mouth"", ""claw/hook"", ""triangles"", and... ""DOGGY"", etc. I also tried asking my partner if there's anything we can do to change our strategy, but it seems like we were pretty satisfied with the strategy of just describing the shape and negative space, using specific terminology. We would be supportive of each other and apologize. but also positively reaffirm each other. I think this helped with our strategy.","I enjoyed playing with my partner! We had a fun time, and it's always more fun when we win and work together well.","Sometimes, it would be really slow to react when clicking, which was frustrating.",bachelor,NA
01JHRCTK3BR5RRQBQWNXKGAEQ3,67757bedd1833a082de13b4d,1.65,TRUE,01JHRCDKKHX3HAVSQZWE4HGQQZ,29,Female,Learning the others descriptions,It was great! Loved it ,There were some glitches. ,other,NA
01JHRD6GGTBDY42E2K8YQ9CSA6,5e9c8deb90dd470441c7f98e,NA,NA,01JHRD1MXVVD1QY772SK3W98GZ,NA,NA,NA,NA,NA,NA,NA
01JHRDDK3W4N0W9J4J2B9S2QHA,5d453e8723a5bb0001492546,1.35,TRUE,01JHRD1FH6SZZVHBED89H5R676,35,male,"(a) Aim for less than 5 words to describe any particular shape.(b) Use capitalizing to emphasize direction and letter shape (e.g., M LEFT) (c) start sending my own descriptions with a question mark if I do not hear anything by the 20 second mark. If I can put out 4 of my own descriptions, then my partner will need to use only 1 word  (d) I tried to incorporate the language styles of my partner. I noticed they were more comfortable when I described something in geometric shapes rather than an abstract description. I noticed my partner did the same when they picked up on my M reference. (e) Try to stay consistent. Bad descriptions can be learned if they are consistent. ",Very much because I could tell from their clues that they were making a fair effort to incorporate my language just as I was trying to incorporate their language. There was a clear effort to make a fair go at it. ,"(a) The timeout needs extending for the duration that an incorrect selection is shown on the director's screen. It seemed like the incorrect selection was only visible for a small fraction of a second. Switching to a background color highlighting instead of outline would make it more easily identified if the timing cannot be modified.  (b) On my screen, each correct selection was indicated with a text note that said $0.03 was earned. I recall the instructions saying that $0.01 was the bonus for each good match. (c) The text chat window needs to have larger font size. It would help to have the left centered slower to the vertical center. The positioning is easy to lose sight of with the need to focus on the clock and images.  Good luck with the research!",bachelor,NA
01JHRCS46P26AZ7X43HAKYQDTF,673850b48df4851cfa189e0a,1.23,TRUE,01JHRCY62V41NAQ6K6WA728CZK,25,Male,Mastering letters in the shapes and other elements that look like some of the real-world objects.,Yes. I enjoyed it because it was fun and full of brainstorming.,"The problem was a little misunderstanding of how one has described a shape but it was fun.
",bachelor,NA
01JHRCS8XHKF1CEGD47J36BB3J,675da979bf7f2ebeffa5384e,1.65,TRUE,01JHRCDKKHX3HAVSQZWE4HGQQZ,37,female,very interesting,yes I enjoyed because we were cooperating us if we knew each other already,,master,NA
01JHRCXV97PK6Z8NRE7Z75K1XH,63174af7d57182f9bf90c094,1.8,TRUE,01JHRCDKKGAE88DKD989TVW7SK,44,male,started by describing in details and as game progressed used key words,Yes. Partner was engaged and diligent,,bachelor,NA
01JHRCY1651CJYT61GRH5KCTGJ,669a4f388b2de8df723faf1e,1.47,TRUE,01JHRCY346J1PRKMFWZACMANAW,45,female,"give specific and sensitive descriptors quickly, use the same/similar description for shapes","they werent very good, gave descriptions that werent specific","there were 4 or 5 instances where they picked the correct shape but it was marked as incorrect and no bonus given. it was really fun, i enjoyed it",master,NA
01JHRD340XCBSQ4MRY1HDA1QXZ,67278d2b129dfa4472519602,NA,TRUE,01JHRD1MXVVD1QY772SK3W98GZ,NA,NA,NA,NA,NA,NA,nogame
01JHRDG8J3W373E4YHKNHYA6V7,672f51ea346fba23ddd5a793,NA,TRUE,01JHRD1MXVVD1QY772SK3W98GZ,NA,NA,NA,NA,NA,NA,nogame
01JHRDGPZEYMXBT6C70MC1YWT8,6693f1d9fe7d710187a5f8f5,0.48,TRUE,01JHRD1GFVATAZ3A90SECB26MK,28,MALE,EFFECTIVE,YES,,bachelor,NA
01JHRCS667CB000SZ87P7PVC25,66ebd2b6a14439680389fe45,1.53,TRUE,01JHRCYFFGW6CET22SP2P21TZQ,27,Female,Interpreting the directors hints and being keen.,Yes. I loved how he explained the hints so well and that made it so simple for me to identify the shapes.,I loved playing the game.,master,NA
01JHRCSTXHV07FQEW4ZP0KN9DE,672c5b8a4e9baf334a143014,1.53,TRUE,01JHRCYFFGW6CET22SP2P21TZQ,28,male,"i try as much as possible to describe the images fast, and understand my partners language.","it was really creative and fun, my partner seemed really smart.","I really enjoyed the study, it was creative and enjoyable, Thanks for the opportunity to partake in the survey.",master,NA
01JHRD04HFK3KG3V6WPSDA2PKA,672f5d9e39d2d29090ebbb30,1.32,TRUE,01JHRCXRYDFM4HDDMP15DZQKZA,64,Female,,,,master,NA
01JHRD1EDM7N3N40E0K35VFPWY,63d19839498b3afe724b69d6,1.14,TRUE,01JHRCY4D6MFBR8PRRSGG3ZBEE,30,Male,I described the shape well for my game partner and so did they.,My partner was really smart and fast,I think on some part we got the shape right but were told we got it wrong.,bachelor,NA
01JHRDBW8KSN4JH0HZNCKTXDZE,1,NA,NA,01JHRD1MXVVD1QY772SK3W98GZ,NA,NA,NA,NA,NA,NA,NA
