gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JHXS0RWYYCTNYNVJ3S357JEH,2,01JHXS0RWECNTBG01Y85JEGFEV,4,comp-within,ended,"[[389,212],[389,373],[389,348],[389,248],[75,212],[75,373],[75,348],[75,248],[143,212],[143,373],[143,348],[143,248],[240,212],[240,373],[240,348],[240,248]]",0
01JHXWZ0ZP5KGA2905TWS9YW8J,2,01JHXWZ0P09J0DQT5V47RFNKPP,4,comp-within,ended,"[[167,17],[167,119],[167,445],[167,398],[18,17],[18,119],[18,445],[18,398],[361,17],[361,119],[361,445],[361,398],[150,17],[150,119],[150,445],[150,398]]",0
01JHXS0KQ5KKSG8Y1QS7WX4SVV,2,01JHXS0KPXQ6FXNRBJ18QVJBA6,4,comp-within,ended,"[[227,346],[227,321],[227,425],[227,448],[232,346],[232,321],[232,425],[232,448],[413,346],[413,321],[413,425],[413,448],[22,346],[22,321],[22,425],[22,448]]",90
01JHXS0RCJT5C8CGQD1DNPW8N8,2,01JHXS0RCAZFDZD43CEBE6XXP4,4,comp-within,ended,"[[274,132],[274,317],[274,345],[274,312],[346,132],[346,317],[346,345],[346,312],[305,132],[305,317],[305,345],[305,312],[51,132],[51,317],[51,345],[51,312]]",90
01JHXWZ1S4AD2ZNVXGBK4Z3HCC,2,01JHXWZ1C23JMSZABFM7CGSY6H,4,comp-within,ended,"[[353,244],[353,132],[353,117],[353,441],[202,244],[202,132],[202,117],[202,441],[59,244],[59,132],[59,117],[59,441],[413,244],[413,132],[413,117],[413,441]]",90
01JHXS0GE3MGCA4S491WXWSC51,2,01JHXS0GDSNCF29NFR52WD7QM2,4,comp-within,ended,"[[351,282],[351,144],[351,365],[351,179],[38,282],[38,144],[38,365],[38,179],[438,282],[438,144],[438,365],[438,179],[435,282],[435,144],[435,365],[435,179]]",270
01JHXS0GZSWMREGNV1B5R8K2M4,2,01JHXS0GZGN79Z75XVQS4XD62M,4,comp-within,ended,"[[341,201],[341,287],[341,224],[341,193],[327,201],[327,287],[327,224],[327,193],[189,201],[189,287],[189,224],[189,193],[15,201],[15,287],[15,224],[15,193]]",90
01JHXS0HM2SPFQA5MV6H7RYHMB,2,01JHXS0HKT6V0V7BKGVA85ZYE5,4,comp-within,ended,"[[212,57],[212,145],[212,399],[212,459],[226,57],[226,145],[226,399],[226,459],[363,57],[363,145],[363,399],[363,459],[440,57],[440,145],[440,399],[440,459]]",270
01JHXWYXV4S9FRB6B4ESSMY3F5,2,01JHXWYXNNS03D37FC03Z6QH7Z,4,comp-within,ended,"[[241,302],[241,428],[241,199],[241,293],[1,302],[1,428],[1,199],[1,293],[67,302],[67,428],[67,199],[67,293],[166,302],[166,428],[166,199],[166,293]]",180
01JHXWZ2BABC419BDKKTH8X7SF,NA,01JHXWZ1P4VXNYWM102S7Q3ANE,NA,NA,NA,NA,NA
01JHXS0PFC4325AH54JMQ33EW0,2,01JHXS0PF3F3ZP3BPFRT3EV1NG,4,comp-within,ended,"[[131,407],[131,307],[131,403],[131,365],[42,407],[42,307],[42,403],[42,365],[12,407],[12,307],[12,403],[12,365],[295,407],[295,307],[295,403],[295,365]]",90
01JHXS0QB9XP9R9KV8FY3D8RXB,2,01JHXS0QB2VK75PPV17GERP6VB,4,comp-within,ended,"[[45,403],[45,73],[45,406],[45,52],[312,403],[312,73],[312,406],[312,52],[186,403],[186,73],[186,406],[186,52],[382,403],[382,73],[382,406],[382,52]]",90
01JHXS0S3ZDQP8S48FTPBCM1MB,2,01JHXS0S3Q60TXP1AGM1D6F4ME,4,comp-within,ended,"[[193,196],[193,315],[193,31],[193,428],[104,196],[104,315],[104,31],[104,428],[268,196],[268,315],[268,31],[268,428],[417,196],[417,315],[417,31],[417,428]]",270
01JHXS0PRHCMTB5C575N1G90J2,2,01JHXS0PR99FWRWRWPTWQ5HE81,4,comp-within,ended,"[[307,424],[307,235],[307,291],[307,42],[165,424],[165,235],[165,291],[165,42],[340,424],[340,235],[340,291],[340,42],[178,424],[178,235],[178,291],[178,42]]",180
01JHXS0R45G8F3QC4AJVDA0SYH,2,01JHXS0R3Y0E455C89ZN2SD0CN,4,comp-within,ended,"[[466,175],[466,331],[466,302],[466,225],[137,175],[137,331],[137,302],[137,225],[125,175],[125,331],[125,302],[125,225],[441,175],[441,331],[441,302],[441,225]]",180
01JHXS0RMFAYNH2RM4F3PDYSEP,2,01JHXS0RM8VWZ8S8Z0JTPACP4W,4,comp-within,ended,"[[87,251],[87,94],[87,464],[87,62],[238,251],[238,94],[238,464],[238,62],[433,251],[433,94],[433,464],[433,62],[258,251],[258,94],[258,464],[258,62]]",270
01JHXWYW5CQVGP4PC8EAQ1RZYQ,2,01JHXWYW1EH5TKMS4JV3K2HVYS,4,comp-within,ended,"[[355,420],[355,351],[355,69],[355,297],[159,420],[159,351],[159,69],[159,297],[55,420],[55,351],[55,69],[55,297],[41,420],[41,351],[41,69],[41,297]]",0
01JHXWZ1HAHQBPD9DFKD5A3HPW,2,01JHXWZ12X9MCSD739P3WTXX7R,4,comp-within,ended,"[[364,17],[364,344],[364,442],[364,233],[41,17],[41,344],[41,442],[41,233],[115,17],[115,344],[115,442],[115,233],[458,17],[458,344],[458,442],[458,233]]",0
01JHXS0EV3157XW6JBDBP053QX,2,01JHXS0ETKVT8GQS5YHMVXYQGY,4,comp-within,ended,"[[396,408],[396,424],[396,281],[396,70],[225,408],[225,424],[225,281],[225,70],[356,408],[356,424],[356,281],[356,70],[53,408],[53,424],[53,281],[53,70]]",270
01JHXS0Q316XC1D3QQ4VKKP96H,2,01JHXS0Q2SVEWCFRDYTRG00M4M,4,comp-within,ended,"[[461,43],[461,136],[461,83],[461,216],[456,43],[456,136],[456,83],[456,216],[396,43],[396,136],[396,83],[396,216],[10,43],[10,136],[10,83],[10,216]]",180
01JHXS0QKJP8XSMX1NMEB0FN8S,2,01JHXS0QKBYCF4TCS157XYWAJC,4,comp-within,ended,"[[197,147],[197,223],[197,322],[197,384],[201,147],[201,223],[201,322],[201,384],[244,147],[244,223],[244,322],[244,384],[303,147],[303,223],[303,322],[303,384]]",90
01JHXS17NTPVSQ76EJ150TJRK1,2,01JHXS17NHF8FX4AR53QBJWPCF,4,comp-within,ended,"[[121,431],[121,91],[121,267],[121,60],[96,431],[96,91],[96,267],[96,60],[418,431],[418,91],[418,267],[418,60],[134,431],[134,91],[134,267],[134,60]]",0
01JHXWZ0G3PR8ZQ2P7QVSMKHPZ,2,01JHXWZ0AEAW9QEAFC59QCBJ25,4,comp-within,ended,"[[199,367],[199,364],[199,443],[199,287],[265,367],[265,364],[265,443],[265,287],[135,367],[135,364],[135,443],[135,287],[461,367],[461,364],[461,443],[461,287]]",270
01JHXWYRZ7BSTR9B8XMMW79J6E,2,01JHXWYRTZR8KYNH55HQ6VX7H4,4,comp-within,ended,"[[159,9],[159,187],[159,439],[159,435],[453,9],[453,187],[453,439],[453,435],[118,9],[118,187],[118,439],[118,435],[148,9],[148,187],[148,439],[148,435]]",0
01JHXWYX6JAD8WFGEN2VCDX6CA,2,01JHXWYX18VDS0H0Q0WVCD2YC9,4,comp-within,ended,"[[108,187],[108,412],[108,262],[108,320],[456,187],[456,412],[456,262],[456,320],[271,187],[271,412],[271,262],[271,320],[38,187],[38,412],[38,262],[38,320]]",90
01JHXWYYANDNZ9VXW25Q17T68N,2,01JHXWYY3PKQ29H5SE988S9X5Z,4,comp-within,ended,"[[442,353],[442,389],[442,257],[442,200],[239,353],[239,389],[239,257],[239,200],[105,353],[105,389],[105,257],[105,200],[46,353],[46,389],[46,257],[46,200]]",270
