roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JJX790B6PK5HZ1RT6Y7C7949,TRUE,01JJX6YWH2SWXT1ZBYS18XQNYP,50,65,3,/tangrams/238_157.png,/tangrams/238_157.png,3,50,"[""/tangrams/375_323.png"",""/tangrams/184_451.png"",""/tangrams/400_199.png"",""/tangrams/238_157.png""]"
01JJX7K18W24JS6J1H0V6M0WG1,TRUE,01JJX6YZP7Z3HS5ACZ90KMY414,10,65,0,/tangrams/291_328.png,/tangrams/291_328.png,11,10,"[""/tangrams/291_328.png"",""/tangrams/39_219.png"",""/tangrams/204_79.png"",""/tangrams/454_212.png""]"
01JJX790B04HBRPS0ZNFK623B2,TRUE,01JJX6YWH2SWXT1ZBYS18XQNYP,15,65,0,/tangrams/149_350.png,/tangrams/149_350.png,16,15,"[""/tangrams/149_350.png"",""/tangrams/347_86.png"",""/tangrams/357_300.png"",""/tangrams/276_326.png""]"
01JJX78VKGRJHVCDSWW5XX8YZ7,TRUE,01JJX6YV2CQ98NT3R2YNS53P66,1,65,0,/tangrams/150_103.png,/tangrams/150_103.png,2,1,"[""/tangrams/290_127.png"",""/tangrams/387_15.png"",""/tangrams/403_312.png"",""/tangrams/150_103.png""]"
01JJX7A8ZHR9YFYVEYHRPCG0R0,TRUE,01JJX6YXYK2TG8HZGE85R2VEV7,13,65,0,/tangrams/197_331.png,/tangrams/197_331.png,14,13,"[""/tangrams/197_331.png"",""/tangrams/71_211.png"",""/tangrams/409_251.png"",""/tangrams/59_39.png""]"
01JJX7GK1X7KFAPMMF15CH57HA,TRUE,01JJX6YZ8GH8JBP6WJP3ZZ4ER2,37,65,2,/tangrams/144_373.png,/tangrams/144_373.png,6,37,"[""/tangrams/144_373.png"",""/tangrams/337_82.png"",""/tangrams/38_246.png"",""/tangrams/101_113.png""]"
01JJX7K1B3HK604TN86B4HJR9N,TRUE,01JJX6YZP7Z3HS5ACZ90KMY414,32,65,2,/tangrams/176_181.png,/tangrams/176_181.png,1,32,"[""/tangrams/291_328.png"",""/tangrams/327_89.png"",""/tangrams/176_181.png"",""/tangrams/39_219.png""]"
01JJX7QHHZ2X82YK73S6SSMSDJ,NA,01JJX6Z05GMEP3WV5GFJB7Y0N5,57,65,3,NA,/tangrams/58_366.png,10,57,"[""/tangrams/453_64.png"",""/tangrams/133_329.png"",""/tangrams/58_366.png"",""/tangrams/291_135.png""]"
01JJX88SZNXXQMY2RQG7K1QRWR,TRUE,01JJX6Z0G4Z93DBYNMFDACJA51,42,65,2,/tangrams/83_304.png,/tangrams/83_304.png,11,42,"[""/tangrams/130_458.png"",""/tangrams/51_135.png"",""/tangrams/83_304.png"",""/tangrams/57_123.png""]"
01JJX77JCS1HS6GXHV77FQ03YP,TRUE,01JJX6YSAHS8D1F3C65G127ZEB,34,65,2,/tangrams/345_443.png,/tangrams/345_443.png,3,34,"[""/tangrams/60_402.png"",""/tangrams/215_7.png"",""/tangrams/372_430.png"",""/tangrams/345_443.png""]"
