playerID,prolificID,bonus,exitStepDone,gameID,gamefailed,age,gender,strategy,enjoy,feedback,education
01JH64CTRG5MNFTGNA3S02SDJ4,6757411dce64c0b5f0819fc3,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH64DFK7CVW6THA7BRN8G80J,5d23cee7771223001647e8c7,0,NA,01JH63H2JBTAXCR944FVZS2MSG,NA,NA,NA,NA,NA,NA,NA
01JH65EAMNTPNVFR0XSHJ4YQ1Z,66e6b26efa6cce78584c85fb,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH65VH8E7EHBAG46M0NSWPKE,65264a9f4da1490d3e1dff61,1.65,TRUE,01JH63PE95NWS74AEFRCJYXR75,NA,25,MALE,By relating to objects or fictional characters,"Yes it was fun, kinda tested the teamwork ",None,bachelor
01JH64AVNREZW3TC9EDMBMK11Z,67608eddc200757d830d4bc4,1.65,TRUE,01JH63PE95NWS74AEFRCJYXR75,NA,21,female ,describe if it was symmetrical ,yes ,not enough time ,other
01JH64E30BRQCD4A5VN2ZZSXNG,6711572aa22f0638a3f67bd6,0,TRUE,01JH63PE95NWS74AEFR2R546Q2,NA,31,female,,,,bachelor
01JH64K9P7S3YTPX9HW7QKG0P5,62d7443567d945a729647935,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH64M2ARE9QDMNQFZ6FB6V3G,656236a7660ac47612ad934a,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH63KN49WVHFGKJN2WWBR020,66706c66421d9d62312ca575,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH63XNAWPJ3DZ3W9V4Y6GMTA,66b5830fb162e9d0650ff37d,1.86,TRUE,01JH63H2JBTAXCR944FHYGQ9CS,NA,27,NB,Quick communication,Yes. they were competent.,,bachelor
01JH6420Z79Y8A7N87CKT992FE,5aef84119516fe000109583c,1.86,TRUE,01JH63H2JBTAXCR944FHYGQ9CS,NA,42,Female,Speed and quick reference names for the shapes,"I really enjoyed it, it was fun to work with someone to try and get the bonus",,master
01JH644BA6KVGY7JZ1WW6CR9C8,677111ad222652b5572066e3,NA,NA,01JH63PE945FFQSSJE3F6ER6ER,NA,NA,NA,NA,NA,NA,NA
01JH64QQK2W3BGGHNY6MA7QRJS,65172fc7765bc8a93b141b68,NA,NA,01JH63PE945FFQSSJE3F6ER6ER,NA,NA,NA,NA,NA,NA,NA
01JH65D34M2CJ8PFEZW1JBY9MC,601d10cca1fb4b04cde830ea,NA,TRUE,01JH63PE945FFQSSJE3F6ER6ER,nogame,NA,NA,NA,NA,NA,NA
01JH65VWCSRX36D9K93JWSHWRK,66b4eb5a67e6c8daaf52c5f9,NA,TRUE,01JH63PE945FFQSSJE3F6ER6ER,nogame,NA,NA,NA,NA,NA,NA
01JH64A3XYTXN1J25MQCV5SHF6,6596d15e8b04c4874343a715,1.71,TRUE,01JH63H2JD2983R4N4PQHD9D3S,NA,44,female,name some of the shapes,yes a good partner,,bachelor
01JH64AMPXX9EWYR52KJFKSZFJ,63d16b409fc89f6d3a97f281,0,TRUE,01JH63H2JBTAXCR944FVZS2MSG,NA,32,Male,My partner disconnected. It was just me in the game. I tried to describe the shapes using the white and black contrasts.,No. They were not present.,My partner didn't turn up.,high-school
01JH661RSY8BRFH213QRJ9N9K8,673ddd7ff0d0bb56298d3e17,NA,NA,01JH63PE945FFQSSJE3F6ER6ER,NA,NA,NA,NA,NA,NA,NA
01JH663PPNF0WRJ49F0HVY81J9,6630df3a7140f6580d96d7d6,NA,TRUE,null,nogame,NA,NA,NA,NA,NA,NA
01JH65GFJJWVQE6VRJ6RN0A0JD,67389edcd0ce05cea7aec26e,0,NA,01JH63PE95NWS74AEFR2R546Q2,NA,NA,NA,NA,NA,NA,NA
01JH648SNC401KC8RNAMJ8D9KK,6764f889d0d43791d3e9d3d8,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH64B412WF7NTW2VJ70X0D8D,667c56eaf3f5260903ac0ffd,1.71,TRUE,01JH63H2JD2983R4N4PQHD9D3S,NA,57,female,After a while we made names for the shapes,Yes it was fun to see how others describe the complex shapes,no issues ,bachelor
01JH64CX589ZEG29P3HS21MZHP,6649fa3addad08c7fd3cdef9,NA,NA,null,NA,NA,NA,NA,NA,NA,NA
01JH651913DNG61RGKQQ3R5NAE,6711572aa22f0638a3f67bd6,NA,NA,01JH63PE945FFQSSJE3F6ER6ER,NA,NA,NA,NA,NA,NA,NA
