gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JH8W4NN2MQK62HEARTH2913J,2,01JH8W4NMNMJ5TW3EXMX20J57W,4,comp-between,ended,"[[193,424],[193,183],[193,18],[193,325],[101,424],[101,183],[101,18],[101,325],[107,424],[107,183],[107,18],[107,325],[43,424],[43,183],[43,18],[43,325]]",180
01JH8X608BZSQF21W5Q0DTMHTG,2,01JH8X607X2W5NNNNAMVD232SK,4,comp-between,ended,"[[253,54],[253,96],[253,223],[253,49],[362,54],[362,96],[362,223],[362,49],[240,54],[240,96],[240,223],[240,49],[367,54],[367,96],[367,223],[367,49]]",180
01JH8W4FC1HS5KSAXDKDY3GJ15,2,01JH8W4FBD6RZQBBGX54850G97,4,noncomp,ended,"[[108,48],[370,143],[50,32],[253,448],[0,326],[69,417],[6,416],[180,73],[54,286],[260,297],[219,343],[242,289],[88,40],[43,394],[140,148],[29,37]]",0
01JH8WKC5DZEGVW9DKT9B9NW97,NA,01JH8WKC4ZT01B27PJ4YV05PVE,NA,NA,NA,NA,NA
01JH8W4FC1HS5KSAXDKT8CTXFV,2,01JH8W4FBD6RZQBBGX54850G97,4,comp-within,ended,"[[118,74],[118,358],[118,405],[118,342],[178,74],[178,358],[178,405],[178,342],[406,74],[406,358],[406,405],[406,342],[332,74],[332,358],[332,405],[332,342]]",0
01JH8W4NN2MQK62HEAS7B81WAA,2,01JH8W4NMNMJ5TW3EXMX20J57W,4,comp-within,ended,"[[13,257],[13,136],[13,158],[13,131],[89,257],[89,136],[89,158],[89,131],[281,257],[281,136],[281,158],[281,131],[454,257],[454,136],[454,158],[454,131]]",90
01JH8WGGTV4MBJGVZWK2ZTEP3G,2,01JH8WGGTCSVCYRJAH09HT4R66,4,comp-within,ended,"[[144,42],[144,67],[144,206],[144,226],[38,42],[38,67],[38,206],[38,226],[255,42],[255,67],[255,206],[255,226],[138,42],[138,67],[138,206],[138,226]]",180
01JH8WGGTWE355WC9FZ6X27HES,2,01JH8WGGTCSVCYRJAH09HT4R66,4,noncomp,ended,"[[59,39],[366,44],[229,340],[71,211],[409,251],[197,331],[430,166],[146,388],[453,140],[411,61],[228,190],[8,113],[323,399],[283,336],[437,368],[220,448]]",90
01JH8WKC5FW63H03T5FNA4G2AM,NA,01JH8WKC4ZT01B27PJ4YV05PVE,NA,NA,NA,NA,NA
01JH8W4FC0G69RAQYXQ8RMGYWE,2,01JH8W4FBD6RZQBBGX54850G97,4,comp-between,ended,"[[167,81],[167,23],[167,250],[167,441],[105,81],[105,23],[105,250],[105,441],[171,81],[171,23],[171,250],[171,441],[2,81],[2,23],[2,250],[2,441]]",180
01JH8W4NN4FR3VRQWN91H3DDHQ,2,01JH8W4NMNMJ5TW3EXMX20J57W,4,noncomp,ended,"[[215,90],[413,349],[73,382],[194,395],[34,312],[372,439],[331,431],[344,446],[352,17],[183,219],[131,277],[345,130],[301,383],[447,459],[32,424],[323,361]]",180
01JH8WGGTV4MBJGVZWJR9HYVSB,2,01JH8WGGTCSVCYRJAH09HT4R66,4,comp-between,ended,"[[454,341],[454,290],[454,408],[454,442],[138,341],[138,290],[138,408],[138,442],[112,341],[112,290],[112,408],[112,442],[32,341],[32,290],[32,408],[32,442]]",0
01JH8WKC5DZEGVW9DKSX7ZQNDT,NA,01JH8WKC4ZT01B27PJ4YV05PVE,NA,NA,NA,NA,NA
01JH8X9NXEH44B0QFWNV12FM33,2,01JH8X9NWN8P5ATD610V90J8DB,4,noncomp,ended,"[[245,136],[110,301],[164,95],[173,216],[304,17],[84,382],[179,103],[324,271],[31,326],[171,388],[449,370],[325,273],[96,130],[188,262],[398,177],[247,227]]",180
