id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JH8XKKEK1T6YH1S08YTV5VQW,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T20:13:36.083604796Z,,,,,,,false,2025-01-10T20:13:36.083604796Z,01JH8W4FC0G69RAQYXQ8RMGYWE,2025-01-10T20:13:36.083604796Z,54,2025-01-10T20:13:36.083604796Z,,,65,2025-01-10T20:13:36.083604796Z,3,2025-01-10T20:13:36.083604796Z,4,2025-01-10T20:13:36.083604796Z,,,,,2,2025-01-10T20:13:37.585244746Z,false,2025-01-10T20:13:36.083604796Z,"[""/tangrams/167_441.png"",""/tangrams/105_81.png"",""/tangrams/2_250.png"",""/tangrams/171_23.png""]",2025-01-10T20:13:36.083604796Z,/tangrams/2_250.png,2025-01-10T20:13:36.083604796Z,7,2025-01-10T20:13:36.083604796Z,54,2025-01-10T20:13:36.083604796Z
01JH8XKKF4SN5EWEVDP121BXQT,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T20:13:36.100948467Z,,,,,,,false,2025-01-10T20:13:36.100948467Z,01JH8W4FC0G69RAQYXQ8RMGYWE,2025-01-10T20:13:36.100948467Z,51,2025-01-10T20:13:36.100948467Z,,,65,2025-01-10T20:13:36.100948467Z,3,2025-01-10T20:13:36.100948467Z,4,2025-01-10T20:13:36.100948467Z,,,,,2,2025-01-10T20:13:37.515579079Z,false,2025-01-10T20:13:36.100948467Z,"[""/tangrams/167_250.png"",""/tangrams/171_23.png"",""/tangrams/105_81.png"",""/tangrams/2_441.png""]",2025-01-10T20:13:36.100948467Z,/tangrams/105_81.png,2025-01-10T20:13:36.100948467Z,4,2025-01-10T20:13:36.100948467Z,51,2025-01-10T20:13:36.100948467Z
01JH8XMKPVCKGSKXVH652JSNFR,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:14:09.115512368Z,,,,,,,false,2025-01-10T20:14:09.115512368Z,01JH8WGGTV4MBJGVZWJR9HYVSB,2025-01-10T20:14:09.115512368Z,13,2025-01-10T20:14:09.115512368Z,,,65,2025-01-10T20:14:09.115512368Z,0,2025-01-10T20:14:09.115512368Z,4,2025-01-10T20:14:09.115512368Z,,,,,2,2025-01-10T20:14:09.749601171Z,false,2025-01-10T20:14:09.115512368Z,"[""/tangrams/454_442.png"",""/tangrams/32_408.png"",""/tangrams/112_290.png"",""/tangrams/138_341.png""]",2025-01-10T20:14:09.115512368Z,/tangrams/138_341.png,2025-01-10T20:14:09.115512368Z,14,2025-01-10T20:14:09.115512368Z,13,2025-01-10T20:14:09.115512368Z
01JH8XMKXKXGASDB7HTNY1TKVR,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:14:09.331319403Z,,,,,,,false,2025-01-10T20:14:09.331319403Z,01JH8WGGTV4MBJGVZWJR9HYVSB,2025-01-10T20:14:09.331319403Z,23,2025-01-10T20:14:09.331319403Z,,,65,2025-01-10T20:14:09.331319403Z,1,2025-01-10T20:14:09.331319403Z,4,2025-01-10T20:14:09.331319403Z,,,,,2,2025-01-10T20:14:09.999256775Z,false,2025-01-10T20:14:09.331319403Z,"[""/tangrams/32_341.png"",""/tangrams/112_408.png"",""/tangrams/138_290.png"",""/tangrams/454_442.png""]",2025-01-10T20:14:09.331319403Z,/tangrams/32_341.png,2025-01-10T20:14:09.331319403Z,8,2025-01-10T20:14:09.331319403Z,23,2025-01-10T20:14:09.331319403Z
01JH8Y20BN7BCK3W05JM9D0NSR,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T20:21:28.053305762Z,"[{""text"":""2"",""sender"":{""id"":""01JH8XWKG5TM0PHFN1M5PJJA5Z"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-10T20:34:45.793245201Z,true,2025-01-10T20:34:57.645446613Z,01JH8XWKG5TM0PHFN1M5PJJA5Z,2025-01-10T20:34:39.108575996Z,true,2025-01-10T20:34:57.629941782Z,01JH8WGGTWE355WC9FZ6X27HES,2025-01-10T20:21:28.053305762Z,42,2025-01-10T20:21:28.053305762Z,01JH8X6CJ08XEA4KEY9VRWSNSQ,2025-01-10T20:34:39.108575996Z,65,2025-01-10T20:21:28.053305762Z,2,2025-01-10T20:21:28.053305762Z,4,2025-01-10T20:21:28.053305762Z,/tangrams/8_113.png,2025-01-10T20:34:57.645446613Z,/tangrams/8_113.png,2025-01-10T20:34:54.411203006Z,2,2025-01-10T20:21:29.600255354Z,true,2025-01-10T20:34:39.04970866Z,"[""/tangrams/453_140.png"",""/tangrams/8_113.png"",""/tangrams/197_331.png"",""/tangrams/71_211.png""]",2025-01-10T20:21:28.053305762Z,/tangrams/8_113.png,2025-01-10T20:21:28.053305762Z,11,2025-01-10T20:21:28.053305762Z,42,2025-01-10T20:21:28.053305762Z
01JH8YAR6YPVJFSQD809TEP1A6,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:26:14.622186593Z,"[{""text"":""square at the top"",""sender"":{""id"":""01JH8XGPKG9BNC8MYMXZ7NEQCD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-10T20:37:06.038928461Z,true,2025-01-10T20:37:11.704856897Z,01JH8XGPKG9BNC8MYMXZ7NEQCD,2025-01-10T20:36:58.753722371Z,true,2025-01-10T20:37:11.687211114Z,01JH8X608BZSQF21W5Q0DTMHTG,2025-01-10T20:26:14.622186593Z,21,2025-01-10T20:26:14.622186593Z,01JH8Y4WC450C6W4NHKTEN46CV,2025-01-10T20:36:58.753722371Z,65,2025-01-10T20:26:14.622186593Z,1,2025-01-10T20:26:14.622186593Z,4,2025-01-10T20:26:14.622186593Z,/tangrams/240_223.png,2025-01-10T20:37:11.704856897Z,/tangrams/240_223.png,2025-01-10T20:37:08.454004818Z,2,2025-01-10T20:26:15.750212017Z,true,2025-01-10T20:36:58.698664274Z,"[""/tangrams/367_96.png"",""/tangrams/240_223.png"",""/tangrams/362_54.png"",""/tangrams/253_49.png""]",2025-01-10T20:26:14.622186593Z,/tangrams/240_223.png,2025-01-10T20:26:14.622186593Z,6,2025-01-10T20:26:14.622186593Z,21,2025-01-10T20:26:14.622186593Z
01JH8WYP9DAHENT1YDP42B3BKH,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:02:10.861427051Z,"[{""text"":""engine"",""sender"":{""id"":""01JH8WS6CDX5XM5HYAA6E9CGV0"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-10T20:16:33.191310059Z,true,2025-01-10T20:16:38.20907332Z,01JH8WS6CDX5XM5HYAA6E9CGV0,2025-01-10T20:16:25.479809024Z,true,2025-01-10T20:16:38.197989572Z,01JH8W4NN2MQK62HEARTH2913J,2025-01-10T20:02:10.861427051Z,38,2025-01-10T20:02:10.861427051Z,01JH8WPRNS4JRD0P221J2TRZFA,2025-01-10T20:16:25.479809024Z,65,2025-01-10T20:02:10.861427051Z,2,2025-01-10T20:02:10.861427051Z,4,2025-01-10T20:02:10.861427051Z,/tangrams/101_183.png,2025-01-10T20:16:38.20907332Z,/tangrams/101_183.png,2025-01-10T20:16:35.083816738Z,2,2025-01-10T20:02:11.384435298Z,true,2025-01-10T20:16:25.446272957Z,"[""/tangrams/101_183.png"",""/tangrams/43_18.png"",""/tangrams/107_424.png"",""/tangrams/193_325.png""]",2025-01-10T20:02:10.861427051Z,/tangrams/101_183.png,2025-01-10T20:02:10.861427051Z,7,2025-01-10T20:02:10.861427051Z,38,2025-01-10T20:02:10.861427051Z
01JH8X32WVKCGAVKR9ANGW9R1X,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T20:04:34.843823701Z,"[{""text"":""the oil rig, the one that has the long like coming out with a pointed triangle facing up"",""sender"":{""id"":""01JH8WP11M7TGHV3X5NKDXVBXW"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-10T20:20:58.097872349Z,true,2025-01-10T20:21:13.65257005Z,01JH8WP11M7TGHV3X5NKDXVBXW,2025-01-10T20:20:16.319998218Z,true,2025-01-10T20:21:13.639533361Z,01JH8W4NN4FR3VRQWN91H3DDHQ,2025-01-10T20:04:34.843823701Z,27,2025-01-10T20:04:34.843823701Z,01JH8WTBWPGGMZMTXPEP2X4MH4,2025-01-10T20:20:16.319998218Z,65,2025-01-10T20:04:34.843823701Z,1,2025-01-10T20:04:34.843823701Z,4,2025-01-10T20:04:34.843823701Z,/tangrams/32_424.png,2025-01-10T20:21:13.65257005Z,/tangrams/32_424.png,2025-01-10T20:21:10.524607551Z,2,2025-01-10T20:04:35.345128091Z,true,2025-01-10T20:20:16.26169611Z,"[""/tangrams/32_424.png"",""/tangrams/194_395.png"",""/tangrams/301_383.png"",""/tangrams/131_277.png""]",2025-01-10T20:04:34.843823701Z,/tangrams/32_424.png,2025-01-10T20:04:34.843823701Z,12,2025-01-10T20:04:34.843823701Z,27,2025-01-10T20:04:34.843823701Z
01JH8YAR9AXSRJYPAS8XDDW9EC,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:26:14.698964038Z,"[{""text"":""triangle"",""sender"":{""id"":""01JH8XGPKG9BNC8MYMXZ7NEQCD"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-10T20:43:34.038891843Z,true,2025-01-10T20:43:38.747238826Z,01JH8XGPKG9BNC8MYMXZ7NEQCD,2025-01-10T20:43:26.950994819Z,true,2025-01-10T20:43:38.728299913Z,01JH8X608BZSQF21W5Q0DTMHTG,2025-01-10T20:26:14.698964038Z,57,2025-01-10T20:26:14.698964038Z,01JH8Y4WC450C6W4NHKTEN46CV,2025-01-10T20:43:26.950994819Z,65,2025-01-10T20:26:14.698964038Z,3,2025-01-10T20:26:14.698964038Z,4,2025-01-10T20:26:14.698964038Z,/tangrams/253_96.png,2025-01-10T20:43:38.747238826Z,/tangrams/253_96.png,2025-01-10T20:43:35.546807356Z,2,2025-01-10T20:26:17.08129169Z,true,2025-01-10T20:43:26.892335061Z,"[""/tangrams/240_54.png"",""/tangrams/362_49.png"",""/tangrams/367_223.png"",""/tangrams/253_96.png""]",2025-01-10T20:26:14.698964038Z,/tangrams/253_96.png,2025-01-10T20:26:14.698964038Z,10,2025-01-10T20:26:14.698964038Z,57,2025-01-10T20:26:14.698964038Z
01JH8YARB7G2C9E23TGM4P6HQE,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:26:14.75977421Z,"[{""text"":""heart"",""sender"":{""id"":""01JH8Y4WC450C6W4NHKTEN46CV"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-10T20:41:05.913022182Z,true,2025-01-10T20:41:10.794462241Z,01JH8Y4WC450C6W4NHKTEN46CV,2025-01-10T20:41:02.546310319Z,true,2025-01-10T20:41:10.775455352Z,01JH8X608BZSQF21W5Q0DTMHTG,2025-01-10T20:26:14.75977421Z,42,2025-01-10T20:26:14.75977421Z,01JH8XGPKG9BNC8MYMXZ7NEQCD,2025-01-10T20:41:02.546310319Z,65,2025-01-10T20:26:14.75977421Z,2,2025-01-10T20:26:14.75977421Z,4,2025-01-10T20:26:14.75977421Z,/tangrams/367_54.png,2025-01-10T20:41:10.794462241Z,/tangrams/367_54.png,2025-01-10T20:41:07.579862327Z,2,2025-01-10T20:26:16.516690786Z,true,2025-01-10T20:41:02.484334411Z,"[""/tangrams/367_54.png"",""/tangrams/240_223.png"",""/tangrams/253_49.png"",""/tangrams/362_96.png""]",2025-01-10T20:26:14.75977421Z,/tangrams/367_54.png,2025-01-10T20:26:14.75977421Z,11,2025-01-10T20:26:14.75977421Z,42,2025-01-10T20:26:14.75977421Z
