id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JH9J1C5DVX9QY2RVE5SXBEQ0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:38.89326785Z,all games finished,2025-01-11T02:54:26.097798646Z,true,2025-01-11T02:10:38.901062863Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:38.89326785Z,ended,2025-01-11T02:54:26.097798646Z
01JH9J1DKV6RS6MCRNJ3SXCYT3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:40.379234041Z,all games finished,2025-01-11T02:58:38.561709722Z,true,2025-01-11T02:10:40.386645106Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:40.379234041Z,ended,2025-01-11T02:58:38.561709722Z
01JH9K8Y1XQAPNKVPGS288XW7T,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:32:15.16546566Z,all games finished,2025-01-11T03:22:51.615913378Z,true,2025-01-11T02:32:15.215633959Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:32:15.16546566Z,ended,2025-01-11T03:22:51.615913378Z
01JH9KG7F6VY15PYNBWWG4B7TP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:36:14.18250497Z,all games finished,2025-01-11T03:31:41.20444435Z,true,2025-01-11T02:36:27.23070063Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:36:14.18250497Z,ended,2025-01-11T03:31:41.20444435Z
01JH9KNTC5PM1HFQ4295BXZ8GR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:39:17.381663158Z,all games finished,2025-01-11T03:06:47.945553511Z,true,2025-01-11T02:39:30.020797868Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:39:17.381663158Z,ended,2025-01-11T03:06:47.945553511Z
01JH9KTJX6A2AHB5Z6V370YKGE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:41:53.574242398Z,,,true,2025-01-11T02:42:18.431886208Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:41:53.574242398Z,running,2025-01-11T02:41:54.222092493Z
01JH9J15V0QM4TAHRYYWKD4YY5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:32.416980998Z,all games finished,2025-01-11T02:58:43.111342854Z,true,2025-01-11T02:10:32.427682672Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:32.416980998Z,ended,2025-01-11T02:58:43.111342854Z
01JH9J1BS9T5EM3SA6C1PDZWK0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:38.505390893Z,all games finished,2025-01-11T02:45:53.835357029Z,true,2025-01-11T02:10:38.513004864Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:38.505390893Z,ended,2025-01-11T02:45:53.835357029Z
01JH9JSBN97MH23YYTFANGWEDH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:23:44.809454894Z,all games finished,2025-01-11T02:50:36.202555997Z,true,2025-01-11T02:23:44.84054854Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:23:44.809454894Z,ended,2025-01-11T02:50:36.202555997Z
01JH9JXEMT6BQGCQJYTQZ79SDP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:25:58.938178125Z,all games finished,2025-01-11T03:11:24.275237076Z,true,2025-01-11T02:25:58.971752552Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:25:58.938178125Z,ended,2025-01-11T03:11:24.275237076Z
01JH9J184C7QVGB162JSQ19RMX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:34.764992892Z,all games finished,2025-01-11T02:58:56.044068877Z,true,2025-01-11T02:10:34.773134848Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:34.764992892Z,ended,2025-01-11T02:58:56.044068877Z
01JH9J19NPMRG1CXT3ZTNZAXR5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:36.342937289Z,all games finished,2025-01-11T02:55:38.373611384Z,true,2025-01-11T02:10:36.351500458Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:36.342937289Z,ended,2025-01-11T02:55:38.373611384Z
01JH9J1B95RJ4KAGR9REMYEXKX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-11T02:10:37.989845292Z,all games finished,2025-01-11T02:47:25.924578896Z,true,2025-01-11T02:10:37.998742434Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-11T02:10:37.989845292Z,ended,2025-01-11T02:47:25.924578896Z
