id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JHGHA5AN8EK0Y1RB5T85BP18,01JHGGXYZB35K2VWPVXQAWP6AZ,2025-01-13T19:12:39.253105006Z,"[{""text"":""L with batman ears"",""sender"":{""id"":""01JHGH5ZF1W89HSWJ8TWB3WW46"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-13T19:35:59.358077636Z,true,2025-01-13T19:36:05.776437922Z,01JHGH5ZF1W89HSWJ8TWB3WW46,2025-01-13T19:35:51.328319073Z,true,2025-01-13T19:36:05.756773353Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:12:39.253105006Z,56,2025-01-13T19:12:39.253105006Z,false,2025-01-13T19:35:51.550389081Z,01JHGH3XDHW3C94D235S1DC3HX,2025-01-13T19:35:51.328319073Z,65,2025-01-13T19:12:39.253105006Z,3,2025-01-13T19:12:39.253105006Z,4,2025-01-13T19:12:39.253105006Z,/tangrams/232_332.png,2025-01-13T19:36:05.776437922Z,/tangrams/232_332.png,2025-01-13T19:36:02.476522452Z,2,2025-01-13T19:12:39.952895447Z,true,2025-01-13T19:35:51.259454183Z,"[""/tangrams/376_75.png"",""/tangrams/342_197.png"",""/tangrams/232_332.png"",""/tangrams/181_437.png""]",2025-01-13T19:12:39.253105006Z,/tangrams/232_332.png,2025-01-13T19:12:39.253105006Z,9,2025-01-13T19:12:39.253105006Z,56,2025-01-13T19:12:39.253105006Z
01JHGHAKSH6620KVHAHCCR91NF,01JHGGY1ZM7X6TNEN4JJ3VWT6S,2025-01-13T19:12:54.06600678Z,"[{""text"":""It has a white rectangle in the middle"",""sender"":{""id"":""01JHGH6FMZXTCVDDWS5E7DSDZP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-13T19:27:12.552757279Z,true,2025-01-13T19:27:17.87243387Z,01JHGH6FMZXTCVDDWS5E7DSDZP,2025-01-13T19:27:03.481424358Z,true,2025-01-13T19:27:17.855408322Z,01JHGGY1ZYC1KM428A4XC87HN1,2025-01-13T19:12:54.06600678Z,29,2025-01-13T19:12:54.06600678Z,false,2025-01-13T19:27:03.643221749Z,01JHGH72KBXJDZ4JXNHD12PC1F,2025-01-13T19:27:03.481424358Z,65,2025-01-13T19:12:54.06600678Z,1,2025-01-13T19:12:54.06600678Z,4,2025-01-13T19:12:54.06600678Z,/tangrams/375_24.png,2025-01-13T19:27:17.87243387Z,/tangrams/375_24.png,2025-01-13T19:27:14.686142389Z,2,2025-01-13T19:12:54.477590909Z,true,2025-01-13T19:27:03.421212145Z,"[""/tangrams/293_453.png"",""/tangrams/298_388.png"",""/tangrams/341_154.png"",""/tangrams/375_24.png""]",2025-01-13T19:12:54.06600678Z,/tangrams/375_24.png,2025-01-13T19:12:54.06600678Z,14,2025-01-13T19:12:54.06600678Z,29,2025-01-13T19:12:54.06600678Z
01JHGHN1GM7GRV91H27RHAF02E,01JHGGY73QE3Z8WE6H9RAQ50RP,2025-01-13T19:18:35.79647378Z,"[{""text"":""lots of diamonds pointing right"",""sender"":{""id"":""01JHGH77YM2VA24TMVS86Y4N0P"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-13T19:34:13.094621052Z,true,2025-01-13T19:34:19.513789354Z,01JHGH77YM2VA24TMVS86Y4N0P,2025-01-13T19:34:05.133219215Z,true,2025-01-13T19:34:19.495235965Z,01JHGGY73YKFPFR78HD0F9P5YC,2025-01-13T19:18:35.79647378Z,26,2025-01-13T19:18:35.79647378Z,false,2025-01-13T19:34:05.247089153Z,01JHGH56H0S5W14CZYKQBNNCZD,2025-01-13T19:34:05.133219215Z,65,2025-01-13T19:18:35.79647378Z,1,2025-01-13T19:18:35.79647378Z,4,2025-01-13T19:18:35.79647378Z,/tangrams/450_41.png,2025-01-13T19:34:19.513789354Z,/tangrams/450_41.png,2025-01-13T19:34:16.308673967Z,2,2025-01-13T19:18:36.441858673Z,true,2025-01-13T19:34:05.066702484Z,"[""/tangrams/450_41.png"",""/tangrams/277_137.png"",""/tangrams/38_81.png"",""/tangrams/23_88.png""]",2025-01-13T19:18:35.79647378Z,/tangrams/450_41.png,2025-01-13T19:18:35.79647378Z,11,2025-01-13T19:18:35.79647378Z,26,2025-01-13T19:18:35.79647378Z
01JHGHS9G22KCRRNYAMJKH3318,01JHGGY8P0J66Y85GEZC6VQNWA,2025-01-13T19:20:55.04206759Z,"[{""text"":""go on........"",""sender"":{""id"":""01JHGHNN422X5KE2MJ9PM4F9BZ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""the right side is flat"",""sender"":{""id"":""01JHGH89N9FNAJYTHHY0RZ88AP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-13T19:31:21.851496538Z,true,2025-01-13T19:31:29.028044789Z,01JHGH89N9FNAJYTHHY0RZ88AP,2025-01-13T19:30:52.41735924Z,true,2025-01-13T19:31:29.009408452Z,01JHGGY8P7JEQPK3HA35DPTKZQ,2025-01-13T19:20:55.04206759Z,15,2025-01-13T19:20:55.04206759Z,false,2025-01-13T19:30:52.742004023Z,01JHGHNN422X5KE2MJ9PM4F9BZ,2025-01-13T19:30:52.41735924Z,65,2025-01-13T19:20:55.04206759Z,0,2025-01-13T19:20:55.04206759Z,4,2025-01-13T19:20:55.04206759Z,/tangrams/117_6.png,2025-01-13T19:31:29.028044789Z,/tangrams/117_6.png,2025-01-13T19:31:25.57783701Z,2,2025-01-13T19:20:55.951390423Z,true,2025-01-13T19:30:52.350932565Z,"[""/tangrams/117_6.png"",""/tangrams/360_153.png"",""/tangrams/103_397.png"",""/tangrams/30_207.png""]",2025-01-13T19:20:55.04206759Z,/tangrams/117_6.png,2025-01-13T19:20:55.04206759Z,16,2025-01-13T19:20:55.04206759Z,15,2025-01-13T19:20:55.04206759Z
01JHGHS9J7BC5JW0E3RPH76Y9X,01JHGGY8P0J66Y85GEZC6VQNWA,2025-01-13T19:20:55.11126497Z,"[{""text"":""the right hand side has 2 similar loooking triangles"",""sender"":{""id"":""01JHGHNN422X5KE2MJ9PM4F9BZ"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""hi"",""sender"":{""id"":""01JHGH89N9FNAJYTHHY0RZ88AP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-13T19:29:52.827318426Z,true,2025-01-13T19:30:02.319661431Z,01JHGHNN422X5KE2MJ9PM4F9BZ,2025-01-13T19:29:40.098014658Z,true,2025-01-13T19:30:02.301886558Z,01JHGGY8P7JEQPK3HA35DPTKZQ,2025-01-13T19:20:55.11126497Z,12,2025-01-13T19:20:55.11126497Z,false,2025-01-13T19:29:40.467988544Z,01JHGH89N9FNAJYTHHY0RZ88AP,2025-01-13T19:29:40.098014658Z,65,2025-01-13T19:20:55.11126497Z,0,2025-01-13T19:20:55.11126497Z,4,2025-01-13T19:20:55.11126497Z,/tangrams/117_207.png,2025-01-13T19:30:02.319661431Z,/tangrams/117_207.png,2025-01-13T19:29:58.346247519Z,2,2025-01-13T19:20:55.853634711Z,true,2025-01-13T19:29:40.044660266Z,"[""/tangrams/117_207.png"",""/tangrams/30_397.png"",""/tangrams/360_153.png"",""/tangrams/103_6.png""]",2025-01-13T19:20:55.11126497Z,/tangrams/117_207.png,2025-01-13T19:20:55.11126497Z,13,2025-01-13T19:20:55.11126497Z,12,2025-01-13T19:20:55.11126497Z
01JHGHA59MJV042Q8PXAMSRBTH,01JHGGXYZB35K2VWPVXQAWP6AZ,2025-01-13T19:12:39.220628149Z,"[{""text"":""looks like the letter L but the top is all bent"",""sender"":{""id"":""01JHGH5ZF1W89HSWJ8TWB3WW46"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-13T19:21:04.268470697Z,true,2025-01-13T19:21:14.60455513Z,01JHGH5ZF1W89HSWJ8TWB3WW46,2025-01-13T19:20:50.259378052Z,true,2025-01-13T19:21:14.593503043Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:12:39.220628149Z,14,2025-01-13T19:12:39.220628149Z,false,2025-01-13T19:20:50.501422778Z,01JHGH3XDHW3C94D235S1DC3HX,2025-01-13T19:20:50.259378052Z,65,2025-01-13T19:12:39.220628149Z,0,2025-01-13T19:12:39.220628149Z,4,2025-01-13T19:12:39.220628149Z,/tangrams/232_197.png,2025-01-13T19:21:14.60455513Z,/tangrams/232_197.png,2025-01-13T19:21:11.464917363Z,2,2025-01-13T19:12:39.48211429Z,true,2025-01-13T19:20:50.217921881Z,"[""/tangrams/181_75.png"",""/tangrams/376_437.png"",""/tangrams/342_332.png"",""/tangrams/232_197.png""]",2025-01-13T19:12:39.220628149Z,/tangrams/232_197.png,2025-01-13T19:12:39.220628149Z,15,2025-01-13T19:12:39.220628149Z,14,2025-01-13T19:12:39.220628149Z
01JHGHA5ABFMH6DPDYREVM5839,01JHGGXYZB35K2VWPVXQAWP6AZ,2025-01-13T19:12:39.243322043Z,"[{""text"":""N on left, L on right with spikes on top of L"",""sender"":{""id"":""01JHGH5ZF1W89HSWJ8TWB3WW46"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-13T19:30:25.807536574Z,true,2025-01-13T19:30:35.341205245Z,01JHGH5ZF1W89HSWJ8TWB3WW46,2025-01-13T19:30:11.505059857Z,true,2025-01-13T19:30:35.325002567Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:12:39.243322043Z,38,2025-01-13T19:12:39.243322043Z,false,2025-01-13T19:30:11.761100737Z,01JHGH3XDHW3C94D235S1DC3HX,2025-01-13T19:30:11.505059857Z,65,2025-01-13T19:12:39.243322043Z,2,2025-01-13T19:12:39.243322043Z,4,2025-01-13T19:12:39.243322043Z,/tangrams/232_437.png,2025-01-13T19:30:35.341205245Z,/tangrams/232_437.png,2025-01-13T19:30:32.082176539Z,2,2025-01-13T19:12:39.737704975Z,true,2025-01-13T19:30:11.443267824Z,"[""/tangrams/232_437.png"",""/tangrams/181_332.png"",""/tangrams/376_75.png"",""/tangrams/342_197.png""]",2025-01-13T19:12:39.243322043Z,/tangrams/232_437.png,2025-01-13T19:12:39.243322043Z,7,2025-01-13T19:12:39.243322043Z,38,2025-01-13T19:12:39.243322043Z
01JHGHAKSY619YVY1RFBAW53W2,01JHGGY1ZM7X6TNEN4JJ3VWT6S,2025-01-13T19:12:54.078365496Z,"[{""text"":""it has a white trapazoid in the middle"",""sender"":{""id"":""01JHGH6FMZXTCVDDWS5E7DSDZP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-13T19:22:53.492560772Z,true,2025-01-13T19:22:59.052395031Z,01JHGH6FMZXTCVDDWS5E7DSDZP,2025-01-13T19:22:40.219276617Z,true,2025-01-13T19:22:59.039416257Z,01JHGGY1ZYC1KM428A4XC87HN1,2025-01-13T19:12:54.078365496Z,19,2025-01-13T19:12:54.078365496Z,false,2025-01-13T19:22:40.360888022Z,01JHGH72KBXJDZ4JXNHD12PC1F,2025-01-13T19:22:40.219276617Z,65,2025-01-13T19:12:54.078365496Z,1,2025-01-13T19:12:54.078365496Z,4,2025-01-13T19:12:54.078365496Z,/tangrams/341_154.png,2025-01-13T19:22:59.052395031Z,/tangrams/341_154.png,2025-01-13T19:22:55.910808816Z,2,2025-01-13T19:12:54.357664033Z,true,2025-01-13T19:22:40.177312852Z,"[""/tangrams/298_388.png"",""/tangrams/341_154.png"",""/tangrams/375_24.png"",""/tangrams/293_453.png""]",2025-01-13T19:12:54.078365496Z,/tangrams/341_154.png,2025-01-13T19:12:54.078365496Z,4,2025-01-13T19:12:54.078365496Z,19,2025-01-13T19:12:54.078365496Z
01JHGHAKVT96MCED0FPJZASAB2,01JHGGY1ZM7X6TNEN4JJ3VWT6S,2025-01-13T19:12:54.138692884Z,"[{""text"":""diamond in the middle of the body, ends with a rectangle"",""sender"":{""id"":""01JHGH72KBXJDZ4JXNHD12PC1F"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-13T19:32:17.190995569Z,true,2025-01-13T19:32:24.608298813Z,01JHGH72KBXJDZ4JXNHD12PC1F,2025-01-13T19:32:04.820941325Z,true,2025-01-13T19:32:24.590041271Z,01JHGGY1ZYC1KM428A4XC87HN1,2025-01-13T19:12:54.138692884Z,46,2025-01-13T19:12:54.138692884Z,false,2025-01-13T19:32:04.988126368Z,01JHGH6FMZXTCVDDWS5E7DSDZP,2025-01-13T19:32:04.820941325Z,65,2025-01-13T19:12:54.138692884Z,2,2025-01-13T19:12:54.138692884Z,4,2025-01-13T19:12:54.138692884Z,/tangrams/298_453.png,2025-01-13T19:32:24.608298813Z,/tangrams/298_453.png,2025-01-13T19:32:21.388981658Z,2,2025-01-13T19:12:54.661520843Z,true,2025-01-13T19:32:04.761866063Z,"[""/tangrams/341_388.png"",""/tangrams/375_24.png"",""/tangrams/293_154.png"",""/tangrams/298_453.png""]",2025-01-13T19:12:54.138692884Z,/tangrams/298_453.png,2025-01-13T19:12:54.138692884Z,15,2025-01-13T19:12:54.138692884Z,46,2025-01-13T19:12:54.138692884Z
01JHGHPEWMT1YMCEWABR99ZCDN,01JHGGY7QSMR6XA2FG68FMS49Q,2025-01-13T19:19:22.260818093Z,"[{""text"":""squared head on top with hands"",""sender"":{""id"":""01JHGH83PHE1MJPAKRTJS0TDWE"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-13T19:26:09.050835806Z,true,2025-01-13T19:26:14.887045897Z,01JHGH83PHE1MJPAKRTJS0TDWE,2025-01-13T19:25:45.716002902Z,true,2025-01-13T19:26:14.871189629Z,01JHGGY7R091J93MX4XJMRYRF8,2025-01-13T19:19:22.260818093Z,13,2025-01-13T19:19:22.260818093Z,false,2025-01-13T19:25:46.059325881Z,01JHGHCSQ2T8S3JP7XAAC3FE5K,2025-01-13T19:25:45.716002902Z,65,2025-01-13T19:19:22.260818093Z,0,2025-01-13T19:19:22.260818093Z,4,2025-01-13T19:19:22.260818093Z,/tangrams/81_278.png,2025-01-13T19:26:14.887045897Z,/tangrams/81_278.png,2025-01-13T19:26:11.601562277Z,2,2025-01-13T19:19:22.961850213Z,true,2025-01-13T19:25:45.669343197Z,"[""/tangrams/81_278.png"",""/tangrams/408_17.png"",""/tangrams/266_216.png"",""/tangrams/424_212.png""]",2025-01-13T19:19:22.260818093Z,/tangrams/81_278.png,2025-01-13T19:19:22.260818093Z,14,2025-01-13T19:19:22.260818093Z,13,2025-01-13T19:19:22.260818093Z
