id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JHKF61FA0J0V5G9477T9KDH8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:10.378415944Z,all games finished,2025-01-14T23:13:02.008737441Z,true,2025-01-14T22:33:10.385111943Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:10.378415944Z,ended,2025-01-14T23:13:02.008737441Z
01JHKF642RPG0DQBHJ0JA1CCBD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:13.048741409Z,all games finished,2025-01-14T23:11:39.512574701Z,true,2025-01-14T22:33:13.056465556Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:13.048741409Z,ended,2025-01-14T23:11:39.512574701Z
01JHKF64AQPXBG34D642BD4KW0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:13.303197592Z,all games finished,2025-01-14T23:59:43.897894433Z,true,2025-01-14T22:33:13.310824427Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:13.303197592Z,ended,2025-01-14T23:59:43.897894433Z
01JHKF5WDJVDV5S9E5RY4G6YF4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:05.203009845Z,all games finished,2025-01-14T23:04:29.8241706Z,true,2025-01-14T22:33:05.219090081Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:05.203009845Z,ended,2025-01-14T23:04:29.8241706Z
01JHKF5XKEWQGXR51AAV3BX8SN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:06.414971367Z,all games finished,2025-01-14T23:07:56.724335406Z,true,2025-01-14T22:33:06.42413206Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:06.414971367Z,ended,2025-01-14T23:07:56.724335406Z
01JHKF60M7MKRQNPPA4QC0BAE7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:09.511905368Z,all games finished,2025-01-14T23:14:36.935698815Z,true,2025-01-14T22:33:09.520160875Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:09.511905368Z,ended,2025-01-14T23:14:36.935698815Z
01JHKF63KMACBQ2C3E19CR20DF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:12.564604106Z,all games finished,2025-01-14T23:23:53.71599045Z,true,2025-01-14T22:33:12.571102525Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:12.564604106Z,ended,2025-01-14T23:23:53.71599045Z
01JHKF5Y6Q0XHW5BZ2DN3FHVRY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:07.031781982Z,all games finished,2025-01-14T23:21:51.526393302Z,true,2025-01-14T22:33:07.040182527Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:07.031781982Z,ended,2025-01-14T23:21:51.526393302Z
01JHKF61R9H11G55H8RJMKM3E1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:10.665791386Z,all games finished,2025-01-14T23:25:55.917185602Z,true,2025-01-14T22:33:10.673014713Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:10.665791386Z,ended,2025-01-14T23:25:55.917185602Z
01JHKF61Z1XF1XBS8JZW4RJ73D,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2025-01-14T22:33:10.881454563Z,all games finished,2025-01-14T22:59:49.027651889Z,true,2025-01-14T22:33:10.887937649Z,"{""name"":""3m individual kick"",""kind"":""individual"",""duration"":180000000000,""strategy"":""ignore""}",2025-01-14T22:33:10.881454563Z,ended,2025-01-14T22:59:49.027651889Z
