id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JJT2DECZGZQSF5DCQRCGP5BW,2,2025-01-29T22:26:34.157135353Z,01JJT2DECKACW7AS3F1870A263,2025-01-29T22:20:24.351038352Z,"[80,21,352,124]",2025-01-29T22:26:34.293008636Z,4,2025-01-29T22:26:34.170820576Z,comp-between,2025-01-29T22:26:34.170820576Z,true,2025-01-29T22:46:32.724936264Z,false,2025-01-29T22:26:34.170820576Z,end of game,2025-01-29T22:46:32.738079601Z,01JJT2DEDD3JY36NGJGS568QT7,2025-01-29T22:20:24.367318818Z,false,2025-01-29T22:26:36.473080821Z,5,2025-01-29T22:26:34.170820576Z,0,2025-01-29T22:26:34.170820576Z,90,2025-01-29T22:26:34.170820576Z,63,2025-01-29T22:26:34.293008636Z,1,2025-01-29T22:26:34.170820576Z,null,2025-01-29T22:46:32.724936264Z,true,2025-01-29T22:26:34.157135353Z,true,2025-01-29T22:26:34.157135353Z,ended,2025-01-29T22:46:32.738079601Z,"[[181,80],[181,21],[181,352],[181,124],[246,80],[246,21],[246,352],[246,124],[63,80],[63,21],[63,352],[63,124],[431,80],[431,21],[431,352],[431,124]]",2025-01-29T22:26:34.293008636Z,"[181,246,63,431]",2025-01-29T22:26:34.293008636Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:24.351038352Z,full-comp-between,2025-01-29T22:20:24.351038352Z
01JJT2DHDMRMP736JMM5WS1ZTG,2,2025-01-29T22:30:34.60039504Z,01JJT2DHDDMGCYCV7BPEX6W491,2025-01-29T22:20:27.444457894Z,"[61,180,136,242]",2025-01-29T22:30:34.711714499Z,4,2025-01-29T22:30:34.615172974Z,comp-between,2025-01-29T22:30:34.615172974Z,true,2025-01-29T22:45:28.567560956Z,false,2025-01-29T22:30:34.615172974Z,end of game,2025-01-29T22:45:28.578076965Z,01JJT2DHDWDBEQKPKYH815VYFQ,2025-01-29T22:20:27.453949575Z,false,2025-01-29T22:30:36.983861677Z,5,2025-01-29T22:30:34.615172974Z,0,2025-01-29T22:30:34.615172974Z,180,2025-01-29T22:30:34.615172974Z,63,2025-01-29T22:30:34.711714499Z,1,2025-01-29T22:30:34.615172974Z,null,2025-01-29T22:45:28.567560956Z,true,2025-01-29T22:30:34.60039504Z,true,2025-01-29T22:30:34.60039504Z,ended,2025-01-29T22:45:28.578076965Z,"[[219,61],[219,180],[219,136],[219,242],[250,61],[250,180],[250,136],[250,242],[233,61],[233,180],[233,136],[233,242],[192,61],[192,180],[192,136],[192,242]]",2025-01-29T22:30:34.711714499Z,"[219,250,233,192]",2025-01-29T22:30:34.711714499Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:27.444457894Z,full-comp-between,2025-01-29T22:20:27.444457894Z
01JJT2DNZSEBSW8EEK533F9MSH,,,01JJT2DNZN0KF1549KW2KX23AF,2025-01-29T22:20:32.121514365Z,,,,,,,false,2025-01-29T22:20:32.121514365Z,,,,,01JJT2DP00JM35SRB9PD2C3PQA,2025-01-29T22:20:32.129946637Z,,,,,,,,,,,,,,,false,2025-01-29T22:20:32.121514365Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:32.121514365Z,full-comp-between,2025-01-29T22:20:32.121514365Z
01JJT2DP70YVE91EMK91WHH6CN,,,01JJT2DP6VSF8Z9D9RKDS5H2VY,2025-01-29T22:20:32.3527954Z,,,,,,,false,2025-01-29T22:20:32.3527954Z,,,,,01JJT2DP784C79D1TA8R8K72EE,2025-01-29T22:20:32.361335372Z,,,,,,,,,,,,,,,false,2025-01-29T22:20:32.3527954Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:32.3527954Z,full-comp-between,2025-01-29T22:20:32.3527954Z
01JJT2DPESNJMFMVAZRZRCBGAQ,,,01JJT2DPEMF3WSX548DSZJFQH9,2025-01-29T22:20:32.601662348Z,,,,,,,false,2025-01-29T22:20:32.601662348Z,,,,,01JJT2DPF3P0C8AFT5CXQH806D,2025-01-29T22:20:32.612833759Z,,,,,,,,,,,,,,,false,2025-01-29T22:20:32.601662348Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:32.601662348Z,full-comp-between,2025-01-29T22:20:32.601662348Z
01JJT2DWFS3X9B66EKY31XX5YY,,,01JJT2DWFMH8MTBBWMX91CD4JH,2025-01-29T22:20:38.777914875Z,,,,,,,false,2025-01-29T22:20:38.777914875Z,,,,,01JJT2DWG20G1QR7A7XZ458DXA,2025-01-29T22:20:38.787505255Z,,,,,,,,,,,,,,,false,2025-01-29T22:20:38.777914875Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:38.777914875Z,full-comp-between,2025-01-29T22:20:38.777914875Z
01JJT2DG4AMXFFPFE3Y6R88976,2,2025-01-29T22:27:42.237420051Z,01JJT2DG44XEQ74A8SA9FP74ZV,2025-01-29T22:20:26.122464161Z,"[178,52,356,260]",2025-01-29T22:27:42.348230758Z,4,2025-01-29T22:27:42.251081901Z,comp-between,2025-01-29T22:27:42.251081901Z,true,2025-01-29T22:55:24.799443824Z,false,2025-01-29T22:27:42.251081901Z,end of game,2025-01-29T22:55:24.809953199Z,01JJT2DG4MXHJZY9F71QSR12QM,2025-01-29T22:20:26.134138886Z,false,2025-01-29T22:27:44.326754799Z,5,2025-01-29T22:27:42.251081901Z,0,2025-01-29T22:29:34.151604532Z,180,2025-01-29T22:27:42.251081901Z,63,2025-01-29T22:27:42.348230758Z,1,2025-01-29T22:27:42.251081901Z,null,2025-01-29T22:55:24.799443824Z,true,2025-01-29T22:27:42.237420051Z,true,2025-01-29T22:27:42.237420051Z,ended,2025-01-29T22:55:24.809953199Z,"[[436,178],[436,52],[436,356],[436,260],[83,178],[83,52],[83,356],[83,260],[349,178],[349,52],[349,356],[349,260],[334,178],[334,52],[334,356],[334,260]]",2025-01-29T22:27:42.348230758Z,"[436,83,349,334]",2025-01-29T22:27:42.348230758Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:26.122464161Z,full-comp-between,2025-01-29T22:20:26.122464161Z
01JJT2DHZW0D7CNFJK4DZQY442,2,2025-01-29T22:30:59.323314284Z,01JJT2DHZPQCKPJ13EKVAMJTFH,2025-01-29T22:20:28.028045173Z,"[145,447,307,382]",2025-01-29T22:30:59.451560439Z,4,2025-01-29T22:30:59.337991326Z,comp-between,2025-01-29T22:30:59.337991326Z,true,2025-01-29T22:51:50.209330802Z,false,2025-01-29T22:30:59.337991326Z,end of game,2025-01-29T22:51:50.219744531Z,01JJT2DJ07ZM8980D88W5N5A6P,2025-01-29T22:20:28.040698371Z,false,2025-01-29T22:31:02.555193219Z,5,2025-01-29T22:30:59.337991326Z,0,2025-01-29T22:33:23.058090952Z,90,2025-01-29T22:30:59.337991326Z,63,2025-01-29T22:30:59.451560439Z,1,2025-01-29T22:30:59.337991326Z,null,2025-01-29T22:51:50.209330802Z,true,2025-01-29T22:30:59.323314284Z,true,2025-01-29T22:30:59.323314284Z,ended,2025-01-29T22:51:50.219744531Z,"[[20,145],[20,447],[20,307],[20,382],[13,145],[13,447],[13,307],[13,382],[201,145],[201,447],[201,307],[201,382],[453,145],[453,447],[453,307],[453,382]]",2025-01-29T22:30:59.451560439Z,"[20,13,201,453]",2025-01-29T22:30:59.451560439Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:28.028045173Z,full-comp-between,2025-01-29T22:20:28.028045173Z
01JJT2DKYPY3YJ4Q3CCD5B1A1F,2,2025-01-29T22:33:16.731357382Z,01JJT2DKYGR46EPDYQFDACH06E,2025-01-29T22:20:30.038235361Z,"[209,237,331,447]",2025-01-29T22:33:16.901142149Z,4,2025-01-29T22:33:16.747044512Z,comp-between,2025-01-29T22:33:16.747044512Z,true,2025-01-29T22:47:51.352921813Z,true,2025-01-29T22:47:51.34755507Z,timeOut,2025-01-29T22:47:51.34755507Z,01JJT2DKYZM5V9N9VK6RNZJ05W,2025-01-29T22:20:30.048974672Z,false,2025-01-29T22:33:18.676139533Z,5,2025-01-29T22:33:16.747044512Z,5,2025-01-29T22:47:51.34755507Z,0,2025-01-29T22:33:16.747044512Z,63,2025-01-29T22:33:16.901142149Z,1,2025-01-29T22:33:16.747044512Z,null,2025-01-29T22:47:51.352921813Z,true,2025-01-29T22:33:16.731357382Z,true,2025-01-29T22:33:16.731357382Z,ended,2025-01-29T22:47:51.34755507Z,"[[374,209],[374,237],[374,331],[374,447],[178,209],[178,237],[178,331],[178,447],[102,209],[102,237],[102,331],[102,447],[83,209],[83,237],[83,331],[83,447]]",2025-01-29T22:33:16.901142149Z,"[374,178,102,83]",2025-01-29T22:33:16.901142149Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:30.038235361Z,full-comp-between,2025-01-29T22:20:30.038235361Z
01JJT2DNFA4KV5GC0J0GX0JNEE,,,01JJT2DNF41EECRYKH1NJ0MWHD,2025-01-29T22:20:31.594394852Z,,,,,,,false,2025-01-29T22:20:31.594394852Z,,,,,01JJT2DNFMT1RBYF06Y3PPK8MW,2025-01-29T22:20:31.605473646Z,,,,,,,,,,,,,,,false,2025-01-29T22:20:31.594394852Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-29T22:20:31.594394852Z,full-comp-between,2025-01-29T22:20:31.594394852Z
