id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,director,directorLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,justStarted,justStartedLastChangedAt,matcher,matcherLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,selection,selectionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JJWD52FJAGDQYS1M1MANXBRN,01JJWCWTZ8NWHQHJ7AN3KAA56V,2025-01-30T20:06:33.202300544Z,"[{""text"":""diamond, not bow tie"",""sender"":{""id"":""01JJWCZGSWT3A2JSV9N0D9WFS2"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T20:28:32.755340743Z,true,2025-01-30T20:28:38.259995688Z,01JJWCZGSWT3A2JSV9N0D9WFS2,2025-01-30T20:28:24.13897488Z,true,2025-01-30T20:28:38.242889853Z,01JJWCWTZFV0YSS0NRHE87P49N,2025-01-30T20:06:33.202300544Z,61,2025-01-30T20:06:33.202300544Z,false,2025-01-30T20:28:24.249797352Z,01JJWD1M80HKZ6CVXMMD37BVZA,2025-01-30T20:28:24.13897488Z,65,2025-01-30T20:06:33.202300544Z,3,2025-01-30T20:06:33.202300544Z,4,2025-01-30T20:06:33.202300544Z,/tangrams/394_135.png,2025-01-30T20:28:38.259995688Z,/tangrams/394_135.png,2025-01-30T20:28:35.064757755Z,2,2025-01-30T20:06:33.685682413Z,true,2025-01-30T20:28:24.083365647Z,"[""/tangrams/394_66.png"",""/tangrams/249_135.png"",""/tangrams/394_135.png"",""/tangrams/249_66.png""]",2025-01-30T20:06:33.202300544Z,/tangrams/394_135.png,2025-01-30T20:06:33.202300544Z,14,2025-01-30T20:06:33.202300544Z,61,2025-01-30T20:06:33.202300544Z
01JJWD8AYTT49D06REJBW4A0S8,01JJWCWW4X4J2ADFQ9BV457QA7,2025-01-30T20:08:20.186485323Z,"[{""text"":""sorry"",""sender"":{""id"":""01JJWD0Y71KXX92FGCPVRMX6HP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""its ok"",""sender"":{""id"":""01JJWD1NBP31GZW9KR47C05X6D"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""c scoop"",""sender"":{""id"":""01JJWD1NBP31GZW9KR47C05X6D"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:21:12.401355634Z,true,2025-01-30T20:21:18.954085946Z,01JJWD1NBP31GZW9KR47C05X6D,2025-01-30T20:20:55.914854088Z,true,2025-01-30T20:21:18.941651745Z,01JJWCWW53F0QM1M0V4T79838T,2025-01-30T20:08:20.186485323Z,34,2025-01-30T20:08:20.186485323Z,false,2025-01-30T20:20:56.095758496Z,01JJWD0Y71KXX92FGCPVRMX6HP,2025-01-30T20:20:55.914854088Z,65,2025-01-30T20:08:20.186485323Z,2,2025-01-30T20:08:20.186485323Z,4,2025-01-30T20:08:20.186485323Z,/tangrams/383_240.png,2025-01-30T20:21:18.954085946Z,/tangrams/383_240.png,2025-01-30T20:21:15.779884922Z,2,2025-01-30T20:08:20.51564191Z,true,2025-01-30T20:20:55.8695256Z,"[""/tangrams/436_79.png"",""/tangrams/436_240.png"",""/tangrams/383_240.png"",""/tangrams/383_79.png""]",2025-01-30T20:08:20.186485323Z,/tangrams/383_240.png,2025-01-30T20:08:20.186485323Z,3,2025-01-30T20:08:20.186485323Z,34,2025-01-30T20:08:20.186485323Z
01JJWDDAE3H1FNSXHXY6ZVMBBA,01JJWCWXTKWG99F7XF8D4BSJMP,2025-01-30T20:11:03.49177741Z,"[{""text"":""diamond top, flat bottom"",""sender"":{""id"":""01JJWD2CC3MSRSSBFN43C4HX5Q"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:26:21.003248433Z,true,2025-01-30T20:26:29.089869346Z,01JJWD2CC3MSRSSBFN43C4HX5Q,2025-01-30T20:26:06.31366918Z,true,2025-01-30T20:26:29.075139624Z,01JJWCWXTSS5SMSQ1HJ2Z0V2P3,2025-01-30T20:11:03.49177741Z,20,2025-01-30T20:11:03.49177741Z,false,2025-01-30T20:26:06.531418972Z,01JJWD0MAHKQQ3HJ4Y0039TTWF,2025-01-30T20:26:06.31366918Z,65,2025-01-30T20:11:03.49177741Z,1,2025-01-30T20:11:03.49177741Z,4,2025-01-30T20:11:03.49177741Z,/tangrams/399_49.png,2025-01-30T20:26:29.089869346Z,/tangrams/399_49.png,2025-01-30T20:26:25.913699902Z,2,2025-01-30T20:11:03.804295985Z,true,2025-01-30T20:26:06.261596892Z,"[""/tangrams/399_49.png"",""/tangrams/399_308.png"",""/tangrams/47_49.png"",""/tangrams/47_308.png""]",2025-01-30T20:11:03.49177741Z,/tangrams/399_49.png,2025-01-30T20:11:03.49177741Z,5,2025-01-30T20:11:03.49177741Z,20,2025-01-30T20:11:03.49177741Z
01JJWG24T15VF9CAMF90NE7T0F,01JJWFPHQ6PTXJ9G4QK9YQYWF7,2025-01-30T20:57:23.009136482Z,,,,,,,false,2025-01-30T20:57:23.009136482Z,01JJWFPHSFA569M55DHEMFHD52,2025-01-30T20:57:23.009136482Z,13,2025-01-30T20:57:23.009136482Z,,,,,65,2025-01-30T20:57:23.009136482Z,0,2025-01-30T20:57:23.009136482Z,4,2025-01-30T20:57:23.009136482Z,,,,,2,2025-01-30T20:57:25.224237768Z,false,2025-01-30T20:57:23.009136482Z,"[""/tangrams/215_410.png"",""/tangrams/21_410.png"",""/tangrams/21_40.png"",""/tangrams/215_40.png""]",2025-01-30T20:57:23.009136482Z,/tangrams/21_410.png,2025-01-30T20:57:23.009136482Z,14,2025-01-30T20:57:23.009136482Z,13,2025-01-30T20:57:23.009136482Z
01JJWD8AZA5GTH4FK1BW8VMP6T,01JJWCWW4X4J2ADFQ9BV457QA7,2025-01-30T20:08:20.202157668Z,"[{""text"":""triangle e"",""sender"":{""id"":""01JJWD0Y71KXX92FGCPVRMX6HP"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T20:25:43.187641293Z,true,2025-01-30T20:25:49.424566597Z,01JJWD0Y71KXX92FGCPVRMX6HP,2025-01-30T20:25:35.509843981Z,true,2025-01-30T20:25:49.409649629Z,01JJWCWW53F0QM1M0V4T79838T,2025-01-30T20:08:20.202157668Z,51,2025-01-30T20:08:20.202157668Z,false,2025-01-30T20:25:35.699757646Z,01JJWD1NBP31GZW9KR47C05X6D,2025-01-30T20:25:35.509843981Z,65,2025-01-30T20:08:20.202157668Z,3,2025-01-30T20:08:20.202157668Z,4,2025-01-30T20:08:20.202157668Z,/tangrams/124_79.png,2025-01-30T20:25:49.424566597Z,/tangrams/124_79.png,2025-01-30T20:25:46.227978188Z,2,2025-01-30T20:08:20.657360819Z,true,2025-01-30T20:25:35.45727957Z,"[""/tangrams/436_79.png"",""/tangrams/124_8.png"",""/tangrams/436_8.png"",""/tangrams/124_79.png""]",2025-01-30T20:08:20.202157668Z,/tangrams/124_79.png,2025-01-30T20:08:20.202157668Z,4,2025-01-30T20:08:20.202157668Z,51,2025-01-30T20:08:20.202157668Z
01JJWDDAFW8536X2FXMWDFY1RQ,01JJWCWXTKWG99F7XF8D4BSJMP,2025-01-30T20:11:03.5482125Z,"[{""text"":""sharp triangle pointing up in the right , standing on rectangular leg"",""sender"":{""id"":""01JJWD2CC3MSRSSBFN43C4HX5Q"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:37:59.759804939Z,true,2025-01-30T20:38:10.328576002Z,01JJWD2CC3MSRSSBFN43C4HX5Q,2025-01-30T20:37:29.422148361Z,true,2025-01-30T20:38:10.309123794Z,01JJWCWXTSS5SMSQ1HJ2Z0V2P3,2025-01-30T20:11:03.5482125Z,42,2025-01-30T20:11:03.5482125Z,false,2025-01-30T20:37:29.646610002Z,01JJWD0MAHKQQ3HJ4Y0039TTWF,2025-01-30T20:37:29.422148361Z,65,2025-01-30T20:11:03.5482125Z,2,2025-01-30T20:11:03.5482125Z,4,2025-01-30T20:11:03.5482125Z,/tangrams/463_308.png,2025-01-30T20:38:10.328576002Z,/tangrams/463_308.png,2025-01-30T20:38:07.103820898Z,2,2025-01-30T20:11:04.065314725Z,true,2025-01-30T20:37:29.353504461Z,"[""/tangrams/463_204.png"",""/tangrams/47_204.png"",""/tangrams/47_308.png"",""/tangrams/463_308.png""]",2025-01-30T20:11:03.5482125Z,/tangrams/463_308.png,2025-01-30T20:11:03.5482125Z,11,2025-01-30T20:11:03.5482125Z,42,2025-01-30T20:11:03.5482125Z
01JJWDFFK1BKD7YZP02TCBPXBK,01JJWCWYDP5EZT334HAHVJZ04C,2025-01-30T20:12:14.305157249Z,"[{""text"":""curb at the top right, arrow in the middle to the left"",""sender"":{""id"":""01JJWDA8FJXFXF9V0E9926XDFY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""?"",""sender"":{""id"":""01JJWD3DM377QK9SQY6MC3GSZX"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-30T20:48:07.988710764Z,true,2025-01-30T20:48:22.699123106Z,01JJWDA8FJXFXF9V0E9926XDFY,2025-01-30T20:47:37.055998209Z,true,2025-01-30T20:48:22.678016667Z,01JJWCWYDVRKHJQYG0882SY87B,2025-01-30T20:12:14.305157249Z,40,2025-01-30T20:12:14.305157249Z,false,2025-01-30T20:47:37.258515964Z,01JJWD3DM377QK9SQY6MC3GSZX,2025-01-30T20:47:37.055998209Z,65,2025-01-30T20:12:14.305157249Z,2,2025-01-30T20:12:14.305157249Z,4,2025-01-30T20:12:14.305157249Z,/tangrams/320_143.png,2025-01-30T20:48:22.699123106Z,/tangrams/320_143.png,2025-01-30T20:48:19.431646721Z,2,2025-01-30T20:12:15.035857539Z,true,2025-01-30T20:47:36.983518852Z,"[""/tangrams/320_143.png"",""/tangrams/320_95.png"",""/tangrams/266_143.png"",""/tangrams/266_95.png""]",2025-01-30T20:12:14.305157249Z,/tangrams/320_143.png,2025-01-30T20:12:14.305157249Z,9,2025-01-30T20:12:14.305157249Z,40,2025-01-30T20:12:14.305157249Z
01JJWDS1WN9S7WGWS1M93X37N2,01JJWCWZAYF98RVC62N5G7GZS1,2025-01-30T20:17:27.957608295Z,"[{""text"":""Hi"",""sender"":{""id"":""01JJWD59RJ1XXRYBAQJC7RYSEH"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""cross on top like xmas tree"",""sender"":{""id"":""01JJWDB8HJH1QGF0BTTPZJSRG1"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:32:52.757599733Z,true,2025-01-30T20:33:01.79678673Z,01JJWDB8HJH1QGF0BTTPZJSRG1,2025-01-30T20:32:27.817972079Z,true,2025-01-30T20:33:01.778889565Z,01JJWCWZB36A0FH3MKHJS4QNTF,2025-01-30T20:17:27.957608295Z,18,2025-01-30T20:17:27.957608295Z,false,2025-01-30T20:32:28.130946647Z,01JJWD59RJ1XXRYBAQJC7RYSEH,2025-01-30T20:32:27.817972079Z,65,2025-01-30T20:17:27.957608295Z,1,2025-01-30T20:17:27.957608295Z,4,2025-01-30T20:17:27.957608295Z,/tangrams/404_159.png,2025-01-30T20:33:01.79678673Z,/tangrams/404_159.png,2025-01-30T20:32:58.569654457Z,2,2025-01-30T20:17:28.702521673Z,true,2025-01-30T20:32:27.758810101Z,"[""/tangrams/262_405.png"",""/tangrams/262_159.png"",""/tangrams/404_405.png"",""/tangrams/404_159.png""]",2025-01-30T20:17:27.957608295Z,/tangrams/404_159.png,2025-01-30T20:17:27.957608295Z,3,2025-01-30T20:17:27.957608295Z,18,2025-01-30T20:17:27.957608295Z
01JJWDSMSJ6GXHD0C4H9TVRVQ2,01JJWCWZYQA1RRCY9C2PCXW55J,2025-01-30T20:17:47.314907033Z,"[{""text"":""arrow facing out middle left, square top right and pointed square bottom right"",""sender"":{""id"":""01JJWDNPA3Z009G79W0N8Z2Q5M"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:30:28.092160741Z,true,2025-01-30T20:30:41.519292453Z,01JJWDNPA3Z009G79W0N8Z2Q5M,2025-01-30T20:30:00.00931116Z,true,2025-01-30T20:30:41.496288412Z,01JJWCWZYZM4AB5DGZXW9KQHWT,2025-01-30T20:17:47.314907033Z,16,2025-01-30T20:17:47.314907033Z,false,2025-01-30T20:30:00.363875052Z,01JJWD7YR6T0HPGGAGQJ97Z8HE,2025-01-30T20:30:00.00931116Z,65,2025-01-30T20:17:47.314907033Z,1,2025-01-30T20:17:47.314907033Z,4,2025-01-30T20:17:47.314907033Z,/tangrams/148_22.png,2025-01-30T20:30:41.519292453Z,/tangrams/148_22.png,2025-01-30T20:30:38.307794589Z,2,2025-01-30T20:17:47.949849586Z,true,2025-01-30T20:29:59.94990052Z,"[""/tangrams/148_430.png"",""/tangrams/148_22.png"",""/tangrams/351_430.png"",""/tangrams/351_22.png""]",2025-01-30T20:17:47.314907033Z,/tangrams/148_22.png,2025-01-30T20:17:47.314907033Z,1,2025-01-30T20:17:47.314907033Z,16,2025-01-30T20:17:47.314907033Z
01JJWD52F4APQC26ABWPRFDW91,01JJWCWTZ8NWHQHJ7AN3KAA56V,2025-01-30T20:06:33.188055449Z,"[{""text"":""Cat ears, not bow tie"",""sender"":{""id"":""01JJWD1M80HKZ6CVXMMD37BVZA"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-30T20:26:54.713985748Z,true,2025-01-30T20:27:02.016473157Z,01JJWD1M80HKZ6CVXMMD37BVZA,2025-01-30T20:26:48.879933822Z,true,2025-01-30T20:27:02.000962695Z,01JJWCWTZFV0YSS0NRHE87P49N,2025-01-30T20:06:33.188055449Z,54,2025-01-30T20:06:33.188055449Z,false,2025-01-30T20:26:48.979003626Z,01JJWCZGSWT3A2JSV9N0D9WFS2,2025-01-30T20:26:48.879933822Z,65,2025-01-30T20:06:33.188055449Z,3,2025-01-30T20:06:33.188055449Z,4,2025-01-30T20:06:33.188055449Z,/tangrams/394_331.png,2025-01-30T20:27:02.016473157Z,/tangrams/394_331.png,2025-01-30T20:26:58.727257524Z,2,2025-01-30T20:06:33.631091425Z,true,2025-01-30T20:26:48.826288234Z,"[""/tangrams/394_66.png"",""/tangrams/249_331.png"",""/tangrams/249_66.png"",""/tangrams/394_331.png""]",2025-01-30T20:06:33.188055449Z,/tangrams/394_331.png,2025-01-30T20:06:33.188055449Z,7,2025-01-30T20:06:33.188055449Z,54,2025-01-30T20:06:33.188055449Z
