id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JJWD52JGPB8FY4GASYEA45YJ,01JJWCWTZ8NWHQHJ7AN3KAA56V,2025-01-30T20:06:33.29632581Z,60,2025-01-30T20:06:33.29632581Z,true,2025-01-30T20:12:57.478461975Z,01JJWCWTZFV0YSS0NRHE87P49N,2025-01-30T20:06:33.29632581Z,0,2025-01-30T20:06:33.29632581Z,true,2025-01-30T20:12:27.236362139Z,selection,2025-01-30T20:06:33.29632581Z,01JJWD52F6AC3EAC5S3X7ZRB8F,2025-01-30T20:06:33.29632581Z,true,2025-01-30T20:12:27.222582427Z,true,2025-01-30T20:12:27.246709179Z,01JJWD52JDXE2GB3E679QH3320,2025-01-30T20:06:33.29632581Z
01JJWDACVDG1QFZ64FREB2VAMK,01JJWCWWXQHZA9MDKBGTXYDCZN,2025-01-30T20:09:27.661528962Z,60,2025-01-30T20:09:27.661528962Z,true,2025-01-30T20:17:46.930067298Z,01JJWCWWXXNMASRFHFRARK5SB4,2025-01-30T20:09:27.661528962Z,0,2025-01-30T20:09:27.661528962Z,true,2025-01-30T20:17:04.098134798Z,selection,2025-01-30T20:09:27.661528962Z,01JJWDACPS8BWH0BAQH9PSFJ0T,2025-01-30T20:09:27.661528962Z,true,2025-01-30T20:17:04.078525621Z,true,2025-01-30T20:17:04.112871764Z,01JJWDACVAPB9X12WYT9RV2AV2,2025-01-30T20:09:27.661528962Z
01JJWG7CXFM2WSDQZPT2XEVGY5,01JJWFPJFHS4GHR7BEBEZZ3Q0H,2025-01-30T21:00:15.152000685Z,60,2025-01-30T21:00:15.152000685Z,true,2025-01-30T21:20:04.112091716Z,01JJWFPJJ4EA4YPDDF2PM6BD57,2025-01-30T21:00:15.152000685Z,0,2025-01-30T21:00:15.152000685Z,true,2025-01-30T21:19:32.353804386Z,selection,2025-01-30T21:00:15.152000685Z,01JJWG79QM61A1YPBZ941655B1,2025-01-30T21:00:15.152000685Z,true,2025-01-30T21:19:32.266559915Z,true,2025-01-30T21:19:32.411418169Z,01JJWG7CX8GHK2BQ3GFRJXAB74,2025-01-30T21:00:15.152000685Z
01JJWG7DE9Y104J8A3YM7RD63Q,01JJWFPJFHS4GHR7BEBEZZ3Q0H,2025-01-30T21:00:15.689331265Z,60,2025-01-30T21:00:15.689331265Z,true,2025-01-30T21:23:10.48708638Z,01JJWFPJJ4EA4YPDDF2PM6BD57,2025-01-30T21:00:15.689331265Z,0,2025-01-30T21:00:15.689331265Z,true,2025-01-30T21:22:43.553420357Z,selection,2025-01-30T21:00:15.689331265Z,01JJWG79W5VHTKA2RYG841XVY1,2025-01-30T21:00:15.689331265Z,true,2025-01-30T21:22:43.469888567Z,true,2025-01-30T21:22:43.613459923Z,01JJWG7DE1JWC8AF84HBBQ463S,2025-01-30T21:00:15.689331265Z
01JJWD33JJ91Y18FTPDVMTA5G9,01JJWCWSM5QHRMMWH7JNWWASXR,2025-01-30T20:05:28.786802851Z,60,2025-01-30T20:05:28.786802851Z,true,2025-01-30T20:29:53.935544719Z,01JJWCWSMJ20VX1CG51HF7YNRR,2025-01-30T20:05:28.786802851Z,0,2025-01-30T20:05:28.786802851Z,true,2025-01-30T20:29:41.011962422Z,selection,2025-01-30T20:05:28.786802851Z,01JJWD338EWZ6E5KBMKF8EPZN7,2025-01-30T20:05:28.786802851Z,true,2025-01-30T20:29:40.970058963Z,true,2025-01-30T20:29:41.03882741Z,01JJWD33JGC3VPWS273FYNENP4,2025-01-30T20:05:28.786802851Z
01JJWDCKR03M781BTHKNRE5PJW,01JJWCWXFK1P60SHEYPFSRG96H,2025-01-30T20:10:40.256488681Z,3,2025-01-30T20:10:40.256488681Z,true,2025-01-30T20:30:23.989218025Z,01JJWCWXFSPH20RMG7D8SGQXNY,2025-01-30T20:10:40.256488681Z,1,2025-01-30T20:10:40.256488681Z,true,2025-01-30T20:30:20.905135195Z,feedback,2025-01-30T20:10:40.256488681Z,01JJWDCK9NYDG2WJ0ZQT4RB739,2025-01-30T20:10:40.256488681Z,true,2025-01-30T20:30:20.860469096Z,true,2025-01-30T20:30:20.936334444Z,01JJWDCKQXA0KZJ8K19HR5GE3Y,2025-01-30T20:10:40.256488681Z
01JJWDGMWH8PAQEGR7GT1WVD8N,01JJWCWYQKSK6A3A7YT7YJB56V,2025-01-30T20:12:52.497543043Z,3,2025-01-30T20:12:52.497543043Z,true,2025-01-30T20:32:49.54433732Z,01JJWCWYQR2FR68H9TETCN99SM,2025-01-30T20:12:52.497543043Z,1,2025-01-30T20:12:52.497543043Z,true,2025-01-30T20:32:46.513457795Z,feedback,2025-01-30T20:12:52.497543043Z,01JJWDGM49700TVA5G1Q083TGG,2025-01-30T20:12:52.497543043Z,true,2025-01-30T20:32:46.468145174Z,true,2025-01-30T20:32:46.542332185Z,01JJWDGMWDVR03GKYP1GWWT3BK,2025-01-30T20:12:52.497543043Z
01JJWDS2DJQGG1CYQQMAXHS2R6,01JJWCWZAYF98RVC62N5G7GZS1,2025-01-30T20:17:28.498860307Z,60,2025-01-30T20:17:28.498860307Z,true,2025-01-30T20:27:23.099012172Z,01JJWCWZB36A0FH3MKHJS4QNTF,2025-01-30T20:17:28.498860307Z,0,2025-01-30T20:17:28.498860307Z,true,2025-01-30T20:26:44.575514531Z,selection,2025-01-30T20:17:28.498860307Z,01JJWDS1VTT4ZBPGMJ9SYX443Z,2025-01-30T20:17:28.498860307Z,true,2025-01-30T20:26:44.513234501Z,true,2025-01-30T20:26:44.603448619Z,01JJWDS2DF48PS06C3B80M59JW,2025-01-30T20:17:28.498860307Z
01JJWDACWPKPWCEWQW635Q20MS,01JJWCWWXQHZA9MDKBGTXYDCZN,2025-01-30T20:09:27.702517497Z,3,2025-01-30T20:09:27.702517497Z,true,2025-01-30T20:20:21.192291355Z,01JJWCWWXXNMASRFHFRARK5SB4,2025-01-30T20:09:27.702517497Z,1,2025-01-30T20:09:27.702517497Z,true,2025-01-30T20:20:18.168910702Z,feedback,2025-01-30T20:09:27.702517497Z,01JJWDACQ2KX9MFBYSC6FVZ0SF,2025-01-30T20:09:27.702517497Z,true,2025-01-30T20:20:18.137046074Z,true,2025-01-30T20:20:18.189694161Z,01JJWDACWM2XCXDYF5KRMVJGJ0,2025-01-30T20:09:27.702517497Z
01JJWDEQ8MEMHKQZMX86T8GME9,01JJWCWY4CCBCGPN3PPPWB56S6,2025-01-30T20:11:49.3964962Z,60,2025-01-30T20:11:49.3964962Z,true,2025-01-30T20:33:48.038493902Z,01JJWCWY4H01450RBX4PFKF2GW,2025-01-30T20:11:49.3964962Z,0,2025-01-30T20:11:49.3964962Z,true,2025-01-30T20:33:28.767892965Z,selection,2025-01-30T20:11:49.3964962Z,01JJWDEPH4GTBZWBEM81S5JF5H,2025-01-30T20:11:49.3964962Z,true,2025-01-30T20:33:28.721271027Z,true,2025-01-30T20:33:28.798519463Z,01JJWDEQ8HYVB3JNH164W7BW7Z,2025-01-30T20:11:49.3964962Z
