id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JH6EFSJBEHY9TA4782TSSNX7,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-09T21:13:16.575612847Z,1.740000,2025-01-09T21:40:00.658653673Z,/tangrams/158_379.png,2025-01-09T21:39:57.440336909Z,game ended,2025-01-09T21:40:00.717783087Z,false,2025-01-09T21:13:16.575612847Z,true,2025-01-09T21:43:17.455289886Z,"{""age"":""19"",""gender"":""Male"",""strategy"":""Mention the objects that don't appear in the other images."",""enjoy"":""Yep. I think he was British because he called me \""mate\"" (haha). Also used easy-to-follow instructions."",""feedback"":""N/A"",""education"":""high-school""}",2025-01-09T21:43:17.446638106Z,01JH6E12CWGXQF2B41B59YQN0N,2025-01-09T21:10:53.777575292Z,2,2025-01-09T21:12:50.186286764Z,true,2025-01-09T21:13:16.321420458Z,01JH6E12CWGXQF2B41B59YQN0N,2025-01-09T21:13:16.341614791Z,01JH6EM4SK9GH9HDA412ZGNE18,2025-01-09T21:13:16.341614791Z,Minu,2025-01-09T21:13:16.575612847Z,#444EA1,2025-01-09T21:13:16.575612847Z,0,2025-01-09T21:17:33.69488798Z,01JH6EFRSRV6D9X83FKNBE6PX0,2025-01-09T21:10:53.771049634Z,6659cf8d91296da481cf3be9,2025-01-09T21:10:53.771049634Z,01JH6E73Q9S1WSVRTG8D0NXV7R,2025-01-09T21:13:16.575612847Z,matcher,2025-01-09T21:39:36.198360398Z,1.740000,2025-01-09T21:40:00.658653673Z,/avatars/red.png,2025-01-09T21:13:16.575612847Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:10:53.777575292Z,full-noncomp,2025-01-09T21:10:53.777575292Z,"{""participantKey"":""6659cf8d91296da481cf3be9"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803adc4068f4532c7ccccb""}",2025-01-09T21:10:53.914550129Z
01JH6EDCRPMMP0TZSFS592H1YJ,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-09T21:12:03.447956138Z,1.860000,2025-01-09T21:32:39.661441303Z,/tangrams/75_58.png,2025-01-09T21:32:36.496453523Z,game ended,2025-01-09T21:32:39.708156156Z,false,2025-01-09T21:12:03.447956138Z,true,2025-01-09T21:34:20.741699541Z,"{""age"":""24"",""gender"":""F"",""strategy"":""I remembered ways I had described things to my partner that they got correct and kept using them until we both had shorthand ways to describe all of the objects."",""enjoy"":""Yes. I felt close to and warm towards my partner as we kept playing and understanding each other. "",""feedback"":""Makes me think of the psychological experiment where two people from diverse backgrounds have to work together to complete a common goal and they end up feeling much warmer towards each other than they ever normally would"",""education"":""master""}",2025-01-09T21:34:20.733656064Z,01JH6E12CYJK257E7E3RXVEBQK,2025-01-09T21:09:35.132938749Z,2,2025-01-09T21:11:02.631306581Z,true,2025-01-09T21:11:23.46134074Z,01JH6E12CYJK257E7E3RXVEBQK,2025-01-09T21:11:23.467726705Z,01JH6EGPJ8KY4TA2CWK4WGYCFV,2025-01-09T21:11:23.467726705Z,Minu,2025-01-09T21:12:03.447956138Z,#444EA1,2025-01-09T21:12:03.447956138Z,0,2025-01-09T21:12:03.447956138Z,01JH6EDCHJB67NGZMDP1J16FTT,2025-01-09T21:09:35.126561969Z,663e929092792ce7e3516434,2025-01-09T21:09:35.126561969Z,01JH6ECEK8H3EYT02YS5JT51JA,2025-01-09T21:12:03.447956138Z,matcher,2025-01-09T21:32:29.822744645Z,1.860000,2025-01-09T21:32:39.661441303Z,/avatars/red.png,2025-01-09T21:12:03.447956138Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:09:35.132938749Z,full-comp-between,2025-01-09T21:09:35.132938749Z,"{""participantKey"":""663e929092792ce7e3516434"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803aefd050763a1ace73bd""}",2025-01-09T21:09:35.246303165Z
01JH6EER7BKC0S385P3KFZTDRA,,,,,,,no more games,2025-01-09T21:30:39.610035953Z,,,,,,,null,2025-01-09T21:30:39.610035953Z,2,2025-01-09T21:10:34.272040382Z,,,,,,,,,,,,,01JH6EEQ9EZ4VXJW7BNKM012TX,2025-01-09T21:10:19.627558981Z,6780050de20afb62db94d8ab@email.prolific.com,2025-01-09T21:10:19.627558981Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:10:19.633472711Z,full-noncomp,2025-01-09T21:10:19.633472711Z,"{""participantKey"":""6780050de20afb62db94d8ab"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803afd84f8a907e94182fc""}",2025-01-09T21:10:19.974499478Z
01JH6E9N7GMFHE539DP5PKP7GT,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-09T21:10:50.819830233Z,1.920000,2025-01-09T21:41:19.923661381Z,/tangrams/366_405.png,2025-01-09T21:41:16.734210215Z,game ended,2025-01-09T21:41:19.981157824Z,false,2025-01-09T21:10:50.819830233Z,true,2025-01-09T21:42:10.843758397Z,"{""age"":""30"",""gender"":""Male"",""strategy"":""Describe most obvious features"",""enjoy"":""Yes i did, we managed to get all correct"",""feedback"":""Was good"",""education"":""bachelor""}",2025-01-09T21:42:10.852924149Z,01JH6E12CYJK257E7E3BVNY8KC,2025-01-09T21:07:32.72691317Z,2,2025-01-09T21:08:28.660353245Z,true,2025-01-09T21:10:40.301943419Z,01JH6E12CYJK257E7E3BVNY8KC,2025-01-09T21:10:40.309198508Z,01JH6EFCDJMXE46DJ11DG4PA59,2025-01-09T21:10:40.309198508Z,Repi,2025-01-09T21:10:50.819830233Z,#29828D,2025-01-09T21:10:50.819830233Z,0,2025-01-09T21:10:50.819830233Z,01JH6E9MMV5R5Z7TFB4QGFXS5P,2025-01-09T21:07:32.720356976Z,62cbf0028db66fbb9a89e1ca,2025-01-09T21:07:32.720356976Z,01JH6EAE9YQ1PSVJ4DGM6PTES5,2025-01-09T21:10:50.819830233Z,director,2025-01-09T21:40:46.982036417Z,1.920000,2025-01-09T21:41:19.923661381Z,/avatars/blue.png,2025-01-09T21:10:50.819830233Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:07:32.72691317Z,full-comp-within,2025-01-09T21:07:32.72691317Z,"{""participantKey"":""62cbf0028db66fbb9a89e1ca"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803a79d01b047a2b083daf""}",2025-01-09T21:07:33.029125759Z
01JH6EB99PG4BV8ZPRK2XTJ9JB,,,,,,,game terminated,2025-01-09T21:56:38.887967953Z,,,,,,,01JH6ER00NSAMMFKBBS8V3SDG4,2025-01-09T21:24:19.639572337Z,2,2025-01-09T21:08:43.908167312Z,,,,,,,,,,,,,01JH6EB8PT98SFZXD7B4J7W6KA,2025-01-09T21:08:26.038108599Z,675298fade6c8db5c86ed5a7,2025-01-09T21:08:26.038108599Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:08:26.04467128Z,full-comp-between,2025-01-09T21:08:26.04467128Z,"{""participantKey"":""675298fade6c8db5c86ed5a7"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803aafe20c045e443853af""}",2025-01-09T21:08:26.347160017Z
01JH6EKDF4C2A4EXCQ4KADMJG4,,,,,,,no more games,2025-01-09T21:30:39.610035953Z,,,true,2025-01-09T21:31:23.787479558Z,"{""gamefailed"":""nogame""}",2025-01-09T21:31:23.778632805Z,null,2025-01-09T21:30:39.610035953Z,1,2025-01-09T21:15:03.932839419Z,,,,,,,,,,,,,01JH6EKBYVVT51NKY15JYMZ55S,2025-01-09T21:12:52.452823882Z,665c6d5618baa7f9455039b3,2025-01-09T21:12:52.452823882Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:12:52.459935425Z,full-noncomp,2025-01-09T21:12:52.459935425Z,"{""participantKey"":""665c6d5618baa7f9455039b3"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803ba7ad8eafa9e5eb09d8""}",2025-01-09T21:12:53.728661807Z
01JH6E73Q9S1WSVRTG8D0NXV7R,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-09T21:13:16.575612847Z,1.740000,2025-01-09T21:40:00.658653673Z,/tangrams/158_379.png,2025-01-09T21:39:57.42717433Z,game ended,2025-01-09T21:40:00.717783087Z,false,2025-01-09T21:13:16.575612847Z,true,2025-01-09T21:40:51.719363229Z,"{""age"":""25"",""gender"":""male"",""strategy"":""looking for obvious shapes at corners or obvious overall shape"",""enjoy"":""yes it was direct and punctual mostly"",""feedback"":"""",""education"":""high-school""}",2025-01-09T21:40:51.711900126Z,01JH6E12CWGXQF2B41B59YQN0N,2025-01-09T21:06:09.263912431Z,2,2025-01-09T21:06:43.374241927Z,true,2025-01-09T21:10:09.974831777Z,01JH6E12CWGXQF2B41B59YQN0N,2025-01-09T21:10:09.982935053Z,01JH6EEESVYHMW56GT2V91T9ZR,2025-01-09T21:10:09.982935053Z,Repi,2025-01-09T21:13:16.575612847Z,#29828D,2025-01-09T21:13:16.575612847Z,0,2025-01-09T21:17:33.69488798Z,01JH6E732EMNX3YWS7R43PTFJ4,2025-01-09T21:06:09.257317434Z,63d527ae9b43e76122f00224,2025-01-09T21:06:09.257317434Z,01JH6EFSJBEHY9TA4782TSSNX7,2025-01-09T21:13:16.575612847Z,director,2025-01-09T21:39:36.198360398Z,1.740000,2025-01-09T21:40:00.658653673Z,/avatars/blue.png,2025-01-09T21:13:16.575612847Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:06:09.263912431Z,full-noncomp,2025-01-09T21:06:09.263912431Z,"{""participantKey"":""63d527ae9b43e76122f00224"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803a3275f9b2c5426d2490""}",2025-01-09T21:06:09.602236934Z
01JH6EAZQAB8JV5ZBQJF38JJ64,,,,,,,game terminated,2025-01-09T21:56:38.875837212Z,,,,,,,01JH6ER00GR9S8WB6DM17V41FP,2025-01-09T21:17:45.052374071Z,2,2025-01-09T21:09:11.344498466Z,,,,,,,,,,,,,01JH6EAY9GQ3B6ZP8JSTHKY2ZC,2025-01-09T21:08:16.234568971Z,677d343f512e31df8016a8f3,2025-01-09T21:08:16.234568971Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:08:16.240296589Z,full-comp-within,2025-01-09T21:08:16.240296589Z,"{""participantKey"":""677d343f512e31df8016a8f3"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803a9f5f4dd08f6bfe7ad0""}",2025-01-09T21:08:16.725512366Z
01JH6EE07RJH19M5EDFMA5E0K6,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-09T21:12:38.591198145Z,0.630000,2025-01-09T21:27:49.101789327Z,,2025-01-09T21:27:49.151093405Z,game ended,2025-01-09T21:32:02.072984502Z,true,2025-01-09T21:32:02.044536893Z,,,,,01JH6E1C2DWXZEMQ1NCYN91YQD,2025-01-09T21:10:50.581346422Z,2,2025-01-09T21:10:35.094960189Z,true,2025-01-09T21:12:38.339765885Z,01JH6E1C2DWXZEMQ1NCYN91YQD,2025-01-09T21:12:38.363191775Z,01JH6EJZPPPA950WXKGG048SVG,2025-01-09T21:12:38.363191775Z,Repi,2025-01-09T21:12:38.591198145Z,#29828D,2025-01-09T21:12:38.591198145Z,4,2025-01-09T21:32:02.044536893Z,01JH6EDZY63PNEZ10BPFB2ZMSW,2025-01-09T21:09:55.064159678Z,63616ac9601c2ac49b1cc4af,2025-01-09T21:09:55.064159678Z,01JH6EEWQ0Q2J1Q0MMCY4WDQ1Z,2025-01-09T21:12:38.591198145Z,matcher,2025-01-09T21:30:58.838618265Z,0.630000,2025-01-09T21:27:49.101789327Z,/avatars/blue.png,2025-01-09T21:12:38.591198145Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:09:55.070247432Z,full-comp-within,2025-01-09T21:09:55.070247432Z,"{""participantKey"":""63616ac9601c2ac49b1cc4af"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803b0295a4a10a4676626b""}",2025-01-09T21:09:55.249496776Z
01JH6F574WP0SZKEN1DPSE22J9,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-09T21:24:20.134180993Z,1.650000,2025-01-09T21:55:30.531451512Z,/tangrams/65_61.png,2025-01-09T21:55:27.326594022Z,game ended,2025-01-09T21:55:30.597111214Z,false,2025-01-09T21:24:20.134180993Z,true,2025-01-09T21:58:11.041391651Z,"{""age"":""22"",""gender"":""Male"",""strategy"":""split figures into sections of top and bottom and describe top and bottom as either flat or split, then number of legs and shape. also if shape is symmetrical or not. White shape in middle is a free pass basically. "",""enjoy"":""Yes they responded quickly and used the same strategy and it felt like we adopted an understanding of our \""language\"" at the end. "",""feedback"":""No problems. Fun game! Thanks. "",""education"":""high-school""}",2025-01-09T21:58:11.033166372Z,01JH6EG3TSBYEJ9FEXT82YTFWY,2025-01-09T21:22:35.817765711Z,2,2025-01-09T21:23:48.8971716Z,true,2025-01-09T21:24:19.623083069Z,01JH6EG3TSBYEJ9FEXT82YTFWY,2025-01-09T21:24:19.650709193Z,01JH6F8CHZKD5N6KK2FW1Z6J2R,2025-01-09T21:24:19.650709193Z,Minu,2025-01-09T21:24:20.134180993Z,#444EA1,2025-01-09T21:24:20.134180993Z,0,2025-01-09T21:26:15.036664716Z,01JH6F571NEMSYW9ESF45D8MW1,2025-01-09T21:22:35.804392748Z,6643d66f7e843f95379c2949,2025-01-09T21:22:35.804392748Z,01JH6EEC3WABBJNBJCT7B0GK4K,2025-01-09T21:24:20.134180993Z,matcher,2025-01-09T21:55:03.930321818Z,1.650000,2025-01-09T21:55:30.531451512Z,/avatars/red.png,2025-01-09T21:24:20.134180993Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-09T21:22:35.817765711Z,full-comp-between,2025-01-09T21:22:35.817765711Z,"{""participantKey"":""6643d66f7e843f95379c2949"",""STUDY_ID"":""67800e9790fa13de8a6f0f1c"",""SESSION_ID"":""67803dfc3c785a925a8e5e92""}",2025-01-09T21:22:35.86977678Z
