id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JH8W4NN2MQK62HEARTH2913J,2,2025-01-10T20:02:10.710587651Z,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T19:47:58.242059374Z,"[424,183,18,325]",2025-01-10T20:02:10.926426882Z,4,2025-01-10T20:02:10.728894581Z,comp-between,2025-01-10T20:02:10.728894581Z,true,2025-01-10T20:22:48.982605817Z,false,2025-01-10T20:02:10.728894581Z,end of game,2025-01-10T20:22:49.010011047Z,01JH8W4NNMQ6FZAH2S5FSA1HC0,2025-01-10T19:47:58.263290143Z,true,2025-01-10T20:02:10.926426882Z,5,2025-01-10T20:02:10.728894581Z,0,2025-01-10T20:02:10.728894581Z,180,2025-01-10T20:02:10.728894581Z,63,2025-01-10T20:02:10.926426882Z,1,2025-01-10T20:02:10.728894581Z,null,2025-01-10T20:22:48.982605817Z,true,2025-01-10T20:02:10.710587651Z,true,2025-01-10T20:02:10.710587651Z,ended,2025-01-10T20:22:49.010011047Z,"[[193,424],[193,183],[193,18],[193,325],[101,424],[101,183],[101,18],[101,325],[107,424],[107,183],[107,18],[107,325],[43,424],[43,183],[43,18],[43,325]]",2025-01-10T20:02:10.926426882Z,"[193,101,107,43]",2025-01-10T20:02:10.926426882Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:47:58.242059374Z,full-comp-between,2025-01-10T19:47:58.242059374Z
01JH8X608BZSQF21W5Q0DTMHTG,2,2025-01-10T20:26:14.142874665Z,01JH8X607X2W5NNNNAMVD232SK,2025-01-10T20:06:10.44307974Z,"[54,96,223,49]",2025-01-10T20:26:14.903228151Z,4,2025-01-10T20:26:14.191980382Z,comp-between,2025-01-10T20:26:14.191980382Z,true,2025-01-10T20:45:00.207552192Z,false,2025-01-10T20:26:14.191980382Z,end of game,2025-01-10T20:45:00.240610117Z,01JH8X609DMECPRWR4ZFHMHFJK,2025-01-10T20:06:10.480653083Z,true,2025-01-10T20:26:14.903228151Z,5,2025-01-10T20:26:14.191980382Z,0,2025-01-10T20:32:21.080305601Z,180,2025-01-10T20:26:14.191980382Z,63,2025-01-10T20:26:14.903228151Z,1,2025-01-10T20:26:14.191980382Z,null,2025-01-10T20:45:00.207552192Z,true,2025-01-10T20:26:14.142874665Z,true,2025-01-10T20:26:14.142874665Z,ended,2025-01-10T20:45:00.240610117Z,"[[253,54],[253,96],[253,223],[253,49],[362,54],[362,96],[362,223],[362,49],[240,54],[240,96],[240,223],[240,49],[367,54],[367,96],[367,223],[367,49]]",2025-01-10T20:26:14.903228151Z,"[253,362,240,367]",2025-01-10T20:26:14.903228151Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T20:06:10.44307974Z,full-comp-between,2025-01-10T20:06:10.44307974Z
01JH8W4FC1HS5KSAXDKDY3GJ15,2,2025-01-10T20:07:26.617021473Z,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T19:47:51.809348292Z,"[48,143,32,448,326,417,416,73,286,297,343,289,40,394,148,37]",2025-01-10T20:07:26.942003932Z,4,2025-01-10T20:07:26.64890986Z,noncomp,2025-01-10T20:07:26.64890986Z,true,2025-01-10T20:12:47.951492496Z,true,2025-01-10T20:12:47.943670169Z,timeOut,2025-01-10T20:12:47.943670169Z,01JH8W4FD82TDBXXCWZ6RK28NC,2025-01-10T19:47:51.850405755Z,true,2025-01-10T20:07:26.942003932Z,5,2025-01-10T20:07:26.64890986Z,5,2025-01-10T20:12:47.943670169Z,0,2025-01-10T20:07:26.64890986Z,63,2025-01-10T20:07:26.942003932Z,1,2025-01-10T20:07:26.64890986Z,null,2025-01-10T20:12:47.951492496Z,true,2025-01-10T20:07:26.617021473Z,true,2025-01-10T20:07:26.617021473Z,ended,2025-01-10T20:12:47.943670169Z,"[[108,48],[370,143],[50,32],[253,448],[0,326],[69,417],[6,416],[180,73],[54,286],[260,297],[219,343],[242,289],[88,40],[43,394],[140,148],[29,37]]",2025-01-10T20:07:26.942003932Z,"[108,370,50,253,0,69,6,180,54,260,219,242,88,43,140,29]",2025-01-10T20:07:26.942003932Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:47:51.809348292Z,full-noncomp,2025-01-10T19:47:51.809348292Z
01JH8WKC5DZEGVW9DKT9B9NW97,,,01JH8WKC4ZT01B27PJ4YV05PVE,2025-01-10T19:56:00.04559598Z,,,,,,,false,2025-01-10T19:56:00.04559598Z,,,,,01JH8WKC6GGSNC2GY17FVHYVSK,2025-01-10T19:56:00.083046851Z,,,,,,,,,,,,,,,false,2025-01-10T19:56:00.04559598Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:56:00.04559598Z,full-noncomp,2025-01-10T19:56:00.04559598Z
01JH8W4FC1HS5KSAXDKT8CTXFV,2,2025-01-10T20:06:43.746685996Z,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T19:47:51.809669654Z,"[74,358,405,342]",2025-01-10T20:06:43.999292794Z,4,2025-01-10T20:06:43.769878516Z,comp-within,2025-01-10T20:06:43.769878516Z,true,2025-01-10T20:15:24.472443061Z,true,2025-01-10T20:15:24.462370219Z,timeOut,2025-01-10T20:15:24.462370219Z,01JH8W4FDTDZ31Z860FV7R8G41,2025-01-10T19:47:51.867815259Z,true,2025-01-10T20:06:43.999292794Z,5,2025-01-10T20:06:43.769878516Z,5,2025-01-10T20:15:24.462370219Z,0,2025-01-10T20:06:43.769878516Z,63,2025-01-10T20:06:43.999292794Z,1,2025-01-10T20:06:43.769878516Z,null,2025-01-10T20:15:24.472443061Z,true,2025-01-10T20:06:43.746685996Z,true,2025-01-10T20:06:43.746685996Z,ended,2025-01-10T20:15:24.462370219Z,"[[118,74],[118,358],[118,405],[118,342],[178,74],[178,358],[178,405],[178,342],[406,74],[406,358],[406,405],[406,342],[332,74],[332,358],[332,405],[332,342]]",2025-01-10T20:06:43.999292794Z,"[118,178,406,332]",2025-01-10T20:06:43.999292794Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:47:51.809669654Z,full-comp-within,2025-01-10T19:47:51.809669654Z
01JH8W4NN2MQK62HEAS7B81WAA,2,2025-01-10T20:03:15.895572159Z,01JH8W4NMNMJ5TW3EXMX20J57W,2025-01-10T19:47:58.242917989Z,"[257,136,158,131]",2025-01-10T20:03:16.114037227Z,4,2025-01-10T20:03:15.914659071Z,comp-within,2025-01-10T20:03:15.914659071Z,true,2025-01-10T20:33:36.455174967Z,false,2025-01-10T20:03:15.914659071Z,end of game,2025-01-10T20:33:36.487113957Z,01JH8W4NP6KW9D6FK2CVAVCH5N,2025-01-10T19:47:58.28095403Z,true,2025-01-10T20:03:16.114037227Z,5,2025-01-10T20:03:15.914659071Z,0,2025-01-10T20:05:09.218572141Z,90,2025-01-10T20:03:15.914659071Z,63,2025-01-10T20:03:16.114037227Z,1,2025-01-10T20:03:15.914659071Z,null,2025-01-10T20:33:36.455174967Z,true,2025-01-10T20:03:15.895572159Z,true,2025-01-10T20:03:15.895572159Z,ended,2025-01-10T20:33:36.487113957Z,"[[13,257],[13,136],[13,158],[13,131],[89,257],[89,136],[89,158],[89,131],[281,257],[281,136],[281,158],[281,131],[454,257],[454,136],[454,158],[454,131]]",2025-01-10T20:03:16.114037227Z,"[13,89,281,454]",2025-01-10T20:03:16.114037227Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:47:58.242917989Z,full-comp-within,2025-01-10T19:47:58.242917989Z
01JH8WGGTV4MBJGVZWK2ZTEP3G,2,2025-01-10T20:10:20.546701537Z,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T19:54:26.523560621Z,"[42,67,206,226]",2025-01-10T20:10:20.94553303Z,4,2025-01-10T20:10:20.580082016Z,comp-within,2025-01-10T20:10:20.580082016Z,true,2025-01-10T20:43:24.097617172Z,false,2025-01-10T20:10:20.580082016Z,end of game,2025-01-10T20:43:24.128578877Z,01JH8WGGVG2B1KW7PXRQB2QYWJ,2025-01-10T19:54:26.546047607Z,true,2025-01-10T20:10:20.94553303Z,5,2025-01-10T20:10:20.580082016Z,0,2025-01-10T20:20:39.85362494Z,180,2025-01-10T20:10:20.580082016Z,63,2025-01-10T20:10:20.94553303Z,1,2025-01-10T20:10:20.580082016Z,null,2025-01-10T20:43:24.097617172Z,true,2025-01-10T20:10:20.546701537Z,true,2025-01-10T20:10:20.546701537Z,ended,2025-01-10T20:43:24.128578877Z,"[[144,42],[144,67],[144,206],[144,226],[38,42],[38,67],[38,206],[38,226],[255,42],[255,67],[255,206],[255,226],[138,42],[138,67],[138,206],[138,226]]",2025-01-10T20:10:20.94553303Z,"[144,38,255,138]",2025-01-10T20:10:20.94553303Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:54:26.523560621Z,full-comp-within,2025-01-10T19:54:26.523560621Z
01JH8WGGTWE355WC9FZ6X27HES,2,2025-01-10T20:21:27.378193737Z,01JH8WGGTCSVCYRJAH09HT4R66,2025-01-10T19:54:26.524130242Z,"[39,44,340,211,251,331,166,388,140,61,190,113,399,336,368,448]",2025-01-10T20:21:28.127545715Z,4,2025-01-10T20:21:27.429828593Z,noncomp,2025-01-10T20:21:27.429828593Z,true,2025-01-10T20:40:04.379760263Z,false,2025-01-10T20:21:27.429828593Z,end of game,2025-01-10T20:40:04.459803958Z,01JH8WGGVZN8DH699CHWFHB0DH,2025-01-10T19:54:26.561121149Z,true,2025-01-10T20:21:28.127545715Z,5,2025-01-10T20:21:27.429828593Z,0,2025-01-10T20:34:39.032621628Z,90,2025-01-10T20:21:27.429828593Z,63,2025-01-10T20:21:28.127545715Z,1,2025-01-10T20:21:27.429828593Z,null,2025-01-10T20:40:04.379760263Z,true,2025-01-10T20:21:27.378193737Z,true,2025-01-10T20:21:27.378193737Z,ended,2025-01-10T20:40:04.459803958Z,"[[59,39],[366,44],[229,340],[71,211],[409,251],[197,331],[430,166],[146,388],[453,140],[411,61],[228,190],[8,113],[323,399],[283,336],[437,368],[220,448]]",2025-01-10T20:21:28.127545715Z,"[59,366,229,71,409,197,430,146,453,411,228,8,323,283,437,220]",2025-01-10T20:21:28.127545715Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:54:26.524130242Z,full-noncomp,2025-01-10T19:54:26.524130242Z
01JH8WKC5FW63H03T5FNA4G2AM,,,01JH8WKC4ZT01B27PJ4YV05PVE,2025-01-10T19:56:00.047989067Z,,,,,,,false,2025-01-10T19:56:00.047989067Z,,,,,01JH8WKC708XS736S1288C7APN,2025-01-10T19:56:00.098458467Z,,,,,,,,,,,,,,,false,2025-01-10T19:56:00.047989067Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:56:00.047989067Z,full-comp-within,2025-01-10T19:56:00.047989067Z
01JH8W4FC0G69RAQYXQ8RMGYWE,2,2025-01-10T20:13:35.702889799Z,01JH8W4FBD6RZQBBGX54850G97,2025-01-10T19:47:51.808789615Z,"[81,23,250,441]",2025-01-10T20:13:36.220816154Z,4,2025-01-10T20:13:35.753240155Z,comp-between,2025-01-10T20:13:35.753240155Z,true,2025-01-10T20:31:46.779773879Z,true,2025-01-10T20:31:46.766228721Z,timeOut,2025-01-10T20:31:46.766228721Z,01JH8W4FCP2Y8PXQNMRTTN844X,2025-01-10T19:47:51.833163193Z,true,2025-01-10T20:13:36.220816154Z,5,2025-01-10T20:13:35.753240155Z,5,2025-01-10T20:31:46.766228721Z,180,2025-01-10T20:13:35.753240155Z,63,2025-01-10T20:13:36.220816154Z,1,2025-01-10T20:13:35.753240155Z,null,2025-01-10T20:31:46.779773879Z,true,2025-01-10T20:13:35.702889799Z,true,2025-01-10T20:13:35.702889799Z,ended,2025-01-10T20:31:46.766228721Z,"[[167,81],[167,23],[167,250],[167,441],[105,81],[105,23],[105,250],[105,441],[171,81],[171,23],[171,250],[171,441],[2,81],[2,23],[2,250],[2,441]]",2025-01-10T20:13:36.220816154Z,"[167,105,171,2]",2025-01-10T20:13:36.220816154Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-10T19:47:51.808789615Z,full-comp-between,2025-01-10T19:47:51.808789615Z
