id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,replayGameReadyCheck,replayGameReadyCheckLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JHDS93NXDVZTCZ6EK12SYWJG,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-12T17:37:52.057126007Z,1.680000,2025-01-12T18:09:44.402039331Z,game ended,2025-01-12T18:09:44.813297399Z,true,2025-01-12T18:10:17.700783922Z,"{""age"":""31"",""gender"":""Female"",""strategy"":""To describe as best as i could"",""enjoy"":""I loved it! A different study"",""feedback"":"""",""education"":""high-school""}",2025-01-12T18:10:17.758499352Z,01JHDRYFJ2BRY23J4SFMJNZ8M5,2025-01-12T17:37:44.364186346Z,2,2025-01-12T17:34:55.99401268Z,true,2025-01-12T17:37:50.135652303Z,01JHDRYFJ2BRY23J4SFMJNZ8M5,2025-01-12T17:37:51.538284268Z,01JHDSFVXFNQG7TVF34JRXYWAQ,2025-01-12T17:37:51.538284268Z,Repi,2025-01-12T17:37:52.057126007Z,#29828D,2025-01-12T17:37:52.057126007Z,01JHDS92X7752ZBFE2QPJ6RD3R,2025-01-12T17:34:10.109686145Z,62a1d88a5d0482a69726950c,2025-01-12T17:34:10.109686145Z,01JHDSA19Z398Z2VY5DANPM14M,2025-01-12T17:37:52.057126007Z,,,director,2025-01-12T18:09:33.752569292Z,1.680000,2025-01-12T18:09:44.402039331Z,/avatars/blue.png,2025-01-12T17:37:52.057126007Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:34:10.116528758Z,full-noncomp,2025-01-12T17:34:10.116528758Z,"{""participantKey"":""62a1d88a5d0482a69726950c"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fcf2d17a2a7215fd4bab""}",2025-01-12T17:34:10.607995711Z
01JHDSBRJE9CJTDFTAQ15C7GGJ,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-12T17:37:44.76308929Z,1.530000,2025-01-12T18:24:21.384347918Z,game ended,2025-01-12T18:24:21.61722582Z,true,2025-01-12T18:25:50.305357891Z,"{""age"":""28"",""gender"":""f"",""strategy"":""i used pre existing letters and well known shapes as descriptors "",""enjoy"":"""",""feedback"":"""",""education"":""other""}",2025-01-12T18:25:50.257960186Z,01JHDRYCB4YXZE09EG2KMY001G,2025-01-12T17:37:06.569540019Z,2,2025-01-12T17:35:50.574620778Z,true,2025-01-12T17:37:42.900540541Z,01JHDRYCB4YXZE09EG2KMY001G,2025-01-12T17:37:42.910707809Z,01JHDSFKFWEK74Q7YJF2C3G7NY,2025-01-12T17:37:42.910707809Z,Repi,2025-01-12T17:37:44.76308929Z,#29828D,2025-01-12T17:37:44.76308929Z,01JHDSBQZ30SDMDVMVM7XT8XRW,2025-01-12T17:35:37.038947847Z,59ed0a0371734300015ca9de,2025-01-12T17:35:37.038947847Z,01JHDSD98D863DC71RP6NH4MG9,2025-01-12T17:37:44.76308929Z,,,director,2025-01-12T18:23:48.103580717Z,1.530000,2025-01-12T18:24:21.384347918Z,/avatars/blue.png,2025-01-12T17:37:44.76308929Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:35:37.047310154Z,full-noncomp,2025-01-12T17:35:37.047310154Z,"{""participantKey"":""59ed0a0371734300015ca9de"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fcd8aa96b3f1749e04e0""}",2025-01-12T17:35:39.436687833Z
01JHDSDFR5GN4H4MJP39GCQA94,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-12T17:38:51.981082785Z,1.890000,2025-01-12T18:16:33.359666906Z,game ended,2025-01-12T18:16:33.582174147Z,true,2025-01-12T18:17:55.449533885Z,"{""age"":""29"",""gender"":""Female"",""strategy"":""I described each portion of the shape, and then we used a system together based on the previous descriptions"",""enjoy"":""Yes it was fun to play and my partner had a sense of humour which made it enjoyable, describing the shapes as various people/animals etc"",""feedback"":""No issues, was a fun task to complete :)"",""education"":""high-school""}",2025-01-12T18:17:55.405691201Z,01JHDRYRE2FDEZZD13T1M5NP7E,2025-01-12T17:37:59.777041532Z,2,2025-01-12T17:37:44.74090376Z,true,2025-01-12T17:38:25.003731407Z,01JHDRYRE2FDEZZD13T1M5NP7E,2025-01-12T17:38:25.019523072Z,01JHDSGWKRP52V7S3G81X5C24F,2025-01-12T17:38:25.019523072Z,Minu,2025-01-12T17:38:51.981082785Z,#444EA1,2025-01-12T17:38:51.981082785Z,01JHDSDF509WPRP6DTWTW8HJR4,2025-01-12T17:36:33.541658136Z,58d954ec58d78900016eaf6d,2025-01-12T17:36:33.541658136Z,01JHDSD418AH8952P31EDPDBWH,2025-01-12T17:38:51.981082785Z,,,matcher,2025-01-12T18:16:07.460713723Z,1.890000,2025-01-12T18:16:33.359666906Z,/avatars/red.png,2025-01-12T17:38:51.981082785Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:36:33.549392224Z,full-noncomp,2025-01-12T17:36:33.549392224Z,"{""participantKey"":""58d954ec58d78900016eaf6d"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fd81f4dfdf503b9e4a82""}",2025-01-12T17:36:33.89573052Z
01JHDSPQDN7WY29C2Q4JSX4B1A,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-12T17:55:14.721130003Z,1.770000,2025-01-12T18:26:59.587442728Z,game ended,2025-01-12T18:26:59.820318853Z,true,2025-01-12T18:28:53.790413911Z,"{""age"":""40"",""gender"":""female"",""strategy"":""learned how me and my partner identified specific pictures. "",""enjoy"":""a little very repetitive and I didn't want to make small talk "",""feedback"":"""",""education"":""high-school""}",2025-01-12T18:28:53.746018873Z,01JHDSENAEPD9Q0CA36C3V4EG2,2025-01-12T17:47:42.250109387Z,2,2025-01-12T17:44:55.03705072Z,true,2025-01-12T17:52:48.300075102Z,01JHDSENAEPD9Q0CA36C3V4EG2,2025-01-12T17:52:48.336110911Z,01JHDTB7PB6JA58FH18TN4CT6Z,2025-01-12T17:52:48.336110911Z,Minu,2025-01-12T17:55:14.721130003Z,#444EA1,2025-01-12T17:55:14.721130003Z,01JHDSPB1JDMEYAQ4EX2DPP056,2025-01-12T17:41:36.309968408Z,5ba863a346de410001ecfb2a,2025-01-12T17:41:36.309968408Z,01JHDS6A9G1R6A4ZMK1Y97YT1F,2025-01-12T17:55:14.721130003Z,,,matcher,2025-01-12T18:26:45.65348538Z,1.770000,2025-01-12T18:26:59.587442728Z,/avatars/red.png,2025-01-12T17:55:14.721130003Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:41:36.467255317Z,full-noncomp,2025-01-12T17:41:36.467255317Z,"{""participantKey"":""5ba863a346de410001ecfb2a"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fce77a09846cd1663d9f""}",2025-01-12T17:41:36.631586424Z
01JHDT7RPC793SRFQG2NYFASKV,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-12T17:58:26.242053159Z,0,2025-01-12T17:58:26.242053159Z,game ended,2025-01-12T18:05:22.883757795Z,true,2025-01-12T18:06:15.530232253Z,"{""age"":""20"",""gender"":""Male"",""strategy"":""I tried to explain the shape and place"",""enjoy"":""They didn't respond"",""feedback"":""Couldn't select the shapes"",""education"":""high-school""}",2025-01-12T18:06:15.401540684Z,01JHDSENAYK76DQX37J3H6VY74,2025-01-12T17:55:12.196500212Z,2,2025-01-12T17:55:05.067846739Z,true,2025-01-12T17:58:23.386847114Z,01JHDSENAYK76DQX37J3H6VY74,2025-01-12T17:58:23.488519974Z,01JHDTNEZVGSRRE2RVJEY10RF7,2025-01-12T17:58:23.488519974Z,Minu,2025-01-12T17:58:26.242053159Z,#444EA1,2025-01-12T17:58:26.242053159Z,01JHDT7R25EBBY3R9PHJRF7Z4P,2025-01-12T17:50:54.668800254Z,60ce098bcb083fa9958aa4e8,2025-01-12T17:50:54.668800254Z,01JHDSD6MRMXJSZX8RJMG5PYJS,2025-01-12T17:58:26.242053159Z,,,director,2025-01-12T18:04:15.602225148Z,0,2025-01-12T17:58:26.242053159Z,/avatars/red.png,2025-01-12T17:58:26.242053159Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:50:54.837311591Z,full-noncomp,2025-01-12T17:50:54.837311591Z,"{""participantKey"":""60ce098bcb083fa9958aa4e8"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""678400f2ded8e15547be20f5""}",2025-01-12T17:50:55.167859582Z
01JHDT9KNVK2EVP8PZSPXYRNTZ,,,,,null,2025-01-12T17:51:55.101817458Z,,,,,01JHDSENJ361Q88NK0RNYC6QW9,2025-01-12T18:03:06.594659074Z,2,2025-01-12T17:55:06.453958675Z,,,,,,,,,,,01JHDT9J41WC46E8V5VMPXJ8HD,2025-01-12T17:51:55.067843089Z,6781563ac4093eb7a7433ff3,2025-01-12T17:51:55.067843089Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:51:55.101817458Z,full-noncomp,2025-01-12T17:51:55.101817458Z,"{""participantKey"":""6781563ac4093eb7a7433ff3"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""678401067ddc4ec300bdb4fe""}",2025-01-12T17:51:56.437630647Z
01JHDS6H20JMHTD3ZYTF4D2B0J,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-12T17:35:41.246861353Z,1.890000,2025-01-12T18:01:26.806077234Z,game ended,2025-01-12T18:01:27.544218108Z,true,2025-01-12T18:02:42.175645638Z,"{""age"":""29"",""gender"":""Femals"",""strategy"":""Finding something we both agreed it looked like and then sticking to those as we went on"",""enjoy"":""Yes - we were having a chai while doing it and being smug to egg each other on. "",""feedback"":"""",""education"":""master""}",2025-01-12T18:02:42.140522477Z,01JHDRY6FPS99E2NA6HQM9PWXY,2025-01-12T17:35:37.600497479Z,2,2025-01-12T17:34:01.676425919Z,true,2025-01-12T17:35:39.074180864Z,01JHDRY6FPS99E2NA6HQM9PWXY,2025-01-12T17:35:41.026415463Z,01JHDSBWF0XEC187DFAF7R785Z,2025-01-12T17:35:41.026415463Z,Repi,2025-01-12T17:35:41.246861353Z,#29828D,2025-01-12T17:35:41.246861353Z,01JHDS6GDCT63P0F1M6H4PEA9D,2025-01-12T17:32:45.504087176Z,5e42e8ce900ca402ea108764,2025-01-12T17:32:45.504087176Z,01JHDS6YV0Y1TT9FGFZD161DJG,2025-01-12T17:35:41.246861353Z,,,director,2025-01-12T18:00:55.435965815Z,1.890000,2025-01-12T18:01:26.806077234Z,/avatars/blue.png,2025-01-12T17:35:41.246861353Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:32:45.510000484Z,full-noncomp,2025-01-12T17:32:45.510000484Z,"{""participantKey"":""5e42e8ce900ca402ea108764"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fc9571a28cf698b84afb""}",2025-01-12T17:32:45.840483039Z
01JHDS787A1VA5ZVHKYJW3XETK,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-12T17:38:00.452629413Z,1.800000,2025-01-12T18:17:16.971568442Z,game ended,2025-01-12T18:17:17.217008042Z,true,2025-01-12T18:18:20.579066691Z,"{""age"":""35"",""gender"":""Female"",""strategy"":""Describe shapes"",""enjoy"":""Yeah they were nice"",""feedback"":""Glitched when choosing shapes"",""education"":""other""}",2025-01-12T18:18:20.626341197Z,01JHDRYFJ2BRY23J4SFBVWGDG5,2025-01-12T17:37:44.364186346Z,2,2025-01-12T17:33:31.069549848Z,true,2025-01-12T17:37:45.244638159Z,01JHDRYFJ2BRY23J4SFBVWGDG5,2025-01-12T17:37:49.39628948Z,01JHDSFSTH4X0G820W3G24FD7E,2025-01-12T17:37:49.39628948Z,Repi,2025-01-12T17:38:00.452629413Z,#29828D,2025-01-12T17:38:00.452629413Z,01JHDS77K1T5MANFH5Z11M683X,2025-01-12T17:33:09.226795903Z,5ba94943d08ab20001c8437a,2025-01-12T17:33:09.226795903Z,01JHDSCBNMD13096ANHBSQM4BQ,2025-01-12T17:38:00.452629413Z,,,director,2025-01-12T18:16:46.423982659Z,1.800000,2025-01-12T18:17:16.971568442Z,/avatars/blue.png,2025-01-12T17:38:00.452629413Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:33:09.234256927Z,full-noncomp,2025-01-12T17:33:09.234256927Z,"{""participantKey"":""5ba94943d08ab20001c8437a"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fc9c6d4b8c744a5c8c39""}",2025-01-12T17:33:09.572336105Z
01JHDS80XBXFS6KWD67Y24SJSR,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-12T17:35:07.920123302Z,1.770000,2025-01-12T18:07:49.036463204Z,game ended,2025-01-12T18:07:49.270668916Z,true,2025-01-12T18:09:10.347111181Z,"{""age"":""19"",""gender"":""male"",""strategy"":""we described the shapes with animals"",""enjoy"":""yes, gave clear descriptions and understood mine"",""feedback"":"""",""education"":""bachelor""}",2025-01-12T18:09:10.404597803Z,01JHDRXZZNS6W0KNGZCZNFJV0G,2025-01-12T17:33:34.549994373Z,2,2025-01-12T17:34:17.762022666Z,true,2025-01-12T17:35:07.733438802Z,01JHDRXZZNS6W0KNGZCZNFJV0G,2025-01-12T17:35:07.766075822Z,01JHDSAVZKYPSG21M0Q4NKR213,2025-01-12T17:35:07.766075822Z,Minu,2025-01-12T17:35:07.920123302Z,#444EA1,2025-01-12T17:35:07.920123302Z,01JHDS7YRC611MTNMZH8XBYQV0,2025-01-12T17:33:34.507060863Z,6773da8fdadbbddbd76799c2,2025-01-12T17:33:34.507060863Z,01JHDS5JY06J9M6DCS8XGSRE4M,2025-01-12T17:35:07.920123302Z,,,matcher,2025-01-12T18:07:35.4868278Z,1.770000,2025-01-12T18:07:49.036463204Z,/avatars/red.png,2025-01-12T17:35:07.920123302Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:33:34.549994373Z,full-noncomp,2025-01-12T17:33:34.549994373Z,"{""participantKey"":""6773da8fdadbbddbd76799c2"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fc7529f152334eb25ee8""}",2025-01-12T17:33:35.174146865Z
01JHDSC0GQAV4EJBYQDS5XEH17,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-12T17:41:20.889891504Z,1.800000,2025-01-12T18:10:23.424791757Z,game ended,2025-01-12T18:10:23.664036509Z,true,2025-01-12T18:10:57.266875252Z,"{""age"":""33"",""gender"":""female"",""strategy"":""trying to identify shapes on how they were different, letters, shapes, what they looked like"",""enjoy"":""yes they made it simple"",""feedback"":"""",""education"":""bachelor""}",2025-01-12T18:10:57.224617857Z,01JHDS0JDGF55CETX8ZBQ4WAAS,2025-01-12T17:39:03.001747318Z,2,2025-01-12T17:38:06.920036598Z,true,2025-01-12T17:41:19.800887147Z,01JHDS0JDGF55CETX8ZBQ4WAAS,2025-01-12T17:41:19.894743504Z,01JHDSP7CK6A89Q5MW39BQPD48,2025-01-12T17:41:19.894743504Z,Repi,2025-01-12T17:41:20.889891504Z,#29828D,2025-01-12T17:41:20.889891504Z,01JHDSBWRWTPDQNGJ9EEM0053N,2025-01-12T17:35:45.175057813Z,5a78e410ae9a0b0001a97274,2025-01-12T17:35:45.175057813Z,01JHDSK7HP2Z6GDQJJJ5BAQ2QN,2025-01-12T17:41:20.889891504Z,,,director,2025-01-12T18:10:11.096338077Z,1.800000,2025-01-12T18:10:23.424791757Z,/avatars/blue.png,2025-01-12T17:41:20.889891504Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-12T17:35:45.199450953Z,full-noncomp,2025-01-12T17:35:45.199450953Z,"{""participantKey"":""5a78e410ae9a0b0001a97274"",""STUDY_ID"":""6783fab6f2b24f1a0b79297f"",""SESSION_ID"":""6783fd507dfdac28d727d5dc""}",2025-01-12T17:35:45.417737357Z
