id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JH9JBGHZXJ4FSBRKB3MGSENF,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T02:22:09.606532279Z,1.710000,2025-01-11T02:58:38.174292841Z,game ended,2025-01-11T02:58:38.561709722Z,true,2025-01-11T03:00:47.279399142Z,"{""age"":""41"",""gender"":""female"",""strategy"":""come up with the simple description and keep using the same name for the objects to be able to identify them faster "",""enjoy"":""I enjoyed it very much. It was exciting to guess the objects correctly together. "",""feedback"":""A bit laggy and slow but still very entertaining. "",""education"":""high-school""}",2025-01-11T03:00:47.316666279Z,01JH9J1DM169CBQKJ3S9B60P0M,2025-01-11T02:20:59.454575461Z,2,2025-01-11T02:20:05.053104175Z,true,2025-01-11T02:22:09.192629376Z,01JH9J1DM169CBQKJ3S9B60P0M,2025-01-11T02:22:09.257153096Z,01JH9JPEB7B6HN80515B49RNQB,2025-01-11T02:22:09.257153096Z,Minu,2025-01-11T02:22:09.606532279Z,#444EA1,2025-01-11T02:22:09.606532279Z,01JH9JBGA4FC6J25W8W36TMZZ2,2025-01-11T02:16:11.071955263Z,664360cecf23a9901bc2f990,2025-01-11T02:16:11.071955263Z,01JH9J8XYMJYB0JJ94PD98RG3Q,2025-01-11T02:22:09.606532279Z,matcher,2025-01-11T02:58:17.624881074Z,1.710000,2025-01-11T02:58:38.174292841Z,/avatars/red.png,2025-01-11T02:22:09.606532279Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:16:11.078526264Z,full-comp-between,2025-01-11T02:16:11.078526264Z,"{""participantKey"":""664360cecf23a9901bc2f990"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d42c8bb759c8c0c6d9df""}",2025-01-11T02:16:11.204627444Z
01JH9JE2QESD33Z1V8H4HY18JE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T02:24:11.659683011Z,1.920000,2025-01-11T02:59:38.463428472Z,game ended,2025-01-11T02:59:38.653777128Z,true,2025-01-11T03:01:07.815919445Z,"{""age"":""29"",""gender"":""Female"",""strategy"":""Nil"",""enjoy"":""Yes I did"",""feedback"":"""",""education"":""bachelor""}",2025-01-11T03:01:07.781219468Z,01JH9J1DX6BQ0831A88CQXB1Z2,2025-01-11T02:22:47.618775734Z,2,2025-01-11T02:17:52.400341221Z,true,2025-01-11T02:23:10.836224671Z,01JH9J1DX6BQ0831A88CQXB1Z2,2025-01-11T02:23:10.848762577Z,01JH9JRAFX4GZG90VSA5F6VWW3,2025-01-11T02:23:10.848762577Z,Repi,2025-01-11T02:24:11.659683011Z,#29828D,2025-01-11T02:24:11.659683011Z,01JH9JE23WEDKDYMG052DE9TBX,2025-01-11T02:17:35.214338324Z,6765e4378ca57f3d9246fe5e,2025-01-11T02:17:35.214338324Z,01JH9JGM0E0P8NS5KN94J09Q4K,2025-01-11T02:24:11.659683011Z,director,2025-01-11T02:59:07.968844418Z,1.920000,2025-01-11T02:59:38.463428472Z,/avatars/blue.png,2025-01-11T02:24:11.659683011Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:17:35.220022446Z,full-comp-between,2025-01-11T02:17:35.220022446Z,"{""participantKey"":""6765e4378ca57f3d9246fe5e"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d498a69531c40acc3a58""}",2025-01-11T02:17:35.575072922Z
01JH9JBSV1EKFY4DM0AWQQGKAE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T02:20:59.750848699Z,1.860000,2025-01-11T02:45:53.527943648Z,game ended,2025-01-11T02:45:53.835357029Z,true,2025-01-11T02:46:53.644699335Z,"{""age"":""38"",""gender"":""female"",""strategy"":""short hints that were repetitive"",""enjoy"":""yes they were good"",""feedback"":""occasionally it wouldnt respond to my selection"",""education"":""high-school""}",2025-01-11T02:46:53.682670433Z,01JH9J1BSHWS5KSCT8MGHHPD4F,2025-01-11T02:20:14.500128117Z,2,2025-01-11T02:16:37.35687009Z,true,2025-01-11T02:20:36.957742383Z,01JH9J1BSHWS5KSCT8MGHHPD4F,2025-01-11T02:20:36.966478144Z,01JH9JKM73HJQHHFA9SNHX34RG,2025-01-11T02:20:36.966478144Z,Repi,2025-01-11T02:20:59.750848699Z,#29828D,2025-01-11T02:20:59.750848699Z,01JH9JBSHHBMH2557YWR54B3P0,2025-01-11T02:16:20.577977114Z,5c2d187569ceff00011417de,2025-01-11T02:16:20.577977114Z,01JH9JGAD1MQ6T0Y5WNMKZ5312,2025-01-11T02:20:59.750848699Z,director,2025-01-11T02:45:37.20490732Z,1.860000,2025-01-11T02:45:53.527943648Z,/avatars/blue.png,2025-01-11T02:20:59.750848699Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:16:20.584139864Z,full-comp-between,2025-01-11T02:16:20.584139864Z,"{""participantKey"":""5c2d187569ceff00011417de"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d44fe3042204e56c697a""}",2025-01-11T02:16:20.738900075Z
01JH9JGAD1MQ6T0Y5WNMKZ5312,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T02:20:59.750848699Z,1.860000,2025-01-11T02:45:53.527943648Z,game ended,2025-01-11T02:45:53.835357029Z,true,2025-01-11T02:47:42.14568854Z,"{""age"":""44"",""gender"":""Female"",""strategy"":""At first, needed to describe more about the image. Then we started to speak a common language as to what we meant using similar language/same language so we each knew what hat, for example, referred to."",""enjoy"":""Yes because it seemed like we both were really trying to get things right"",""feedback"":""sometimes the game would stall, or take time for it to accept my click of the image"",""education"":""bachelor""}",2025-01-11T02:47:42.110621557Z,01JH9J1BSHWS5KSCT8MGHHPD4F,2025-01-11T02:20:14.500128117Z,2,2025-01-11T02:20:34.129415283Z,true,2025-01-11T02:20:59.418566109Z,01JH9J1BSHWS5KSCT8MGHHPD4F,2025-01-11T02:20:59.466011783Z,01JH9JMA6591B0JKMYZBBTHMM1,2025-01-11T02:20:59.466011783Z,Minu,2025-01-11T02:20:59.750848699Z,#444EA1,2025-01-11T02:20:59.750848699Z,01JH9JGA4V37TBNPMGWP23SGDC,2025-01-11T02:18:48.609961785Z,596f003434773e0001fc0d28,2025-01-11T02:18:48.609961785Z,01JH9JBSV1EKFY4DM0AWQQGKAE,2025-01-11T02:20:59.750848699Z,matcher,2025-01-11T02:45:37.20490732Z,1.860000,2025-01-11T02:45:53.527943648Z,/avatars/red.png,2025-01-11T02:20:59.750848699Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:18:48.617006473Z,full-comp-between,2025-01-11T02:18:48.617006473Z,"{""participantKey"":""596f003434773e0001fc0d28"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d4e2c75db91604c65ece""}",2025-01-11T02:18:48.78580245Z
01JH9JGDR2712HC3J1CEDPEC3W,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T02:22:47.961771012Z,1.920000,2025-01-11T02:47:24.640608428Z,game ended,2025-01-11T02:47:25.924578896Z,true,2025-01-11T02:48:02.855362093Z,"{""age"":""51"",""gender"":""Female"",""strategy"":""developed a shorthand for identifying features"",""enjoy"":""yes"",""feedback"":""just a little slow"",""education"":""master""}",2025-01-11T02:48:02.798688395Z,01JH9J1B9D57FP0N7Q8EGCWM69,2025-01-11T02:22:09.245515532Z,2,2025-01-11T02:20:35.891542515Z,true,2025-01-11T02:22:10.003446357Z,01JH9J1B9D57FP0N7Q8EGCWM69,2025-01-11T02:22:14.151197342Z,01JH9JPK433K6NNZP7HT9F3ZNZ,2025-01-11T02:22:14.151197342Z,Minu,2025-01-11T02:22:47.961771012Z,#444EA1,2025-01-11T02:22:47.961771012Z,01JH9JGDEVP8NE9AS8AG3J9RNR,2025-01-11T02:18:52.034417365Z,6779b8a103ef72513da57736,2025-01-11T02:18:52.034417365Z,01JH9J4G668S4DK7PQVKGVR1A4,2025-01-11T02:22:47.961771012Z,matcher,2025-01-11T02:47:06.130554085Z,1.920000,2025-01-11T02:47:24.640608428Z,/avatars/red.png,2025-01-11T02:22:47.961771012Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:18:52.041580756Z,full-comp-between,2025-01-11T02:18:52.041580756Z,"{""participantKey"":""6779b8a103ef72513da57736"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d4ef06063925cf67175d""}",2025-01-11T02:18:52.198234769Z
01JH9K1M45597YA74KEKRT0GJ6,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T02:32:26.670595726Z,1.920000,2025-01-11T02:53:09.088403876Z,game ended,2025-01-11T02:53:09.275208086Z,true,2025-01-11T02:54:43.958374212Z,"{""age"":""33"",""gender"":""nonbinary"",""strategy"":""We worked together to find easy terms we could use to quickly get the correct answer each time."",""enjoy"":""Yes. It was easy to communicate with them to understand exactly which image we were talking about."",""feedback"":"""",""education"":""high-school""}",2025-01-11T02:54:43.99773917Z,01JH9JSD47AQRCJM0B903CE3C7,2025-01-11T02:31:22.233695395Z,2,2025-01-11T02:31:12.45042038Z,true,2025-01-11T02:32:10.458116992Z,01JH9JSD47AQRCJM0B903CE3C7,2025-01-11T02:32:10.49310551Z,01JH9K8SFSYW5EN56W0P5Y1R85,2025-01-11T02:32:10.49310551Z,Minu,2025-01-11T02:32:26.670595726Z,#444EA1,2025-01-11T02:32:26.670595726Z,01JH9K1KRNJV1NHPW3BKAQAZVY,2025-01-11T02:28:15.621509064Z,65e41033192761ece670b5cd,2025-01-11T02:28:15.621509064Z,01JH9JX8QE8T2JGRZHJ91DSKHS,2025-01-11T02:32:26.670595726Z,matcher,2025-01-11T02:52:58.073200978Z,1.920000,2025-01-11T02:53:09.088403876Z,/avatars/red.png,2025-01-11T02:32:26.670595726Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:28:15.64086548Z,full-comp-between,2025-01-11T02:28:15.64086548Z,"{""participantKey"":""65e41033192761ece670b5cd"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d711170ada617ae622bf""}",2025-01-11T02:28:15.842499658Z
01JH9J4R67TBG0PCX0D62R8SW8,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T02:17:53.703069535Z,1.620000,2025-01-11T02:54:25.783936824Z,game ended,2025-01-11T02:54:26.097798646Z,true,2025-01-11T02:55:33.941186911Z,"{""age"":""43"",""gender"":""Female"",""strategy"":""Look at how my partner describes the pictures and use the same description"",""enjoy"":""I loved playing with my partner. It was fun"",""feedback"":"""",""education"":""master""}",2025-01-11T02:55:33.906120748Z,01JH9J1C5MJC9CR239TY4CRQEZ,2025-01-11T02:12:29.517094957Z,2,2025-01-11T02:15:00.987266781Z,true,2025-01-11T02:17:53.46037271Z,01JH9J1C5MJC9CR239TY4CRQEZ,2025-01-11T02:17:53.497350607Z,01JH9JEMJP888YNZ8NZBS14FMF,2025-01-11T02:17:53.497350607Z,Repi,2025-01-11T02:17:53.703069535Z,#29828D,2025-01-11T02:17:53.703069535Z,01JH9J4QWHQFA2BHEPGB1DSZZD,2025-01-11T02:12:29.511386763Z,663141e437ca8b977363cc60,2025-01-11T02:12:29.511386763Z,01JH9JC9MFSDT1SDPTQMHZ9BTJ,2025-01-11T02:17:53.703069535Z,director,2025-01-11T02:54:09.538802247Z,1.620000,2025-01-11T02:54:25.783936824Z,/avatars/blue.png,2025-01-11T02:17:53.703069535Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:12:29.517094957Z,full-comp-between,2025-01-11T02:12:29.517094957Z,"{""participantKey"":""663141e437ca8b977363cc60"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d37caca58eab1abda3b4""}",2025-01-11T02:12:29.696249985Z
01JH9J9YXEYHS30QYKQDZC85ET,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T02:25:18.235334283Z,1.770000,2025-01-11T02:58:42.919363496Z,game ended,2025-01-11T02:58:43.111342854Z,true,2025-01-11T03:01:22.979443388Z,"{""age"":"""",""gender"":""male"",""strategy"":""We developed a kind of  shared meaning"",""enjoy"":""Yes i did, We understood each other perfectly despite the ocassional mistakes"",""feedback"":""There was ocassional lag in the game. Sometimes the mouse didnt seem to work on time."",""education"":""master""}",2025-01-11T03:01:23.013535949Z,01JH9J15VBK2T020RPNZQ6RMX2,2025-01-11T02:24:11.127585029Z,2,2025-01-11T02:20:02.79279742Z,true,2025-01-11T02:25:17.605549194Z,01JH9J15VBK2T020RPNZQ6RMX2,2025-01-11T02:25:17.645682013Z,01JH9JW6A9GCW06F0SCQ7ZT0MT,2025-01-11T02:25:17.645682013Z,Repi,2025-01-11T02:25:18.235334283Z,#29828D,2025-01-11T02:25:18.235334283Z,01JH9J9YET25YN78BG275S8C1V,2025-01-11T02:15:20.239004901Z,671a9d06fa131fd391b9f22d,2025-01-11T02:15:20.239004901Z,01JH9JGC3BFCVW4SZYSRJQWDFN,2025-01-11T02:25:18.235334283Z,director,2025-01-11T02:58:08.712039973Z,1.770000,2025-01-11T02:58:42.919363496Z,/avatars/blue.png,2025-01-11T02:25:18.235334283Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:15:20.245540698Z,full-comp-between,2025-01-11T02:15:20.245540698Z,"{""participantKey"":""671a9d06fa131fd391b9f22d"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d3fdfc3b172cf7c4619c""}",2025-01-11T02:15:20.639953115Z
01JH9K264E6RX21D8WS89GH5MC,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T02:37:22.930152475Z,1.920000,2025-01-11T02:58:56.137552901Z,game ended,2025-01-11T02:58:56.595558031Z,true,2025-01-11T03:01:03.946535443Z,"{""age"":""61"",""gender"":""male"",""strategy"":""using common objects for example 1 looked like a bird so I would say bird"",""enjoy"":""Yes, very fast and understood the strategy"",""feedback"":""no problems, I had fun"",""education"":""high-school""}",2025-01-11T03:01:03.988314363Z,01JH9JYX0AMW2H9GPG4HWQW4G9,2025-01-11T02:36:11.814514337Z,2,2025-01-11T02:35:16.803563057Z,true,2025-01-11T02:37:14.562314752Z,01JH9JYX0AMW2H9GPG4HWQW4G9,2025-01-11T02:37:14.613531881Z,01JH9KJ2FH7VD4K1Z9QTV7PSYP,2025-01-11T02:37:14.613531881Z,Repi,2025-01-11T02:37:22.930152475Z,#29828D,2025-01-11T02:37:22.930152475Z,01JH9K25S1YS6YX001G6C0GCTN,2025-01-11T02:28:34.062185732Z,6112bab70c61f8247ee7e228,2025-01-11T02:28:34.062185732Z,01JH9KAHKSXAHBB0GWE341PMCB,2025-01-11T02:37:22.930152475Z,director,2025-01-11T02:58:42.261473713Z,1.920000,2025-01-11T02:58:56.137552901Z,/avatars/blue.png,2025-01-11T02:37:22.930152475Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:28:34.083414314Z,full-comp-between,2025-01-11T02:28:34.083414314Z,"{""participantKey"":""6112bab70c61f8247ee7e228"",""STUDY_ID"":""6781d1748252c19196866489"",""SESSION_ID"":""6781d70d6898d14ae0ef667d""}",2025-01-11T02:28:34.265490237Z
01JH9KGPSQBE7AG5R0ZF7B6K4M,,,,,no more games,2025-01-11T02:41:33.494294616Z,,,,,null,2025-01-11T02:41:33.494294616Z,1,2025-01-11T02:36:58.637928739Z,,,,,,,,,,,01JH9KG7X0678VSJ1XY2PXVETC,2025-01-11T02:36:29.879753062Z,65e5d451afebe24d27da3778,2025-01-11T02:36:29.879753062Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T02:36:40.973262025Z,full-comp-between,2025-01-11T02:36:40.973262025Z,"{""participantKey"":""65e5d451afebe24d27da3778"",""STUDY_ID"":""67819adc5f785905c7aac9b1"",""SESSION_ID"":""67819c29cc7cd8ea90011313""}",2025-01-11T02:36:41.386094685Z
