id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,replayGameReadyCheck,replayGameReadyCheckLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JH9CKQERPY2GSSNW0V1K3SZW,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T00:53:53.635808824Z,0,2025-01-11T00:53:53.635808824Z,game ended,2025-01-11T00:59:19.288754442Z,true,2025-01-11T00:44:39.792462528Z,"{""gamefailed"":""nogame""}",2025-01-11T00:44:39.802159951Z,01JH9BRNDVYKXKN9CSJRJVMJHY,2025-01-11T00:53:43.797171012Z,2,2025-01-11T00:39:27.918225007Z,true,2025-01-11T00:41:19.70149827Z,01JH9BRMTHGSJFFKTD82MTRQ0M,2025-01-11T00:41:19.710054481Z,01JH9CXTJT1G9PFDG8ZVTTMAW3,2025-01-11T00:41:19.710054481Z,Repi,2025-01-11T00:53:53.635808824Z,#29828D,2025-01-11T00:53:53.635808824Z,01JH9CKNFT04GAR42NP0B5HF7Y,2025-01-11T00:35:48.824788326Z,670c0619a4d1c7156629aadd,2025-01-11T00:35:48.824788326Z,01JH9D4JMGEJBH4V40W5GATCHJ,2025-01-11T00:53:53.635808824Z,false,2025-01-11T00:53:46.169740806Z,matcher,2025-01-11T00:58:16.063887107Z,0,2025-01-11T00:53:53.635808824Z,/avatars/blue.png,2025-01-11T00:53:53.635808824Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:35:48.832035783Z,full-noncomp,2025-01-11T00:35:48.832035783Z,"{""participantKey"":""670c0619a4d1c7156629aadd"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781bc9f2d3907aeff9b7c0c""}",2025-01-11T00:35:49.543866759Z
01JH9CWX8RRQW50WA8GS29E11S,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T00:44:09.614327988Z,1.830000,2025-01-11T01:15:34.856168429Z,game ended,2025-01-11T01:15:34.964515698Z,true,2025-01-11T01:17:46.257232232Z,"{""age"":""26"",""gender"":""Non-binary"",""strategy"":""We ended up identifying characteristic shapes in the tangrams and using the same ones consistently."",""enjoy"":""I did! It was fun to see how we worked together and how our \""language\"" for the shapes evolved as the game progressed!"",""feedback"":""One or two times the game appeared to lag, and one time I swear my partner picked the right shape but it was counted incorrectly."",""education"":""bachelor""}",2025-01-11T01:17:46.233896737Z,01JH9BRH79CNE9WT406Z7STBP1,2025-01-11T00:43:34.654461707Z,2,2025-01-11T00:42:44.382884877Z,true,2025-01-11T00:44:09.355166116Z,01JH9BRH79CNE9WT406Z7STBP1,2025-01-11T00:44:09.390168808Z,01JH9D309A8J7A2B6SJY73KGEB,2025-01-11T00:44:09.390168808Z,Repi,2025-01-11T00:44:09.614327988Z,#29828D,2025-01-11T00:44:09.614327988Z,01JH9CWWW7H89PNPJWCAM0EZWQ,2025-01-11T00:40:49.688369931Z,67636d9a9b413ee6c8f5439f,2025-01-11T00:40:49.688369931Z,01JH9CX9K11D66PYV2EYSSJR5G,2025-01-11T00:44:09.614327988Z,,,director,2025-01-11T01:15:12.890107298Z,1.830000,2025-01-11T01:15:34.856168429Z,/avatars/blue.png,2025-01-11T00:44:09.614327988Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:40:49.71412524Z,full-noncomp,2025-01-11T00:40:49.71412524Z,"{""participantKey"":""67636d9a9b413ee6c8f5439f"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781bdee963698cd3babf8fc""}",2025-01-11T00:40:49.871036241Z
01JH9CX9K11D66PYV2EYSSJR5G,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T00:44:09.614327988Z,1.830000,2025-01-11T01:15:34.856168429Z,game ended,2025-01-11T01:15:34.964515698Z,true,2025-01-11T01:16:27.208137199Z,"{""age"":""30"",""gender"":""m"",""strategy"":""detailed"",""enjoy"":""yes, good communicator"",""feedback"":""I was kinda distracted for 3 of the wrong answers, I felt 2 of them were my fault"",""education"":""bachelor""}",2025-01-11T01:16:27.182780918Z,01JH9BRH79CNE9WT406Z7STBP1,2025-01-11T00:43:34.654461707Z,2,2025-01-11T00:41:26.038537448Z,true,2025-01-11T00:43:55.076505225Z,01JH9BRH79CNE9WT406Z7STBP1,2025-01-11T00:43:55.08219408Z,01JH9D2JA7T8098HJ1VDAR8R5W,2025-01-11T00:43:55.08219408Z,Minu,2025-01-11T00:44:09.614327988Z,#444EA1,2025-01-11T00:44:09.614327988Z,01JH9CX97GS08X4YTQKQWYMCB0,2025-01-11T00:41:02.305431414Z,5b90a114f0a0970001f6dd6e,2025-01-11T00:41:02.305431414Z,01JH9CWX8RRQW50WA8GS29E11S,2025-01-11T00:44:09.614327988Z,,,matcher,2025-01-11T01:15:12.890107298Z,1.830000,2025-01-11T01:15:34.856168429Z,/avatars/red.png,2025-01-11T00:44:09.614327988Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:41:02.31283122Z,full-noncomp,2025-01-11T00:41:02.31283122Z,"{""participantKey"":""5b90a114f0a0970001f6dd6e"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781be0aa69531c40acc3720""}",2025-01-11T00:41:02.521405457Z
01JH9CXS61MJBZJ3YHKAAVY7NA,,,,,game terminated,2025-01-11T01:40:38.369909494Z,,,,,01JH9EGPQY8P28R15MNP70Z40P,2025-01-11T01:09:08.321643122Z,2,2025-01-11T00:45:38.118356842Z,,,,,,,,,,,01JH9CXQK35Q7X0CVKV84PG32P,2025-01-11T00:41:18.273081157Z,67802eae0e06e9aeb96956a5,2025-01-11T00:41:18.273081157Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:41:18.280492632Z,full-noncomp,2025-01-11T00:41:18.280492632Z,"{""participantKey"":""67802eae0e06e9aeb96956a5"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781bddfd5adabce124ceef9""}",2025-01-11T00:41:18.970257695Z
01JH9CHSK1V9G96G5PTHNZBWTC,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T00:57:40.011828576Z,1.740000,2025-01-11T01:31:27.982483877Z,game ended,2025-01-11T01:31:28.116128814Z,true,2025-01-11T01:33:56.924549721Z,"{""age"":""28"",""gender"":""Male"",""strategy"":""I was very keen on what shapes the director was describing"",""enjoy"":""I enjoyed a lot."",""feedback"":""Everything was okay."",""education"":""master""}",2025-01-11T01:33:56.947982836Z,01JH9BRNZ53EZP16JQY7B7TCJD,2025-01-11T00:53:46.169740806Z,2,2025-01-11T00:43:20.610578491Z,true,2025-01-11T00:56:11.236105151Z,01JH9BRNZ53EZP16JQY7B7TCJD,2025-01-11T00:56:11.2514369Z,01JH9DS17GB0MSPAASWGC42TY8,2025-01-11T00:56:11.2514369Z,Repi,2025-01-11T00:57:40.011828576Z,#29828D,2025-01-11T00:57:40.011828576Z,01JH9CHQTW99RR49GY52B305AQ,2025-01-11T00:34:45.473273445Z,677058bb73f6dd06e978ac12,2025-01-11T00:34:45.473273445Z,01JH9DSMPT7WM3C8KVR0TX1T00,2025-01-11T00:57:40.011828576Z,,,director,2025-01-11T01:31:08.396171787Z,1.740000,2025-01-11T01:31:27.982483877Z,/avatars/blue.png,2025-01-11T00:57:40.011828576Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:34:45.481332839Z,full-noncomp,2025-01-11T00:34:45.481332839Z,"{""participantKey"":""677058bb73f6dd06e978ac12"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781bc49e0a031b860abf759""}",2025-01-11T00:34:45.883285797Z
01JH9CYXA2V27C61ECR9QA2TVD,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T00:48:45.428390788Z,1.800000,2025-01-11T01:16:24.334456461Z,game ended,2025-01-11T01:16:24.44863998Z,true,2025-01-11T01:19:31.086321741Z,"{""age"":""35"",""gender"":""Female"",""strategy"":""Understand what the other person sees and identify with that particular shape"",""enjoy"":""Yes, it was fun seeing what they see and then kind of making a code"",""feedback"":""Game kind of lagged at one point, and think we got 2 correct but game said it was incorrect."",""education"":""high-school""}",2025-01-11T01:19:31.063988773Z,01JH9BRMEVGAZPCDBY96308MZ7,2025-01-11T00:47:25.445780326Z,2,2025-01-11T00:46:47.835625291Z,true,2025-01-11T00:47:37.720732738Z,01JH9BRMEVGAZPCDBY96308MZ7,2025-01-11T00:47:37.730130805Z,01JH9D9BQZED6MMAFNP8EPH8AX,2025-01-11T00:47:37.730130805Z,Repi,2025-01-11T00:48:45.428390788Z,#29828D,2025-01-11T00:48:45.428390788Z,01JH9CYWXHD9KC49P9164FFHN6,2025-01-11T00:41:55.266394114Z,664674ebd7787eac6920e2b8,2025-01-11T00:41:55.266394114Z,01JH9D5B50ADNFSEMCE1EQD7EA,2025-01-11T00:48:45.428390788Z,,,director,2025-01-11T01:15:51.773576529Z,1.800000,2025-01-11T01:16:24.334456461Z,/avatars/blue.png,2025-01-11T00:48:45.428390788Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:41:55.273134713Z,full-noncomp,2025-01-11T00:41:55.273134713Z,"{""participantKey"":""664674ebd7787eac6920e2b8"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781be0542a5802252ec3d0c""}",2025-01-11T00:41:55.480257208Z
01JH9DW2WBVRAAAKED5Y1GM715,,,,,game terminated,2025-01-11T01:40:38.369909494Z,,,,,01JH9EGPQY8P28R15MNP70Z40P,2025-01-11T01:09:08.321643122Z,2,2025-01-11T01:14:53.282359305Z,,,,,,,,,,,01JH9DVWXYNCMFRQR23CH9D399,2025-01-11T00:57:51.243289547Z,677264804f173ecde9fa1cd7,2025-01-11T00:57:51.243289547Z,,,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:57:51.385188542Z,full-noncomp,2025-01-11T00:57:51.385188542Z,"{""participantKey"":""677264804f173ecde9fa1cd7"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781be0d8be753ba9424c4bc""}",2025-01-11T00:57:52.16906677Z
01JH9DXXVWRTMN0SGHZPVD6WE1,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T01:05:30.752736523Z,0,2025-01-11T01:05:30.752736523Z,game ended,2025-01-11T01:11:10.871598997Z,true,2025-01-11T01:13:56.561205647Z,"{""age"":""29"",""gender"":""Female"",""strategy"":""My partner was not responding"",""enjoy"":""My partner was not responding"",""feedback"":""My partner was not responding"",""education"":""bachelor""}",2025-01-11T01:13:56.540395261Z,01JH9DWKFQGPKBKV1DG18G1KC7,2025-01-11T01:02:48.145988824Z,2,2025-01-11T01:02:11.595417169Z,true,2025-01-11T01:05:29.484165132Z,01JH9DWKFQGPKBKV1DG18G1KC7,2025-01-11T01:05:29.541193636Z,01JH9EA2E2JSP8AF15GVWYJED7,2025-01-11T01:05:29.541193636Z,Minu,2025-01-11T01:05:30.752736523Z,#444EA1,2025-01-11T01:05:30.752736523Z,01JH9DXT74KQBXT3SZ4C1980ZC,2025-01-11T00:58:51.644719749Z,6721410af7ee9367a7a25ea8,2025-01-11T00:58:51.644719749Z,01JH9DG6ZD8T8RFSYSBYFFCRYK,2025-01-11T01:05:30.752736523Z,,,director,2025-01-11T01:10:07.429609466Z,0,2025-01-11T01:05:30.752736523Z,/avatars/red.png,2025-01-11T01:05:30.752736523Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:58:51.664478069Z,full-noncomp,2025-01-11T00:58:51.664478069Z,"{""participantKey"":""6721410af7ee9367a7a25ea8"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781c1e6755617c51b65b3a1""}",2025-01-11T00:58:52.84894478Z
01JH9CVSQTWQ87V3ZFBD78PZPM,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-11T00:43:34.878769997Z,1.710000,2025-01-11T01:12:30.516760906Z,game ended,2025-01-11T01:12:30.623124021Z,true,2025-01-11T01:12:59.958530975Z,"{""age"":""30"",""gender"":""male"",""strategy"":""Easiest shape to find"",""enjoy"":""Yes, they used similar language"",""feedback"":""Some lag but not instrusive"",""education"":""high-school""}",2025-01-11T01:12:59.937656443Z,01JH9BREM9CNFMDTE8ZGVGBWWT,2025-01-11T00:40:13.313404746Z,2,2025-01-11T00:41:18.185285544Z,true,2025-01-11T00:43:21.652741847Z,01JH9BREM9CNFMDTE8ZGVGBWWT,2025-01-11T00:43:21.660079449Z,01JH9D1HNRQGN5D9DY8YQKD386,2025-01-11T00:43:21.660079449Z,Repi,2025-01-11T00:43:34.878769997Z,#29828D,2025-01-11T00:43:34.878769997Z,01JH9CVS568XH62WZAN5B04PV2,2025-01-11T00:40:13.306526644Z,637e1d5ac58ad3caea4f3446,2025-01-11T00:40:13.306526644Z,01JH9CX64ZW5JFYZ7B6EXB6TXN,2025-01-11T00:43:34.878769997Z,,,director,2025-01-11T01:12:17.348405696Z,1.710000,2025-01-11T01:12:30.516760906Z,/avatars/blue.png,2025-01-11T00:43:34.878769997Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:40:13.313404746Z,full-noncomp,2025-01-11T00:40:13.313404746Z,"{""participantKey"":""637e1d5ac58ad3caea4f3446"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781bdd9b5a755747406bd7e""}",2025-01-11T00:40:13.639752763Z
01JH9CXCW6W6FMTK0SQCAV3TA7,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-11T00:45:47.272194454Z,1.800000,2025-01-11T01:18:44.875634471Z,game ended,2025-01-11T01:18:44.99620755Z,true,2025-01-11T01:20:38.768536365Z,"{""age"":""50"",""gender"":""female"",""strategy"":""describing the shapes to the other player and where they were situated."",""enjoy"":""yes it was alot of fun. he/she was very nice and a good player."",""feedback"":""just a few times i couldnt click on the answer but it did finally work. Great survey!!!!"",""education"":""high-school""}",2025-01-11T01:20:38.74683616Z,01JH9BRHR8QRZ25D3VFBSAAXZH,2025-01-11T00:44:09.379438356Z,2,2025-01-11T00:44:18.303406542Z,true,2025-01-11T00:44:49.698170469Z,01JH9BRHR8QRZ25D3VFBSAAXZH,2025-01-11T00:44:49.708186117Z,01JH9D47N79G1YH73XVSQ1JSF2,2025-01-11T00:44:49.708186117Z,Minu,2025-01-11T00:45:47.272194454Z,#444EA1,2025-01-11T00:45:47.272194454Z,01JH9CXCMSAXQH8CVB58YEKTBA,2025-01-11T00:41:05.670482598Z,668f001eec70799cd2a77cef,2025-01-11T00:41:05.670482598Z,01JH9CX9WKJ2PWF5C4RYYY2MCC,2025-01-11T00:45:47.272194454Z,,,matcher,2025-01-11T01:18:21.77919841Z,1.800000,2025-01-11T01:18:44.875634471Z,/avatars/red.png,2025-01-11T00:45:47.272194454Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-11T00:41:05.680914986Z,full-noncomp,2025-01-11T00:41:05.680914986Z,"{""participantKey"":""668f001eec70799cd2a77cef"",""STUDY_ID"":""6781b8904559103a57ddd285"",""SESSION_ID"":""6781be0884b74f1553a51fe7""}",2025-01-11T00:41:05.791312832Z
